StationUID,StationID,ServiceStatus,ServiceType,AvailableRentBikes,AvailableReturnBikes,SrcUpdateTime,UpdateTime,AvailableRentBikesDetail
HSQ500501001,500501001,1,2,14,6,2023-07-12T06:44:04+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 14, 'ElectricBikes': 0}"
HSQ500501002,500501002,1,2,2,15,2023-07-06T03:14:04+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 2, 'ElectricBikes': 0}"
HSQ500501003,500501003,1,2,11,14,2023-07-06T11:37:04+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 11, 'ElectricBikes': 0}"
HSQ500501004,500501004,1,2,36,38,2023-07-13T18:07:26+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 36, 'ElectricBikes': 0}"
HSQ500501005,500501005,1,2,24,31,2023-07-13T19:24:04+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 24, 'ElectricBikes': 0}"
HSQ500501006,500501006,1,2,8,42,2023-07-12T00:30:04+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 8, 'ElectricBikes': 0}"
HSQ500501007,500501007,1,2,15,10,2023-07-06T10:02:04+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 15, 'ElectricBikes': 0}"
HSQ500501008,500501008,1,2,9,16,2023-07-07T06:19:04+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 9, 'ElectricBikes': 0}"
HSQ500501009,500501009,1,2,32,10,2023-07-09T05:50:04+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 31, 'ElectricBikes': 1}"
HSQ500501010,500501010,1,2,11,9,2023-07-11T23:02:04+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 11, 'ElectricBikes': 0}"
HSQ500501011,500501011,1,2,24,9,2023-07-13T21:38:04+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 24, 'ElectricBikes': 0}"
HSQ500501012,500501012,1,2,8,7,2023-07-12T02:19:26+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 8, 'ElectricBikes': 0}"
HSQ500501013,500501013,1,2,8,7,2023-07-12T04:25:26+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 8, 'ElectricBikes': 0}"
HSQ500501014,500501014,1,2,12,7,2023-07-11T06:46:04+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 12, 'ElectricBikes': 0}"
HSQ500501015,500501015,1,2,19,1,2023-07-09T16:56:04+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 17, 'ElectricBikes': 2}"
HSQ500501016,500501016,1,2,1,18,2023-07-13T03:09:26+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
HSQ500501017,500501017,1,2,3,11,2023-07-07T15:28:04+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 3, 'ElectricBikes': 0}"
HSQ500501018,500501018,1,2,15,0,2023-07-12T21:16:04+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 14, 'ElectricBikes': 1}"
HSQ500501019,500501019,1,2,12,8,2023-07-03T23:03:15+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 12, 'ElectricBikes': 0}"
HSQ500501020,500501020,1,2,10,10,2023-07-03T23:32:04+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 8, 'ElectricBikes': 2}"
HSQ500501021,500501021,1,2,8,6,2023-07-12T11:39:26+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 8, 'ElectricBikes': 0}"
HSQ500501022,500501022,1,2,3,7,2023-07-10T23:23:26+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 3, 'ElectricBikes': 0}"
HSQ500501023,500501023,1,2,10,3,2023-07-13T14:27:26+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 8, 'ElectricBikes': 2}"
HSQ500501024,500501024,1,2,14,5,2023-07-12T11:31:26+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 14, 'ElectricBikes': 0}"
HSQ500501025,500501025,1,2,11,4,2023-07-11T11:39:26+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 11, 'ElectricBikes': 0}"
HSQ500501026,500501026,1,2,3,14,2023-07-13T21:26:04+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 3, 'ElectricBikes': 0}"
HSQ500501027,500501027,1,2,5,14,2023-07-13T14:34:04+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 5, 'ElectricBikes': 0}"
HSQ500501028,500501028,1,2,15,0,2023-07-10T03:09:26+08:00,2023-07-14T00:29:34+08:00,"{'GeneralBikes': 15, 'ElectricBikes': 0}"
