ScenicSpotID,ScenicSpotName,DescriptionDetail,Description,Phone,Address,OpenTime,Picture,Position,ParkingPosition,City,SrcUpdateTime,UpdateTime
C1_315081200H_000006,峨眉湖,峨眉湖位於新竹縣峨眉鄉富興村與湖光村交接處，本體其實為第一座國人自行設計興建的水庫，稱大埔水庫，主要是供應灌溉及工業用水，也有防洪功能。2000年內政部解除水庫保護令遂讓峨眉湖開始發展觀光。 來到峨眉湖，首先映入眼簾的除了廣闊湖面，還有環湖步道，若要欣賞各種角度的湖畔之美，不妨走上一圈。步道全長3.5公里，只走前半段的峨眉湖步道則只有約1公里，且這1公里的步道藏有慷慨與巧思，改建過的峨眉湖步道能完工要多虧當地仕紳余錦奎伯伯的無償提供，也因此這段步道設有一段「徐伯伯的橋」，橋下的3D彩繪溪流栩栩如生，宛如流水正汨汨而去，溪上還有油桐花、蓮花荷葉點綴。繼續沿著湖畔走，沿途琳瑯滿目的水岸植物彷彿生態教室，配合一旁的解說牌，讓遊客寓教於樂。另外，遊客也能發現水面一大片翠綠的布袋蓮，這景觀固然美麗，但也令人擔憂外來種植物對原生種的侵害，國人須以此為警惕，維護我們的自然環境。 走著走著便會看到另一個峨眉湖知名景點&mdash;&mdash;細茅埔吊橋，原先橫跨峨眉湖的吊橋有五座，方便附近居民往來，如今只剩下細茅埔吊橋連接十二寮休閒園區與富興老街。細茅埔吊橋橋身能承重五十人，橋塔有著桐花的裝飾，佇立其上兩邊都能欣賞湖上風光，隨著時間與天氣對湖面造成的變化，可謂有著千百種景致。,峨眉湖位於新竹縣峨眉鄉富興村與湖光村交接處，本體其實為第一座國人自行設計興建的水庫，稱大埔水庫，主要是供應灌溉及工業用水，也有防洪功能。2000年內政部解除水庫保護令遂讓峨眉湖開始發展觀光。 來到峨眉湖，首先映入眼簾的除了廣闊湖面，還有環湖步道，若要欣賞各種角度的湖畔之美，不妨走上一圈。步道全長3.5公里，只走前半段的峨眉湖步道則只有約1公里，且這1公里的步道藏有慷慨與巧思，改建過的峨眉湖,886-3-5800116,315台灣新竹縣峨眉鄉湖光村,全天,"{'PictureUrl1': 'https://www.trimt-nsa.gov.tw/Content/Uploads/StrollArea/Detail/543a47a4-30e6-4165-8057-7ab0edb366d2_thumb.png', 'PictureDescription1': '峨眉湖'}","{'PositionLon': 120.98529815673828, 'PositionLat': 24.679859161376953, 'GeoHash': 'wsqh3hff9'}",{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_315081200H_000008,北埔老街,道光14年（1834）由官方出資授權開辦墾務，粵籍墾首姜秀鑾與閩籍商人周邦正合組「金廣福」墾號，與原住民纏鬥數十年，北埔的開發就因此而為是武力拓墾，故北埔的聚落特性有軍事、商業及宗教的圍城，具有防禦特色。縣定古蹟慈天宮位於北埔聚落的中央，是大隘地區最具規模與最富麗堂皇的廟宇，是居民的信仰中心。北埔最大古式建築天水堂，創建於清道光12年（西元1832年）的姜氏故居天水堂，是北埔聚落內最大的古式建築，採三合院客家民宅設計，台階有特大台面，號稱全台最優美門樓之一。此地屬私人所有，不開放民眾參觀。創建於道光15年（西元1835年）的金廣福公館，是漢人進入山區武裝開墾的行政中心，如今也是新竹縣唯一的國定古蹟。北埔秀才故居忠恕堂古宅，創建時間於西元1922年，為清朝秀才曾學熙故居，一堂二橫建築、由屋瓦組合而成的創意圍牆及當時水質純淨豐沛的古井，聲名遠播，方圓五十公尺內，村民皆為飲水而來，今日年久失修古井已廢棄。姜阿新洋樓仿巴洛克式建築，屋外石材均是採用北投岸石，內部裝潢採用老烏心石木、檜木、樟樹、台灣杉等珍貴木材，位於金廣福公館和天水堂鄰厝，是北埔洋樓的代表，目前為金廣福文教基金會所在，前往參觀須事先申請。,道光14年（1834）由官方出資授權開辦墾務，粵籍墾首姜秀鑾與閩籍商人周邦正合組「金廣福」墾號，與原住民纏鬥數十年，北埔的開發就因此而為是武力拓墾，故北埔的聚落特性有軍事、商業及宗教的圍城，具有防禦特色。縣定古蹟慈天宮位於北埔聚落的中央，是大隘地區最具規模與最富麗堂皇的廟宇，是居民的信仰中心。北埔最大古式建築天水堂，創建於清道光12年（西元1832年）的姜氏故居天水堂，是北埔聚落內最大的古,886-3-5802204,314新竹縣北埔鄉慈天宮正前方的北埔街,<p>新竹客運：獅山線，自竹東搭新竹客運往北埔或珊珠湖，於北埔站下車。</p><p>自行開車：由竹東或峨眉沿3號省道進入北埔，至北埔車站轉向秀巒山下的中正路直行即達。</p>,全天,"{'PictureUrl1': 'https://www.trimt-nsa.gov.tw/Content/Uploads/ArticleArea/Detail/2efed37f-f76b-411f-af44-7dd85e3a0b44_thumb.jpg', 'PictureDescription1': '北埔老街'}","{'PositionLon': 121.05721282958984, 'PositionLat': 24.700088500976562, 'GeoHash': 'wsqhd8x0m'}",{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_315081200H_000014,水濂洞步道,走在水濂橋步道，路上蟲鳴鳥叫，綠蔭遮天，在享受山區健行的同時，沿路向下，岩洞水潭的光景映入眼簾，突起的岩石像屋簷一樣，讓巨大的岩洞自帶天然的遮蔭，藤蔓植物順著岩石一字排開，向下垂葉，巧妙裝飾了上方岩石，這裡正是獅頭山最大的天然岩洞－水濂洞，上方山泉水時而傾瀉，自岩壁流下，在洞口形成幾縷細小的水濂，故而得名。岩洞下方有座寺廟，在1902年，釋魏開大師發現水濂洞，並在水濂洞內建了一座廟宇，主要供俸釋迦牟尼。在寺廟中，鄰近的潺潺流水聲，如同梵音一般，繚繞寺中不絕於耳，因此得名梵音寺。在獅頭山眾多寺廟中，梵音寺位置最北，海拔最低，也是唯一一座非寺廟建築形式的廟宇，在岩洞中參拜，更顯清幽，據說這是一座相當有靈性的寺廟。 水濂洞圍欄另一側，石子溪清澈見底，可直接看到馬口魚，石斑等魚群優游其中，還有蜻蜓飛鳥等生物棲息，實為一處世外桃源。在這裡，可讓溪水洗滌心靈，沉澱自我，感受真正的寧靜祥和，是健行時駐足停留的完美地點。,走在水濂橋步道，路上蟲鳴鳥叫，綠蔭遮天，在享受山區健行的同時，沿路向下，岩洞水潭的光景映入眼簾，突起的岩石像屋簷一樣，讓巨大的岩洞自帶天然的遮蔭，藤蔓植物順著岩石一字排開，向下垂葉，巧妙裝飾了上方岩石，這裡正是獅頭山最大的天然岩洞－水濂洞，上方山泉水時而傾瀉，自岩壁流下，在洞口形成幾縷細小的水濂，故而得名。岩洞下方有座寺廟，在1902年，釋魏開大師發現水濂洞，並在水濂洞內建了一座廟宇，主要,886-3-5809296,新竹縣峨眉鄉七星村六寮60-8號,<p>大眾運輸：</p><p>自竹東搭新竹客運往獅頭山，於終點站下車可抵水濂洞停車場。</p><p>自行開車：</p><p>1.北二高竹林交流道下&gt;竹東，沿竹120縣道至台3線省道右轉直行至峨眉(台3線86k)左轉循指標可抵。</p><p>2.頭份交流道&gt;沿台3線省道往竹東方向，行至峨眉後右轉循指標可抵。</p>,全天,"{'PictureUrl1': 'https://www.trimt-nsa.gov.tw/Content/Uploads/StrollArea/Detail/dd13d380-fa83-43c3-8921-606185bff80f_thumb.PNG', 'PictureDescription1': '水濂洞步道'}","{'PositionLon': 121.02555084228516, 'PositionLat': 24.65467071533203, 'GeoHash': 'wsqh600pg'}",{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_315081200H_000015,獅山遊客中心,獅頭山，因位於中港溪邊遠眺此山時，形狀似獅頭而得名。包含前山獅頭，後山獅尾，分別位於苗栗縣南庄鄉及新竹縣峨眉鄉，主峰高度為海拔492公尺。富有豐富自然景觀，田園風光、山水景緻皆能在此盡收眼底，是遊客健行好選擇。 其中，獅頭山遊客中心是遊客在此休憩的好幫手。成立於民國90年，主體建物為廢棄之獅山國小，將其重建後，仍保有客家文化的古樸感。此處佔地雖不廣闊，但服務精實及多元。獅山教室裡介紹有相關景點跟周邊步道導覽圖，讓遊客可以依體力、心情選擇合適的路線踏青。遊客中心裏頭亦提供摺頁介紹、轄區各鄉鎮簡介、景點照片看板&hellip;&hellip;，透過不同主題分類，使遊客一目了然。傳統美食看板當中，也提及到許多人喜愛的菜色名稱，如筍子爌肉、薑絲炒大腸，這些受民眾喜愛，但不一定知道它是客家菜的美食，透過簡介，都能有更多認識。此外，遊客中心提供手機充電、簡易醫療用品、無線網路、汽機車充電、明信片代寄等多項便民服務，讓健行之旅變得更舒適且安心。遊客中心外頭有可愛的水車造景，周遭還有特色人形紙板可供遊客拍照，站在立板背後，就變成美麗的客家姑娘了！亦透過妥善的規劃，於樹蔭下放置許多座椅，搭配水車造景，戶外廣場區儼然成為疲勞時停歇的休憩好地點。,獅頭山，因位於中港溪邊遠眺此山時，形狀似獅頭而得名。包含前山獅頭，後山獅尾，分別位於苗栗縣南庄鄉及新竹縣峨眉鄉，主峰高度為海拔492公尺。富有豐富自然景觀，田園風光、山水景緻皆能在此盡收眼底，是遊客健行好選擇。 其中，獅頭山遊客中心是遊客在此休憩的好幫手。成立於民國90年，主體建物為廢棄之獅山國小，將其重建後，仍保有客家文化的古樸感。此處佔地雖不廣闊，但服務精實及多元。獅山教室裡介,886-3-5809296,315新竹縣峨眉鄉七星村六寮60-8號,星期一-星期日08:30-17:30,"{'PictureUrl1': 'https://www.trimt-nsa.gov.tw/Content/Uploads/StrollArea/Detail/2fe50f53-7f7d-4b9e-8190-52f480b54b35_thumb.jpg', 'PictureDescription1': '獅山遊客中心'}","{'PositionLon': 121.02455139160156, 'PositionLat': 24.655179977416992, 'GeoHash': 'wsqh3br6u'}",{},<p>無障礙廁所：2間<br />無障礙車位：汽車1格<br />輪椅借用：2台</p>,新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_315081200H_000018,十二寮休閒農園,此為專門栽培有機農作物的農場，規模雖然不大，但是作物種類卻相當豐富。而民眾更可在此體驗摘採蔬菜水果的樂趣，或是了解種植知識。 除此之外，亦可租借自行車，瀏覽附近的山色風光。,此為專門栽培有機農作物的農場，規模雖然不大，但是作物種類卻相當豐富。而民眾更可在此體驗摘採蔬菜水果的樂趣，或是了解種植知識。 除此之外，亦可租借自行車，瀏覽附近的山色風光。,886-3-7602708,315新竹縣峨眉鄉湖光村十二寮13鄰21-1號,<p>自行開車：</p><p>1.中山高頭份交流道（110K出口）&gt;苗124線&gt;台三線往南96K處轉十二寮農業區(走約三公里)&gt;即可到達十二寮休閒農園。</p><p>2.北二高新竹科學園區、寶山交流道（98K出口）&gt;峨眉方向竹43線11.5K往大埔水庫&gt;湖光社區大石頭標示進入500公尺即為十二寮農業區&gt;依指標即達。</p><p>3.走台三,星期二-星期日上午9:00-下午6:00（週一公休）請先電話預約,"{'PictureUrl1': 'https://www.trimt-nsa.gov.tw/Content/Uploads/StrollArea/Detail/582718d4-a4f6-4bd1-98b1-303ba9fa312e_thumb.jpg', 'PictureDescription1': '十二寮休閒農園'}","{'PositionLon': 120.986572265625, 'PositionLat': 24.674930572509766, 'GeoHash': 'wsqh35gtz'}",{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_315081200H_000026,綠世界生態農場,綠世界生態農場，位於新竹北埔，佔地七十多公頃，為一國際級之生態農場。 綠世界有六大主題公園：1、天鵝湖2、大探奇區3、水生植物公園4、鳥類生態公園5、蝴蝶生態公園6、生物多樣性探索區以動植物的自然生態，結合休閒育樂的大規模生態農場。除了六大主題公園，還規劃出金剛鸚鵡區、可愛動物區、景觀廁所、美食天地、動物劇場、綠野廣場、亞馬遜雨林區、客家古厝等共47個觀賞區。&nbsp;&nbsp;,綠世界生態農場，位於新竹北埔，佔地七十多公頃，為一國際級之生態農場。 綠世界有六大主題公園：1、天鵝湖2、大探奇區3、水生植物公園4、鳥類生態公園5、蝴蝶生態公園6、生物多樣性探索區以動植物的自然生態，結合休閒育樂的大規模生態農場。除了六大主題公園，還規劃出金剛鸚鵡區、可愛動物區、景觀廁所、美食天地、動物劇場、綠野廣場、亞馬遜雨林區、客家古厝等共47個觀賞區。&nbsp;&nbsp;,886-3-5801000,314新竹縣北埔鄉大湖村7鄰20號,星期一-星期日上午8:30-下午5:30,"{'PictureUrl1': 'https://www.trimt-nsa.gov.tw/Content/Uploads/ArticleArea/Detail/032010c2-260f-4604-a7e7-a35aeb2125d0_thumb.jpg', 'PictureDescription1': '綠世界生態農場'}","{'PositionLon': 121.07210540771484, 'PositionLat': 24.699230194091797, 'GeoHash': 'wsqhe0652'}",{},票價資訊請以綠世界生態農場公告為準,<p>大眾運輸： 台灣好行獅山線、新竹客運。</p><p>自行開車：</p><p>南下：中山高速公路&gt;公道五交流道下&gt;接68號快速道路&gt;往竹東方向10公里。</p>,新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_315081200H_000037,海會庵,海會庵，建於日本昭和4年間〈西元1928年〉，祀奉西方三聖阿彌陀佛、觀世音菩薩、大勢至菩薩與釋迦牟尼佛。庵前數棵桂花樹，樹大且枝葉茂密，陣陣桂花香隨風飄散，彷彿身歷仙境，寺庵三面環山，前有峽谷，遠眺或夜望新竹市，香山竹南沿海，燈漁閃爍，令人消塵脫俗。,海會庵，建於日本昭和4年間〈西元1928年〉，祀奉西方三聖阿彌陀佛、觀世音菩薩、大勢至菩薩與釋迦牟尼佛。庵前數棵桂花樹，樹大且枝葉茂密，陣陣桂花香隨風飄散，彷彿身歷仙境，寺庵三面環山，前有峽谷，遠眺或夜望新竹市，香山竹南沿海，燈漁閃爍，令人消塵脫俗。,886-3-5800866,315新竹縣峨眉鄉七星村13鄰六寮54號,星期六日開放-08:00–16:00,"{'PictureUrl1': 'https://www.trimt-nsa.gov.tw/Content/Uploads/StrollArea/Detail/1d2f17ee-4a7a-4f8c-9dea-4fcc4d5ee7d3_thumb.jpg', 'PictureDescription1': '海會庵'}","{'PositionLon': 121.01372528076172, 'PositionLat': 24.64370346069336, 'GeoHash': 'wsqh1wpxb'}",{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_315081200H_000042,二寮神木,位於大林村的二寮神木，據說已有500多年，當地的民眾於此建造土地公廟，由於十分靈驗，因此終年香火不斷。老樟木濃密的樹蔭，替此地的遊客遮擋了不少烈日，樹蔭下涼風徐徐，到此怡然暢遊，感受老樹綠意盎然的生命力，也是人生的一大樂事。,位於大林村的二寮神木，據說已有500多年，當地的民眾於此建造土地公廟，由於十分靈驗，因此終年香火不斷。老樟木濃密的樹蔭，替此地的遊客遮擋了不少烈日，樹蔭下涼風徐徐，到此怡然暢遊，感受老樹綠意盎然的生命力，也是人生的一大樂事。,886-3-5802204,314新竹縣北埔鄉大林村第8鄰（距北埔市街2公里）,<p>自行開車：</p><p>1.中山高頭份交流道下&gt;124縣道往三灣方向&gt;台3線往峨眉&gt;北埔&gt;二寮神木。</p><p>2.北二高竹林交流道下&gt;120縣道往竹東方向&gt;122縣道往五峰方向&gt;右轉接台3線&gt;北埔&gt;二寮神木。</p>,全天,"{'PictureUrl1': 'https://www.trimt-nsa.gov.tw/Content/Uploads/StrollArea/Detail/891e0478-50d5-414c-979a-b94098489a0b_thumb.jpg', 'PictureDescription1': '二寮神木'}","{'PositionLon': 121.0667495727539, 'PositionLat': 24.68206024169922, 'GeoHash': 'wsqh6vnp7'}",{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_315081200H_000045,萬佛庵,萬佛庵是座天然岩洞，民國前即有修道人在此修行。日昭和二年(1917)年整建，日昭和八年(1933)改稱為萬佛庵，民國71年全部拆除重建。 以洞為佛殿，在佛龕下有天然泉水流出，水質甘甜清涼，令人倍覺沁涼；其另一項特色，是有可愛的小沙彌群像，無論是迎客的小沙彌們，或是挑水、掃地的小沙彌，個個都令人倍感親切。,萬佛庵是座天然岩洞，民國前即有修道人在此修行。日昭和二年(1917)年整建，日昭和八年(1933)改稱為萬佛庵，民國71年全部拆除重建。 以洞為佛殿，在佛龕下有天然泉水流出，水質甘甜清涼，令人倍覺沁涼；其另一項特色，是有可愛的小沙彌群像，無論是迎客的小沙彌們，或是挑水、掃地的小沙彌，個個都令人倍感親切。,886-3-5800065,315新竹縣峨眉鄉七星村14鄰59號,<p>大眾運輸：</p><p>1.臺鐵新竹站下》轉臺鐵內灣支線於竹東站下》新竹客運竹東站搭乘竹東往獅山班車，於獅山站下車步行即可抵達。</p><p>2.臺鐵竹北站下》台灣好行獅山線於終點站下車可達。</p><p>自行開車：</p><p>1.國道1號竹北交流道下》光明六路》117縣道》省道台68線》省道台3線》竹41線即可抵達。</p><p>2.國道3號竹林交,全天,"{'PictureUrl1': 'https://www.trimt-nsa.gov.tw/Content/Uploads/StrollArea/Detail/f48cedda-af4e-40e1-ae39-df6b0173f2a6_thumb.PNG', 'PictureDescription1': '萬佛庵'}","{'PositionLon': 121.0229263305664, 'PositionLat': 24.652179718017578, 'GeoHash': 'wsqh1zy1q'}",{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000043,水牛學校,遊藝山林 水牛學校重返農村 找回沒落的牛耕文化&nbsp;位於新埔鎮的「水牛學校」，校長李春信眼見牛耕文化逐漸凋零沒落，矢志投身牛耕，呼喚所有具備童心的大小孩子重返農村，與牛親近相處實踐友善土地的自然教育。&nbsp;撰文／蔡舒湉 　攝影 ／施純泰　圖片提供／李春信&nbsp;推開紅磚三合院的鐵柵欄，兩隻挺拔健壯的狗兒馬上警覺地站起，這間屋子除了李春信與4 歲半的孩子，他還養了2 隻貓、3 條狗、7 頭牛、1 隻鴿子。也許是長年住在山區丘陵地，年約40 餘歲的李春信，說起話來稍顯木訥，笑聲卻格外輕盈地在樹林間迴盪。原是資訊工程師的他，畢業工作2 年後赴英國考文垂大學藝術學院深造。身處異鄉，李春信不斷被問及自己的故鄉與文化，他說，藝術家總要找出自己喜歡的元素。10 年前，他開始在新埔的小村落建立個人工作室，摸索台灣本土的生活底蘊。&nbsp;重拾傳統　友善自然的牛耕技藝靜謐的山居歲月，李春信常與當地小農交流，發現早於機械耕作時期的牛耕法，對土地生態更加友善。為了體驗友善耕種，李春信決定從養牛開始觀察牛的生長習性，與牛培養感情與默契，磨練牛耕技藝，重新找回被時代遺忘的牛耕文化。現代機器能快速完成的耕作農務，透過傳統牛耕技術，至少需要搭配犁、割耙等工具，才能順利將乾土泥漿化。李春信一一梳理過程與器物，也逐漸與7 頭牛培養出深厚情誼。他稱讚牛天性聰明，草吃飽了、看天色暗了就會自己回家，懂得認主人，只有肚子餓或天氣太熱才會迸發「牛脾氣」，跟人也會鬧彆扭一樣。身兼「牛爸爸」與「水牛學校」校長，李春信目標明確，希望全部訓練成耕牛，並針對每頭牛的學習進度因材施教，透過多加練習、複習，讓牛養成耕作習慣。&nbsp;創「水牛學校」 　發揚台灣牛精神李春信從象形字解析：「人生」就是「人」跟「牛」共同站在「土」地上，凸顯老祖先與牛共同開墾土地，共生共存的重要生命夥伴關係。此外，「水牛精神」也象徵台灣人為生活打拚的堅韌生命力。創立「水牛學校」，李春信視牛耕為志業，以經營藝術創作為主體，並透過舉辦體驗課程，推廣牛的文化價值，延續真善美。水牛學校透過一日體驗營、冬夏令營進行生命教育，課程包括認識各種牛耕工具與自然農法，小小牧童需學習牽牛、放牛、騎牛、套牛繩、幫牛按摩、清理牛棚、備牧草、曬牛糞、跟牛親近。從與牛接觸互動及勞動，讓孩子感受牛的性情與磁場，從中發現生命奧妙，感念土地。除了牛耕，在水牛學校的課程中也策劃飛鴿傳書、自然探索、砍柴野炊，與製作牛糞薰香、牛糞手作紙等藝術活動，饒富農村閒情; 並規劃讓孩子利用工具及繩結等技巧建設傳統攀爬屋，學習團結合作、體驗善用傳統工具的樂趣。&nbsp;牽繩即筆觸　與牛共舞的藝術身為藝術碩士的李春信連結牛繩與筆觸，希望將牽牛過程感受到的微妙力量，引導到土地上進行繪圖。「從牽牛觀察牛繩變化有輕重緩急，牛放鬆時繩子舒緩，沒吃飽時牛繩緊繃，不願意動。轉移到畫線就不會是單一粗細的線條，依據人與牛不同的心情做轉換，會特別有生命力。」李春信的牛耕創作還包括牛糞燃料、牛糞造紙、牛糞薰香，他說，牛糞又名百草膏，養在大自然中的牛吃多元的草類，加上運動量充足，牛隻抵抗力較好，造就形狀漂亮扎實、品質良好的牛糞。將牛糞磨粉做成薰香，氣味香甜，沏一壺好茶即能享受休閒的農村時光。&nbsp;從親近自然開始 找回牛的文化價值　「水牛學校」成立的這些年，一路走來有甘有苦，李春信笑稱自己擇善固執，這樣的學習體驗也越來越能吸引志同道合的夥伴，與不少願意親近自然、親近土地的孩子前來參與。只要有父母、孩子認同、想學習傳統牛耕精神，一同找回牛的文化價值，就是最有成就感的事。李春信表示，牛是土地文化很重要的一環，但走過農耕社會的台灣卻遺忘過去牛耕記憶，眾多文化節都不以牛為主角，僅民間以不吃牛肉的形式默默感念，而現在李春信希望透過牛耕與藝術的結合，喚醒人們對於牛耕的重視。未來，「水牛學校」校長李春信會繼續尋找水草豐美、無汙染的農田，帶著牛隻到這塊應許之地，搭造自然素材建設，實踐理想，讓人與牛一起走下去。,886-9-26939186,新竹縣關西鎮大東坑11鄰1號,（課程時間內容請洽李春信）,{},"{'PositionLon': 121.12000274658203, 'PositionLat': 24.82469940185547, 'GeoHash': 'wsqjhphyk'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000045,橫山采風館,橫山采風館位於內灣火車站附近，為一間展示傳統客家農莊文物的展覽場所，一樓主要是舞台餐廳，可容納五百人，並接受團體訂位。而二樓主要展出農莊文物，還有古早味店鋪及桌椅器具等，另外在走道的兩旁掛有四、五零年代台灣早期電影海報，充滿著復古的味道，來到這可以了解早期客家文化。,886-3-5518101,新竹縣橫山鄉內灣村9鄰大同路99號,國道3號關西交流道出口下交流道，朝關西/新埔前進→正義路/118縣道向左轉→明德路/118縣道向左轉→中豐路一段/118縣道向右轉→中豐公路/台3線向右轉 繼續沿著台3線前進→中山街一段/120縣道向左轉→中正路口向左轉→目的地,未提供,{},"{'PositionLon': 121.17900085449219, 'PositionLat': 24.7052001953125, 'GeoHash': 'wsqht3ry5'}",觀光工廠類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000046,萬瑞渡假村,「萬瑞森林樂園」位於新竹縣橫山鄉大山背，是交通部觀光局核定的合法森林遊樂區，其海拔660公尺面積達38公頃，有頭前溪青山綠野環繞，天然的景觀景色宜人四季如春，是全國唯一離都市最近的原始森林遊樂園，可瞭望新竹縣市全景。,886-3-5934096,312新竹縣橫山鄉橫山村23號,國道中山高竹北交流道、北二高竹林交流道→往竹東、橫山方向（可走68號東西向快速道路→台三線72.9K或73.5K（站前街）處依指標前行，竹35-1線5.4K處即達「萬瑞森林樂園」。,09:00-17:00,{},"{'PositionLon': 121.13500213623047, 'PositionLat': 24.702699661254883, 'GeoHash': 'wsqhs2zzd'}",遊憩類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
