StationUID,StationID,StationName,Geometry,UpdateDate,CheckDate
TAO10017,10017,華勛街141巷,POINT (121.26013 24.95035),2023-07-13T00:00:00,2023-07-14T00:10:40.84
TAO1001,1001,楊梅高中,POINT (121.14625 24.92156),2023-07-13T00:00:00,2023-07-14T00:10:40.823
TAO10,10,五塊厝,POINT (121.26279 24.87287),2023-07-13T00:00:00,2023-07-14T00:10:40.823
TAO1000,1000,楊梅高中,POINT (121.14631 24.92155),2023-07-13T00:00:00,2023-07-14T00:10:40.84
TAO10008,10008,遠雄加值園區,POINT (121.25577 25.09296),2023-07-13T00:00:00,2023-07-14T00:10:40.823
TAO100,100,三石里,POINT (121.25319 25.07615),2023-07-13T00:00:00,2023-07-14T00:10:40.823
TAO1,1,富榮,POINT (121.22763 25.0139),2023-07-13T00:00:00,2023-07-14T00:10:40.823
TAO10024,10024,捷運新莊站(地政事務所),POINT (121.45197 25.03698),2023-07-13T00:00:00,2023-07-14T00:10:40.903
TAO10023,10023,上公西,POINT (121.36101 25.06395),2023-07-13T00:00:00,2023-07-14T00:10:40.903
TAO1003,1003,高新街口,POINT (121.14523 24.92494),2023-07-13T00:00:00,2023-07-14T00:10:40.933
TAO10021,10021,水圳頭,POINT (121.20733 24.98405),2023-07-13T00:00:00,2023-07-14T00:10:40.903
TAO1002,1002,高新街口,POINT (121.14529 24.92492),2023-07-13T00:00:00,2023-07-14T00:10:40.903
TAO10018,10018,五號坡,POINT (121.19413 24.99881),2023-07-13T00:00:00,2023-07-14T00:10:40.84
TAO10020,10020,水圳頭,POINT (121.20736 24.98387),2023-07-13T00:00:00,2023-07-14T00:10:40.903
TAO10019,10019,五號坡,POINT (121.19406 24.99898),2023-07-13T00:00:00,2023-07-14T00:10:40.903
TAO1008,1008,顯伯公,POINT (121.14508 24.94647),2023-07-13T00:00:00,2023-07-14T00:10:41.027
TAO1010,1010,和平路645巷,POINT (121.13573 24.94738),2023-07-13T00:00:00,2023-07-14T00:10:40.997
TAO1006,1006,松鏡社區,POINT (121.14664 24.94097),2023-07-13T00:00:00,2023-07-14T00:10:40.997
TAO1009,1009,顯伯公,POINT (121.14494 24.94645),2023-07-13T00:00:00,2023-07-14T00:10:40.997
TAO1004,1004,梅高路二段49巷,POINT (121.14459 24.9374),2023-07-13T00:00:00,2023-07-14T00:10:40.917
TAO1007,1007,松鏡社區,POINT (121.14664 24.94097),2023-07-13T00:00:00,2023-07-14T00:10:40.997
TAO1011,1011,和平路645巷,POINT (121.13573 24.94738),2023-07-13T00:00:00,2023-07-14T00:10:41.027
TAO1005,1005,梅高路二段49巷,POINT (121.14449 24.93737),2023-07-13T00:00:00,2023-07-14T00:10:40.997
TAO1016,1016,上田國小,POINT (121.126 24.93737),2023-07-13T00:00:00,2023-07-14T00:10:41.107
TAO1014,1014,上田里10鄰,POINT (121.12812 24.93913),2023-07-13T00:00:00,2023-07-14T00:10:41.09
TAO1017,1017,上田國小,POINT (121.126 24.93737),2023-07-13T00:00:00,2023-07-14T00:10:41.073
TAO1012,1012,大眾駕訓班,POINT (121.13195 24.94305),2023-07-13T00:00:00,2023-07-14T00:10:41.027
TAO1018,1018,電研裕榮路,POINT (121.16721 24.95645),2023-07-13T00:00:00,2023-07-14T00:10:41.073
TAO1019,1019,電研裕榮路,POINT (121.16705 24.95646),2023-07-13T00:00:00,2023-07-14T00:10:41.107
TAO1013,1013,大眾駕訓班,POINT (121.13195 24.94305),2023-07-13T00:00:00,2023-07-14T00:10:41.06
TAO1027,1027,育青駕訓班,POINT (121.30546 24.97433),2023-07-13T00:00:00,2023-07-14T00:10:41.2
TAO1024,1024,桃園監理站,POINT (121.30405 24.97877),2023-07-13T00:00:00,2023-07-14T00:10:41.167
TAO1020,1020,普仁(中原夜市),POINT (121.23777 24.95396),2023-07-13T00:00:00,2023-07-14T00:10:41.107
TAO1028,1028,育青駕訓班,POINT (121.30531 24.9744),2023-07-13T00:00:00,2023-07-14T00:10:41.167
TAO103,103,拔仔林,POINT (121.25755 25.0784),2023-07-13T00:00:00,2023-07-14T00:10:41.153
TAO1032,1032,建國國中,POINT (121.30744 24.97767),2023-07-13T00:00:00,2023-07-14T00:10:41.2
TAO1021,1021,普仁(中原夜市),POINT (121.23788 24.954),2023-07-13T00:00:00,2023-07-14T00:10:41.137
TAO1015,1015,上田里10鄰,POINT (121.12812 24.93913),2023-07-13T00:00:00,2023-07-14T00:10:41.06
TAO1039,1039,地磅,POINT (121.34452 24.99814),2023-07-13T00:00:00,2023-07-14T00:10:41.31
TAO104,104,拔仔林,POINT (121.25759 25.07795),2023-07-13T00:00:00,2023-07-14T00:10:41.31
TAO1041,1041,武陵高中,POINT (121.28506 24.9881),2023-07-13T00:00:00,2023-07-14T00:10:41.34
TAO1040,1040,武陵高中,POINT (121.28526 24.98843),2023-07-13T00:00:00,2023-07-14T00:10:41.293
TAO1034,1034,迴龍郵局,POINT (121.40044 25.01672),2023-07-13T00:00:00,2023-07-14T00:10:41.247
TAO1035,1035,大慶蓮莊,POINT (121.40071 25.01663),2023-07-13T00:00:00,2023-07-14T00:10:41.31
TAO1046,1046,聯華公司,POINT (121.09135 24.93439),2023-07-13T00:00:00,2023-07-14T00:10:41.433
TAO1047,1047,聯華公司,POINT (121.09128 24.93434),2023-07-13T00:00:00,2023-07-14T00:10:41.433
TAO1036,1036,半嶺一,POINT (121.35087 25.00198),2023-07-13T00:00:00,2023-07-14T00:10:41.323
TAO1049,1049,福德,POINT (121.08672 24.93497),2023-07-13T00:00:00,2023-07-14T00:10:41.48
TAO1042,1042,趙厝,POINT (121.26593 25.04648),2023-07-13T00:00:00,2023-07-14T00:10:41.403
TAO1043,1043,趙厝,POINT (121.26577 25.04689),2023-07-13T00:00:00,2023-07-14T00:10:41.433
TAO1048,1048,福德,POINT (121.08665 24.93508),2023-07-13T00:00:00,2023-07-14T00:10:41.417
TAO1053,1053,富岡口,POINT (121.0849 24.93495),2023-07-13T00:00:00,2023-07-14T00:10:41.527
TAO1056,1056,大井頭,POINT (121.08257 24.93615),2023-07-13T00:00:00,2023-07-14T00:10:41.56
TAO1050,1050,福德,POINT (121.13791 24.97528),2023-07-13T00:00:00,2023-07-14T00:10:41.527
TAO1055,1055,富岡,POINT (121.08337 24.93462),2023-07-13T00:00:00,2023-07-14T00:10:41.497
TAO1044,1044,磚窯,POINT (121.09377 24.93326),2023-07-13T00:00:00,2023-07-14T00:10:41.433
TAO1054,1054,富岡,POINT (121.08331 24.9347),2023-07-13T00:00:00,2023-07-14T00:10:41.513
TAO105,105,劉厝,POINT (121.19434 25.03761),2023-07-13T00:00:00,2023-07-14T00:10:41.497
TAO1060,1060,新明,POINT (121.08059 24.93553),2023-07-13T00:00:00,2023-07-14T00:10:41.607
TAO1025,1025,桃園監理站,POINT (121.30427 24.97911),2023-07-13T00:00:00,2023-07-14T00:10:41.12
TAO1062,1062,梅花新城,POINT (121.0754 24.93153),2023-07-13T00:00:00,2023-07-14T00:10:41.573
TAO1061,1061,梅花新城,POINT (121.07537 24.93169),2023-07-13T00:00:00,2023-07-14T00:10:41.573
TAO1058,1058,大井頭,POINT (121.08251 24.93616),2023-07-13T00:00:00,2023-07-14T00:10:41.607
TAO1051,1051,福德,POINT (121.13813 24.97488),2023-07-13T00:00:00,2023-07-14T00:10:41.513
TAO1063,1063,水塔,POINT (121.07287 24.93049),2023-07-13T00:00:00,2023-07-14T00:10:41.667
TAO1067,1067,下埤,POINT (121.0682 24.9306),2023-07-13T00:00:00,2023-07-14T00:10:41.683
TAO1069,1069,石埤,POINT (121.06388 24.92939),2023-07-13T00:00:00,2023-07-14T00:10:41.667
TAO1057,1057,大井頭,POINT (121.0825 24.93664),2023-07-13T00:00:00,2023-07-14T00:10:41.59
TAO1068,1068,下埤,POINT (121.06812 24.93054),2023-07-13T00:00:00,2023-07-14T00:10:41.653
TAO107,107,劉厝,POINT (121.17767 25.03342),2023-07-13T00:00:00,2023-07-14T00:10:41.73
TAO1059,1059,新明,POINT (121.08044 24.93551),2023-07-13T00:00:00,2023-07-14T00:10:41.607
TAO1064,1064,水塔,POINT (121.07279 24.93037),2023-07-13T00:00:00,2023-07-14T00:10:41.667
TAO1065,1065,水塔,POINT (121.19743 24.84375),2023-07-13T00:00:00,2023-07-14T00:10:41.7
TAO1073,1073,徐厝,POINT (121.03878 24.98802),2023-07-13T00:00:00,2023-07-14T00:10:41.747
TAO1075,1075,徐厝,POINT (121.19588 24.89152),2023-07-13T00:00:00,2023-07-14T00:10:41.747
TAO1074,1074,徐厝,POINT (121.03897 24.98795),2023-07-13T00:00:00,2023-07-14T00:10:41.717
TAO1070,1070,石埤,POINT (121.06403 24.92936),2023-07-13T00:00:00,2023-07-14T00:10:41.747
TAO1071,1071,徐厝,POINT (121.06154 24.92705),2023-07-13T00:00:00,2023-07-14T00:10:41.793
TAO1076,1076,徐厝,POINT (121.19588 24.89134),2023-07-13T00:00:00,2023-07-14T00:10:41.81
TAO1066,1066,水塔,POINT (121.19746 24.84358),2023-07-13T00:00:00,2023-07-14T00:10:41.7
TAO10819,10819,前光華,POINT (121.39864 24.66317),2023-07-13T00:00:00,2023-07-14T00:10:41.823
TAO1081,1081,北門新村,POINT (121.30995 25.00123),2023-07-13T00:00:00,2023-07-14T00:10:41.793
TAO1078,1078,徐厝,POINT (121.08791 25.04098),2023-07-13T00:00:00,2023-07-14T00:10:41.887
TAO1077,1077,徐厝,POINT (121.08784 25.04094),2023-07-13T00:00:00,2023-07-14T00:10:41.823
TAO1080,1080,縣界,POINT (121.06035 24.92515),2023-07-13T00:00:00,2023-07-14T00:10:41.81
TAO1082,1082,北門新村,POINT (121.30999 25.00126),2023-07-13T00:00:00,2023-07-14T00:10:41.903
TAO1072,1072,徐厝,POINT (121.06158 24.92698),2023-07-13T00:00:00,2023-07-14T00:10:41.793
TAO1088,1088,理嘉公司,POINT (121.26836 25.05292),2023-07-13T00:00:00,2023-07-14T00:10:41.917
TAO10822,10822,桃園酒廠,POINT (121.37605 25.05534),2023-07-13T00:00:00,2023-07-14T00:10:41.933
TAO10823,10823,桃園酒廠,POINT (121.37583 25.05514),2023-07-13T00:00:00,2023-07-14T00:10:41.967
TAO1085,1085,蘆竹國小,POINT (121.26679 25.05034),2023-07-13T00:00:00,2023-07-14T00:10:41.917
TAO1079,1079,縣界,POINT (121.06024 24.92516),2023-07-13T00:00:00,2023-07-14T00:10:41.887
TAO1095,1095,華夏公司,POINT (121.26785 25.05795),2023-07-13T00:00:00,2023-07-14T00:10:41.997
TAO1087,1087,蘆竹國小,POINT (121.26669 25.05048),2023-07-13T00:00:00,2023-07-14T00:10:41.917
