ScenicSpotID,ScenicSpotName,DescriptionDetail,Description,Phone,Address,ZipCode,Picture,Position,Class2,Level,ParkingPosition,TicketInfo,Remarks,Keyword,City,SrcUpdateTime,UpdateTime
C1_313020000G_000026,宏亞食品巧克力觀光工廠,宏亞食品巧克力觀光工廠是一座以巧克力為主題的觀光工廠，建築設計、展場文字、陳列物、戶外景觀及相關造型皆與巧克力密不可分，全棟為綠建築，展場設計依照建築外觀之透光與否進行規劃，節能省碳，此外，展場更提供豐富的巧克力相關知識(含巧克力3500年歷史)為一寓教於樂之專業型廠館，是休閒娛樂絕佳去處。,巧克力共和國是一座以巧克力為主題的觀光工廠，建築設計、館內主題設計皆以巧克力為主題，這裡也提供豐富的巧克力相關知識，亦可以DIY創作巧克力，為一寓教於樂、適合親子休閒娛樂的絕佳去處。,886-3-3656555,桃園縣八德市建國路386號,33451,{},"{'PositionLon': 121.29718780517578, 'PositionLat': 24.94332504272461, 'GeoHash': 'wsqmbhvcm'}",觀光工廠類,非古蹟,"{'PositionLon': 121.29718780517578, 'PositionLat': 24.94332504272461, 'GeoHash': 'wsqmbhvcm'}",收費方式請電洽,詳細參觀訊息請逕洽廠商網站說明,桃園，宏亞，巧克力，觀光工廠,桃園市,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_313020000G_000136,臺灣菸酒(股)公司林口觀光酒廠,林口酒廠為擁有近百年歷史的台北酒廠(1921)、板橋酒廠(1937)、樹林酒廠(1906)合併而成的新酒廠，於民國76年春正式啟用量產。原三酒廠各具有不同產品與文化特色，合併後發展為北部地區產能最大、設備最現代化的米糧釀造酒生產工廠。 林口酒廠成立以來一直是以生產紹興酒為主，民國85年利用原紹興酒生產設備釀製日式清酒，成功推出「玉泉清酒」，為全國唯一生產日式清酒之酒廠。民國93年為解決清酒粕副產物問題，開發「台酒清酒粕面膜」產品，定位為天然護膚保養素材，盛況一時，被喻為「窮人的SKII」。民國94年再創新研發，結合東方紅麴與西方葡萄酒，推出具養生概念且適合台灣人口味的「玉泉紅麴葡萄酒」，深獲社會大眾喜愛，為台灣市佔率最高的葡萄酒品牌。 林口酒廠不但致力各項酒類研發，生產方式也變得更加多元。民國96年將釀酒紅麴與餅乾大廠合作開發「台酒紅麴養生薄餅」，風味獨特造成搶購熱潮，風行海內外，短短1年半內創造超過10億元營業額，成為餅乾界之奇蹟。為朝多角化經營，除從事酒品生產外並設置有展售中心，內設「清酒館」「紅麴館」「酒銀行」等製程展館，開放民眾或外來觀光客參觀，一方面讓參訪者可了解製酒的過程與歷史，一方面也促使林口酒廠與工業區內其他景點(如台塑文物館、竹林寺、台塑醫療園區、華亞科技園區等)以及鄰近之鶯歌鎮產業等連結，形成地方產業文化觀光特色主題，除帶動產業觀光，更提昇桃園縣觀光旅遊系統的豐富性。 林口酒廠為配合公司資產活化政策，結合桃園縣推展航空城計畫以及機場捷運線開通啟用，集酒類生產、產業歷史、市場地利等基礎，結合產業文化、創意藝術、人文等資源以塑造工廠公園化，打造清酒意象文化園區，串聯週邊城廓、名勝、景點及公共設施，建構成北部地區指標性之觀光酒廠，期能吸引北臺灣800萬人口，來廠觀光遊憩進而增裕營收。,林口酒廠為北部地區產能最大、設備最現代化的清酒、紅麴葡萄酒生產工廠。廠內有產品推廣中心，開放參觀製酒過程與歷史，與桃園其他景點連結地方文化特色主題，帶動觀光提昇旅遊的豐富性。,886-3-3283001#430,桃園縣龜山鄉文化一路55號,333,{},"{'PositionLon': 121.37522888183594, 'PositionLat': 25.056167602539062, 'GeoHash': 'wsqq9cqdz'}",觀光工廠類,非古蹟,"{'PositionLon': 121.37522888183594, 'PositionLat': 25.056167602539062, 'GeoHash': 'wsqq9cqdz'}",收費方式請電洽,詳細參觀訊息請逕洽廠商網站說明,林口，菸酒，酒廠，觀光工廠,桃園市,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376430000A_000011,桃園火車站前商圈,桃園火車站前商圈是指由火車站前中正路延伸至中山路景福宮段的熱鬧商圈，在短短的幾個路口，聚集了流行、時尚、服飾、珠寶、百貨等各種行業，傍晚華燈初上之後，將桃園變成了不夜城，也成了喜愛血拼逛街的採買者發現驚奇、找好東西的絕佳地方。桃園站前商圈可說是一處融合了新舊文化的特色商圈，因為具有地利之便，迅速吸收其他的業者進駐，商圈擴大成形。三大區段建構出桃園火車站前商圈好逛、好吃、好玩的主題風貌：靠近火車站商圈前段百貨3C林立，為精品百貨聚落；以成功路為主的商圈中段，服飾商店、中西式料理、咖啡輕食相繼進駐，貼近年輕人的消費需求；景福宮為主的商圈後段，有著百年大廟的參拜人潮，週邊傳統美食、小吃店家林立，想感受桃園在地活力，走趟中正路商圈就沒錯。商圈前段以中正路為主幹道，延伸至大同路、復興路、中華路，鄰近桃園火車站和其他對外客運，所以交通十分便利。商圈內坐擁遠東FE21、新光三越、統領百貨等三大百貨，各家百貨公司林立的商圈氛圍，讓各家連鎖名店也紛紛進駐，為站前商圈帶來繁榮的景象。本區除了百貨公司及商店外，也鄰近學校與補習班，以統領百貨往前延伸至成功路為中段商圈的主要範圍，串連起體育用品及咖啡茶飲，無論是以年輕族群為主的運動品牌可在此購得，各式新潮創意的美食也藏身在巷弄之間，滿足川流人潮的用餐需求。來到景福宮為主的商圈後段，這裡是因參拜人潮而發展出傳統老店與古早味小吃的美食區域。存在超過百年的景福宮就位在中正路、中山路口，在地人俗稱大廟，不但是桃園市最負盛名的廟宇，也被列為國家三級古蹟，足見其歷史價值；大廟旁則匯集了鴨肉店、美濃板條、蚵仔麵線、肉圓、米粉湯等多家小吃名店，讓饕客們可一飽口福。走進鋪著花崗岩的「新民街」則是另一番不同風貌，曾有「桃園第一街」美稱的新民街，緊鄰著桃園大廟而發展出特有的歷史文化，雖然名氣遠不如大溪老街，但記錄著桃園市民的珍貴回憶，在注入了文化創意與街道藝術後，呈現衝突卻協調的美感，細細品味就能感受特殊的巷弄風情。,從銅板小吃到品牌名店，琳瑯滿目的美食就要躁動你的味蕾，接著以統領百貨為中心瘋狂採買，用新台幣把時尚潮流新玩意通通下架！,886-3-3322101,桃園市330桃園區桃園火車站前中正路延伸至中山路景福宮段的熱鬧商圈,330,1.桃園客運(市區公車)：101路，103路，105路，106路，107路，108路，109路，10甲，10路，13路，15路，17路，2路，5甲，5路，7路，9路，免費市民公車等多路公車可抵。2.中壢客運：1路，6路，9路可抵。3.或於桃園火車站下車後往遠百方向直行可抵。,全年無休,"{'PictureUrl1': 'https://travel.tycg.gov.tw/content/images/attractions/10583/640x480_files635866490181114846.jpg', 'PictureDescription1': '體育用品與美妝生活用品店林立'}","{'PositionLon': 121.31353759765625, 'PositionLat': 24.98921012878418, 'GeoHash': 'wsqq0t1ud'}",其他,路邊停車格或收費停車場,{},免費,桃園市,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376430000A_000012,桃園忠烈祠暨神社文化園區,座落於桃園市虎頭山上的桃園市忠烈祠，落成於民國二十七年，前身為日本人所建造的「桃園神社」，是臺灣保存最為完整的日治時代神社，建築風格融合了中國古代唐風、日本風及臺灣近代風，採用上等台灣檜木構築，並已在民國八十三年經公告正式被列為市定古蹟；也因為特殊的歷史文化價值，而被電影《KANO》選中成為拍片場景，引領觀眾深刻感受1930年代的歲月回憶。早在日治時期，日本在台灣推行皇民化運動，開始在全台建造了約兩百座的神社，桃園神社就是在這個時期所建造的；當時選擇依山而建，不但可遠眺西南方的桃園市區，視線大約可通過市中心的開漳聖王廟，象徵著守護百姓的用意。隨著日本的戰敗、台日斷交，多數神社隨著無人參拜而面臨拆除、改建的命運，桃園神社也在民國三十九年改名為桃園縣忠烈祠，其仿唐式建築風格，加上建材採用上選的台灣檜木，在文史藝術的保護前提下，特別被悉心維護，成為目前台灣與日本境外唯一完整保留的神社建築。現在的桃園忠烈祠暨神社文化園區建物規模完整，建築群主要以安置個人靈位的「本殿」、供一般信眾參拜的「拜殿」、神職或管理員辦公的「社務所」、進入神社參拜前可供民眾洗手與漱口的「手水舍」等組成，另外還有鳥居、石獻燈、高麗犬、銅馬雕塑、神社參道等設施，建造材料則使用檜木、杉木，質地細緻，搭配保留完整的大木結構系統，樑柱以嵌接方式固定，嚴謹的工法設計，說明了工匠的巧思，也更讓人感受到神社文化園區莊嚴樸實之美。若順應地勢，登上成功路旁的階梯，就可以看到神社文化園區前筆直的參道，中門與拜殿之間即以此參道相連接，可一路相連至桃園車站。神社文化園區的四周種滿了松柏古樹，環境清幽，祠前綠意盎然、古色古香；每到櫻花綻放的初春時節，浪漫粉嫩的嬌美花瓣為神社園區的樸實氣息增添柔美氛圍；秋天則可在神社園區前的庭園與停車場周邊，欣賞到片片楓紅景象，可說四季皆有不同的風貌。若是在拜殿前的階梯平台稍做停留，則可居高臨下眺望整個神社景致，感受被綠意所包圍的靜謐氛圍，成為遊客拍照、踏青的最佳去處。 （部分圖片來源：桃園市政府孔廟忠烈祠聯合管理所）,請一同參與這場全台獨存的日本神社上演的穿越劇：沿著參道，緩步行經鳥居、手水舍直至本殿，典雅肅穆的唐風建築，帶你走入昭和時代。,886-3-3368877,桃園市330桃園區成功路三段200號,330,由桃園火車站搭乘桃園客運公車105號公車、在「榮民醫院」站下車，往忠烈祠方向步行約10分鐘可達。,■桃園忠烈祠: 週二至週日 09:00-17:00■桃園神社文化園區：週二至週日 09:00-18:00,"{'PictureUrl1': 'https://travel.tycg.gov.tw/content/images/attractions/80939/640x480_attractions-image-fo8u1gcldegfdllsakqy-a.jpg', 'PictureDescription1': '拜殿（圖片來源：桃園市政府孔廟忠烈祠聯合管理所）'}","{'PositionLon': 121.32527923583984, 'PositionLat': 25.006290435791016, 'GeoHash': 'wsqq2b625'}",備有停車場,{},免費,■可至官網下載旅遊導覽圖。■開放15人以上團體，於15天前預約申請導覽服務；為維持參觀品質，同一場次同一地點僅受理60人以內團體導覽解說服務，去電本府孔廟忠烈祠聯合管理所(03-3...,桃園市,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376430000A_000013,景福宮,嘉慶16年間(1811)，桃仔園深受傳染病的危害，百姓遂捐錢蓋廟，耗時二年完工，命名為景福宮，當年規劃為前中後三殿，落成大典盛大邀請官員蒞臨，並受贈「赫聲濯靈｣、「德遍群黎｣、「明赫感應｣等三方匾額(現仍掛於廟內)，顯見此廟興建為地方一大盛事。 景福宮主祀神明為開漳聖王，配祀為玄壇元帥，神像供奉於正殿，日後為了滿足各方信徒需求，陸續增加佛教神祇、道教神祇、各行業祖師爺、泉州尊奉神祇、助產之神、媽祖等，表現信仰的高度融合。 每年農曆元月十七日至開漳聖王、玄壇元帥分靈的大溪仁和宮與南崁五福宮進香，是景福宮的祭典盛事之一，熱鬧的遶境，總吸引數以萬計的香客參與，而農曆二月十五日則為開漳聖王聖誕，亦有戲劇演出等一系列祝壽酬神活動，為期數十日，場面浩大。  具百年歷史的景福宮，其建築細節頗富藝術價值；全台稀有的歇山式「假四垂｣屋頂，讓宮廟外觀更顯壯麗；螭虎栱數量密集、多變造型為全台之冠，大器呈現斗栱之美；宮內各種木石雕刻、彩繪，皆出自名師之手，精美程度可媲美國外之百年教堂。 這座在地人口中的「大廟｣，不單單是地方信仰中心，從古至今皆是城市發展的重要樞紐，早期的中正路、民生路即是以景福宮為中心向四方開展，形成商圈聚落。見證桃園百年風華的景福宮，而今搖身一變成為人們了解這塊土地歷史軌跡的首選媒介。,歷經歲月洗鍊的百年宮廟是地方上的信仰中心，每年開漳聖王聖誕、祈福建醮，全城鑼鼓喧闐，猶如一場民俗嘉年華，場面無比震撼！,886-3-3337552,桃園市330桃園區中正路208號,330,1.搭乘桃園客運1線「桃園-中壢」、139線「桃園-新庄廟」於景福宮站下車即抵。2.搭乘桃園客運5014線「桃園-南崁」、5020「桃園-下福」、5059「桃園-桃園機場」、5071「桃園-醒吾中學」，於鴻福寺站下，循民生路右轉中山東路即抵。3.從桃園車站循中正路步行600公尺即抵。,05:00-21:30,"{'PictureUrl1': 'https://travel.tycg.gov.tw/content/images/attractions/18474/640x480_files636173202207568630.jpg', 'PictureDescription1': '景福宮具有全台稀有的歇山式「假四垂｣屋頂'}","{'PositionLon': 121.31101989746094, 'PositionLat': 24.994680404663086, 'GeoHash': 'wsqq0qpux'}",路邊停車,{},免費,開車較不易找停車位，建議搭乘大眾運輸工具,桃園市,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376430000A_000014,奧爾森林學堂,專屬孩子們的樂園﹣奧爾森林學堂，位於虎頭山公園內的孔廟旁。綠林滿佈的自然環境，每到冬季總吸引許多貓頭鷹在此棲息覓食，因此｢奧爾｣即是取自貓頭鷹英文｢Owl｣的諧音。園區內三座醒目的樹屋群中，有著出自於在地創作者所製作的陶雕貓頭鷹，不妨跟著孩子來找看看， 這15隻大小不一的貓頭鷹究竟藏在哪? 奧爾森林學堂利用雀榕氣根攀附的特性，並於施工時避開樹根，使樹屋與樹自然共生，也不破壞原有生態。而為了強化樹屋結構，特別以玻璃纖維達到強化效果，讓孩子在安全的環境下玩樂。 架高的松鼠步道木棧道用來連結｢讀樹教室｣、｢咕咕屋｣、｢綠野方舟｣等三座樹屋﹔設計為六角形的｢讀樹教室｣，是一處可以360度觀察樹冠生態的亭子，孩子在其中用另一種視角探索自然，讓旅程更增樂趣。有如這座森林的大型守護者的貓頭鷹造型「咕咕屋」，鑽到裡頭從縫裡望出去，有幸就能和稀有鳥類近距離面對面！平台｢綠野方舟｣以樹葉為造型，並在中間高架一座貓頭鷹小屋，提供鳥類休憩。 園區內除了樹屋，一旁的兒童遊戲區也是同樣好玩！除了四組滑梯，還加碼超長的紅黃溜滑梯，結合各樣攀爬設施，孩子一玩再玩都不膩！園區不定期推出各樣環境教育課程，透過繪本故事、勞作、繪畫，記錄山林生態的奧妙，讓孩子接觸自然也愛護自然。,咻！坐上長長的溜滑梯，化身小飛俠乘風飛翔，好涼快又好開心，接著去空中樹屋拜訪松鼠先生、貓頭鷹小姐，一起開一場森林同樂會。,886-3-3946061,桃園市330桃園區公園路42號,330,搭公車105路公車，於桃園高中站下車步行約5分鐘即可抵達。,08：00~17：00,"{'PictureUrl1': 'https://travel.tycg.gov.tw/content/images/attractions/67843/640x480_attractions-image-0gvbbqe9ae2ombjdg6__wg.jpg', 'PictureDescription1': '六角樹屋'}","{'PositionLon': 121.32756042480469, 'PositionLat': 25.001850128173828, 'GeoHash': 'wsqq0zkn3'}",遊憩類,設有虎頭山停車場。,{},免費,￭連結樹屋之步道皆為木棧道，沒有無障礙空間。￭樹屋開放時間為每日08:00~17:00￭環教課程對象為國小生，如需預約請電洽(03-3946061),桃園市,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376430000A_000050,角板山行館,角板山行館園區包含戰備隧道、蔣公行館、雕塑公園、樟腦收納所等多個特色景點。角板山戰備隧道建於民國52年，用於戰事爆發時保護國家元首安危，並對外下達作戰指令，如今隨著軍事色彩淡去，成為遊客遙想當年戰地風光的好去處。隧道外的林蔭步道設有雲豹、穿山甲、台灣黑熊等台灣原生種的動物公仔，走進地下20公尺深的隧道，100公尺長的隧道壁面，繪有互動式3D立體壁畫﹔「毋忘在莒、效忠國家｣標語、迎面而來的子彈與埋伏的水鬼，營造50年代的軍事場景。沿著戰備隧道旁的避難步道可通往角板山行館，裡頭豐富的圖像、影音史料，除了介紹蔣公的事蹟，也有不少與家族成員互動的珍貴文物。由行館前步道直行，自思親亭遠眺，大漢溪貫穿那結山的河階地形一覽無遺﹔蔣公常與此懷想故鄉浙江溪口。行館旁全台首創的雕塑公園「溫室提案｣、「人形狐狸｣、「飛龍在天｣等由12位世界級藝術家創作的裝置藝術，與自然完美融合。園內種有松、柏、梅、竹等樹種。每逢梅花季，2公頃大的梅園，尤其吸引不少遊客前來參與賞梅、野餐、品茶，還有大地遊戲等動態活動，動靜之間品味花季之美。遊客中心旁的日式建築-樟腦收納所，現為全台僅存的樟腦廳舍。19世紀樟腦產業繁盛時期，角板山是重要的樟樹產地，而砍伐後的樟樹於收納所集中後運往工廠製腦。持續向南行可抵生態池，沿著木棧道繞池而行，可欣賞大量的台灣水龍、燈心草、睡蓮、菖蒲等水生植物構成的盎然景致，頗為愜意。一旁的樟腦展覽館(原護衛宿舍)，展示有樟腦提煉過程與相關歷史事紀。,不管是帶有神秘色彩的戰備隧道或是記錄蔣家日常的行館，都令人充滿十足想像，凜冬時節，園中櫻梅盛開，更為旅行增添不少驚艷。,886-3-3821678,桃園市336復興區澤仁里中正路133-1號,336,■搭乘桃園客運5090線【桃園－上巴陵－林班口】、5091線【中壢－上巴陵－林班口】、5093線【大溪－羅浮－巴陵】、5094線【大溪－三光(沙崙子)－巴陵】、5104線【大溪－復興】、5105線【大溪－小烏來(經三民)】、5106線【大溪－霞雲村(經復興)】、5109線【大溪－高遶(經羅浮)】、中壢客運5301線【桃園－上巴陵－林班口】，於角板山公園站下車即抵 ■搭乘台灣好行...,08:00-17:00,"{'PictureUrl1': 'https://travel.tycg.gov.tw/content/images/attractions/32107/640x480_attractions-image-afsfg-g_c0s3kdyd8x-h-g.jpg', 'PictureDescription1': '角板山行館'}","{'PositionLon': 121.35067749023438, 'PositionLat': 24.81805992126465, 'GeoHash': 'wsqm1muze'}",遊憩類,北入口旁有仁愛收費停車場，南入口旁有上台地收費停車場,{},免費,桃園市,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376430000A_000054,三民蝙蝠洞,蝙蝠洞在三民里北部之溪谷內，是一處天然形成的巨大岩洞，因洞口上方有泉水灑落，而有水濂洞之美稱。由於蝙蝠洞地形粗獷原始，又位在溪谷旁邊，吸引大批的蝙蝠在此棲息，所以被稱作「蝙蝠洞」。現今洞內的地面滿佈紅土，便是當時蝙蝠遺留下的糞便所堆積而成的，可想見當時成千上萬隻蝙蝠棲息之盛況，更添幾許神祕氣氛。來到桃114線的終點就是通往蝙蝠洞步道的入口，步道全長約600公尺，全線坡度平緩且鋪設有石磚，步行約20分鐘就可以抵達蝙蝠洞。循著步道前行，一路綠樹成蔭，走來涼爽舒適；沿途還可欣賞豐富的自然生態，走累了，還可在沿路的木造座椅上休息片刻，地面上鋪設有磁磚拼貼而成的蝙蝠圖騰，讓人忍不住會心一笑。沿著步道前行約444公尺，就可以看見旋轉樓梯造型的眺望台，可沿著圓弧型的樓梯順勢前往觀景，由此眺望遠方青翠的山巒景色，讓人一掃煩憂。從眺望台旁的涼亭後方小徑下行便是階梯式步道，沿途可欣賞三民溪水潺流的自然景觀，而地形粗獷原始的蝙蝠洞便隱身其中，洞前有一處水潭，以及一大一小的瀑布，高約50尺，若非枯水期可見瀑布水沫紛飛，水聲迴盪於耳邊，好不壯觀。踏上木棧平台，瀑布沖蝕而下，形成約直徑10公尺之深潭，環境涼爽怡人，最適合夏天來此避暑。蝙蝠洞口成半圓形，隱身於溪畔的崖壁間，洞口高約20公尺，洞內寬約50公尺，深約20公尺。側身進入岩洞之中，洞內造型呈現半月彎形有如歌舞劇場，造型十分獨特而寬大，面積寬敞可容納千人，可說是相當罕見的天然巨大山洞，讓人有著別有洞天的感覺，雖然洞內的蝙蝠已紛紛遷徙至他處，仍以幽深莫測的岩洞景觀，吸引眾多遊客慕名前來，一探奇景。,來蝙蝠洞的亮點可不是追蝙蝠！而是打卡足以容納千人的半月形天然岩洞，加上魔幻綠色調的池灘，注意! 也許有小精靈隨時出沒!,886-3-3322101,桃園市336復興區三民里東側五寮溪溪谷內,336,於大溪搭乘開往復興、三民方向的桃園客運，於蝙蝠洞站下車。,全年無休,"{'PictureUrl1': 'https://travel.tycg.gov.tw/content/images/attractions/60082/640x480_attractions-image-h-y9inngb0ypapwqwlvo1w.jpg', 'PictureDescription1': '三民蝙蝠洞'}","{'PositionLon': 121.35030364990234, 'PositionLat': 24.83810043334961, 'GeoHash': 'wsqm33ss7'}",文化類,■步道入口設有停車場,{},免費,■目前已無蝙蝠棲息，純粹觀光性質■步道濕滑請小心步伐,桃園市,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376430000A_000057,東眼山森林遊樂區,"東眼山森林遊樂區位於桃園市復興區，屬於雪山山脈的尾端，從桃園阿姆坪遠眺，山形頗似躺著的少女以大眼睛向東而望，讓「東眼山」之名不脛而走。整個遊樂區面積近一千公頃，擁有綿延三百多公頃的柳杉樹海奇景。區內以海拔1212公尺的「東眼山」地勢最高，自山頂可飽覽周圍山景連綿，遠眺桃園、三峽、淡水河等景致，也是觀賞桃園夜景的好去處。「柳杉林」和「雲海」是東眼山的最大特色，由於海拔約在一千公尺上下，早年為人工造林地，因此杉木林成為園區最重要的景觀，綿延達數百公頃，林木茂密，林相蒼翠蓊鬱，也由於森林覆蓋良好，區內兩棲類生態相當豐富，讓東眼山成為親子互動與生態教育的好去處；山區內地形起伏多變，每當午後時常雲霧湧集，繚繞於山林之間，此刻是東眼山最美的時刻，若是幸運的話，還可遇見彩虹落在少女的眼上。東眼山森林遊樂區擁有長達16公里的森林浴步道，主要包含了可攀爬標高1,212公尺東眼山主峰的「自導式步道」；以林業文化及伐木集材展示為主題的「知性步道」；位於林道盡頭，一大一小狀似慈母帶著小孩的「親子峰步道」；展示約三千萬年前生痕化石的「化石林道」等四大登山步道，每條步道生態景觀、林相風光各有不同，讓遊客可以從不同角度來親近東眼山。遊玩東眼山最精華的方式，就是走在自導式的遊園步道，步道含支線全長約4公里，若是由此前往東眼山主峰三角點，全程約1.6公里，除了可依循林務局所贈送的導覽摺頁介紹，也可以自行依指標前往。步道設置有多個圖文並茂的解說站牌，沿著枕木步道拾階而上，全程只需約60分鐘就可以登頂，沿途動植物生態豐富，讓人沈醉在大自然景觀與芬多精SPA的樂趣中；抵達海拔標高1212公尺的步道最高處又是另一番風情，從觀景平台遠眺，四周群山環繞，令人心曠神怡，在天氣晴朗時甚至可以遠眺大台北盆地；在觀景台上，不時有雲霧飄來，與綠色山巒交織出絕美風景。而位於餐廳後方的知性步道，全線林相茂密，偶有小溪流經，林業文化與機具的展示也是知性步道最吸引人的特色，在此能同時感受自然芬多精與歷史文化的洗禮。",飄渺雲海間，高聳杉木林挺拔向上，行走在海拔1212公尺的山巒間，享受天然森林浴的同時，也可一窺千年化石和珍稀山鳥。,886-3-3821506,桃園市336復興區霞雲里佳志35號,336,搭乘桃園免費公車L807線【東眼山二線】至東眼山森林遊樂區站下車即抵 (往東眼山發車時間：06:30、15:00，往大溪區公所發車時間：08:30、17:00),平日08:00-17:00、假日07:00-17:00,"{'PictureUrl1': 'https://travel.tycg.gov.tw/content/images/attractions/72258/640x480_attractions-image-3sha2qdhfe68d7z_pr14sw.jpg', 'PictureDescription1': '東眼山森林遊樂區'}","{'PositionLon': 121.40721130371094, 'PositionLat': 24.832599639892578, 'GeoHash': 'wsqm68wh3'}",遊憩類,森林遊樂區類,備有停車場。,{},全票(平日)：$80、全票(假日)：$100、半票：$50、團體票：$80、優待票：$10  (112/07/01起優待票調整為30元),■為因應防治狂犬病疫情擴散，禁止攜帶寵物(哺乳類)進入園區。■東眼山國家森林遊樂區餐廳提供合菜、簡餐、下午茶、便當 (請洽東眼山食堂：0987-554818)。,桃園市,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376430000A_000061,羅浮橋,北橫公路沿著大漢溪溪谷而建，山谷跨越交會處有建置深具設計感的大橋，羅浮橋、復興橋及巴陵橋，並列北橫三橋，由於羅浮橋採用拱形橋墩設計，加上大紅色的鮮艷色彩，讓遊客走在北橫公路更別有一番視覺享受。羅浮橋是一座全長230公尺的拱型鐵橋，周邊設有行人徒步區和觀景平台，能居高臨下欣賞這裡的山水美景，也讓遊客停留賞景及攝影，尤其在美麗的晴天，紅色的羅浮橋倒影和一旁的青山綠水相互輝映，吸引許多攝影好手前來捕捉美麗的影像。,橫越石門水庫上游的羅浮橋，既名列為北橫名橋之一，又是東南亞數一數二的大跨徑拱橋﹔絕美的大紅弧線映襯著秀麗山水，教人讚嘆。,886-3-3322101,桃園市336復興區七號省道21公里處,336,欲前往羅浮橋‧復興橋可於大溪搭乘桃園客運5109線，或於桃園或大溪搭乘桃園客運5090線、中壢客運5301線於復興橋站下車即抵。,全年無休,"{'PictureUrl1': 'https://travel.tycg.gov.tw/content/images/attractions/4091/640x480_Filedata635487384241937572.jpg', 'PictureDescription1': '北橫公路-羅浮橋‧復興橋‧巴陵橋'}","{'PositionLon': 121.3669204711914, 'PositionLat': 24.800369262695312, 'GeoHash': 'wsqm1fb8w'}",遊憩類,路邊停車,{},免費,桃園市,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
