OriginStationID,OriginStationName,DestinationStationID,DestinationStationName,TrainType,Fares,TravelTime,TravelDistance,SrcUpdateTime,UpdateTime,VersionID
A1,"{'Zh_tw': '台北車站', 'En': 'Taipei Main Station'}",A2,"{'Zh_tw': '三重站', 'En': 'Sanchong Station'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 20}, {'TicketType': 1, 'FareClass': 2, 'Price': 20}, {'TicketType': 1, 'FareClass': 3, 'Price': 16}, {'TicketType': 1, 'FareClass': 4, 'Price': 10}, {'TicketType': 1, 'FareClass': 5, 'Price': 10}, {'TicketType': 1, 'FareClass': 8, 'Price': 16}, {'TicketType': 3, 'FareClass': 1, 'Price': 20}, {'TicketType': 3, 'FareClass': 2, 'Price': 20}, {'TicketType': 3, 'FareClass': 4, 'Price': 10}, {'TicketType': 3, 'FareClass': 5, 'Price': 10}]",5,4.236,2018-10-01T00:10:00+08:00,2018-10-08T10:00:00+08:00,1
A1,"{'Zh_tw': '台北車站', 'En': 'Taipei Main Station'}",A3,"{'Zh_tw': '新北產業園區站', 'En': 'New Taipei Industrial Park Station'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 25}, {'TicketType': 1, 'FareClass': 2, 'Price': 25}, {'TicketType': 1, 'FareClass': 3, 'Price': 20}, {'TicketType': 1, 'FareClass': 4, 'Price': 13}, {'TicketType': 1, 'FareClass': 5, 'Price': 13}, {'TicketType': 1, 'FareClass': 8, 'Price': 20}, {'TicketType': 3, 'FareClass': 1, 'Price': 25}, {'TicketType': 3, 'FareClass': 2, 'Price': 25}, {'TicketType': 3, 'FareClass': 4, 'Price': 13}, {'TicketType': 3, 'FareClass': 5, 'Price': 13}]",10,7.729,2018-10-01T00:10:00+08:00,2018-10-08T10:00:00+08:00,1
A1,"{'Zh_tw': '台北車站', 'En': 'Taipei Main Station'}",A4,"{'Zh_tw': '新莊副都心站', 'En': 'Xinzhuang Fuduxin Station'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 25}, {'TicketType': 1, 'FareClass': 2, 'Price': 25}, {'TicketType': 1, 'FareClass': 3, 'Price': 20}, {'TicketType': 1, 'FareClass': 4, 'Price': 13}, {'TicketType': 1, 'FareClass': 5, 'Price': 13}, {'TicketType': 1, 'FareClass': 8, 'Price': 20}, {'TicketType': 3, 'FareClass': 1, 'Price': 25}, {'TicketType': 3, 'FareClass': 2, 'Price': 25}, {'TicketType': 3, 'FareClass': 4, 'Price': 13}, {'TicketType': 3, 'FareClass': 5, 'Price': 13}]",13,9.098,2018-10-01T00:10:00+08:00,2018-10-08T10:00:00+08:00,1
A1,"{'Zh_tw': '台北車站', 'En': 'Taipei Main Station'}",A5,"{'Zh_tw': '泰山站', 'En': 'Taishan Station'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 25}, {'TicketType': 1, 'FareClass': 2, 'Price': 25}, {'TicketType': 1, 'FareClass': 3, 'Price': 20}, {'TicketType': 1, 'FareClass': 4, 'Price': 13}, {'TicketType': 1, 'FareClass': 5, 'Price': 13}, {'TicketType': 1, 'FareClass': 8, 'Price': 20}, {'TicketType': 3, 'FareClass': 1, 'Price': 25}, {'TicketType': 3, 'FareClass': 2, 'Price': 25}, {'TicketType': 3, 'FareClass': 4, 'Price': 13}, {'TicketType': 3, 'FareClass': 5, 'Price': 13}]",14,10.029,2018-10-01T00:10:00+08:00,2018-10-08T10:00:00+08:00,1
A1,"{'Zh_tw': '台北車站', 'En': 'Taipei Main Station'}",A6,"{'Zh_tw': '泰山貴和站', 'En': 'Taishan Guihe Station'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 40}, {'TicketType': 1, 'FareClass': 2, 'Price': 40}, {'TicketType': 1, 'FareClass': 3, 'Price': 32}, {'TicketType': 1, 'FareClass': 4, 'Price': 20}, {'TicketType': 1, 'FareClass': 5, 'Price': 20}, {'TicketType': 1, 'FareClass': 8, 'Price': 20}, {'TicketType': 3, 'FareClass': 1, 'Price': 40}, {'TicketType': 3, 'FareClass': 2, 'Price': 40}, {'TicketType': 3, 'FareClass': 4, 'Price': 20}, {'TicketType': 3, 'FareClass': 5, 'Price': 20}]",17,12.833,2018-10-01T00:10:00+08:00,2018-10-08T10:00:00+08:00,1
A1,"{'Zh_tw': '台北車站', 'En': 'Taipei Main Station'}",A7,"{'Zh_tw': '體育大學站', 'En': 'National Taiwan Sport University Station'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 60}, {'TicketType': 1, 'FareClass': 2, 'Price': 60}, {'TicketType': 1, 'FareClass': 3, 'Price': 48}, {'TicketType': 1, 'FareClass': 4, 'Price': 30}, {'TicketType': 1, 'FareClass': 5, 'Price': 30}, {'TicketType': 1, 'FareClass': 8, 'Price': 48}, {'TicketType': 3, 'FareClass': 1, 'Price': 60}, {'TicketType': 3, 'FareClass': 2, 'Price': 60}, {'TicketType': 3, 'FareClass': 4, 'Price': 30}, {'TicketType': 3, 'FareClass': 5, 'Price': 30}]",23,17.403,2018-10-01T00:10:00+08:00,2018-10-08T10:00:00+08:00,1
A1,"{'Zh_tw': '台北車站', 'En': 'Taipei Main Station'}",A8,"{'Zh_tw': '長庚醫院站', 'En': 'Chang Gung Memorial Hospital Station'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 70}, {'TicketType': 1, 'FareClass': 2, 'Price': 70}, {'TicketType': 1, 'FareClass': 3, 'Price': 56}, {'TicketType': 1, 'FareClass': 4, 'Price': 35}, {'TicketType': 1, 'FareClass': 5, 'Price': 35}, {'TicketType': 1, 'FareClass': 8, 'Price': 56}, {'TicketType': 3, 'FareClass': 1, 'Price': 70}, {'TicketType': 3, 'FareClass': 2, 'Price': 70}, {'TicketType': 3, 'FareClass': 4, 'Price': 35}, {'TicketType': 3, 'FareClass': 5, 'Price': 35}]",29,20.145,2018-10-01T00:10:00+08:00,2018-10-08T10:00:00+08:00,1
A1,"{'Zh_tw': '台北車站', 'En': 'Taipei Main Station'}",A9,"{'Zh_tw': '林口站', 'En': 'Linkou Station'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 70}, {'TicketType': 1, 'FareClass': 2, 'Price': 70}, {'TicketType': 1, 'FareClass': 3, 'Price': 56}, {'TicketType': 1, 'FareClass': 4, 'Price': 35}, {'TicketType': 1, 'FareClass': 5, 'Price': 35}, {'TicketType': 1, 'FareClass': 8, 'Price': 56}, {'TicketType': 3, 'FareClass': 1, 'Price': 70}, {'TicketType': 3, 'FareClass': 2, 'Price': 70}, {'TicketType': 3, 'FareClass': 4, 'Price': 35}, {'TicketType': 3, 'FareClass': 5, 'Price': 35}]",32,21.35,2018-10-01T00:10:00+08:00,2018-10-08T10:00:00+08:00,1
A1,"{'Zh_tw': '台北車站', 'En': 'Taipei Main Station'}",A10,"{'Zh_tw': '山鼻站', 'En': 'Shanbi Station'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 110}, {'TicketType': 1, 'FareClass': 2, 'Price': 110}, {'TicketType': 1, 'FareClass': 3, 'Price': 88}, {'TicketType': 1, 'FareClass': 4, 'Price': 55}, {'TicketType': 1, 'FareClass': 5, 'Price': 55}, {'TicketType': 1, 'FareClass': 8, 'Price': 88}, {'TicketType': 3, 'FareClass': 1, 'Price': 110}, {'TicketType': 3, 'FareClass': 2, 'Price': 110}, {'TicketType': 3, 'FareClass': 4, 'Price': 55}, {'TicketType': 3, 'FareClass': 5, 'Price': 55}]",42,29.745,2018-10-01T00:10:00+08:00,2018-10-08T10:00:00+08:00,1
A1,"{'Zh_tw': '台北車站', 'En': 'Taipei Main Station'}",A11,"{'Zh_tw': '坑口站', 'En': 'Kengkou Station'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 120}, {'TicketType': 1, 'FareClass': 2, 'Price': 120}, {'TicketType': 1, 'FareClass': 3, 'Price': 96}, {'TicketType': 1, 'FareClass': 4, 'Price': 60}, {'TicketType': 1, 'FareClass': 5, 'Price': 59}, {'TicketType': 1, 'FareClass': 8, 'Price': 96}, {'TicketType': 3, 'FareClass': 1, 'Price': 120}, {'TicketType': 3, 'FareClass': 2, 'Price': 120}, {'TicketType': 3, 'FareClass': 4, 'Price': 60}, {'TicketType': 3, 'FareClass': 5, 'Price': 60}]",44,31.721,2018-10-01T00:10:00+08:00,2018-10-08T10:00:00+08:00,1
