StationUID,StationID,StationName,Geometry,UpdateDate,CheckDate
PEN135823,135823,馬公總站,POINT (119.564266 23.56734),2023-07-13T00:00:00,2023-07-14T00:20:37.377
PEN135827,135827,文化中心站,POINT (119.5782807 23.57200912),2023-07-13T00:00:00,2023-07-14T00:20:37.377
PEN135829,135829,高等法院澎湖庭,POINT (119.584484 23.569426),2023-07-13T00:00:00,2023-07-14T00:20:37.377
PEN135825,135825,北辰市場,POINT (119.57141 23.569858),2023-07-13T00:00:00,2023-07-14T00:20:37.39
PEN135826,135826,陽明站,POINT (119.574965 23.571812),2023-07-13T00:00:00,2023-07-14T00:20:37.377
PEN135828,135828,馬公高中站,POINT (119.58007 23.571104),2023-07-13T00:00:00,2023-07-14T00:20:37.377
PEN135824,135824,惠民醫院,POINT (119.568252 23.569429),2023-07-13T00:00:00,2023-07-14T00:20:37.377
PEN135830,135830,台電公司站,POINT (119.5857191 23.5693641),2023-07-13T00:00:00,2023-07-14T00:20:37.377
PEN135835,135835,安宅站,POINT (119.6030072 23.57697981),2023-07-13T00:00:00,2023-07-14T00:20:37.53
PEN135838,135838,許家站,POINT (119.608607 23.585306),2023-07-13T00:00:00,2023-07-14T00:20:37.517
PEN135834,135834,山尾站,POINT (119.600706 23.573428),2023-07-13T00:00:00,2023-07-14T00:20:37.5
PEN135837,135837,許家南站,POINT (119.606944 23.582935),2023-07-13T00:00:00,2023-07-14T00:20:37.5
PEN135832,135832,肉品市場站,POINT (119.591684 23.56913487),2023-07-13T00:00:00,2023-07-14T00:20:37.517
PEN135836,135836,農場站,POINT (119.605 23.579918),2023-07-13T00:00:00,2023-07-14T00:20:37.5
PEN135833,135833,東衛站,POINT (119.598868 23.569804),2023-07-13T00:00:00,2023-07-14T00:20:37.53
PEN135846,135846,中屯東站,POINT (119.606657 23.61685481),2023-07-13T00:00:00,2023-07-14T00:20:37.61
PEN135843,135843,青島站,POINT (119.613187 23.600365),2023-07-13T00:00:00,2023-07-14T00:20:37.627
PEN135845,135845,中屯養護中心,POINT (119.6079078 23.61419829),2023-07-13T00:00:00,2023-07-14T00:20:37.593
PEN135842,135842,中西站,POINT (119.613403 23.59808768),2023-07-13T00:00:00,2023-07-14T00:20:37.61
PEN135831,135831,天祥站,POINT (119.5885849 23.56916121),2023-07-13T00:00:00,2023-07-14T00:20:37.577
PEN135841,135841,潭邊外站,POINT (119.613036 23.594008),2023-07-13T00:00:00,2023-07-14T00:20:37.64
PEN135844,135844,中屯國小,POINT (119.60924 23.611249),2023-07-13T00:00:00,2023-07-14T00:20:37.61
PEN135840,135840,志清國中站,POINT (119.611997 23.589948),2023-07-13T00:00:00,2023-07-14T00:20:37.627
PEN135851,135851,港子保定宮,POINT (119.599286 23.648337),2023-07-13T00:00:00,2023-07-14T00:20:37.717
PEN135853,135853,赤崁南站,POINT (119.600181 23.662127),2023-07-13T00:00:00,2023-07-14T00:20:37.687
PEN135854,135854,赤崁北站,POINT (119.599939 23.666058),2023-07-13T00:00:00,2023-07-14T00:20:37.687
PEN135849,135849,鎮海站,POINT (119.597698 23.643463),2023-07-13T00:00:00,2023-07-14T00:20:37.733
PEN135852,135852,小赤崁外站,POINT (119.6004197 23.65658781),2023-07-13T00:00:00,2023-07-14T00:20:37.687
PEN135850,135850,港子,POINT (119.598875 23.647281),2023-07-13T00:00:00,2023-07-14T00:20:37.703
PEN135848,135848,講美龍德宮,POINT (119.598604 23.632545),2023-07-13T00:00:00,2023-07-14T00:20:37.717
PEN135839,135839,許家北站,POINT (119.609917 23.587231),2023-07-13T00:00:00,2023-07-14T00:20:37.67
PEN135859,135859,後寮祖廟站,POINT (119.575322 23.664963),2023-07-13T00:00:00,2023-07-14T00:20:37.827
PEN135861,135861,後寮國小外站,POINT (119.570311 23.662739),2023-07-13T00:00:00,2023-07-14T00:20:37.78
PEN135862,135862,通梁加油站,POINT (119.565003 23.660144),2023-07-13T00:00:00,2023-07-14T00:20:37.78
PEN135857,135857,白沙分局站,POINT (119.5835615 23.66731006),2023-07-13T00:00:00,2023-07-14T00:20:37.827
PEN135858,135858,後寮外站,POINT (119.577448 23.665867),2023-07-13T00:00:00,2023-07-14T00:20:37.78
PEN135856,135856,赤崁西站,POINT (119.593825 23.666777),2023-07-13T00:00:00,2023-07-14T00:20:37.813
PEN135847,135847,講美站,POINT (119.601337 23.630005),2023-07-13T00:00:00,2023-07-14T00:20:37.78
PEN135860,135860,尖山仔站,POINT (119.5728496 23.66400074),2023-07-13T00:00:00,2023-07-14T00:20:37.78
PEN135867,135867,橋頭站,POINT (119.539543 23.639166),2023-07-13T00:00:00,2023-07-14T00:20:37.89
PEN135869,135869,合界下站,POINT (119.5307751 23.63697915),2023-07-13T00:00:00,2023-07-14T00:20:37.877
PEN135870,135870,合界上站,POINT (119.52808 23.63671835),2023-07-13T00:00:00,2023-07-14T00:20:37.877
PEN135866,135866,跨海大橋站,POINT (119.555533 23.657027),2023-07-13T00:00:00,2023-07-14T00:20:37.86
PEN135864,135864,通梁北站,POINT (119.558958 23.658268),2023-07-13T00:00:00,2023-07-14T00:20:37.89
PEN135855,135855,白沙鄉公所站,POINT (119.598326 23.66676141),2023-07-13T00:00:00,2023-07-14T00:20:37.877
PEN135865,135865,通梁古榕終點站,POINT (119.557569 23.65722),2023-07-13T00:00:00,2023-07-14T00:20:37.907
PEN135868,135868,橫礁站,POINT (119.536434 23.63651),2023-07-13T00:00:00,2023-07-14T00:20:37.877
PEN135875,135875,繼光站,POINT (119.516816 23.635422),2023-07-13T00:00:00,2023-07-14T00:20:37.967
PEN135877,135877,小門鯨魚洞,POINT (119.517259 23.652728),2023-07-13T00:00:00,2023-07-14T00:20:37.953
PEN135878,135878,畜產試驗所,POINT (119.514026 23.627377),2023-07-13T00:00:00,2023-07-14T00:20:37.953
PEN135872,135872,竹灣大義宮站,POINT (119.5220152 23.63229259),2023-07-13T00:00:00,2023-07-14T00:20:37.967
PEN135874,135874,西嶼教會,POINT (119.520439 23.637177),2023-07-13T00:00:00,2023-07-14T00:20:37.953
PEN135873,135873,竹灣漁港,POINT (119.5236911 23.63127107),2023-07-13T00:00:00,2023-07-14T00:20:37.983
PEN135876,135876,小門牌樓,POINT (119.517461 23.645364),2023-07-13T00:00:00,2023-07-14T00:20:37.953
PEN135863,135863,通梁赤崁頭,POINT (119.560491 23.658366),2023-07-13T00:00:00,2023-07-14T00:20:37.953
PEN135885,135885,二崁聚落,POINT (119.518372 23.60607803),2023-07-13T00:00:00,2023-07-14T00:20:38.017
PEN135883,135883,大池國小站,POINT (119.5131346 23.61363008),2023-07-13T00:00:00,2023-07-14T00:20:38.047
PEN135886,135886,二崁村辦公處,POINT (119.5154 23.604004),2023-07-13T00:00:00,2023-07-14T00:20:38.017
PEN135880,135880,大池站,POINT (119.5090771 23.61798137),2023-07-13T00:00:00,2023-07-14T00:20:38.047
PEN135881,135881,大池內站,POINT (119.5089651 23.6165855),2023-07-13T00:00:00,2023-07-14T00:20:38.063
PEN135882,135882,大池外站,POINT (119.510611 23.61548981),2023-07-13T00:00:00,2023-07-14T00:20:38.017
PEN135884,135884,二崁外站,POINT (119.514858 23.610996),2023-07-13T00:00:00,2023-07-14T00:20:38.017
PEN135871,135871,竹灣派出所站,POINT (119.524731 23.63547),2023-07-13T00:00:00,2023-07-14T00:20:38.017
PEN135893,135893,赤樊桃殿,POINT (119.506217 23.586296),2023-07-13T00:00:00,2023-07-14T00:20:38.093
PEN135891,135891,生明營區站,POINT (119.5061409 23.59575327),2023-07-13T00:00:00,2023-07-14T00:20:38.14
PEN135894,135894,西嶼圖書館,POINT (119.505859 23.583671),2023-07-13T00:00:00,2023-07-14T00:20:38.093
PEN135888,135888,西嶼衛生所站,POINT (119.51059 23.599768),2023-07-13T00:00:00,2023-07-14T00:20:38.127
PEN135889,135889,池東站,POINT (119.5079729 23.60046044),2023-07-13T00:00:00,2023-07-14T00:20:38.14
PEN135892,135892,赤馬,POINT (119.50634 23.587535),2023-07-13T00:00:00,2023-07-14T00:20:38.093
PEN135890,135890,西嶼漁會,POINT (119.505673 23.598451),2023-07-13T00:00:00,2023-07-14T00:20:38.11
PEN135879,135879,大池排樓站,POINT (119.513288 23.62285495),2023-07-13T00:00:00,2023-07-14T00:20:38.093
PEN135901,135901,外垵西站,POINT (119.479801 23.56433498),2023-07-13T00:00:00,2023-07-14T00:20:38.17
PEN135899,135899,外垵派出所,POINT (119.482765 23.565899),2023-07-13T00:00:00,2023-07-14T00:20:38.217
PEN135902,135902,外垵東站,POINT (119.4813546 23.56465826),2023-07-13T00:00:00,2023-07-14T00:20:38.17
PEN135896,135896,內垵站,POINT (119.5000397 23.57269462),2023-07-13T00:00:00,2023-07-14T00:20:38.203
PEN135897,135897,內垵南站,POINT (119.4979511 23.57090848),2023-07-13T00:00:00,2023-07-14T00:20:38.203
PEN135898,135898,西台古堡站,POINT (119.4900772 23.5669513),2023-07-13T00:00:00,2023-07-14T00:20:38.17
PEN135900,135900,外垵國小,POINT (119.4811445 23.56623325),2023-07-13T00:00:00,2023-07-14T00:20:38.17
PEN135887,135887,西嶼民眾服務站,POINT (119.5108316 23.60245503),2023-07-13T00:00:00,2023-07-14T00:20:38.17
PEN135909,135909,中正路站,POINT (119.565372 23.566074),2023-07-13T00:00:00,2023-07-14T00:20:38.25
PEN135910,135910,澎醫急診室(平日12點後及例假日不經),POINT (119.566038 23.564792),2023-07-13T00:00:00,2023-07-14T00:20:38.25
PEN135907,135907,縣政府站,POINT (119.567352 23.5696),2023-07-13T00:00:00,2023-07-14T00:20:38.297
PEN135904,135904,內垵內塹宮,POINT (119.501397 23.569515),2023-07-13T00:00:00,2023-07-14T00:20:38.267
PEN135905,135905,西嶼漁會,POINT (119.5058632 23.5976201),2023-07-13T00:00:00,2023-07-14T00:20:38.28
PEN135906,135906,北辰小郵局,POINT (119.5722754 23.57097873),2023-07-13T00:00:00,2023-07-14T00:20:38.25
PEN135908,135908,後備司令部站,POINT (119.566185 23.568126),2023-07-13T00:00:00,2023-07-14T00:20:38.267
PEN135895,135895,內垵北站,POINT (119.500684 23.573859),2023-07-13T00:00:00,2023-07-14T00:20:38.25
PEN135913,135913,中屯永安宮,POINT (119.603449 23.61271128),2023-07-13T00:00:00,2023-07-14T00:20:38.36
PEN135912,135912,馬公商港,POINT (119.564108 23.563555),2023-07-13T00:00:00,2023-07-14T00:20:38.343
PEN135917,135917,岐頭外站,POINT (119.6052807 23.65379259),2023-07-13T00:00:00,2023-07-14T00:20:38.377
PEN135922,135922,城前站,POINT (119.596631 23.627186),2023-07-13T00:00:00,2023-07-14T00:20:38.36
PEN135915,135915,岐頭水族館站,POINT (119.6045493 23.64936198),2023-07-13T00:00:00,2023-07-14T00:20:38.517
PEN135903,135903,外垵終點站,POINT (119.4834543 23.56444426),2023-07-13T00:00:00,2023-07-14T00:20:38.343
PEN135914,135914,中屯北站,POINT (119.6054814 23.61708068),2023-07-13T00:00:00,2023-07-14T00:20:38.343
PEN135925,135925,白沙圖書館,POINT (119.598648 23.666433519999998),2023-07-13T00:00:00,2023-07-14T00:20:38.517
PEN135929,135929,農漁局,POINT (119.578592 23.565207),2023-07-13T00:00:00,2023-07-14T00:20:38.517
PEN135916,135916,岐頭遊客中心,POINT (119.608291 23.649708),2023-07-13T00:00:00,2023-07-14T00:20:38.377
PEN135930,135930,文澳市場,POINT (119.581815 23.564341),2023-07-13T00:00:00,2023-07-14T00:20:38.517
PEN135927,135927,馬公分局站,POINT (119.576131 23.569674),2023-07-13T00:00:00,2023-07-14T00:20:38.61
PEN135924,135924,北海遊客中心,POINT (119.60302 23.66756),2023-07-13T00:00:00,2023-07-14T00:20:38.547
PEN135926,135926,白沙農會站,POINT (119.597541 23.66499637),2023-07-13T00:00:00,2023-07-14T00:20:38.517
PEN135911,135911,澎湖醫院,POINT (119.565143 23.564195),2023-07-13T00:00:00,2023-07-14T00:20:38.517
PEN135933,135933,案山兒童公園,POINT (119.580912 23.5583),2023-07-13T00:00:00,2023-07-14T00:20:38.61
PEN135937,135937,三總澎湖分院內,POINT (119.583502 23.555127),2023-07-13T00:00:00,2023-07-14T00:20:38.627
PEN135928,135928,忠烈祠站,POINT (119.577833 23.568329),2023-07-13T00:00:00,2023-07-14T00:20:38.53
PEN135932,135932,經國記念館站,POINT (119.580264 23.559271),2023-07-13T00:00:00,2023-07-14T00:20:38.673
PEN135934,135934,案山北極殿,POINT (119.579211 23.557263),2023-07-13T00:00:00,2023-07-14T00:20:38.61
PEN135935,135935,外東門站,POINT (119.576553 23.553902),2023-07-13T00:00:00,2023-07-14T00:20:38.703
PEN135938,135938,前寮西,POINT (119.585535 23.553995),2023-07-13T00:00:00,2023-07-14T00:20:38.61
PEN135945,135945,馬公分局站,POINT (119.574893 23.570518),2023-07-13T00:00:00,2023-07-14T00:20:38.717
PEN135923,135923,小赤崁,POINT (119.5978531 23.65984921),2023-07-13T00:00:00,2023-07-14T00:20:38.627
PEN135941,135941,菜園外站,POINT (119.596217 23.55576),2023-07-13T00:00:00,2023-07-14T00:20:38.703
PEN135940,135940,石泉內站,POINT (119.5937181 23.55600068),2023-07-13T00:00:00,2023-07-14T00:20:38.767
PEN135936,135936,三總澎湖分院外,POINT (119.5826533 23.55415954),2023-07-13T00:00:00,2023-07-14T00:20:38.64
PEN135946,135946,北辰市場站,POINT (119.5713298 23.56998557),2023-07-13T00:00:00,2023-07-14T00:20:38.703
PEN135943,135943,石泉下站,POINT (119.593078 23.558381),2023-07-13T00:00:00,2023-07-14T00:20:38.78
PEN135942,135942,菜園內站,POINT (119.597202 23.553789),2023-07-13T00:00:00,2023-07-14T00:20:38.717
PEN135953,135953,後寮威靈宮,POINT (119.575479 23.667891),2023-07-13T00:00:00,2023-07-14T00:20:38.813
PEN135931,135931,空中大學站,POINT (119.581178 23.56062),2023-07-13T00:00:00,2023-07-14T00:20:38.717
PEN135949,135949,文澳國小,POINT (119.5838406 23.56488209),2023-07-13T00:00:00,2023-07-14T00:20:38.78
PEN135948,135948,文澳祖師廟,POINT (119.5823175 23.56546516),2023-07-13T00:00:00,2023-07-14T00:20:38.86
PEN135951,135951,瓦硐西站,POINT (119.5859477 23.6561187),2023-07-13T00:00:00,2023-07-14T00:20:38.877
PEN135950,135950,瓦硐東站,POINT (119.588904 23.656329),2023-07-13T00:00:00,2023-07-14T00:20:38.813
PEN135944,135944,石泉上站,POINT (119.591013 23.56096799),2023-07-13T00:00:00,2023-07-14T00:20:38.75
PEN135963,135963,菜園法雲庵,POINT (119.597363 23.554935),2023-07-13T00:00:00,2023-07-14T00:20:38.907
PEN135939,135939,前寮東,POINT (119.587737 23.553834),2023-07-13T00:00:00,2023-07-14T00:20:38.797
PEN135955,135955,後寮國小內站,POINT (119.567438 23.663791),2023-07-13T00:00:00,2023-07-14T00:20:38.78
PEN135958,135958,長岸西站,POINT (119.55927 23.661035),2023-07-13T00:00:00,2023-07-14T00:20:38.907
PEN135957,135957,長岸站,POINT (119.561824 23.660557),2023-07-13T00:00:00,2023-07-14T00:20:38.967
PEN135961,135961,東文溫極殿,POINT (119.584134 23.561513),2023-07-13T00:00:00,2023-07-14T00:20:38.983
PEN135952,135952,後寮上站,POINT (119.576862 23.668205),2023-07-13T00:00:00,2023-07-14T00:20:38.813
PEN135964,135964,菜園營區站,POINT (119.604276 23.554396),2023-07-13T00:00:00,2023-07-14T00:20:38.877
PEN135959,135959,通樑西站,POINT (119.55708 23.660123),2023-07-13T00:00:00,2023-07-14T00:20:38.907
PEN135967,135967,興仁東站,POINT (119.614894 23.550154),2023-07-13T00:00:00,2023-07-14T00:20:39
PEN135971,135971,烏崁上站,POINT (119.621044 23.549482),2023-07-13T00:00:00,2023-07-14T00:20:39
PEN135947,135947,生活博物館站,POINT (119.579439 23.566884),2023-07-13T00:00:00,2023-07-14T00:20:38.89
PEN135966,135966,興仁西站,POINT (119.613243 23.551115),2023-07-13T00:00:00,2023-07-14T00:20:39.047
PEN135968,135968,興仁國小,POINT (119.617936 23.548348),2023-07-13T00:00:00,2023-07-14T00:20:39
PEN135962,135962,文山,POINT (119.5826814 23.55940249),2023-07-13T00:00:00,2023-07-14T00:20:38.907
PEN135969,135969,烏崁站,POINT (119.618614 23.546516),2023-07-13T00:00:00,2023-07-14T00:20:39.093
PEN135973,135973,隘門新村站,POINT (119.631145 23.557703),2023-07-13T00:00:00,2023-07-14T00:20:38.983
PEN135980,135980,成功站,POINT (119.616465 23.572481),2023-07-13T00:00:00,2023-07-14T00:20:39.217
PEN135976,135976,東衛上站,POINT (119.601732 23.569266),2023-07-13T00:00:00,2023-07-14T00:20:39.173
PEN135956,135956,長岸北站,POINT (119.562954 23.6612),2023-07-13T00:00:00,2023-07-14T00:20:39
PEN135975,135975,東衛派出所,POINT (119.599115 23.568983),2023-07-13T00:00:00,2023-07-14T00:20:39.217
PEN135978,135978,拱北站,POINT (119.608419 23.569659),2023-07-13T00:00:00,2023-07-14T00:20:39.217
PEN135977,135977,海天佛剎站,POINT (119.604298 23.569631),2023-07-13T00:00:00,2023-07-14T00:20:39.203
PEN135970,135970,烏崁靖海宮,POINT (119.620304 23.546166),2023-07-13T00:00:00,2023-07-14T00:20:39.03
