StationName,Geometry,UpdateDate
補給站9-萊爾富高原門市,POINT (121.19250799964448 24.828384000421352),2015-12-01T00:00:00
補給站99-萊爾富國姓門市,POINT (120.82632439975134 24.023704000239491),2015-12-01T00:00:00
補給站98-國姓驛站,POINT (120.82319919988322 24.019177299592741),2015-12-01T00:00:00
補給站97-雙冬派出所,POINT (120.79149050028639 23.983595399807882),2015-12-01T00:00:00
補給站96-全家雙冬店,POINT (120.79217899966113 23.983420999679424),2015-12-01T00:00:00
補給站95-國立台灣工藝研究發展中心,POINT (120.6918566999268 23.980774699592757),2015-12-01T00:00:00
補給站94-7-11登瀛門市,POINT (120.6683340001141 23.99102300041119),2015-12-01T00:00:00
補給站93-萊爾富投家門市,POINT (120.6681238995983 23.990713999651405),2015-12-01T00:00:00
補給站92-原民工藝文物館,POINT (120.8507229996668 22.204326999691318),2015-12-01T00:00:00
補給站91-牡丹水庫,POINT (120.78515100021855 22.1289199999581),2015-12-01T00:00:00
補給站90-車城保力分駐所,POINT (120.71420300016837 22.072899000288658),2015-12-01T00:00:00
補給站90-車城保力分駐所,POINT (120.7143190001218 22.072959000357628),2015-12-01T00:00:00
補給站8-龍源路台亞加油站,POINT (121.20549799973298 24.827089000057356),2015-12-01T00:00:00
補給站89-汐止分局交通隊,POINT (121.65692900007332 25.063923000346222),2015-12-01T00:00:00
補給站88-暖暖區公所,POINT (121.73588599983907 25.100175000276067),2015-12-01T00:00:00
補給站87-平林派出所,POINT (121.83315300041068 25.030110999622991),2015-12-01T00:00:00
補給站86-福隆車站,POINT (121.94473099993581 25.015433999979166),2015-12-01T00:00:00
補給站85-東北角暨宜蘭海岸國家風景,POINT (121.94278800026609 25.0172360003412),2015-12-01T00:00:00
補給站83-大里遊客服務中心,POINT (121.92387200029259 24.968775000366008),2015-12-01T00:00:00
補給站82-全家-大溪門市,POINT (121.90035600042916 24.941332000171712),2015-12-01T00:00:00
補給站81-外澳服務區,POINT (121.84153600028628 24.87796199974656),2015-12-01T00:00:00
補給站80-烏石港遊客中心,POINT (121.83496999966576 24.86944099980235),2015-12-01T00:00:00
補給站7-報恩宮,POINT (121.24283500023512 24.826794999989318),2015-12-01T00:00:00
補給站79-大福派出所,POINT (121.81690400021955 24.800298000252553),2015-12-01T00:00:00
補給站78-永鎮腳踏車店,POINT (121.81529299967224 24.77582799956258),2015-12-01T00:00:00
補給站77-親水公園,POINT (121.81627199985303 24.673116999749766),2015-12-01T00:00:00
補給站76-蘇澳新站,POINT (121.82740999997156 24.608661999651588),2015-12-01T00:00:00
補給站75-東澳車站,POINT (121.83071500039705 24.518192999607322),2015-12-01T00:00:00
補給站74-武塔車站,POINT (121.77720300041824 24.448632999713197),2015-12-01T00:00:00
補給站73-和平派出所,POINT (121.74866400004362 24.308614999882366),2015-12-01T00:00:00
補給站72-大清水休息站,POINT (121.64465000039729 24.149760000123933),2015-12-01T00:00:00
補給站70-7-11蓮嘉門市,POINT (121.60889099981989 24.020697000066548),2015-12-01T00:00:00
補給站6-OK信義路門市,POINT (121.29319799978794 24.885274999741512),2015-12-01T00:00:00
補給站69-中正派出所,POINT (121.60489399985829 23.975459000332648),2015-12-01T00:00:00
補給站68-仁里派出所,POINT (121.59329299997205 23.96782299983164),2015-12-01T00:00:00
補給站67-壽豐分駐所,POINT (121.5093359998566 23.869875000231104),2015-12-01T00:00:00
補給站66-鳳林派出所,POINT (121.45108299978062 23.742209999891656),2015-12-01T00:00:00
補給站64-大富派出所,POINT (121.39249699963693 23.605664000093554),2015-12-01T00:00:00
補給站63-7-11瑞權門市,POINT (121.37672099967449 23.517033000272818),2015-12-01T00:00:00
補給站62-舞鶴台地北迴歸線公園,POINT (121.35726299988755 23.465534999640568),2015-12-01T00:00:00
補給站61-7-11興玉門市,POINT (121.31995299973119 23.336471999583182),2015-12-01T00:00:00
補給站60-7-11樂合門市,POINT (121.33618299994555 23.32096000010398),2015-12-01T00:00:00
補給站5-永福派出所,POINT (121.32405900022275 24.894148999776576),2015-12-01T00:00:00
補給站59-東里驛站,POINT (121.30735000040227 23.270425999860038),2015-12-01T00:00:00
補給站58-富里農會,POINT (121.25477999979717 23.184786000373663),2015-12-01T00:00:00
補給站57-池上車站,POINT (121.21834699961437 23.125290999679919),2015-12-01T00:00:00
