RoadID,RoadName,RoadNameID
300010,台1線,00010
300011,台1甲線,00011
300012,台1乙線,00012
300013,台1丙線,00013
300014,台1丁線,00014
300015,台1戊線,00015
300016,台1己線,00016
300020,台2線,00020
300021,台2甲線,00021
300022,台2乙線,00022
300023,台2丙線,00023
300024,台2丁線,00024
300025,台2戊線,00025
300026,台2己線,00026
300027,台2庚線,00027
300030,台3線,00030
300031,台3甲線,00031
300032,台3乙線,00032
300033,台3丙線,00033
300040,台4線,00040
300050,台5線,00050
300051,台5甲線,00051
300060,台6線,00060
300070,台7線,00070
300071,台7甲線,00071
300072,台7乙線,00072
300073,台7丙線,00073
300074,台7丁線,00074
300080,台8線,00080
30008A,台8線臨37便道,0008A
300090,台9線,00090
300091,台9甲線,00091
300092,台9乙線,00092
300093,台9丙線,00093
300094,台9丁線,00094
300095,台9戊線,00095
300100,台10線,00100
300102,台10乙線,00102
300110,台11線,00110
300111,台11甲線,00111
300112,台11乙線,00112
300113,台11丙線,00113
300120,台12線,00120
300130,台13線,00130
300131,台13甲線,00131
300140,台14線,00140
300141,台14甲線,00141
300142,台14乙線,00142
300143,台14丙線,00143
300144,台14丁線,00144
300150,台15線,00150
300151,台15甲線,00151
300160,台16線,00160
300170,台17線,00170
300171,台17甲線,00171
300172,台17乙線,00172
300180,台18線,00180
300190,台19線,00190
300191,台19甲線,00191
300200,台20線,00200
300201,台20甲線,00201
300202,台20乙線,00202
300210,台21線,00210
300211,台21甲線,00211
300220,台22線,00220
300230,台23線,00230
300240,台24線,00240
300250,台25線,00250
300260,台26線,00260
300270,台27線,00270
300271,台27甲線,00271
300280,台28線,00280
300290,台29線,00290
300300,台30線,00300
300310,台31線,00310
300370,台37線,00370
300390,台39線,00390
300612,台61乙線,00612
300630,台63線,00630
300631,台63甲線,00631
300681,台68甲線,00681
300741,台74甲線,00741
