RoadName,CityList
台13,"[{'CityName': '嘉義市', 'City': 'Chiayi'}, {'CityName': '臺中市', 'City': 'Taichung'}, {'CityName': '苗栗縣', 'City': 'MiaoliCounty'}]"
台15,"[{'CityName': '新北市', 'City': 'NewTaipei'}, {'CityName': '嘉義市', 'City': 'Chiayi'}, {'CityName': '桃園市', 'City': 'Taoyuan'}, {'CityName': '新竹縣', 'City': 'HsinchuCounty'}]"
台18,"[{'CityName': '南投縣', 'City': 'NantouCounty'}, {'CityName': '嘉義縣', 'City': 'ChiayiCounty'}, {'CityName': '新竹市', 'City': 'Hsinchu'}]"
台19,"[{'CityName': '臺南市', 'City': 'Tainan'}, {'CityName': '雲林縣', 'City': 'YunlinCounty'}, {'CityName': '彰化縣', 'City': 'ChanghuaCounty'}, {'CityName': '嘉義縣', 'City': 'ChiayiCounty'}]"
台21,"[{'CityName': '臺中市', 'City': 'Taichung'}, {'CityName': '南投縣', 'City': 'NantouCounty'}]"
台3,"[{'CityName': '嘉義縣', 'City': 'ChiayiCounty'}, {'CityName': '南投縣', 'City': 'NantouCounty'}, {'CityName': '雲林縣', 'City': 'YunlinCounty'}, {'CityName': '臺中市', 'City': 'Taichung'}, {'CityName': '臺南市', 'City': 'Tainan'}, {'CityName': '新北市', 'City': 'NewTaipei'}, {'CityName': '屏東縣', 'City': 'PingtungCounty'}, {'CityName': '臺北市', 'City': 'Taipei'}, {'CityName': '新竹縣', 'City': 'HsinchuCounty'}, {'CityName': '苗栗縣', 'City': 'MiaoliCounty'}, {'CityName': '高雄市', 'City': 'Kaohsiung'}, {'CityName': '桃園市', 'City': 'Taoyuan'}]"
台7乙,"[{'CityName': '新北市', 'City': 'NewTaipei'}, {'CityName': '桃園市', 'City': 'Taoyuan'}]"
台1,"[{'CityName': '新竹縣', 'City': 'HsinchuCounty'}, {'CityName': '臺北市', 'City': 'Taipei'}, {'CityName': '苗栗縣', 'City': 'MiaoliCounty'}, {'CityName': '雲林縣', 'City': 'YunlinCounty'}, {'CityName': '臺南市', 'City': 'Tainan'}, {'CityName': '嘉義市', 'City': 'Chiayi'}, {'CityName': '臺中市', 'City': 'Taichung'}, {'CityName': '嘉義縣', 'City': 'ChiayiCounty'}, {'CityName': '高雄市', 'City': 'Kaohsiung'}, {'CityName': '桃園市', 'City': 'Taoyuan'}, {'CityName': '新竹市', 'City': 'Hsinchu'}, {'CityName': '新北市', 'City': 'NewTaipei'}, {'CityName': '彰化縣', 'City': 'ChanghuaCounty'}, {'CityName': '屏東縣', 'City': 'PingtungCounty'}]"
台16臨29,"[{'CityName': '南投縣', 'City': 'NantouCounty'}]"
台17,"[{'CityName': '嘉義縣', 'City': 'ChiayiCounty'}, {'CityName': '雲林縣', 'City': 'YunlinCounty'}, {'CityName': '臺南市', 'City': 'Tainan'}, {'CityName': '彰化縣', 'City': 'ChanghuaCounty'}, {'CityName': '臺中市', 'City': 'Taichung'}, {'CityName': '高雄市', 'City': 'Kaohsiung'}, {'CityName': '屏東縣', 'City': 'PingtungCounty'}]"
台1甲,"[{'CityName': '桃園市', 'City': 'Taoyuan'}, {'CityName': '臺北市', 'City': 'Taipei'}, {'CityName': '新北市', 'City': 'NewTaipei'}]"
台23,"[{'CityName': '臺東縣', 'City': 'TaitungCounty'}, {'CityName': '花蓮縣', 'City': 'HualienCounty'}]"
台26,"[{'CityName': '屏東縣', 'City': 'PingtungCounty'}, {'CityName': '臺東縣', 'City': 'TaitungCounty'}]"
台2庚,"[{'CityName': '宜蘭縣', 'City': 'YilanCounty'}]"
台39,"[{'CityName': '臺南市', 'City': 'Tainan'}, {'CityName': '高雄市', 'City': 'Kaohsiung'}]"
台7,"[{'CityName': '宜蘭縣', 'City': 'YilanCounty'}, {'CityName': '桃園市', 'City': 'Taoyuan'}]"
台 13甲,"[{'CityName': '苗栗縣', 'City': 'MiaoliCounty'}]"
台2丙,"[{'CityName': '新北市', 'City': 'NewTaipei'}, {'CityName': '基隆市', 'City': 'Keelung'}]"
台5甲,"[{'CityName': '新北市', 'City': 'NewTaipei'}, {'CityName': '基隆市', 'City': 'Keelung'}]"
台11丙,"[{'CityName': '花蓮縣', 'City': 'HualienCounty'}]"
台14,"[{'CityName': '彰化縣', 'City': 'ChanghuaCounty'}, {'CityName': '南投縣', 'City': 'NantouCounty'}]"
台14甲,"[{'CityName': '花蓮縣', 'City': 'HualienCounty'}, {'CityName': '南投縣', 'City': 'NantouCounty'}]"
台19甲,"[{'CityName': '臺南市', 'City': 'Tainan'}, {'CityName': '高雄市', 'City': 'Kaohsiung'}]"
台1丙,"[{'CityName': '彰化縣', 'City': 'ChanghuaCounty'}]"
台25,"[{'CityName': '高雄市', 'City': 'Kaohsiung'}]"
