RoadName,CityList
台64,"[{'CityName': '新北市', 'City': 'NewTaipei'}]"
台65,"[{'CityName': '新北市', 'City': 'NewTaipei'}]"
台61乙,"[{'CityName': '彰化縣', 'City': 'ChanghuaCounty'}]"
台61,"[{'CityName': '桃園市', 'City': 'Taoyuan'}, {'CityName': '新北市', 'City': 'NewTaipei'}, {'CityName': '彰化縣', 'City': 'ChanghuaCounty'}, {'CityName': '苗栗縣', 'City': 'MiaoliCounty'}, {'CityName': '新竹縣', 'City': 'HsinchuCounty'}, {'CityName': '臺南市', 'City': 'Tainan'}, {'CityName': '臺中市', 'City': 'Taichung'}, {'CityName': '嘉義縣', 'City': 'ChiayiCounty'}, {'CityName': '嘉義市', 'City': 'Chiayi'}, {'CityName': '雲林縣', 'City': 'YunlinCounty'}]"
台62甲,"[{'CityName': '基隆市', 'City': 'Keelung'}, {'CityName': '新北市', 'City': 'NewTaipei'}]"
台82,"[{'CityName': '嘉義縣', 'City': 'ChiayiCounty'}]"
台62,"[{'CityName': '新北市', 'City': 'NewTaipei'}, {'CityName': '基隆市', 'City': 'Keelung'}]"
台66,"[{'CityName': '桃園市', 'City': 'Taoyuan'}]"
台74,"[{'CityName': '彰化縣', 'City': 'ChanghuaCounty'}, {'CityName': '臺中市', 'City': 'Taichung'}]"
台76,"[{'CityName': '南投縣', 'City': 'NantouCounty'}, {'CityName': '彰化縣', 'City': 'ChanghuaCounty'}]"
台68甲,"[{'CityName': '新竹縣', 'City': 'HsinchuCounty'}]"
台88,"[{'CityName': '屏東縣', 'City': 'PingtungCounty'}, {'CityName': '高雄市', 'City': 'Kaohsiung'}]"
台63,"[{'CityName': '南投縣', 'City': 'NantouCounty'}, {'CityName': '臺中市', 'City': 'Taichung'}]"
台68,"[{'CityName': '嘉義市', 'City': 'Chiayi'}, {'CityName': '新竹縣', 'City': 'HsinchuCounty'}]"
台74甲,"[{'CityName': '彰化縣', 'City': 'ChanghuaCounty'}]"
台84,"[{'CityName': '臺南市', 'City': 'Tainan'}]"
台63甲,"[{'CityName': '南投縣', 'City': 'NantouCounty'}]"
台78,"[{'CityName': '雲林縣', 'City': 'YunlinCounty'}]"
台86,"[{'CityName': '臺南市', 'City': 'Tainan'}]"
台72,"[{'CityName': '苗栗縣', 'City': 'MiaoliCounty'}]"
