RoadID,RoadName,RoadNameID
401010,101,01010
401011,101甲,01011
401020,102,01020
401021,102甲,01021
401030,103,01030
401031,103甲,01031
401040,104,01040
401050,105,01050
401060,106,01060
401061,106甲,01061
401062,106乙,01062
401070,107,01070
401071,107甲,01071
401080,108,01080
401090,109,01090
401100,110,01100
401101,110甲,01101
401102,110乙,01102
401110,111,01110
401120,112,01120
401121,112甲,01121
401130,113,01130
401131,113甲,01131
401132,113乙,01132
401133,113丙,01133
401140,114,01140
401150,115,01150
401160,116,01160
401170,117,01170
401180,118,01180
401190,119,01190
401191,119甲,01191
401200,120,01200
401210,121,01210
401220,122,01220
401230,123,01230
401240,124,01240
401241,124甲,01241
401242,124乙,01242
401250,125,01250
401260,126,01260
401270,127,01270
401280,128,01280
401290,129,01290
401300,130,01300
401310,131,01310
401320,132,01320
401321,132甲,01321
401330,133,01330
401340,134,01340
401350,135,01350
401360,136,01360
401370,137,01370
401380,138,01380
401381,138甲,01381
401390,139,01390
401392,139乙,01392
401400,140,01400
401410,141,01410
401420,142,01420
401430,143,01430
401440,144,01440
401450,145,01450
401451,145甲,01451
401452,145乙,01452
401460,146,01460
401461,146甲,01461
401470,147,01470
401480,148,01480
401490,149,01490
401491,149甲,01491
401492,149乙,01492
401500,150,01500
401510,151,01510
401511,151甲,01511
401520,152,01520
401530,153,01530
401531,153甲,01531
401540,154,01540
401541,154甲,01541
401542,154乙,01542
401550,155,01550
401560,156,01560
401570,157,01570
401580,158,01580
401581,158甲,01581
401582,158乙,01582
401590,159,01590
401591,159甲,01591
401600,160,01600
401610,161,01610
401620,162,01620
401621,162甲,01621
401622,162乙,01622
401630,163,01630
401640,164,01640
401650,165,01650
401660,166,01660
401670,167,01670
401680,168,01680
401690,169,01690
401700,170,01700
401710,171,01710
401711,171甲,01711
401712,171乙,01712
401720,172,01720
401721,172甲,01721
401722,172乙,01722
401730,173,01730
401731,173甲,01731
401740,174,01740
401750,175,01750
401760,176,01760
401770,177,01770
401771,177甲,01771
401780,178,01780
401781,178甲,01781
401800,180,01800
401801,180甲,01801
401810,181,01810
401820,182,01820
401830,183,01830
401831,183甲,01831
401832,183乙,01832
401850,185,01850
401851,185甲,01851
401860,186,01860
401861,186甲,01861
401870,187,01870
401871,187甲,01871
401872,187乙,01872
401873,187丙,01873
401880,188,01880
401890,189,01890
401891,189甲,01891
401900,190,01900
401910,191,01910
401911,191甲,01911
401912,191乙,01912
401920,192,01920
401921,192甲,01921
401930,193,01930
401940,194,01940
401960,196,01960
401961,196甲,01961
401970,197,01970
401990,199,01990
401991,199甲,01991
402000,200,02000
402001,200甲,02001
