StationUID,StationID,StationName,Geometry,UpdateDate,CheckDate
TXG10003,10003,海濱里活動中心,POINT (120.54632 24.28872),2023-07-13T00:00:00,2023-07-14T00:12:54.263
TXG1000,1000,衛道中學,POINT (120.67566 24.18346),2023-07-13T00:00:00,2023-07-14T00:12:54.263
TXG10,10,下內新,POINT (120.68855 24.10292),2023-07-13T00:00:00,2023-07-14T00:12:54.263
TXG100,100,后科三豐路口,POINT (120.72638 24.32114),2023-07-13T00:00:00,2023-07-14T00:12:54.263
TXG10001,10001,清海國中(中央路),POINT (120.55424 24.27582),2023-07-13T00:00:00,2023-07-14T00:12:54.277
TXG10002,10002,中社里辦公處,POINT (120.54842 24.27333),2023-07-13T00:00:00,2023-07-14T00:12:54.263
TXG1,1,福星西安街口,POINT (120.64505 24.18155),2023-07-13T00:00:00,2023-07-14T00:12:54.277
TXG10000,10000,秀水里活動中心,POINT (120.56214 24.27793),2023-07-13T00:00:00,2023-07-14T00:12:54.263
TXG10011,10011,自由路鎮南路口,POINT (120.56842 24.22019),2023-07-13T00:00:00,2023-07-14T00:12:54.387
TXG10009,10009,北勢國小,POINT (120.57318 24.21574),2023-07-13T00:00:00,2023-07-14T00:12:54.42
TXG10006,10006,港區運動公園,POINT (120.56509 24.2044),2023-07-13T00:00:00,2023-07-14T00:12:54.387
TXG10010,10010,南勢溪公園,POINT (120.56362 24.21678),2023-07-13T00:00:00,2023-07-14T00:12:54.387
TXG10007,10007,保安宮,POINT (120.5654 24.20854),2023-07-13T00:00:00,2023-07-14T00:12:54.42
TXG10008,10008,正義路97巷口,POINT (120.57152 24.2073),2023-07-13T00:00:00,2023-07-14T00:12:54.387
TXG10005,10005,臨江里(中央路),POINT (120.56492 24.29129),2023-07-13T00:00:00,2023-07-14T00:12:54.403
TXG10019,10019,正義路97巷口,POINT (120.57152 24.2073),2023-07-13T00:00:00,2023-07-14T00:12:54.48
TXG10017,10017,南勢溪公園,POINT (120.56362 24.21678),2023-07-13T00:00:00,2023-07-14T00:12:54.48
TXG10014,10014,青山公園(福至路),POINT (120.56687 24.22599),2023-07-13T00:00:00,2023-07-14T00:12:54.48
TXG10016,10016,自由路鎮南路口,POINT (120.56842 24.22019),2023-07-13T00:00:00,2023-07-14T00:12:54.48
TXG10015,10015,福成路100巷口,POINT (120.56544 24.22348),2023-07-13T00:00:00,2023-07-14T00:12:54.48
TXG10013,10013,青山公園(福至路),POINT (120.56687 24.22599),2023-07-13T00:00:00,2023-07-14T00:12:54.497
TXG10018,10018,北勢國小,POINT (120.57318 24.21574),2023-07-13T00:00:00,2023-07-14T00:12:54.497
TXG10026,10026,水師寮兒童公園,POINT (120.54893 24.19131),2023-07-13T00:00:00,2023-07-14T00:12:54.543
TXG10024,10024,永忠,POINT (120.53219 24.22058),2023-07-13T00:00:00,2023-07-14T00:12:54.543
TXG10023,10023,媽祖公園(建成路),POINT (120.69587 24.14102),2023-07-13T00:00:00,2023-07-14T00:12:54.56
TXG10022,10022,媽祖公園(建成路),POINT (120.69489 24.14194),2023-07-13T00:00:00,2023-07-14T00:12:54.577
TXG10021,10021,港區運動公園,POINT (120.56509 24.2044),2023-07-13T00:00:00,2023-07-14T00:12:54.543
TXG10020,10020,保安宮,POINT (120.5654 24.20854),2023-07-13T00:00:00,2023-07-14T00:12:54.577
TXG10004,10004,鎮元宮,POINT (120.5565 24.29168),2023-07-13T00:00:00,2023-07-14T00:12:54.467
TXG10038,10038,文山農場,POINT (120.72401 24.08469),2023-07-13T00:00:00,2023-07-14T00:12:54.607
TXG10025,10025,龍崗一站,POINT (120.54694 24.19256),2023-07-13T00:00:00,2023-07-14T00:12:54.56
TXG10035,10035,大安溪(東蘭路),POINT (120.81133 24.30356),2023-07-13T00:00:00,2023-07-14T00:12:54.637
TXG10029,10029,永忠,POINT (120.53219 24.22104),2023-07-13T00:00:00,2023-07-14T00:12:54.67
TXG10012,10012,福成路100巷口,POINT (120.56544 24.22348),2023-07-13T00:00:00,2023-07-14T00:12:54.56
TXG10032,10032,南寮王母宮,POINT (120.57112 24.17755),2023-07-13T00:00:00,2023-07-14T00:12:54.653
TXG10031,10031,水師寮兒童公園,POINT (120.54902 24.19137),2023-07-13T00:00:00,2023-07-14T00:12:54.683
TXG10030,10030,龍崗一站,POINT (120.54698 24.19266),2023-07-13T00:00:00,2023-07-14T00:12:54.637
TXG10037,10037,文山農場,POINT (120.72378 24.08455),2023-07-13T00:00:00,2023-07-14T00:12:54.653
TXG10045,10045,劍井,POINT (120.64553 24.35571),2023-07-13T00:00:00,2023-07-14T00:12:54.7
TXG10041,10041,大甲國小(雁門路),POINT (120.62479 24.35165),2023-07-13T00:00:00,2023-07-14T00:12:54.763
TXG10042,10042,大甲國小(雁門路),POINT (120.62464 24.3517),2023-07-13T00:00:00,2023-07-14T00:12:54.73
TXG1002,1002,仁愛國小,POINT (120.67178 24.18003),2023-07-13T00:00:00,2023-07-14T00:12:54.653
TXG10043,10043,大甲區衛生所,POINT (120.62476 24.35022),2023-07-13T00:00:00,2023-07-14T00:12:54.73
TXG1004,1004,仁愛社區,POINT (120.67028 24.17815),2023-07-13T00:00:00,2023-07-14T00:12:54.73
TXG10040,10040,大甲區衛生所,POINT (120.62481 24.35025),2023-07-13T00:00:00,2023-07-14T00:12:54.763
TXG10044,10044,大甲國小(育德路),POINT (120.62663 24.35096),2023-07-13T00:00:00,2023-07-14T00:12:54.73
TXG10054,10054,原住民族文化館,POINT (120.62233 24.23513),2023-07-13T00:00:00,2023-07-14T00:12:54.777
TXG10050,10050,國立臺中科技大學,POINT (120.68417 24.14971),2023-07-13T00:00:00,2023-07-14T00:12:54.827
TXG10047,10047,忠靈祠,POINT (120.6455 24.35819),2023-07-13T00:00:00,2023-07-14T00:12:54.793
TXG10049,10049,劍井,POINT (120.64542 24.356),2023-07-13T00:00:00,2023-07-14T00:12:54.827
TXG10048,10048,雕塑公園(遊客中心),POINT (120.65065 24.35936),2023-07-13T00:00:00,2023-07-14T00:12:54.84
TXG10051,10051,國立臺中科技大學,POINT (120.68378 24.14881),2023-07-13T00:00:00,2023-07-14T00:12:54.827
TXG10027,10027,南寮王母宮,POINT (120.57101 24.17758),2023-07-13T00:00:00,2023-07-14T00:12:54.73
TXG10053,10053,信義路清泉路口,POINT (120.62078 24.23883),2023-07-13T00:00:00,2023-07-14T00:12:54.827
TXG10082,10082,東興國小(大隆路),POINT (120.65263 24.15648),2023-07-13T00:00:00,2023-07-14T00:12:54.857
TXG10079,10079,豐原鎮清宮,POINT (120.74436 24.25392),2023-07-13T00:00:00,2023-07-14T00:12:54.92
TXG10039,10039,大甲國小(育德路),POINT (120.62657 24.35099),2023-07-13T00:00:00,2023-07-14T00:12:54.827
TXG10078,10078,豐原鎮清宮,POINT (120.74426 24.25396),2023-07-13T00:00:00,2023-07-14T00:12:54.95
TXG1006,1006,水湳市場(大鵬路),POINT (120.66811 24.17822),2023-07-13T00:00:00,2023-07-14T00:12:54.92
TXG10081,10081,興國路,POINT (120.54852 24.23636),2023-07-13T00:00:00,2023-07-14T00:12:54.933
TXG10091,10091,白布帆大橋,POINT (120.91331 24.29341),2023-07-13T00:00:00,2023-07-14T00:12:54.997
TXG10087,10087,好市多北台中,POINT (120.70713 24.18652),2023-07-13T00:00:00,2023-07-14T00:12:54.997
TXG10086,10086,好市多北台中,POINT (120.70713 24.18652),2023-07-13T00:00:00,2023-07-14T00:12:55.077
TXG10090,10090,白布帆大橋,POINT (120.91331 24.29341),2023-07-13T00:00:00,2023-07-14T00:12:54.997
TXG10046,10046,雕塑公園(遊客中心),POINT (120.6506 24.35949),2023-07-13T00:00:00,2023-07-14T00:12:54.92
TXG10085,10085,捷運舊社站(敦富路),POINT (120.7079 24.18275),2023-07-13T00:00:00,2023-07-14T00:12:55.027
TXG1008,1008,大鵬國小,POINT (120.66462 24.17735),2023-07-13T00:00:00,2023-07-14T00:12:54.98
TXG10099,10099,文心南五大墩十二街口,POINT (120.63081 24.14984),2023-07-13T00:00:00,2023-07-14T00:12:55.06
TXG10095,10095,大墩十一江和街口,POINT (120.63251 24.14815),2023-07-13T00:00:00,2023-07-14T00:12:55.06
