OriginStationID,OriginStationName,DestinationStationID,DestinationStationName,TrainType,Fares,TravelTime,TravelDistance,SrcUpdateTime,UpdateTime,VersionID
103a,"{'Zh_tw': '北屯總站', 'En': 'Beitun Main Station'}",103,"{'Zh_tw': '舊社', 'En': 'Jiushe'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 20}, {'TicketType': 1, 'FareClass': 4, 'Price': 10}, {'TicketType': 1, 'FareClass': 5, 'Price': 10}, {'TicketType': 1, 'FareClass': 7, 'Price': 10}, {'TicketType': 3, 'FareClass': 1, 'Price': 20}]",3,1.027,2021-07-05T14:16:31+08:00,2023-06-24T09:38:00+08:00,422
103a,"{'Zh_tw': '北屯總站', 'En': 'Beitun Main Station'}",104,"{'Zh_tw': '松竹', 'En': 'Songzhu'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 20}, {'TicketType': 1, 'FareClass': 4, 'Price': 10}, {'TicketType': 1, 'FareClass': 5, 'Price': 10}, {'TicketType': 1, 'FareClass': 7, 'Price': 10}, {'TicketType': 3, 'FareClass': 1, 'Price': 20}]",4,1.705,2021-07-05T14:16:31+08:00,2023-06-24T09:38:00+08:00,422
103a,"{'Zh_tw': '北屯總站', 'En': 'Beitun Main Station'}",105,"{'Zh_tw': '四維國小', 'En': 'Sihwei Elementary School'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 20}, {'TicketType': 1, 'FareClass': 4, 'Price': 10}, {'TicketType': 1, 'FareClass': 5, 'Price': 10}, {'TicketType': 1, 'FareClass': 7, 'Price': 10}, {'TicketType': 3, 'FareClass': 1, 'Price': 20}]",7,3.357,2021-07-05T14:16:31+08:00,2023-06-24T09:38:00+08:00,422
103a,"{'Zh_tw': '北屯總站', 'En': 'Beitun Main Station'}",106,"{'Zh_tw': '文心崇德', 'En': 'Wenxin Chongde'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 20}, {'TicketType': 1, 'FareClass': 4, 'Price': 10}, {'TicketType': 1, 'FareClass': 5, 'Price': 10}, {'TicketType': 1, 'FareClass': 7, 'Price': 10}, {'TicketType': 3, 'FareClass': 1, 'Price': 20}]",9,4.22,2021-07-05T14:16:31+08:00,2023-06-24T09:38:00+08:00,422
103a,"{'Zh_tw': '北屯總站', 'En': 'Beitun Main Station'}",107,"{'Zh_tw': '文心中清', 'En': 'Wenxin Zhongqing'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 25}, {'TicketType': 1, 'FareClass': 4, 'Price': 12}, {'TicketType': 1, 'FareClass': 5, 'Price': 12}, {'TicketType': 1, 'FareClass': 7, 'Price': 12}, {'TicketType': 3, 'FareClass': 1, 'Price': 25}]",12,5.692,2021-07-05T14:16:31+08:00,2023-06-24T09:38:00+08:00,422
103a,"{'Zh_tw': '北屯總站', 'En': 'Beitun Main Station'}",108,"{'Zh_tw': '文華高中', 'En': 'Wenhua Senior High School'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 25}, {'TicketType': 1, 'FareClass': 4, 'Price': 12}, {'TicketType': 1, 'FareClass': 5, 'Price': 12}, {'TicketType': 1, 'FareClass': 7, 'Price': 12}, {'TicketType': 3, 'FareClass': 1, 'Price': 25}]",14,6.755,2021-07-05T14:16:31+08:00,2023-06-24T09:38:00+08:00,422
103a,"{'Zh_tw': '北屯總站', 'En': 'Beitun Main Station'}",109,"{'Zh_tw': '文心櫻花', 'En': 'Wenxin Yinghua'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 30}, {'TicketType': 1, 'FareClass': 4, 'Price': 15}, {'TicketType': 1, 'FareClass': 5, 'Price': 15}, {'TicketType': 1, 'FareClass': 7, 'Price': 15}, {'TicketType': 3, 'FareClass': 1, 'Price': 30}]",15,7.571,2021-07-05T14:16:31+08:00,2023-06-24T09:38:00+08:00,422
103a,"{'Zh_tw': '北屯總站', 'En': 'Beitun Main Station'}",110,"{'Zh_tw': '市政府', 'En': 'Taichung City Hall'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 30}, {'TicketType': 1, 'FareClass': 4, 'Price': 15}, {'TicketType': 1, 'FareClass': 5, 'Price': 15}, {'TicketType': 1, 'FareClass': 7, 'Price': 15}, {'TicketType': 3, 'FareClass': 1, 'Price': 30}]",17,8.375,2021-07-05T14:16:31+08:00,2023-06-24T09:38:00+08:00,422
103a,"{'Zh_tw': '北屯總站', 'En': 'Beitun Main Station'}",111,"{'Zh_tw': '水安宮', 'En': 'Shui-an Temple'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 35}, {'TicketType': 1, 'FareClass': 4, 'Price': 17}, {'TicketType': 1, 'FareClass': 5, 'Price': 17}, {'TicketType': 1, 'FareClass': 7, 'Price': 17}, {'TicketType': 3, 'FareClass': 1, 'Price': 35}]",20,9.395,2021-07-05T14:16:31+08:00,2023-06-24T09:38:00+08:00,422
103a,"{'Zh_tw': '北屯總站', 'En': 'Beitun Main Station'}",112,"{'Zh_tw': '文心森林公園', 'En': 'Wenxin Forest Park'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 35}, {'TicketType': 1, 'FareClass': 4, 'Price': 17}, {'TicketType': 1, 'FareClass': 5, 'Price': 17}, {'TicketType': 1, 'FareClass': 7, 'Price': 17}, {'TicketType': 3, 'FareClass': 1, 'Price': 35}]",22,10.251,2021-07-05T14:16:31+08:00,2023-06-24T09:38:00+08:00,422
103a,"{'Zh_tw': '北屯總站', 'En': 'Beitun Main Station'}",113,"{'Zh_tw': '南屯', 'En': 'Nantun'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 35}, {'TicketType': 1, 'FareClass': 4, 'Price': 17}, {'TicketType': 1, 'FareClass': 5, 'Price': 17}, {'TicketType': 1, 'FareClass': 7, 'Price': 17}, {'TicketType': 3, 'FareClass': 1, 'Price': 35}]",23,10.792,2021-07-05T14:16:31+08:00,2023-06-24T09:38:00+08:00,422
103a,"{'Zh_tw': '北屯總站', 'En': 'Beitun Main Station'}",114,"{'Zh_tw': '豐樂公園', 'En': 'Feng-le Park'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 40}, {'TicketType': 1, 'FareClass': 4, 'Price': 20}, {'TicketType': 1, 'FareClass': 5, 'Price': 20}, {'TicketType': 1, 'FareClass': 7, 'Price': 20}, {'TicketType': 3, 'FareClass': 1, 'Price': 40}]",25,11.67,2021-07-05T14:16:31+08:00,2023-06-24T09:38:00+08:00,422
