StationUID,StationID,StationName,Geometry,UpdateDate,CheckDate
TPE1000020,1000020,長壽公園,POINT (121.559764 25.054069),2023-07-13T00:00:00,2023-07-14T00:05:09.37
TPE1000035,1000035,興隆國小,POINT (121.553039816886 25.001459963615),2023-07-13T00:00:00,2023-07-14T00:05:09.37
TPE1000,1000,內湖國中,POINT (121.58784 25.07696),2023-07-13T00:00:00,2023-07-14T00:05:09.37
TPE1000026,1000026,民生國中,POINT (121.5676949 25.06018904),2023-07-13T00:00:00,2023-07-14T00:05:09.37
TPE1000032,1000032,萬芳活動中心,POINT (121.569474 25.002436),2023-07-13T00:00:00,2023-07-14T00:05:09.37
TPE1000021,1000021,三軍總醫院松山分院,POINT (121.557874385835 25.0538817473717),2023-07-13T00:00:00,2023-07-14T00:05:09.37
TPE10,10,八勢里,POINT (121.45952 25.15123),2023-07-13T00:00:00,2023-07-14T00:05:09.37
TPE1000019,1000019,健康新城,POINT (121.56216251653 25.054217211063),2023-07-13T00:00:00,2023-07-14T00:05:09.37
TPE1000037,1000037,興隆市場,POINT (121.547448469573 24.9995842974218),2023-07-13T00:00:00,2023-07-14T00:05:09.997
TPE1000044,1000044,羅斯福金門街口,POINT (121.5243501 25.0242886),2023-07-13T00:00:00,2023-07-14T00:05:09.963
TPE1000045,1000045,公館,POINT (121.538530831111 25.0120963546845),2023-07-13T00:00:00,2023-07-14T00:05:09.963
TPE1000036,1000036,師大分部,POINT (121.538470307254 25.0076706783786),2023-07-13T00:00:00,2023-07-14T00:05:09.98
TPE1000041,1000041,萬利街口,POINT (121.56623 24.998733),2023-07-13T00:00:00,2023-07-14T00:05:09.963
TPE1000049,1000049,羅斯福金門街口,POINT (121.5246768 25.02410614),2023-07-13T00:00:00,2023-07-14T00:05:09.997
TPE1000046,1000046,臺灣科技大學,POINT (121.540148830658 25.0134530703612),2023-07-13T00:00:00,2023-07-14T00:05:09.997
TPE1000050,1000050,捷運古亭站(羅斯福),POINT (121.52269 25.02678),2023-07-13T00:00:00,2023-07-14T00:05:09.963
TPE1000057,1000057,捷運大安森林公園站,POINT (121.5356316 25.03349601),2023-07-13T00:00:00,2023-07-14T00:05:10.15
TPE1000064,1000064,中山市場,POINT (121.52202112765 25.05126405386),2023-07-13T00:00:00,2023-07-14T00:05:10.137
TPE1000056,1000056,捷運大安森林公園站,POINT (121.5359159 25.03355035),2023-07-13T00:00:00,2023-07-14T00:05:10.15
TPE1000058,1000058,自強街口,POINT (121.514584 25.007558),2023-07-13T00:00:00,2023-07-14T00:05:10.15
TPE1000066,1000066,民族重慶路口,POINT (121.5137100606 25.0688798965403),2023-07-13T00:00:00,2023-07-14T00:05:10.137
TPE1000072,1000072,大龍峒保安宮,POINT (121.515621 25.07209068),2023-07-13T00:00:00,2023-07-14T00:05:10.137
TPE1000074,1000074,民生社區活動中心,POINT (121.561144568697 25.058808540179),2023-07-13T00:00:00,2023-07-14T00:05:10.15
TPE1000077,1000077,捷運北門站,POINT (121.510134 25.049002),2023-07-13T00:00:00,2023-07-14T00:05:10.37
TPE1000078,1000078,中華路北站,POINT (121.509144127644 25.0455115050969),2023-07-13T00:00:00,2023-07-14T00:05:10.307
TPE1000052,1000052,承德路口,POINT (121.5188086 25.06845385),2023-07-13T00:00:00,2023-07-14T00:05:10.26
TPE1000079,1000079,捷運西門站,POINT (121.508266771006 25.0425165606871),2023-07-13T00:00:00,2023-07-14T00:05:10.307
TPE1000080,1000080,小南門,POINT (121.506903709074 25.0378687908132),2023-07-13T00:00:00,2023-07-14T00:05:10.34
TPE1000075,1000075,聯合二村,POINT (121.558923442523 25.0586249332513),2023-07-13T00:00:00,2023-07-14T00:05:10.713
TPE1000082,1000082,臺北車站(忠孝),POINT (121.51652326089 25.0465305784296),2023-07-13T00:00:00,2023-07-14T00:05:10.307
TPE1000081,1000081,菜寮(重陽路),POINT (121.48651605944 25.0580096673922),2023-07-13T00:00:00,2023-07-14T00:05:10.307
TPE1000083,1000083,中山藝術公園,POINT (121.4923377 25.06053321),2023-07-13T00:00:00,2023-07-14T00:05:10.37
TPE1000087,1000087,臺大醫院,POINT (121.5185552467 25.041403318287),2023-07-13T00:00:00,2023-07-14T00:05:10.76
TPE1000086,1000086,崩山,POINT (121.622976136162 25.0140743021165),2023-07-13T00:00:00,2023-07-14T00:05:10.84
TPE1000093,1000093,萬美社區,POINT (121.5625479 25.00361629),2023-07-13T00:00:00,2023-07-14T00:05:10.76
TPE10001,10001,連城中和路口,POINT (121.498554 25.001978),2023-07-13T00:00:00,2023-07-14T00:05:10.747
TPE1000105,1000105,金湖路口,POINT (121.60468992917 25.0735474046187),2023-07-13T00:00:00,2023-07-14T00:05:10.947
TPE1000095,1000095,大理高中,POINT (121.491328 25.031919),2023-07-13T00:00:00,2023-07-14T00:05:10.713
TPE1000088,1000088,和平東路4段,POINT (121.570509533684 25.0046814962866),2023-07-13T00:00:00,2023-07-14T00:05:10.73
TPE1000109,1000109,捷運大安站(信義),POINT (121.5432319 25.03332344),2023-07-13T00:00:00,2023-07-14T00:05:10.887
