StationUID,StationID,ServiceStatus,ServiceType,AvailableRentBikes,AvailableReturnBikes,SrcUpdateTime,UpdateTime,AvailableRentBikesDetail
TPE500101001,500101001,1,2,16,12,2023-07-13T16:16:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 16, 'ElectricBikes': 0}"
TPE500101002,500101002,1,2,3,18,2023-07-13T16:02:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 3, 'ElectricBikes': 0}"
TPE500101003,500101003,1,2,13,3,2023-07-13T13:03:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 13, 'ElectricBikes': 0}"
TPE500101004,500101004,1,2,10,1,2023-07-11T20:51:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 10, 'ElectricBikes': 0}"
TPE500101005,500101005,1,2,3,13,2023-07-06T18:04:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 3, 'ElectricBikes': 0}"
TPE500101006,500101006,1,2,0,11,2023-07-06T01:05:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 0}"
TPE500101007,500101007,1,2,1,10,2023-07-12T18:56:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
TPE500101008,500101008,1,2,8,9,2023-07-13T19:11:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 8, 'ElectricBikes': 0}"
TPE500101009,500101009,1,2,2,14,2023-07-09T18:51:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 2, 'ElectricBikes': 0}"
TPE500101010,500101010,1,2,14,6,2023-07-13T09:21:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 14, 'ElectricBikes': 0}"
TPE500101012,500101012,1,2,6,2,2023-07-11T07:34:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 0}"
TPE500101013,500101013,1,2,7,2,2023-07-09T23:18:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 7, 'ElectricBikes': 0}"
TPE500101014,500101014,1,2,0,11,2023-07-12T17:12:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 0}"
TPE500101015,500101015,1,2,3,11,2023-07-13T09:13:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 3, 'ElectricBikes': 0}"
TPE500101016,500101016,1,2,1,7,2023-07-13T14:50:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
TPE500101018,500101018,1,2,1,4,2023-07-04T00:11:15+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
TPE500101019,500101019,1,2,1,13,2023-07-12T12:45:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
TPE500101020,500101020,1,2,3,2,2023-07-12T16:10:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 3, 'ElectricBikes': 0}"
TPE500101021,500101021,2,2,0,7,2023-07-03T01:29:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 0}"
TPE500101022,500101022,1,2,0,98,2023-07-14T00:05:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 0}"
TPE500101023,500101023,2,2,0,27,2023-06-20T14:49:15+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 0}"
TPE500101024,500101024,1,2,0,30,2023-07-04T15:12:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 0}"
TPE500101025,500101025,1,2,0,99,2023-07-13T21:35:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 0}"
TPE500101026,500101026,1,2,1,14,2023-07-13T14:03:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
TPE500101027,500101027,1,2,24,15,2023-07-11T20:59:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 24, 'ElectricBikes': 0}"
TPE500101028,500101028,1,2,2,18,2023-07-12T22:30:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 2, 'ElectricBikes': 0}"
TPE500101029,500101029,1,2,0,15,2023-07-07T10:07:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 0}"
TPE500101030,500101030,1,2,2,32,2023-07-12T14:01:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 2, 'ElectricBikes': 0}"
TPE500101031,500101031,1,2,6,14,2023-07-04T00:51:15+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 0}"
TPE500101032,500101032,1,2,45,16,2023-07-12T08:13:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 45, 'ElectricBikes': 0}"
TPE500101033,500101033,1,2,5,41,2023-07-12T03:05:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 5, 'ElectricBikes': 0}"
TPE500101034,500101034,1,2,1,17,2023-07-13T21:15:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
TPE500101035,500101035,1,2,1,23,2023-07-08T00:01:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
TPE500101036,500101036,1,2,4,16,2023-07-10T10:33:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 0}"
TPE500101037,500101037,1,2,10,10,2023-07-05T22:47:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 10, 'ElectricBikes': 0}"
TPE500101038,500101038,1,2,0,27,2023-07-04T00:49:14+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 0}"
TPE500101039,500101039,1,2,1,27,2023-07-13T12:55:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
TPE500101040,500101040,1,2,1,24,2023-07-06T16:25:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
TPE500101041,500101041,1,2,17,24,2023-07-10T22:04:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 17, 'ElectricBikes': 0}"
TPE500101042,500101042,1,2,5,10,2023-07-10T12:10:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 5, 'ElectricBikes': 0}"
TPE500101091,500101091,1,2,7,18,2023-07-08T00:17:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 7, 'ElectricBikes': 0}"
TPE500101092,500101092,1,2,11,2,2023-07-09T08:46:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 11, 'ElectricBikes': 0}"
TPE500101093,500101093,1,2,0,15,2023-07-09T10:14:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 0}"
TPE500101094,500101094,1,2,11,9,2023-07-11T18:06:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 11, 'ElectricBikes': 0}"
TPE500101095,500101095,1,2,17,11,2023-07-13T04:08:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 17, 'ElectricBikes': 0}"
TPE500101097,500101097,1,2,18,18,2023-07-12T18:13:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 18, 'ElectricBikes': 0}"
TPE500101098,500101098,1,2,14,0,2023-07-11T03:04:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 14, 'ElectricBikes': 0}"
TPE500101099,500101099,1,2,33,11,2023-07-13T19:10:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 33, 'ElectricBikes': 0}"
TPE500101100,500101100,1,2,26,24,2023-07-13T02:16:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 26, 'ElectricBikes': 0}"
TPE500101101,500101101,1,2,17,47,2023-07-13T05:42:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 17, 'ElectricBikes': 0}"
TPE500101102,500101102,1,2,20,5,2023-07-13T14:01:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 20, 'ElectricBikes': 0}"
TPE500101103,500101103,1,2,10,2,2023-07-08T06:05:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 10, 'ElectricBikes': 0}"
TPE500101104,500101104,1,2,5,10,2023-07-13T21:32:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 5, 'ElectricBikes': 0}"
TPE500101105,500101105,1,2,4,41,2023-07-13T17:08:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 0}"
TPE500101107,500101107,1,2,33,0,2023-07-06T00:46:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 33, 'ElectricBikes': 0}"
TPE500101108,500101108,1,2,8,1,2023-07-12T22:05:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 8, 'ElectricBikes': 0}"
TPE500101109,500101109,1,2,16,23,2023-07-13T07:52:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 16, 'ElectricBikes': 0}"
TPE500101110,500101110,1,2,37,23,2023-07-12T03:59:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 37, 'ElectricBikes': 0}"
TPE500101111,500101111,1,2,1,13,2023-07-13T10:29:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
TPE500101113,500101113,1,2,39,5,2023-07-13T11:34:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 39, 'ElectricBikes': 0}"
TPE500101114,500101114,1,2,36,2,2023-07-12T22:55:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 36, 'ElectricBikes': 0}"
TPE500101115,500101115,1,2,10,34,2023-07-12T13:51:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 10, 'ElectricBikes': 0}"
TPE500101116,500101116,1,2,30,5,2023-07-12T18:37:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 30, 'ElectricBikes': 0}"
TPE500101117,500101117,1,2,1,14,2023-07-13T19:59:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
TPE500101118,500101118,1,2,7,5,2023-07-04T00:52:15+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 7, 'ElectricBikes': 0}"
TPE500101119,500101119,1,2,4,16,2023-07-12T08:57:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 0}"
TPE500101120,500101120,1,2,1,32,2023-07-13T17:34:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
TPE500101122,500101122,1,2,1,13,2023-07-04T00:13:16+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
TPE500101123,500101123,1,2,0,29,2023-07-12T09:51:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 0}"
TPE500101124,500101124,1,2,2,15,2023-07-12T21:11:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 2, 'ElectricBikes': 0}"
TPE500101125,500101125,1,2,21,3,2023-07-13T19:27:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 21, 'ElectricBikes': 0}"
TPE500101126,500101126,1,2,2,14,2023-07-13T10:44:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 2, 'ElectricBikes': 0}"
TPE500101127,500101127,1,2,4,42,2023-07-13T11:14:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 0}"
TPE500101128,500101128,1,2,10,23,2023-07-10T04:13:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 10, 'ElectricBikes': 0}"
TPE500101129,500101129,1,2,6,10,2023-07-10T17:26:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 0}"
TPE500101130,500101130,2,2,0,15,2023-06-03T19:11:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 0}"
TPE500101131,500101131,1,2,0,38,2023-07-10T22:51:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 0}"
TPE500101132,500101132,1,2,3,26,2023-07-13T09:53:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 3, 'ElectricBikes': 0}"
TPE500101133,500101133,1,2,4,39,2023-07-13T13:04:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 0}"
TPE500101134,500101134,1,2,1,12,2023-07-13T20:30:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
