RouteID,OperatorCode,RouteName,RailRouteType,LineNo,LineID,StartStationID,StartStationName,EndStationID,EndStationName,TravelTime,RouteLength,SrcUpdateTime,UpdateTime,VersionID
BL-1,TRTC,"{'Zh_tw': '頂埔－南港展覽館', 'En': 'Dingpu - Taipei Nangang Exhibition Center'}",33,BL,BL,BL01,"{'Zh_tw': '頂埔', 'En': 'Dingpu'}",BL23,"{'Zh_tw': '南港展覽館', 'En': 'Taipei Nangang Exhibition Center'}",48.0,0.0,2022-05-23T00:00:00+08:00,2022-05-23T08:00:00+08:00,3
BL-1,TRTC,"{'Zh_tw': '南港展覽館－頂埔', 'En': 'Taipei Nangang Exhibition Center - Dingpu'}",33,BL,BL,BL23,"{'Zh_tw': '南港展覽館', 'En': 'Taipei Nangang Exhibition Center'}",BL01,"{'Zh_tw': '頂埔', 'En': 'Dingpu'}",48.0,0.0,2022-05-23T00:00:00+08:00,2022-05-23T08:00:00+08:00,3
BL-2,TRTC,"{'Zh_tw': '亞東醫院－南港展覽館', 'En': 'Far Eastern Hospital - Taipei Nangang Exhibition Center'}",33,BL,BL,BL05,"{'Zh_tw': '亞東醫院', 'En': 'Far Eastern Hospital'}",BL23,"{'Zh_tw': '南港展覽館', 'En': 'Taipei Nangang Exhibition Center'}",38.0,0.0,2022-05-23T00:00:00+08:00,2022-05-23T08:00:00+08:00,3
BL-2,TRTC,"{'Zh_tw': '南港展覽館－亞東醫院', 'En': 'Taipei Nangang Exhibition Center - Far Eastern Hospital'}",33,BL,BL,BL23,"{'Zh_tw': '南港展覽館', 'En': 'Taipei Nangang Exhibition Center'}",BL05,"{'Zh_tw': '亞東醫院', 'En': 'Far Eastern Hospital'}",38.0,0.0,2022-05-23T00:00:00+08:00,2022-05-23T08:00:00+08:00,3
BR-1,TRTC,"{'Zh_tw': '動物園－南港展覽館', 'En': 'Taipei Zoo - Taipei Nangang Exhibition Center'}",33,BR,BR,BR01,"{'Zh_tw': '動物園', 'En': 'Taipei Zoo'}",BR24,"{'Zh_tw': '南港展覽館', 'En': 'Taipei Nangang Exhibition Center'}",45.0,0.0,2022-05-23T00:00:00+08:00,2022-05-23T08:00:00+08:00,3
BR-1,TRTC,"{'Zh_tw': '南港展覽館－動物園', 'En': 'Taipei Nangang Exhibition Center - Taipei Zoo'}",33,BR,BR,BR24,"{'Zh_tw': '南港展覽館', 'En': 'Taipei Nangang Exhibition Center'}",BR01,"{'Zh_tw': '動物園', 'En': 'Taipei Zoo'}",45.0,0.0,2022-05-23T00:00:00+08:00,2022-05-23T08:00:00+08:00,3
G-1,TRTC,"{'Zh_tw': '新店－松山', 'En': 'Xindian - Songshan'}",33,G,G,G01,"{'Zh_tw': '新店', 'En': 'Xindian'}",G19,"{'Zh_tw': '松山', 'En': 'Songshan'}",37.0,0.0,2022-05-23T00:00:00+08:00,2022-05-23T08:00:00+08:00,3
G-1,TRTC,"{'Zh_tw': '松山－新店', 'En': 'Songshan - Xindian'}",33,G,G,G19,"{'Zh_tw': '松山', 'En': 'Songshan'}",G01,"{'Zh_tw': '新店', 'En': 'Xindian'}",37.0,0.0,2022-05-23T00:00:00+08:00,2022-05-23T08:00:00+08:00,3
G-2,TRTC,"{'Zh_tw': '台電大樓－松山', 'En': 'Taipower Building - Songshan'}",33,G,G,G08,"{'Zh_tw': '台電大樓', 'En': 'Taipower Building'}",G19,"{'Zh_tw': '松山', 'En': 'Songshan'}",23.0,0.0,2022-05-23T00:00:00+08:00,2022-05-23T08:00:00+08:00,3
G-2,TRTC,"{'Zh_tw': '松山－台電大樓', 'En': 'Songshan - Taipower Building'}",33,G,G,G19,"{'Zh_tw': '松山', 'En': 'Songshan'}",G08,"{'Zh_tw': '台電大樓', 'En': 'Taipower Building'}",23.0,0.0,2022-05-23T00:00:00+08:00,2022-05-23T08:00:00+08:00,3
G-3,TRTC,"{'Zh_tw': '七張－小碧潭', 'En': 'Qizhang - Xiaobitan'}",33,G,G,G03,"{'Zh_tw': '七張', 'En': 'Qizhang'}",G03A,"{'Zh_tw': '小碧潭', 'En': 'Xiaobitan'}",4.0,0.0,2022-05-23T00:00:00+08:00,2022-05-23T08:00:00+08:00,3
G-3,TRTC,"{'Zh_tw': '小碧潭－七張', 'En': 'Xiaobitan - Qizhang'}",33,G,G,G03A,"{'Zh_tw': '小碧潭', 'En': 'Xiaobitan'}",G03,"{'Zh_tw': '七張', 'En': 'Qizhang'}",4.0,0.0,2022-05-23T00:00:00+08:00,2022-05-23T08:00:00+08:00,3
O-1,TRTC,"{'Zh_tw': '南勢角－迴龍', 'En': 'Nanshijiao - Huilong'}",33,O,O,O01,"{'Zh_tw': '南勢角', 'En': 'Nanshijiao'}",O21,"{'Zh_tw': '迴龍', 'En': 'Huilong'}",48.0,0.0,2022-05-23T00:00:00+08:00,2022-05-23T08:00:00+08:00,3
O-1,TRTC,"{'Zh_tw': '迴龍－南勢角', 'En': 'Huilong - Nanshijiao'}",33,O,O,O21,"{'Zh_tw': '迴龍', 'En': 'Huilong'}",O01,"{'Zh_tw': '南勢角', 'En': 'Nanshijiao'}",48.0,0.0,2022-05-23T00:00:00+08:00,2022-05-23T08:00:00+08:00,3
O-2,TRTC,"{'Zh_tw': '南勢角－蘆洲', 'En': 'Nanshijiao - Luzhou'}",33,O,O,O01,"{'Zh_tw': '南勢角', 'En': 'Nanshijiao'}",O54,"{'Zh_tw': '蘆洲', 'En': 'Luzhou'}",38.0,0.0,2022-05-23T00:00:00+08:00,2022-05-23T08:00:00+08:00,3
O-2,TRTC,"{'Zh_tw': '蘆洲－南勢角', 'En': 'Luzhou - Nanshijiao'}",33,O,O,O54,"{'Zh_tw': '蘆洲', 'En': 'Luzhou'}",O01,"{'Zh_tw': '南勢角', 'En': 'Nanshijiao'}",38.0,0.0,2022-05-23T00:00:00+08:00,2022-05-23T08:00:00+08:00,3
R-1,TRTC,"{'Zh_tw': '象山－淡水', 'En': 'Xiangs - Tamsui'}",33,R,R,R02,"{'Zh_tw': '象山', 'En': 'Xiangshan'}",R28,"{'Zh_tw': '淡水', 'En': 'Tamsui'}",54.0,0.0,2022-05-23T00:00:00+08:00,2022-05-23T08:00:00+08:00,3
R-1,TRTC,"{'Zh_tw': '淡水－象山', 'En': 'Tamsui - Xiangs'}",33,R,R,R28,"{'Zh_tw': '淡水', 'En': 'Tamsui'}",R02,"{'Zh_tw': '象山', 'En': 'Xiangshan'}",54.0,0.0,2022-05-23T00:00:00+08:00,2022-05-23T08:00:00+08:00,3
R-2,TRTC,"{'Zh_tw': '大安－北投', 'En': 'Daan - Beitou'}",33,R,R,R05,"{'Zh_tw': '大安', 'En': 'Daan'}",R22,"{'Zh_tw': '北投', 'En': 'Beitou'}",32.0,0.0,2022-05-23T00:00:00+08:00,2022-05-23T08:00:00+08:00,3
R-2,TRTC,"{'Zh_tw': '北投－大安', 'En': 'Beitou - Daan'}",33,R,R,R22,"{'Zh_tw': '北投', 'En': 'Beitou'}",R05,"{'Zh_tw': '大安', 'En': 'Daan'}",32.0,0.0,2022-05-23T00:00:00+08:00,2022-05-23T08:00:00+08:00,3
R-3,TRTC,"{'Zh_tw': '北投－新北投', 'En': 'Beitou - Xinbeitou'}",33,R,R,R22,"{'Zh_tw': '北投', 'En': 'Beitou'}",R22A,"{'Zh_tw': '新北投', 'En': 'Xinbeitou'}",4.0,0.0,2022-05-23T00:00:00+08:00,2022-05-23T08:00:00+08:00,3
R-3,TRTC,"{'Zh_tw': '新北投－北投', 'En': 'Xinbeitou - Beitou'}",33,R,R,R22A,"{'Zh_tw': '新北投', 'En': 'Xinbeitou'}",R22,"{'Zh_tw': '北投', 'En': 'Beitou'}",4.0,0.0,2022-05-23T00:00:00+08:00,2022-05-23T08:00:00+08:00,3
