StationUID,StationID,StationName,Geometry,UpdateDate,CheckDate
TNN1007,1007,工業五路口,POINT (120.14967 23.03473),2023-07-13T00:00:00,2023-07-14T00:15:43.123
TNN1004,1004,台南鹽場,POINT (120.16022 23.04171),2023-07-13T00:00:00,2023-07-14T00:15:43.123
TNN1001,1001,本淵市場,POINT (120.17378 23.05034),2023-07-13T00:00:00,2023-07-14T00:15:43.137
TNN1006,1006,工業三路口,POINT (120.15323 23.03711),2023-07-13T00:00:00,2023-07-14T00:15:43.123
TNN1000,1000,鹿耳門天后宮,POINT (120.12535 23.03691),2023-07-13T00:00:00,2023-07-14T00:15:43.123
TNN1005,1005,工業二路口,POINT (120.15528 23.03848),2023-07-13T00:00:00,2023-07-14T00:15:43.153
TNN1003,1003,中央電台,POINT (120.16882 23.04752),2023-07-13T00:00:00,2023-07-14T00:15:43.123
TNN1002,1002,本淵寮,POINT (120.17153 23.04931),2023-07-13T00:00:00,2023-07-14T00:15:43.123
TNN1015,1015,鹿耳門橋,POINT (120.12832 23.03661),2023-07-13T00:00:00,2023-07-14T00:15:43.187
TNN1012,1012,四草,POINT (120.12862 23.01699),2023-07-13T00:00:00,2023-07-14T00:15:43.217
TNN1009,1009,四草野生動物保護區,POINT (120.13742 23.02668),2023-07-13T00:00:00,2023-07-14T00:15:43.217
TNN1008,1008,鹽田社區,POINT (120.14547 23.03328),2023-07-13T00:00:00,2023-07-14T00:15:43.263
TNN1011,1011,大社角,POINT (120.13101 23.01817),2023-07-13T00:00:00,2023-07-14T00:15:43.263
TNN1013,1013,崙仔角,POINT (120.12657 23.01844),2023-07-13T00:00:00,2023-07-14T00:15:43.263
TNN1023,1023,科技一路,POINT (120.15224 23.04253),2023-07-13T00:00:00,2023-07-14T00:15:43.31
TNN1010,1010,四草生態文化園區(大眾廟),POINT (120.13471 23.01928),2023-07-13T00:00:00,2023-07-14T00:15:43.187
TNN1014,1014,四草路口,POINT (120.12489 23.02014),2023-07-13T00:00:00,2023-07-14T00:15:43.187
TNN1016,1016,鹿耳門橋,POINT (120.12794 23.03661),2023-07-13T00:00:00,2023-07-14T00:15:43.34
TNN1020,1020,媽祖宮,POINT (120.12676 23.03831),2023-07-13T00:00:00,2023-07-14T00:15:43.327
TNN1021,1021,顯宮派出所,POINT (120.12961 23.03981),2023-07-13T00:00:00,2023-07-14T00:15:43.357
TNN1019,1019,鹿耳門天后宮,POINT (120.12535 23.03691),2023-07-13T00:00:00,2023-07-14T00:15:43.34
TNN1017,1017,顯宮派出所,POINT (120.12983 23.03991),2023-07-13T00:00:00,2023-07-14T00:15:43.327
TNN1018,1018,媽祖宮,POINT (120.12704 23.03851),2023-07-13T00:00:00,2023-07-14T00:15:43.31
TNN1031,1031,工業五路口,POINT (120.14999 23.03469),2023-07-13T00:00:00,2023-07-14T00:15:43.403
TNN1022,1022,四草野生動物保護區,POINT (120.13744 23.02644),2023-07-13T00:00:00,2023-07-14T00:15:43.28
TNN1028,1028,四草生態文化園區(大眾廟),POINT (120.13473 23.01924),2023-07-13T00:00:00,2023-07-14T00:15:43.45
TNN1024,1024,四草路口,POINT (120.12487 23.02008),2023-07-13T00:00:00,2023-07-14T00:15:43.437
TNN1027,1027,大社角,POINT (120.13091 23.01796),2023-07-13T00:00:00,2023-07-14T00:15:43.42
TNN1029,1029,科技一路,POINT (120.15223 23.04275),2023-07-13T00:00:00,2023-07-14T00:15:43.45
TNN1025,1025,崙仔角,POINT (120.12676 23.01822),2023-07-13T00:00:00,2023-07-14T00:15:43.387
TNN1026,1026,四草,POINT (120.12872 23.01712),2023-07-13T00:00:00,2023-07-14T00:15:43.387
TNN1039,1039,紅樹林社區,POINT (120.13815 23.03246),2023-07-13T00:00:00,2023-07-14T00:15:43.497
TNN1036,1036,本淵寮,POINT (120.17182 23.04939),2023-07-13T00:00:00,2023-07-14T00:15:43.577
TNN1035,1035,中央電台,POINT (120.16893 23.04741),2023-07-13T00:00:00,2023-07-14T00:15:43.497
TNN1032,1032,工業三路口,POINT (120.15386 23.03715),2023-07-13T00:00:00,2023-07-14T00:15:43.543
TNN1030,1030,鹽田社區,POINT (120.14682 23.03404),2023-07-13T00:00:00,2023-07-14T00:15:43.357
TNN1034,1034,台南鹽場,POINT (120.16047 23.04167),2023-07-13T00:00:00,2023-07-14T00:15:43.467
TNN1033,1033,工業二路口,POINT (120.15593 23.03855),2023-07-13T00:00:00,2023-07-14T00:15:43.467
TNN1047,1047,武聖路口,POINT (120.18756 23.00752),2023-07-13T00:00:00,2023-07-14T00:15:43.577
TNN1037,1037,本淵市場,POINT (120.17371 23.05028),2023-07-13T00:00:00,2023-07-14T00:15:43.543
TNN1043,1043,永華站,POINT (120.19662 22.98737),2023-07-13T00:00:00,2023-07-14T00:15:43.577
