StationUID,StationID,ServiceStatus,ServiceType,AvailableRentBikes,AvailableReturnBikes,SrcUpdateTime,UpdateTime,AvailableRentBikesDetail
TNN501304003,501304003,1,2,7,12,2023-07-08T10:08:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 7, 'ElectricBikes': 0}"
TNN501305001,501305001,1,2,15,11,2023-07-11T05:52:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 14, 'ElectricBikes': 1}"
TNN501305002,501305002,1,2,18,1,2023-07-13T20:31:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 15, 'ElectricBikes': 3}"
TNN501305003,501305003,1,2,13,27,2023-07-11T02:30:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 13, 'ElectricBikes': 0}"
TNN501305004,501305004,1,2,41,4,2023-07-11T09:58:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 40, 'ElectricBikes': 1}"
TNN501305005,501305005,1,2,7,13,2023-07-10T01:46:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 1}"
TNN501305006,501305006,1,2,11,29,2023-07-12T18:57:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 11, 'ElectricBikes': 0}"
TNN501305007,501305007,1,2,15,10,2023-07-12T16:07:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 14, 'ElectricBikes': 1}"
TNN501305008,501305008,1,2,32,7,2023-07-13T07:28:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 32, 'ElectricBikes': 0}"
TNN501305009,501305009,1,2,9,20,2023-07-10T01:37:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 3}"
TNN501305010,501305010,1,2,15,18,2023-07-13T10:48:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 14, 'ElectricBikes': 1}"
TNN501305012,501305012,1,2,8,5,2023-07-11T13:45:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 2}"
TNN501305013,501305013,1,2,5,14,2023-07-12T09:30:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 1}"
TNN501305014,501305014,1,2,8,12,2023-07-10T01:40:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 4}"
TNN501305015,501305015,1,2,6,14,2023-07-03T23:13:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 2}"
TNN501305016,501305016,1,2,1,15,2023-07-09T03:28:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
TNN501305017,501305017,1,2,6,14,2023-07-11T07:37:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 0}"
TNN501305018,501305018,1,2,10,10,2023-07-07T08:12:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 8, 'ElectricBikes': 2}"
TNN501305019,501305019,1,2,7,18,2023-07-11T05:19:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 7, 'ElectricBikes': 0}"
TNN501305021,501305021,1,2,4,16,2023-07-08T18:43:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 0}"
TNN501305022,501305022,1,2,6,17,2023-07-13T03:58:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 0}"
TNN501305023,501305023,1,2,7,13,2023-07-12T11:38:14+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 1}"
TNN501306001,501306001,1,2,3,17,2023-07-06T04:32:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 3, 'ElectricBikes': 0}"
TNN501306002,501306002,1,2,2,17,2023-07-03T20:35:17+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 2, 'ElectricBikes': 0}"
TNN501306003,501306003,1,2,20,22,2023-07-12T14:15:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 20, 'ElectricBikes': 0}"
TNN501306004,501306004,1,2,31,8,2023-07-11T09:48:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 31, 'ElectricBikes': 0}"
TNN501306006,501306006,1,2,15,5,2023-07-13T22:30:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 15, 'ElectricBikes': 0}"
