PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,Direction,CurrentStop,DestinationStop,StopSequence,StopStatus,IsLastBus,DataTime,TransTime,SrcRecTime,SrcUpdateTime,UpdateTime
,TNN23699,23699,"{'Zh_tw': '新塭社區', 'En': 'Sinwun Community'}",TNN1305,1305,"{'Zh_tw': '棕5', 'En': 'BR5'}",255,,,34,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN23698,23698,"{'Zh_tw': '西竿仔寮', 'En': 'Siganzihliao'}",TNN1305,1305,"{'Zh_tw': '棕5', 'En': 'BR5'}",255,,,33,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN23697,23697,"{'Zh_tw': '中竿仔寮', 'En': 'jhongganzihliao'}",TNN1305,1305,"{'Zh_tw': '棕5', 'En': 'BR5'}",255,,,32,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN23696,23696,"{'Zh_tw': '東竿仔寮', 'En': 'Dongganzihliao'}",TNN1305,1305,"{'Zh_tw': '棕5', 'En': 'BR5'}",255,,,31,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN23695,23695,"{'Zh_tw': '過路仔', 'En': 'Guoluzih'}",TNN1305,1305,"{'Zh_tw': '棕5', 'En': 'BR5'}",255,,,30,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN23694,23694,"{'Zh_tw': '東過路仔', 'En': 'Dongguoluzih'}",TNN1305,1305,"{'Zh_tw': '棕5', 'En': 'BR5'}",255,,,29,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN23693,23693,"{'Zh_tw': '新富村', 'En': 'Sinfu Village'}",TNN1305,1305,"{'Zh_tw': '棕5', 'En': 'BR5'}",255,,,28,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN23692,23692,"{'Zh_tw': '頭竹圍', 'En': 'Toujhuwei'}",TNN1305,1305,"{'Zh_tw': '棕5', 'En': 'BR5'}",255,,,27,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN23691,23691,"{'Zh_tw': '義竹仁里', 'En': 'Yijhuren Vil.'}",TNN1305,1305,"{'Zh_tw': '棕5', 'En': 'BR5'}",255,,,26,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN23690,23690,"{'Zh_tw': '義竹', 'En': 'Yijhu'}",TNN1305,1305,"{'Zh_tw': '棕5', 'En': 'BR5'}",255,,,25,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
