StationUID,StationID,StationName,Geometry,UpdateDate,CheckDate
TTT132548,132548,縣議會,POINT (121.121049 22.76808),2023-07-13T00:00:00,2023-07-14T00:20:20.047
TTT132546,132546,專科學校,POINT (121.123417 22.7583),2023-07-13T00:00:00,2023-07-14T00:20:20.047
TTT132547,132547,專科學校,POINT (121.123283 22.7583),2023-07-13T00:00:00,2023-07-14T00:20:20.047
TTT132549,132549,縣議會,POINT (121.120848 22.768089),2023-07-13T00:00:00,2023-07-14T00:20:20.047
TTT132545,132545,康樂國小,POINT (121.119804 22.754422),2023-07-13T00:00:00,2023-07-14T00:20:20.063
TTT132544,132544,康樂國小,POINT (121.119778 22.754315),2023-07-13T00:00:00,2023-07-14T00:20:20.077
TTT132543,132543,台東航空站,POINT (121.107037 22.755673),2023-07-13T00:00:00,2023-07-14T00:20:20.047
TTT132550,132550,台東糖廠,POINT (121.129111 22.76742),2023-07-13T00:00:00,2023-07-14T00:20:20.047
TTT132557,132557,棒球場,POINT (121.127768 22.787946),2023-07-13T00:00:00,2023-07-14T00:20:20.123
TTT132552,132552,公東高工,POINT (121.135635 22.767323),2023-07-13T00:00:00,2023-07-14T00:20:20.203
TTT132553,132553,公東高工,POINT (121.135643 22.767533),2023-07-13T00:00:00,2023-07-14T00:20:20.157
TTT132556,132556,棒球場,POINT (121.127573 22.78802),2023-07-13T00:00:00,2023-07-14T00:20:20.123
TTT132559,132559,台東森林公園,POINT (121.158101 22.762915),2023-07-13T00:00:00,2023-07-14T00:20:20.14
TTT132558,132558,台東火車站,POINT (121.123278 22.792928),2023-07-13T00:00:00,2023-07-14T00:20:20.123
TTT132551,132551,台東糖廠,POINT (121.129022 22.767674),2023-07-13T00:00:00,2023-07-14T00:20:20.14
TTT132562,132562,美娥餐廳,POINT (121.185068 22.791353),2023-07-13T00:00:00,2023-07-14T00:20:20.123
TTT132566,132566,台東轉運站,POINT (121.147423 22.752008),2023-07-13T00:00:00,2023-07-14T00:20:20.217
TTT132568,132568,中華正氣路口,POINT (121.151352 22.752415),2023-07-13T00:00:00,2023-07-14T00:20:20.217
TTT132565,132565,小野柳,POINT (121.195486 22.795272),2023-07-13T00:00:00,2023-07-14T00:20:20.327
TTT132581,132581,聖母醫院,POINT (121.146798 22.757099),2023-07-13T00:00:00,2023-07-14T00:20:20.233
TTT132578,132578,美術館(地檢署),POINT (121.148901 22.763659),2023-07-13T00:00:00,2023-07-14T00:20:20.217
TTT132564,132564,富岡港口,POINT (121.19274 22.791936),2023-07-13T00:00:00,2023-07-14T00:20:20.28
TTT132570,132570,海濱公園,POINT (121.15759 22.749993),2023-07-13T00:00:00,2023-07-14T00:20:20.28
TTT132582,132582,台東高商,POINT (121.143776 22.75719),2023-07-13T00:00:00,2023-07-14T00:20:20.233
TTT132585,132585,體育場(鐵花村),POINT (121.14457 22.753161),2023-07-13T00:00:00,2023-07-14T00:20:20.317
TTT132590,132590,基督教醫院,POINT (121.145857 22.763658),2023-07-13T00:00:00,2023-07-14T00:20:20.317
TTT135664,135664,陽明山莊,POINT (121.113266 22.753536),2023-07-13T00:00:00,2023-07-14T00:20:20.297
TTT135665,135665,馬蘭榮家,POINT (121.132095 22.772239),2023-07-13T00:00:00,2023-07-14T00:20:20.327
TTT132584,132584,馬偕醫院,POINT (121.141468 22.751007),2023-07-13T00:00:00,2023-07-14T00:20:20.42
TTT132583,132583,後期聖徒教會,POINT (121.139129 22.755973),2023-07-13T00:00:00,2023-07-14T00:20:20.373
TTT135666,135666,馬蘭榮家,POINT (121.131952 22.772189),2023-07-13T00:00:00,2023-07-14T00:20:20.327
TTT135663,135663,陽明山莊,POINT (121.113271 22.753249),2023-07-13T00:00:00,2023-07-14T00:20:20.39
TTT138113,138113,新生郵局,POINT (121.13549 22.764108),2023-07-13T00:00:00,2023-07-14T00:20:20.39
TTT138114,138114,東方大鎮,POINT (121.123887 22.768835),2023-07-13T00:00:00,2023-07-14T00:20:20.437
TTT138116,138116,卑南入口,POINT (121.127132 22.77852),2023-07-13T00:00:00,2023-07-14T00:20:20.373
TTT138117,138117,棒球場,POINT (121.127573 22.78802),2023-07-13T00:00:00,2023-07-14T00:20:20.42
TTT138118,138118,拖吊場,POINT (121.124715 22.790934),2023-07-13T00:00:00,2023-07-14T00:20:20.407
TTT138112,138112,開封長安街口,POINT (121.139557 22.760607),2023-07-13T00:00:00,2023-07-14T00:20:20.5
TTT138115,138115,娜路彎大酒店,POINT (121.121748 22.770365),2023-07-13T00:00:00,2023-07-14T00:20:20.483
TTT138111,138111,縣民服務中心,POINT (121.148851 22.757362),2023-07-13T00:00:00,2023-07-14T00:20:20.437
TTT138121,138121,寶桑國中,POINT (121.144854 22.771898),2023-07-13T00:00:00,2023-07-14T00:20:20.453
TTT138122,138122,浙江路口,POINT (121.149403 22.767152),2023-07-13T00:00:00,2023-07-14T00:20:20.563
TTT138125,138125,中華會館,POINT (121.155737 22.753945),2023-07-13T00:00:00,2023-07-14T00:20:20.5
TTT138120,138120,棒球場,POINT (121.127768 22.787946),2023-07-13T00:00:00,2023-07-14T00:20:20.593
TTT138124,138124,吳外科,POINT (121.152168 22.756974),2023-07-13T00:00:00,2023-07-14T00:20:20.453
TTT138126,138126,大同路郵局,POINT (121.154135 22.752493),2023-07-13T00:00:00,2023-07-14T00:20:20.5
TTT138123,138123,天天來,POINT (121.153874 22.758685),2023-07-13T00:00:00,2023-07-14T00:20:20.577
TTT138119,138119,拖吊場,POINT (121.124802 22.791078),2023-07-13T00:00:00,2023-07-14T00:20:20.563
TTT138129,138129,吳外科,POINT (121.152255 22.756899),2023-07-13T00:00:00,2023-07-14T00:20:20.547
TTT138130,138130,天天來,POINT (121.15382 22.758495),2023-07-13T00:00:00,2023-07-14T00:20:20.64
TTT138128,138128,中華會館,POINT (121.155725 22.753879),2023-07-13T00:00:00,2023-07-14T00:20:20.67
TTT138134,138134,卑南入口,POINT (121.126988 22.778552),2023-07-13T00:00:00,2023-07-14T00:20:20.593
TTT138133,138133,寶桑國中,POINT (121.144751 22.771658),2023-07-13T00:00:00,2023-07-14T00:20:20.593
TTT138131,138131,台東森林公園,POINT (121.157473 22.762781),2023-07-13T00:00:00,2023-07-14T00:20:20.657
TTT138132,138132,浙江路口,POINT (121.149874 22.767269),2023-07-13T00:00:00,2023-07-14T00:20:20.53
TTT138137,138137,新生郵局,POINT (121.135525 22.763948),2023-07-13T00:00:00,2023-07-14T00:20:20.623
TTT138138,138138,開封長安街口,POINT (121.13943 22.760394),2023-07-13T00:00:00,2023-07-14T00:20:20.717
TTT138136,138136,東方大鎮,POINT (121.124902 22.768877),2023-07-13T00:00:00,2023-07-14T00:20:20.75
TTT138142,138142,體育場(鐵花村),POINT (121.144601 22.75315),2023-07-13T00:00:00,2023-07-14T00:20:20.67
TTT138141,138141,縣民服務中心,POINT (121.148694 22.757353),2023-07-13T00:00:00,2023-07-14T00:20:20.67
TTT138127,138127,大同路郵局,POINT (121.15411 22.752463),2023-07-13T00:00:00,2023-07-14T00:20:20.64
TTT138139,138139,基督教醫院,POINT (121.145967 22.763526),2023-07-13T00:00:00,2023-07-14T00:20:20.733
TTT138140,138140,美術館(地檢署),POINT (121.148784 22.763576),2023-07-13T00:00:00,2023-07-14T00:20:20.623
