PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopCountDown,CurrentStop,DestinationStop,StopSequence,StopStatus,MessageType,IsLastBus,DataTime,SrcTransTime,UpdateTime
-1,TTT295283,295283,"{'Zh_tw': '台東航空站', 'En': 'TAITUNG AIRPORT'}",TTT0982,0982,"{'Zh_tw': '陸海空線', 'En': '陸海空線'}",TTT0982C1,0982C1,"{'Zh_tw': '陸海空線C', 'En': '陸海空線C'}",0,0,-1,295300,1,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:55+08:00,2023-07-14T00:46:59+08:00
-1,TTT295283,295283,"{'Zh_tw': '台東航空站', 'En': 'TAITUNG AIRPORT'}",TTT0982,0982,"{'Zh_tw': '陸海空線', 'En': '陸海空線'}",TTT0982C2,0982C2,"{'Zh_tw': '陸海空線C', 'En': '陸海空線C'}",1,0,-1,295283,13,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:55+08:00,2023-07-14T00:46:59+08:00
-1,TTT295284,295284,"{'Zh_tw': '康樂國小', 'En': 'Kang le Elementary School'}",TTT0982,0982,"{'Zh_tw': '陸海空線', 'En': '陸海空線'}",TTT0982C1,0982C1,"{'Zh_tw': '陸海空線C', 'En': '陸海空線C'}",0,0,-1,295300,3,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:55+08:00,2023-07-14T00:46:59+08:00
-1,TTT295285,295285,"{'Zh_tw': '康樂國小', 'En': 'Kang le Elementary School'}",TTT0982,0982,"{'Zh_tw': '陸海空線', 'En': '陸海空線'}",TTT0982C2,0982C2,"{'Zh_tw': '陸海空線C', 'En': '陸海空線C'}",1,0,-1,295283,11,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:55+08:00,2023-07-14T00:46:59+08:00
-1,TTT295286,295286,"{'Zh_tw': '專科學校', 'En': 'College'}",TTT0982,0982,"{'Zh_tw': '陸海空線', 'En': '陸海空線'}",TTT0982C1,0982C1,"{'Zh_tw': '陸海空線C', 'En': '陸海空線C'}",0,0,-1,295300,4,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:55+08:00,2023-07-14T00:46:59+08:00
-1,TTT295287,295287,"{'Zh_tw': '專科學校', 'En': 'College'}",TTT0982,0982,"{'Zh_tw': '陸海空線', 'En': '陸海空線'}",TTT0982C2,0982C2,"{'Zh_tw': '陸海空線C', 'En': '陸海空線C'}",1,0,-1,295283,10,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:55+08:00,2023-07-14T00:46:59+08:00
-1,TTT295288,295288,"{'Zh_tw': '縣議會', 'En': 'Taitung County Council'}",TTT0982,0982,"{'Zh_tw': '陸海空線', 'En': '陸海空線'}",TTT0982C1,0982C1,"{'Zh_tw': '陸海空線C', 'En': '陸海空線C'}",0,0,-1,295300,5,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:55+08:00,2023-07-14T00:46:59+08:00
-1,TTT295289,295289,"{'Zh_tw': '縣議會', 'En': 'Taitung County Council'}",TTT0982,0982,"{'Zh_tw': '陸海空線', 'En': '陸海空線'}",TTT0982C2,0982C2,"{'Zh_tw': '陸海空線C', 'En': '陸海空線C'}",1,0,-1,295283,9,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:55+08:00,2023-07-14T00:46:59+08:00
-1,TTT295291,295291,"{'Zh_tw': '台東糖廠', 'En': 'Taitung Sugar Factory'}",TTT0982,0982,"{'Zh_tw': '陸海空線', 'En': '陸海空線'}",TTT0982C2,0982C2,"{'Zh_tw': '陸海空線C', 'En': '陸海空線C'}",1,0,-1,295283,7,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:55+08:00,2023-07-14T00:46:59+08:00
-1,TTT295292,295292,"{'Zh_tw': '公東高工', 'En': 'Gong dong Industrial High School'}",TTT0982,0982,"{'Zh_tw': '陸海空線', 'En': '陸海空線'}",TTT0982C1,0982C1,"{'Zh_tw': '陸海空線C', 'En': '陸海空線C'}",0,0,-1,295300,8,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:55+08:00,2023-07-14T00:46:59+08:00
