NewsID,Language,NewsCategory,Title,Description,PublishTime,StartTime,EndTime,SrcUpdateTime,UpdateTime
New0001524,Zh_tw,3,【東部海岸線】阿美民俗中心7/8.9休園,<p>因阿美族民俗中心旮亙樂團返回部落參加豐年祭，故7/8.9休園2天，敬請旅客見諒！</p>,2023-07-07T14:22:26+08:00,0001-01-01T00:00:00+08:06,0001-01-01T00:00:00+08:06,2023-07-07T14:22:26+08:00,2023-07-14T00:28:54+08:00
New0001523,Zh_tw,3,【東部海岸線】暨【玉長豐濱線】部分時刻表及站名異動,<p>自7/1起 台灣好行東部海岸線8101A 成功漁港停留時間時間由70分鐘調整為100分鐘，三仙台遊憩區因八拱橋尚在維修中，故停留時間由60分鐘縮短為40分鐘，東河橋停留時間由40分鐘縮短為30分鐘，玉長豐濱線309 長濱農拓中心更名為金剛好事館，特此公告。</p>,2023-07-07T14:21:51+08:00,0001-01-01T00:00:00+08:06,0001-01-01T00:00:00+08:06,2023-07-07T14:21:51+08:00,2023-07-14T00:28:54+08:00
New0001522,Zh_tw,1,2023年東北角台灣好行三條路線套票-合作優惠店家資訊,"<p>【優惠店家使用說明】</p><p>1.使用期限至2023年11月30日，逾期恕無法展延使用。</p><p>2.活動期間可持「黃金福隆線」、「壯圍沙丘線」、「宜蘭東北角海岸線」套票，即可享有該線站點周邊合作優惠店家乙次優惠。</p><p>3.營業時間、其他使用說明或注意事項應以店家現場公告為主。</p><p>&nbsp;</p><table border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width:100%"">
<tbody><tr><td>路線</td><td>店家名稱</td><td>連絡電話</td><td>地址</td><td>營業時間</td><td>好行站點</td><td>優惠內容</td></tr><tr><td colspan=""1"" rowspan=""11"">黃金福隆線</td><td>九份老友號芋圓</td><td>02-2497-2600</td><td>新北市瑞芳區基山街4-3號</td><td>週一~週五:08:30-20:30</td><td>九份老街</td><td>全商品9折優惠</td></tr><tr><td>山城美館</td><td>0963-663-003</td><td>新北市瑞芳區洞頂路155之8號</td><td>週二~週日:09:30-17:30 週一店休</td><td>水湳洞</td><td>全商品9折優惠</td></tr><tr><td>黃金咖啡</td><td>02-2490-3598</td><td>新北市貢寮區美艷山街72號</td><td>週一~週五:10:00-20:00 週六~週日:09:00-20:00</td><td>澳底</td><td>全品項飲料9折優惠</td></tr><tr><td>舟遊天下</td><td>02-2499-1147</td><td>新北市貢寮區福隆里興隆街100號</td><td>週一~週日:09:00-17:00</td><td>福隆遊客中心</td><td>常態活動享95折優惠</td></tr><tr><td>古道情懷鐵馬</td><td>0937-629-882</td><td>新北市貢寮區荖寮街2之1號</td><td>週一~週日:08:30-18:00</td><td>福隆遊客中心</td><td>自行車8折優惠</td></tr><tr><td>海女咖啡AmaCafe</td><td>0935-669-422</td><td>新北市貢寮區馬崗街2-2號</td><td>週六~週日:11:00-18:00 平日店休</td><td>馬崗</td><td>飲品8 折優惠</td></tr><tr><td>鬧潛水Now Diving Center</td><td>02-2490-2222</td><td>新北市貢寮區新港街49號</td><td>週一~週日:09:00-21:00</td><td>澳底</td><td>體驗類活動9折優惠 (須提前預約)</td></tr><tr><td>上癮海鮮麵</td><td>0909-096-220</td><td>新北市貢寮區福隆街17號</td><td>週一~週日:09:30-19:00 週二店休</td><td>福隆</td><td>麵類主食折扣10元</td></tr><tr><td>曙旅文化工作室</td><td>0911-249-121</td><td>新北市貢寮區馬崗街35-1號</td><td>週一~週日:11:00-18:00 週一、二店休</td><td>馬崗</td><td>全館商品9折 (含「馬崗恰恰恰」漁村導覽）</td></tr><tr><td>馬崗街27 號咖啡小館</td><td>0963-826-101</td><td>新北市貢寮區馬崗街27號</td><td>週一、二、五:12:00-18:00 週六、日:10:30-18:00 週三、四:店休</td><td>馬崗</td><td>全商品95折優惠</td></tr><tr><td>星空X 藝素村Sky Art Vegan Village</td><td>0938-193-735</td><td>新北市貢寮區福隆街44號</td><td>週一~週五:11:00-18:00 週六~週日:11:00-20:00</td><td>福隆</td><td>餐飲、手作全面9折優惠</td></tr><tr><td colspan=""1"" rowspan=""13"">壯圍沙丘線</td><td>壯圍穀倉米食風味料理餐廳</td><td>03-938-3186</td><td>宜蘭縣壯圍鄉壯五路143號</td><td>週一~週日:11:00-14:00、17:00-20:00<br />
	週三店休</td><td>壯圍鄉公所</td><td>餐廳用餐即招待小菜二道</td></tr><tr><td>牛頭司親子體驗農場</td><td>03-930-7707</td><td>宜蘭縣壯圍鄉大福路一段122巷21號</td><td>週一~週日:09:30-16:30<br />
	週三店休</td><td>大福濱海遊憩區</td><td>全票9折優惠</td></tr><tr><td>The Bread &amp; Butter Bakery</td><td>03-977-2029</td><td>宜蘭縣頭城鎮民鋒路6-5號</td><td>週一~週日:10:00-17:30<br />
	週三、四:店休</td><td>頭城火車站</td><td>外帶飲品85折</td></tr><tr><td>蘭陽博物館</td><td>03-977-9700</td><td>宜蘭縣頭城鎮青雲路三段750號</td><td>週一~週日:09:00-17:00<br />
	週三休館</td><td>烏石港轉運站</td><td>週一~週日:09:00-17:00<br />
	週三休館</td></tr><tr><td>化石先生蘭陽博物館<br />
	小市集 (商店區)</td><td>03-977-0081</td><td>宜蘭縣頭城鎮青雲路三段750號1樓</td><td>週一~週日:09:00-17:00<br />
	週三店休</td><td>烏石港轉運站</td><td>全館商品95折</td></tr><tr><td>化石先生PIZZA霸(餐飲區)</td><td>03-977-0081</td><td>宜蘭縣頭城鎮青雲路三段750號1樓</td><td>週一~週日:09:00-17:00<br />
	週三店休</td><td>烏石港轉運站</td><td>餐點全面9折</td></tr><tr><td>賞鯨烏石傳奇</td><td>0915-050-206</td><td>宜蘭縣頭城鎮烏石港路15-30號</td><td>週一~週日:07:30-19:00</td><td>烏石港轉運站</td><td>搭船賞鯨享8折優惠</td></tr><tr><td>蘭鯨號</td><td>0937-157-740</td><td>宜蘭縣頭城鎮港墘路15-30號</td><td>週一~週日08:00-21:00</td><td>烏石港轉運站</td><td>搭船賞鯨享9折優惠</td></tr><tr><td>川岩 River Stone Coffee</td><td>03-977-8635</td><td>宜蘭縣頭城鎮協天路636巷36-2號</td><td>週一~週日:11:00-18:00</td><td>大坑景觀台</td><td>餐飲9折優惠</td></tr><tr><td>金魚。 厝邊</td><td>0911-220-886</td><td>宜蘭縣頭城鎮中庸街32號</td><td>週一~週五:09:00-18:00<br />
	週六、日店休</td><td>頭城火車站</td><td>系列商品95折</td></tr><tr><td>有海真好咖啡Have a nice sea（寵物友善)</td><td>0972-589-888</td><td><br />
	宜蘭縣頭城鎮協天路400號</td><td>週一~週三:店休<br />
	週四~週日:10:00-18:00</td><td>頭城濱海森林公園</td><td>餐飲9折優惠</td></tr><tr><td>滿山望海咖啡廳</td><td>03-977-6788</td><td>宜蘭縣頭城鎮大坑路211號</td><td>週一~週日:11:00-18:30</td><td>大坑景觀台</td><td>消費總額9折優惠</td></tr><tr><td>這浬創生基地&amp;這浬咖啡所</td><td>0958-188-828</td><td>宜蘭縣頭城鎮港口里路92-1號</td><td>週一~週日:11:00-19:00</td><td>烏石港轉運站</td><td>餐飲9折優惠；文創商品95折</td></tr><tr><td colspan=""1"" rowspan=""15"">宜蘭東北角海岸線</td><td>窯籃曲義式烘焙餐廳</td><td>03-988-7338</td><td>宜蘭縣礁溪鄉白雲一路28巷1之2號</td><td>週一~週日:11:00-20:00 週三店休</td><td>白石腳</td><td>點任一主餐即送甜點三選一</td></tr><tr><td>蘭陽博物館</td><td>03-977-9700</td><td>宜蘭縣頭城鎮青雲路三段750號</td><td>週一~週日:09:00-17:00 週三休館</td><td>烏石港轉運站</td><td>全票8折優惠</td></tr><tr><td>化石先生蘭陽博物館<br />
	小市集 (商店區)</td><td>03-977-0081</td><td>宜蘭縣頭城鎮青雲路三段750號1樓</td><td>週一~週日:09:00-17:00 週三店休</td><td>烏石港轉運站</td><td>全館商品95折</td></tr><tr><td>化石先生PIZZA霸(餐飲區)</td><td>03-977-0081</td><td>宜蘭縣頭城鎮青雲路三段750號1樓</td><td>週一~週日:09:00-17:00 週三店休</td><td>烏石港轉運站</td><td>餐點全面9折</td></tr><tr><td>賞鯨烏石傳奇</td><td>0915-050-206</td><td>宜蘭縣頭城鎮烏石港路15-30號</td><td>週一~週日:07:30-19:00</td><td>烏石港轉運站</td><td>搭船賞鯨享8折優惠</td></tr><tr><td>蘭鯨號</td><td>0937-157-740</td><td>宜蘭縣頭城鎮港墘路15-30號</td><td>週一~週日08:00-21:00</td><td>烏石港轉運站</td><td>搭船賞鯨享9折優惠</td></tr><tr><td>海盜衝浪</td><td>0926-452-143</td><td>宜蘭縣頭城鎮港口路103-1號</td><td>週一~週日06:30-18:00</td><td>外澳</td><td>租借衝浪板9折優惠</td></tr><tr><td>喬治衝浪</td><td>0988-517-908</td><td>宜蘭縣頭城鎮濱海路二段419號</td><td>週一~週五:08:00-18:00 週六~週日:07:00-18:30</td><td>外澳</td><td>租借衝浪板9折優惠</td></tr><tr><td>禾香居柴燒窯烤麵包</td><td>0933-702-506</td><td>宜蘭縣頭城鎮濱海路七段11號</td><td>週一~週日:09:00-17:00 週一、二店休</td><td>天公廟</td><td>自製餐點9折優惠</td></tr><tr><td>曙旅文化工作室</td><td>0911-249-121</td><td>新北市貢寮區馬崗街35-1號</td><td>週一~週日:11:00-18:00 週一、二店休</td><td>馬崗</td><td>全館商品9折 (含「馬崗恰恰恰」漁村導覽）</td></tr><tr><td>這浬創生基地&amp;這浬咖啡所</td><td>0958-188-828</td><td>宜蘭縣頭城鎮港口里路92-1號</td><td>週一~週日:11:00-19:00</td><td>烏石港轉運站</td><td>餐飲9折優惠；文創商品95折</td></tr><tr><td>九號溫泉旅店</td><td>03-988-9999</td><td>宜蘭縣礁溪鄉溫泉路85號</td><td>週一~週日</td><td>礁溪轉運站</td><td>平日住宿享85折優惠</td></tr><tr><td>九號咖啡外澳館</td><td>03-978-9799</td><td>宜蘭縣頭城鎮濱海路二段6號</td><td>週一~週五:10:00-18:00 週六~週日:09:30-18:30</td><td>外澳</td><td>飲品9折優惠</td></tr><tr><td>海女咖啡AmaCafe</td><td>0935-669-422</td><td>新北市貢寮區馬崗街2-2號</td><td>週六~週日:11:00-18:00 平日店休</td><td>馬崗</td><td>飲品8 折優惠</td></tr><tr><td>馬崗街27 號咖啡小館</td><td>0963-826-101</td><td>新北市貢寮區馬崗街27號</td><td>週一、二、五:12:00-18:00 週六、日:10:30-18:00 週三、四:店休</td><td>馬崗</td><td>全商品95折優惠</td></tr>
</tbody>
</table><p>&nbsp;</p>",2023-07-04T15:41:48+08:00,0001-01-01T00:00:00+08:06,0001-01-01T00:00:00+08:06,2023-07-04T16:20:55+08:00,2023-07-14T00:28:54+08:00
New0001521,Zh_tw,3,【縱谷花蓮線303B】鯉魚潭潭北遊客中心站受競走活動影響，112/7/6～112/7/8暫不停靠。,<p>台灣好行縱谷花蓮線303B路線因鯉魚潭潭北遊客中心站受競走活動影響，無法駛入，112/7/6～112/7/8暫不停靠。</p><p>臨時站點：玉山神學院前方</p>,2023-06-30T16:45:05+08:00,0001-01-01T00:00:00+08:06,0001-01-01T00:00:00+08:06,2023-06-30T16:46:43+08:00,2023-07-14T00:28:54+08:00
New0001520,Zh_tw,3,【縱谷鹿野線】6/30至8/28 因台灣熱氣球國際嘉年華路線異動,"<p><img alt="""" src=""/download/Ckeditor/112熱氣球縱鹿線班表(0630-0828)0619.jpg"" style=""height:918px; width:1300px"" /></p>",2023-06-30T15:30:08+08:00,2023-06-30T00:00:00+08:00,2023-08-29T00:00:00+08:00,2023-06-30T15:40:34+08:00,2023-07-14T00:28:54+08:00
New0001519,Zh_tw,1,台灣好行參與「TPASS行政院通勤月票」之路線共23條，請旅客多加利用。,"<p>目前參與「TPASS行政院通勤月票」之台灣好行路線共有23條，如下表所示，請旅客多加利用。</p><table border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width:100%"">
<tbody><tr><td>路線別</td><td>月票名稱</td></tr><tr><td>黃金福隆線</td><td>基北北桃都會通1200定期票</td></tr><tr><td>皇冠北海岸線</td><td>基北北桃都會通1200定期票</td></tr><tr><td>北投竹子湖線</td><td>基北北桃都會通1200定期票</td></tr><tr><td>木柵平溪線</td><td>基北北桃都會通1200定期票</td></tr><tr><td>大溪快線</td><td>基北北桃都會通1200定期票</td></tr><tr><td>小烏來線&nbsp;</td><td>基北北桃都會通1200定期票</td></tr><tr><td>東眼山線</td><td>基北北桃都會通1200定期票</td></tr><tr><td>石門水庫線</td><td>基北北桃都會通1200定期票</td></tr><tr><td>南庄線</td><td>中彰投苗定期票</td></tr><tr><td>臺中時尚城中城線</td><td>臺中市定期票</td></tr><tr><td>鹿港祈福線</td><td>中彰投苗定期票</td></tr><tr><td>鹿港祈福快線</td><td>中彰投苗定期票</td></tr><tr><td>清境線</td><td>中彰投苗定期票</td></tr><tr><td>東埔線</td><td>中彰投苗定期票</td></tr><tr><td>埔里線</td><td>中彰投苗定期票</td></tr><tr><td>日月潭線</td><td>中彰投苗定期票</td></tr><tr><td>車埕線</td><td>中彰投苗定期票</td></tr><tr><td>西濱快線</td><td>南高屏999通勤月票</td></tr><tr><td>88府城巡迴線</td><td>南高屏999通勤月票</td></tr><tr><td>99安平台江線</td><td>南高屏999通勤月票</td></tr><tr><td>山博行線</td><td>南高屏999通勤月票</td></tr><tr><td>關子嶺線</td><td>南高屏999通勤月票</td></tr><tr><td>菱波官田線</td><td>南高屏999通勤月票</td></tr>
</tbody>
</table><p>&nbsp;<p>&nbsp;</p></p>",2023-06-28T14:29:13+08:00,2023-06-28T00:00:00+08:00,2025-04-30T00:00:00+08:00,2023-06-29T16:05:45+08:00,2023-07-14T00:28:54+08:00
New0001518,Zh_tw,3,【鹿港祈福線】112年7月1日至7月31日班次異動,<p>112年7月1日至7月31日班次異動，鹿港祈福線暫停行駛假日增開班次，調整為11班次。現依表定時刻表行駛不分平日假日。</p>,2023-06-20T11:53:14+08:00,2023-06-20T00:00:00+08:00,2023-08-01T00:00:00+08:00,2023-06-20T11:53:14+08:00,2023-07-14T00:28:54+08:00
New0001517,Zh_tw,3,台灣好行-「斯卡羅線」，自112年6月16日起停駛,<p>台灣好行-「斯卡羅線」，自112年6月16日起停駛</p>,2023-06-19T09:35:01+08:00,0001-01-01T00:00:00+08:06,0001-01-01T00:00:00+08:06,2023-06-19T09:35:01+08:00,2023-07-14T00:28:54+08:00
New0001516,Zh_tw,0,【冬山河線】7月1日至8月13日童玩節增開班次,"<p><img alt="""" src=""/download/Ckeditor/台灣好行冬山河線到站時刻表(112年童玩班表).jpg"" style=""height:1132px; width:800px"" /></p>",2023-06-14T16:37:09+08:00,2023-06-14T00:00:00+08:00,2023-08-14T00:00:00+08:00,2023-06-28T15:37:34+08:00,2023-07-14T00:28:54+08:00
New0001515,Zh_tw,3,配合東引軍事越野賽，東引-國之北疆線8/5及8/6上午停駛,<p>配合東引軍事越野賽，東引-國之北疆線8/5及8/6上午停駛</p>,2023-06-14T15:22:31+08:00,2023-06-14T00:00:00+08:00,2023-08-07T00:00:00+08:00,2023-06-14T15:22:31+08:00,2023-07-14T00:28:54+08:00
