StationUID,StationID,StationName,Geometry,UpdateDate,CheckDate
HUA129520,129520,慈濟醫院,POINT (121.592696 23.994846),2023-07-13T00:00:00,2023-07-14T00:20:16.843
HUA129518,129518,市立圖書館,POINT (121.601335 23.989992),2023-07-13T00:00:00,2023-07-14T00:20:16.827
HUA129522,129522,建國路加油站,POINT (121.584204 23.989214),2023-07-13T00:00:00,2023-07-14T00:20:16.827
HUA129519,129519,明廉國小,POINT (121.595234 23.995118),2023-07-13T00:00:00,2023-07-14T00:20:16.827
HUA129352,129352,安通溫泉,POINT (121.34133 23.28081),2023-07-13T00:00:00,2023-07-14T00:20:16.843
HUA109827,109827,新城火車站,POINT (121.641214 24.127645),2023-07-13T00:00:00,2023-07-14T00:20:16.827
HUA129353,129353,安通溫泉,POINT (121.34129 23.28103),2023-07-13T00:00:00,2023-07-14T00:20:16.843
HUA129523,129523,三角市場,POINT (121.576976 23.992317),2023-07-13T00:00:00,2023-07-14T00:20:16.827
HUA129524,129524,碧雲莊,POINT (121.572841 23.993642),2023-07-13T00:00:00,2023-07-14T00:20:16.907
HUA129526,129526,水源村,POINT (121.55637 24.0031),2023-07-13T00:00:00,2023-07-14T00:20:16.907
HUA129535,129535,市立圖書館,POINT (121.601305 23.989762),2023-07-13T00:00:00,2023-07-14T00:20:16.937
HUA129539,129539,大同市場,POINT (121.60624 23.98108),2023-07-13T00:00:00,2023-07-14T00:20:16.89
HUA129534,129534,明廉國小,POINT (121.595165 23.995091),2023-07-13T00:00:00,2023-07-14T00:20:16.89
HUA129540,129540,台灣企銀,POINT (121.60822 23.97864),2023-07-13T00:00:00,2023-07-14T00:20:16.907
HUA129531,129531,建國路加油站,POINT (121.584164 23.989074),2023-07-13T00:00:00,2023-07-14T00:20:16.907
HUA129525,129525,慈濟科技大學,POINT (121.5647 23.996271),2023-07-13T00:00:00,2023-07-14T00:20:16.907
HUA129545,129545,黎明教養院,POINT (121.621006 23.98218),2023-07-13T00:00:00,2023-07-14T00:20:16.983
HUA129552,129552,市老人會,POINT (121.6321 23.9924),2023-07-13T00:00:00,2023-07-14T00:20:16.983
HUA129541,129541,中山福建街口,POINT (121.610383 23.975672),2023-07-13T00:00:00,2023-07-14T00:20:16.983
HUA129550,129550,中美中興路口,POINT (121.627801 23.993813),2023-07-13T00:00:00,2023-07-14T00:20:16.983
HUA129551,129551,家扶中心,POINT (121.62952 23.99308),2023-07-13T00:00:00,2023-07-14T00:20:17.03
HUA129554,129554,中油辦公大樓,POINT (121.632264 24.000487),2023-07-13T00:00:00,2023-07-14T00:20:17
HUA129547,129547,門諾醫院,POINT (121.62617 23.9882),2023-07-13T00:00:00,2023-07-14T00:20:16.967
HUA129544,129544,花蓮女中,POINT (121.61713 23.97865),2023-07-13T00:00:00,2023-07-14T00:20:17
HUA129557,129557,七星潭,POINT (121.626317 24.030661),2023-07-13T00:00:00,2023-07-14T00:20:17.093
HUA129562,129562,市老人會,POINT (121.63198 23.99245),2023-07-13T00:00:00,2023-07-14T00:20:17.063
HUA129555,129555,民意社區,POINT (121.630043 24.002609),2023-07-13T00:00:00,2023-07-14T00:20:17.063
HUA129559,129559,民意社區,POINT (121.629991 24.002625),2023-07-13T00:00:00,2023-07-14T00:20:17.077
HUA129563,129563,家扶中心,POINT (121.62962 23.99323),2023-07-13T00:00:00,2023-07-14T00:20:17.11
HUA129560,129560,中油辦公大樓,POINT (121.632106 24.000685),2023-07-13T00:00:00,2023-07-14T00:20:17.11
HUA129558,129558,花蓮酒廠,POINT (121.635319 24.019485),2023-07-13T00:00:00,2023-07-14T00:20:17.063
HUA129556,129556,花蓮酒廠,POINT (121.635629 24.019486),2023-07-13T00:00:00,2023-07-14T00:20:17.077
HUA129567,129567,門諾醫院,POINT (121.62589 23.98819),2023-07-13T00:00:00,2023-07-14T00:20:17.19
HUA129573,129573,中山福建街口,POINT (121.610377 23.975659),2023-07-13T00:00:00,2023-07-14T00:20:17.14
HUA129564,129564,中美中興路口,POINT (121.627801 23.993813),2023-07-13T00:00:00,2023-07-14T00:20:17.14
HUA129570,129570,花蓮女中,POINT (121.61697 23.97875),2023-07-13T00:00:00,2023-07-14T00:20:17.17
HUA129572,129572,北濱街,POINT (121.61325 23.97288),2023-07-13T00:00:00,2023-07-14T00:20:17.19
HUA129574,129574,台灣企銀,POINT (121.60821 23.97858),2023-07-13T00:00:00,2023-07-14T00:20:17.297
HUA129569,129569,黎明教養院,POINT (121.620518 23.982078),2023-07-13T00:00:00,2023-07-14T00:20:17.157
HUA129565,129565,翰品酒店,POINT (121.626383 23.992349),2023-07-13T00:00:00,2023-07-14T00:20:17.157
HUA131575,131575,九曲洞,POINT (121.529039 24.17135),2023-07-13T00:00:00,2023-07-14T00:20:17.267
