StationGroupUID,StationGroupID,StationGroupName,StationGroupPosition,UpdateTime,VersionID
HUA962－026,962－026,{'Zh_tw': '長濱鄉公所'},"{'PositionLon': 121.451665, 'PositionLat': 23.314925, 'GeoHash': 'wsnkesq7k'}",2023-07-13T07:38:39+08:00,1790
HUA962－052,962－052,{'Zh_tw': '寧埔休憩區'},"{'PositionLon': 121.417972, 'PositionLat': 23.248855, 'GeoHash': 'wsnk6bmf7'}",2023-07-13T07:38:39+08:00,1790
HUA962－053,962－053,{'Zh_tw': '金剛大道'},"{'PositionLon': 121.4485, 'PositionLat': 23.33021, 'GeoHash': 'wsnkexhh7'}",2023-07-13T07:38:39+08:00,1790
HUA962－054,962－054,{'Zh_tw': '長濱農拓中心'},"{'PositionLon': 121.4609, 'PositionLat': 23.32635, 'GeoHash': 'wsnkeymju'}",2023-07-13T07:38:39+08:00,1790
HUA970－013,970－013,{'Zh_tw': '翰品酒店'},"{'PositionLon': 121.626383, 'PositionLat': 23.992349, 'GeoHash': 'wsq2rxtts'}",2023-07-13T07:38:39+08:00,1790
HUA970－046,970－046,{'Zh_tw': '市立圖書館'},"{'PositionLon': 121.601368, 'PositionLat': 23.989827, 'GeoHash': 'wsq2rp5qv'}",2023-07-13T07:38:39+08:00,1790
HUA970－049,970－049,{'Zh_tw': '大同市場'},"{'PositionLon': 121.606265, 'PositionLat': 23.98115, 'GeoHash': 'wsq2rjwur'}",2023-07-13T07:38:39+08:00,1790
HUA970－050,970－050,{'Zh_tw': '台灣企銀'},"{'PositionLon': 121.608215, 'PositionLat': 23.97861, 'GeoHash': 'wsq2rm0ms'}",2023-07-13T07:38:39+08:00,1790
HUA970－051,970－051,{'Zh_tw': '花蓮旅行社'},"{'PositionLon': 121.610383, 'PositionLat': 23.975672, 'GeoHash': 'wsq2rk9ur'}",2023-07-13T07:38:39+08:00,1790
HUA970－054,970－054,{'Zh_tw': '花蓮女中'},"{'PositionLon': 121.61705, 'PositionLat': 23.9787, 'GeoHash': 'wsq2rmny4'}",2023-07-13T07:38:39+08:00,1790
HUA970－055,970－055,{'Zh_tw': '黎明教養院(花蓮港)'},"{'PositionLon': 121.621006, 'PositionLat': 23.98218, 'GeoHash': 'wsq2rtcdq'}",2023-07-13T07:38:39+08:00,1790
HUA970－056,970－056,{'Zh_tw': '亞士都飯店'},"{'PositionLon': 121.62287, 'PositionLat': 23.98446, 'GeoHash': 'wsq2rw5pd'}",2023-07-13T07:38:39+08:00,1790
HUA970－057,970－057,{'Zh_tw': '門諾醫院'},"{'PositionLon': 121.62603, 'PositionLat': 23.988195, 'GeoHash': 'wsq2rwvm7'}",2023-07-13T07:38:39+08:00,1790
HUA970－059,970－059,{'Zh_tw': '中美中興路口'},"{'PositionLon': 121.627801, 'PositionLat': 23.993813, 'GeoHash': 'wsq2rxywj'}",2023-07-13T07:38:39+08:00,1790
HUA970－060,970－060,{'Zh_tw': '家扶中心'},"{'PositionLon': 121.62957, 'PositionLat': 23.993155, 'GeoHash': 'wsq2rxzfq'}",2023-07-13T07:38:39+08:00,1790
HUA970－061,970－061,{'Zh_tw': '市老人會'},"{'PositionLon': 121.63204, 'PositionLat': 23.992425, 'GeoHash': 'wsq2rz9wp'}",2023-07-13T07:38:39+08:00,1790
HUA970－063,970－063,{'Zh_tw': '中油辦公室大樓'},"{'PositionLon': 121.632264, 'PositionLat': 24.000487, 'GeoHash': 'wsq2xc1uv'}",2023-07-13T07:38:39+08:00,1790
