StationUID,StationID,StationName,Geometry,UpdateDate,CheckDate
MIA134252,134252,國家衛生研究院,POINT (120.915183 24.706966),2023-07-13T00:00:00,2023-07-14T00:19:14.28
MIA134256,134256,竹南火車站(東站),POINT (120.881956 24.686206),2023-07-13T00:00:00,2023-07-14T00:19:14.28
MIA134255,134255,頭份運動公園,POINT (120.893089 24.689383),2023-07-13T00:00:00,2023-07-14T00:19:14.28
MIA134253,134253,建國路口,POINT (120.90889 24.695975),2023-07-13T00:00:00,2023-07-14T00:19:14.28
MIA134258,134258,德照橋,POINT (120.864016 24.657129),2023-07-13T00:00:00,2023-07-14T00:19:14.28
MIA134254,134254,頭份國中,POINT (120.90221 24.69091),2023-07-13T00:00:00,2023-07-14T00:19:14.28
MIA134251,134251,竹南科學園區,POINT (120.92265 24.70719),2023-07-13T00:00:00,2023-07-14T00:19:14.28
MIA134257,134257,尖山米粉街口,POINT (120.879608 24.664012),2023-07-13T00:00:00,2023-07-14T00:19:14.28
MIA134265,134265,縣政府,POINT (120.821368 24.563195),2023-07-13T00:00:00,2023-07-14T00:19:14.357
MIA134260,134260,育達科大,POINT (120.845345 24.647739),2023-07-13T00:00:00,2023-07-14T00:19:14.357
MIA134267,134267,南苗派出所,POINT (120.813863 24.551249),2023-07-13T00:00:00,2023-07-14T00:19:14.357
MIA134261,134261,高鐵苗栗站,POINT (120.8245 24.60558),2023-07-13T00:00:00,2023-07-14T00:19:14.357
MIA134264,134264,苗栗火車站(西站),POINT (120.820796 24.569857),2023-07-13T00:00:00,2023-07-14T00:19:14.357
MIA134263,134263,國華路口,POINT (120.820068 24.574867),2023-07-13T00:00:00,2023-07-14T00:19:14.357
MIA134266,134266,小巨蛋,POINT (120.815276 24.564153),2023-07-13T00:00:00,2023-07-14T00:19:14.373
MIA134273,134273,苗栗特色館,POINT (120.82833 24.489392),2023-07-13T00:00:00,2023-07-14T00:19:14.437
MIA134269,134269,苗栗工藝園區,POINT (120.816871 24.533204),2023-07-13T00:00:00,2023-07-14T00:19:14.437
