StationUID,StationID,ServiceStatus,ServiceType,AvailableRentBikes,AvailableReturnBikes,SrcUpdateTime,UpdateTime,AvailableRentBikesDetail
MIA500705001,500705001,1,2,2,10,2023-07-09T22:25:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 2, 'ElectricBikes': 0}"
MIA500705002,500705002,1,2,1,5,2023-07-05T02:08:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
MIA500705003,500705003,1,2,4,2,2023-07-05T02:41:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 0}"
MIA500705004,500705004,1,2,1,5,2023-07-01T07:40:11+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
MIA500710001,500710001,1,2,6,0,2023-07-03T18:47:20+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 0}"
MIA500710002,500710002,1,2,2,4,2023-07-07T03:09:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 2, 'ElectricBikes': 0}"
MIA500710003,500710003,1,2,3,2,2023-07-10T09:53:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 3, 'ElectricBikes': 0}"
MIA500710004,500710004,1,2,0,6,2023-07-03T20:13:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 0}"
MIA500710005,500710005,1,2,4,2,2023-07-04T17:37:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 0}"
MIA6601,6601,1,1,10,68,2023-07-14T00:28:33+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 10, 'ElectricBikes': 0}"
MIA6602,6602,1,1,11,38,2023-07-14T00:27:18+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 11, 'ElectricBikes': 0}"
MIA6603,6603,1,1,15,43,2023-07-14T00:28:24+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 15, 'ElectricBikes': 0}"
MIA6604,6604,1,1,19,41,2023-07-14T00:28:45+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 19, 'ElectricBikes': 0}"
MIA6605,6605,1,1,30,8,2023-07-14T00:29:16+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 30, 'ElectricBikes': 0}"
MIA6606,6606,1,1,21,18,2023-07-14T00:28:40+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 21, 'ElectricBikes': 0}"
MIA6607,6607,1,1,22,18,2023-07-14T00:28:22+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 22, 'ElectricBikes': 0}"
MIA6608,6608,1,1,20,26,2023-07-14T00:28:32+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 20, 'ElectricBikes': 0}"
MIA6609,6609,1,1,15,31,2023-07-14T00:28:40+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 15, 'ElectricBikes': 0}"
MIA6610,6610,1,1,61,14,2023-07-14T00:28:42+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 61, 'ElectricBikes': 0}"
MIA6611,6611,1,1,49,41,2023-07-14T00:28:30+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 49, 'ElectricBikes': 0}"
MIA6612,6612,1,1,10,70,2023-07-14T00:28:40+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 10, 'ElectricBikes': 0}"
MIA6613,6613,1,1,21,83,2023-07-14T00:29:18+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 21, 'ElectricBikes': 0}"
MIA6614,6614,1,1,18,42,2023-07-14T00:28:23+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 18, 'ElectricBikes': 0}"
MIA6615,6615,1,1,19,20,2023-07-14T00:28:36+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 19, 'ElectricBikes': 0}"
MIA6616,6616,1,1,19,21,2023-07-14T00:28:43+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 19, 'ElectricBikes': 0}"
MIA6617,6617,1,1,22,20,2023-07-14T00:28:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 22, 'ElectricBikes': 0}"
MIA6618,6618,1,1,24,12,2023-07-14T00:28:38+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 24, 'ElectricBikes': 0}"
MIA6619,6619,1,1,16,20,2023-07-14T00:28:40+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 16, 'ElectricBikes': 0}"
MIA6620,6620,1,1,18,18,2023-07-14T00:28:19+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 18, 'ElectricBikes': 0}"
MIA6621,6621,1,1,14,14,2023-07-14T00:28:37+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 14, 'ElectricBikes': 0}"
MIA6623,6623,1,1,10,48,2023-07-14T00:28:29+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 10, 'ElectricBikes': 0}"
MIA6624,6624,1,1,11,25,2023-07-14T00:28:31+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 11, 'ElectricBikes': 0}"
MIA6625,6625,1,1,26,10,2023-07-14T00:28:20+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 26, 'ElectricBikes': 0}"
MIA6626,6626,1,1,20,23,2023-07-14T00:28:44+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 20, 'ElectricBikes': 0}"
MIA6627,6627,1,1,17,30,2023-07-14T00:28:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 17, 'ElectricBikes': 0}"
MIA6628,6628,1,1,16,16,2023-07-14T00:28:30+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 16, 'ElectricBikes': 0}"
MIA6629,6629,1,1,19,19,2023-07-14T00:28:23+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 19, 'ElectricBikes': 0}"
MIA6630,6630,1,1,36,37,2023-07-14T00:28:40+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 36, 'ElectricBikes': 0}"
MIA6631,6631,1,1,21,9,2023-07-14T00:28:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 21, 'ElectricBikes': 0}"
MIA6632,6632,1,1,15,33,2023-07-14T00:28:41+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 15, 'ElectricBikes': 0}"
MIA6633,6633,1,1,80,15,2023-07-14T00:28:42+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 80, 'ElectricBikes': 0}"
MIA6634,6634,1,1,9,17,2023-07-14T00:28:20+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 9, 'ElectricBikes': 0}"
MIA6635,6635,1,1,22,22,2023-07-14T00:28:38+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 22, 'ElectricBikes': 0}"
MIA6636,6636,1,1,13,6,2023-07-14T00:29:16+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 13, 'ElectricBikes': 0}"
MIA6637,6637,1,1,14,8,2023-07-14T00:28:22+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 14, 'ElectricBikes': 0}"
MIA6638,6638,1,1,9,10,2023-07-14T00:28:25+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 9, 'ElectricBikes': 0}"
MIA6639,6639,1,1,8,6,2023-07-14T00:28:22+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 8, 'ElectricBikes': 0}"
