StationGroupUID,StationGroupID,StationGroupName,StationGroupPosition,UpdateTime,VersionID
MIA350－045,350－045,{'Zh_tw': '竹南科學園區'},"{'PositionLon': 120.92265, 'PositionLat': 24.70719, 'GeoHash': 'wsmux9v1v'}",2023-07-13T07:38:39+08:00,1790
MIA350－046,350－046,{'Zh_tw': '國家衛生研究院'},"{'PositionLon': 120.915183, 'PositionLat': 24.7070655, 'GeoHash': 'wsmux3z9p'}",2023-07-13T07:38:39+08:00,1790
MIA350－047,350－047,{'Zh_tw': '竹南火車站(東站)'},"{'PositionLon': 120.8819905, 'PositionLat': 24.686075, 'GeoHash': 'wsmuqtzwf'}",2023-07-13T07:38:39+08:00,1790
MIA350－048,350－048,{'Zh_tw': '苗北藝文中心'},"{'PositionLon': 120.8861215, 'PositionLat': 24.6904885, 'GeoHash': 'wsmuqyf8d'}",2023-07-13T07:38:39+08:00,1790
MIA351－105,351－105,{'Zh_tw': '建國路口'},"{'PositionLon': 120.909036, 'PositionLat': 24.6958665, 'GeoHash': 'wsmurrerb'}",2023-07-13T07:38:39+08:00,1790
MIA351－109,351－109,{'Zh_tw': '頭份國中'},"{'PositionLon': 120.90221, 'PositionLat': 24.69091, 'GeoHash': 'wsmurny6c'}",2023-07-13T07:38:39+08:00,1790
MIA351－110,351－110,{'Zh_tw': '頭份運動公園'},"{'PositionLon': 120.893, 'PositionLat': 24.6893735, 'GeoHash': 'wsmuqyxd5'}",2023-07-13T07:38:39+08:00,1790
MIA351－111,351－111,{'Zh_tw': '尖山米粉街口'},"{'PositionLon': 120.8796575, 'PositionLat': 24.663949, 'GeoHash': 'wsmuq9vvu'}",2023-07-13T07:38:39+08:00,1790
MIA356－090,356－090,{'Zh_tw': '高鐵苗栗站'},"{'PositionLon': 120.8245, 'PositionLat': 24.60558, 'GeoHash': 'wsmgvrm9y'}",2023-07-13T07:38:39+08:00,1790
MIA360－080,360－080,{'Zh_tw': '國華路口'},"{'PositionLon': 120.820142, 'PositionLat': 24.5749215, 'GeoHash': 'wsmgv3dx3'}",2023-07-13T07:38:39+08:00,1790
MIA360－081,360－081,{'Zh_tw': '苗栗火車站(西站)'},"{'PositionLon': 120.8208895, 'PositionLat': 24.569866, 'GeoHash': 'wsmgv2g1f'}",2023-07-13T07:38:39+08:00,1790
MIA360－082,360－082,{'Zh_tw': '縣政府'},"{'PositionLon': 120.821481485, 'PositionLat': 24.563308, 'GeoHash': 'wsmgtree8'}",2023-07-13T07:38:39+08:00,1790
MIA360－083,360－083,{'Zh_tw': '小巨蛋'},"{'PositionLon': 120.8151675, 'PositionLat': 24.564085, 'GeoHash': 'wsmgtpybj'}",2023-07-13T07:38:39+08:00,1790
MIA360－084,360－084,{'Zh_tw': '南苗派出所'},"{'PositionLon': 120.8139965, 'PositionLat': 24.5512585, 'GeoHash': 'wsmgtjqj6'}",2023-07-13T07:38:39+08:00,1790
MIA360－085,360－085,{'Zh_tw': '聯合大學'},"{'PositionLon': 120.811942, 'PositionLat': 24.545495, 'GeoHash': 'wsmgthkef'}",2023-07-13T07:38:39+08:00,1790
MIA360－086,360－086,{'Zh_tw': '苗栗工藝園區'},"{'PositionLon': 120.817088, 'PositionLat': 24.533051, 'GeoHash': 'wsmgt6076'}",2023-07-13T07:38:39+08:00,1790
MIA360－090,360－090,{'Zh_tw': '西山尾'},"{'PositionLon': 120.8168215, 'PositionLat': 24.587878, 'GeoHash': 'wsmgvk04g'}",2023-07-13T07:38:39+08:00,1790
MIA361－037,361－037,{'Zh_tw': '德照橋'},"{'PositionLon': 120.864016, 'PositionLat': 24.657129, 'GeoHash': 'wsmuq2dqp'}",2023-07-13T07:38:39+08:00,1790
MIA361－038,361－038,{'Zh_tw': '談文'},"{'PositionLon': 120.8528305, 'PositionLat': 24.6541345, 'GeoHash': 'wsmuq04ke'}",2023-07-13T07:38:39+08:00,1790
MIA361－039,361－039,{'Zh_tw': '育達科大'},"{'PositionLon': 120.845444, 'PositionLat': 24.647667, 'GeoHash': 'wsmujyuzn'}",2023-07-13T07:38:39+08:00,1790
MIA361－040,361－040,{'Zh_tw': '育達校區'},"{'PositionLon': 120.84183, 'PositionLat': 24.65024, 'GeoHash': 'wsmujz6q4'}",2023-07-13T07:38:39+08:00,1790
MIA363－044,363－044,{'Zh_tw': '苗栗交流道'},"{'PositionLon': 120.8215475, 'PositionLat': 24.520389, 'GeoHash': 'wsmgmrg9d'}",2023-07-13T07:38:39+08:00,1790
MIA363－045,363－045,{'Zh_tw': '公館鄉公所'},"{'PositionLon': 120.826896, 'PositionLat': 24.5062205, 'GeoHash': 'wsmgmmprn'}",2023-07-13T07:38:39+08:00,1790
MIA363－046,363－046,{'Zh_tw': '苗栗農改場'},"{'PositionLon': 120.828031, 'PositionLat': 24.495143, 'GeoHash': 'wsmgme0q9'}",2023-07-13T07:38:39+08:00,1790
MIA363－047,363－047,{'Zh_tw': '苗栗特色館'},"{'PositionLon': 120.828404, 'PositionLat': 24.4894055, 'GeoHash': 'wsmgmd0t1'}",2023-07-13T07:38:39+08:00,1790
MIA363－049,363－049,{'Zh_tw': '石墻'},"{'PositionLon': 120.81682, 'PositionLat': 24.483803, 'GeoHash': 'wsmgm30h7'}",2023-07-13T07:38:39+08:00,1790
MIA364－078,364－078,{'Zh_tw': '雪霸國家公園管理處'},"{'PositionLon': 120.87667, 'PositionLat': 24.45187, 'GeoHash': 'wsmgne7dq'}",2023-07-13T07:38:39+08:00,1790
