OriginStationID,OriginStationName,DestinationStationID,DestinationStationName,TrainType,Fares,SrcUpdateTime,UpdateTime,VersionID
MK01,"{'Zh_tw': '動物園站', 'En': 'Taipei Zoo Station'}",MK01,"{'Zh_tw': '動物園站', 'En': 'Taipei Zoo Station'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 70}, {'TicketType': 1, 'FareClass': 2, 'Price': 70}, {'TicketType': 1, 'FareClass': 3, 'Price': 50}, {'TicketType': 1, 'FareClass': 4, 'Price': 50}, {'TicketType': 1, 'FareClass': 5, 'Price': 50}, {'TicketType': 1, 'FareClass': 6, 'Price': 50}, {'TicketType': 1, 'FareClass': 7, 'Price': 50}]",2017-04-21T00:00:00+08:00,2020-06-22T14:00:00+08:00,1
MK01,"{'Zh_tw': '動物園站', 'En': 'Taipei Zoo Station'}",MK02,"{'Zh_tw': '動物園南站', 'En': 'Taipei Zoo South Station'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 70}, {'TicketType': 1, 'FareClass': 2, 'Price': 70}, {'TicketType': 1, 'FareClass': 3, 'Price': 50}, {'TicketType': 1, 'FareClass': 4, 'Price': 50}, {'TicketType': 1, 'FareClass': 5, 'Price': 50}, {'TicketType': 1, 'FareClass': 6, 'Price': 50}, {'TicketType': 1, 'FareClass': 7, 'Price': 50}]",2017-04-21T00:00:00+08:00,2020-06-22T14:00:00+08:00,1
MK01,"{'Zh_tw': '動物園站', 'En': 'Taipei Zoo Station'}",MK03,"{'Zh_tw': '指南宮站', 'En': 'Zhinan Temple Station'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 100}, {'TicketType': 1, 'FareClass': 2, 'Price': 100}, {'TicketType': 1, 'FareClass': 3, 'Price': 50}, {'TicketType': 1, 'FareClass': 4, 'Price': 50}, {'TicketType': 1, 'FareClass': 5, 'Price': 50}, {'TicketType': 1, 'FareClass': 6, 'Price': 50}, {'TicketType': 1, 'FareClass': 7, 'Price': 50}]",2017-04-21T00:00:00+08:00,2020-06-22T14:00:00+08:00,1
MK01,"{'Zh_tw': '動物園站', 'En': 'Taipei Zoo Station'}",MK04,"{'Zh_tw': '貓空站', 'En': 'Maokong Station'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 120}, {'TicketType': 1, 'FareClass': 2, 'Price': 120}, {'TicketType': 1, 'FareClass': 3, 'Price': 50}, {'TicketType': 1, 'FareClass': 4, 'Price': 50}, {'TicketType': 1, 'FareClass': 5, 'Price': 50}, {'TicketType': 1, 'FareClass': 6, 'Price': 50}, {'TicketType': 1, 'FareClass': 7, 'Price': 50}]",2017-04-21T00:00:00+08:00,2020-06-22T14:00:00+08:00,1
MK02,"{'Zh_tw': '動物園南站', 'En': 'Taipei Zoo South Station'}",MK01,"{'Zh_tw': '動物園站', 'En': 'Taipei Zoo Station'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 70}, {'TicketType': 1, 'FareClass': 2, 'Price': 70}, {'TicketType': 1, 'FareClass': 3, 'Price': 50}, {'TicketType': 1, 'FareClass': 4, 'Price': 50}, {'TicketType': 1, 'FareClass': 5, 'Price': 50}, {'TicketType': 1, 'FareClass': 6, 'Price': 50}, {'TicketType': 1, 'FareClass': 7, 'Price': 50}]",2017-04-21T00:00:00+08:00,2020-06-22T14:00:00+08:00,1
MK02,"{'Zh_tw': '動物園南站', 'En': 'Taipei Zoo South Station'}",MK02,"{'Zh_tw': '動物園南站', 'En': 'Taipei Zoo South Station'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 70}, {'TicketType': 1, 'FareClass': 2, 'Price': 70}, {'TicketType': 1, 'FareClass': 3, 'Price': 50}, {'TicketType': 1, 'FareClass': 4, 'Price': 50}, {'TicketType': 1, 'FareClass': 5, 'Price': 50}, {'TicketType': 1, 'FareClass': 6, 'Price': 50}, {'TicketType': 1, 'FareClass': 7, 'Price': 50}]",2017-04-21T00:00:00+08:00,2020-06-22T14:00:00+08:00,1
MK02,"{'Zh_tw': '動物園南站', 'En': 'Taipei Zoo South Station'}",MK03,"{'Zh_tw': '指南宮站', 'En': 'Zhinan Temple Station'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 70}, {'TicketType': 1, 'FareClass': 2, 'Price': 70}, {'TicketType': 1, 'FareClass': 3, 'Price': 50}, {'TicketType': 1, 'FareClass': 4, 'Price': 50}, {'TicketType': 1, 'FareClass': 5, 'Price': 50}, {'TicketType': 1, 'FareClass': 6, 'Price': 50}, {'TicketType': 1, 'FareClass': 7, 'Price': 50}]",2017-04-21T00:00:00+08:00,2020-06-22T14:00:00+08:00,1
MK02,"{'Zh_tw': '動物園南站', 'En': 'Taipei Zoo South Station'}",MK04,"{'Zh_tw': '貓空站', 'En': 'Maokong Station'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 100}, {'TicketType': 1, 'FareClass': 2, 'Price': 100}, {'TicketType': 1, 'FareClass': 3, 'Price': 50}, {'TicketType': 1, 'FareClass': 4, 'Price': 50}, {'TicketType': 1, 'FareClass': 5, 'Price': 50}, {'TicketType': 1, 'FareClass': 6, 'Price': 50}, {'TicketType': 1, 'FareClass': 7, 'Price': 50}]",2017-04-21T00:00:00+08:00,2020-06-22T14:00:00+08:00,1
MK03,"{'Zh_tw': '指南宮站', 'En': 'Zhinan Temple Station'}",MK01,"{'Zh_tw': '動物園站', 'En': 'Taipei Zoo Station'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 100}, {'TicketType': 1, 'FareClass': 2, 'Price': 100}, {'TicketType': 1, 'FareClass': 3, 'Price': 50}, {'TicketType': 1, 'FareClass': 4, 'Price': 50}, {'TicketType': 1, 'FareClass': 5, 'Price': 50}, {'TicketType': 1, 'FareClass': 6, 'Price': 50}, {'TicketType': 1, 'FareClass': 7, 'Price': 50}]",2017-04-21T00:00:00+08:00,2020-06-22T14:00:00+08:00,1
MK03,"{'Zh_tw': '指南宮站', 'En': 'Zhinan Temple Station'}",MK02,"{'Zh_tw': '動物園南站', 'En': 'Taipei Zoo South Station'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 70}, {'TicketType': 1, 'FareClass': 2, 'Price': 70}, {'TicketType': 1, 'FareClass': 3, 'Price': 50}, {'TicketType': 1, 'FareClass': 4, 'Price': 50}, {'TicketType': 1, 'FareClass': 5, 'Price': 50}, {'TicketType': 1, 'FareClass': 6, 'Price': 50}, {'TicketType': 1, 'FareClass': 7, 'Price': 50}]",2017-04-21T00:00:00+08:00,2020-06-22T14:00:00+08:00,1
