RouteUID,RouteID,RouteName
LIE10003,10003,山線塘岐發(08:00)
LIE10009,10009,海線塘岐發(14:00)
LIE10015,10015,山線白沙發(1640)
LIE14,14,山線介壽發(14:30)
LIE10011,10011,海線白沙發(0635)
LIE10001,10001,山線塘岐發(06:20)
LIE10004,10004,山線塘岐發(10:00，15:40)
LIE10012,10012,山線白沙發(07:25)
LIE17,17,海線介壽發(17:40)
LIE21041,21041,北竿路線公車
LIE21,21,海線介壽發(07:30)
LIE303,303,山線梅石發(06:20)
LIE32,32,山線馬港發(14:25)
LIE301,301,山線梅石發(06:20)
LIE18,18,海線介壽發(14:00)
LIE302,302,海線梅石發(06:20)
LIE36,36,山線馬港發(08:55)
LIE5,5,山線介壽發(11:30)
LIE39,39,山線馬港發(10:45)
LIE40,40,山線馬港發(15:15)
LIE7,7,山線介壽發(16:00)
LIE41,41,山線馬港發(11:50)
LIE8,8,山線介壽發(15:30)
