StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,SrcUpdateTime,UpdateTime
LIE101,101,"{'Zh_tw': '塘岐_往莒光堡', 'En': 'Tangqi'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",0,1,3,2023-07-14T00:47:27+08:00,2023-07-14T00:47:12+08:00
LIE102,102,"{'Zh_tw': '衛生所', 'En': 'Health Center'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",0,6,3,2023-07-14T00:47:27+08:00,2023-07-14T00:47:12+08:00
LIE103,103,"{'Zh_tw': '軍醫院', 'En': 'Military hospital'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",0,7,3,2023-07-14T00:47:27+08:00,2023-07-14T00:47:12+08:00
LIE106,106,"{'Zh_tw': '碧園', 'En': 'Biyuan'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",0,8,3,2023-07-14T00:47:27+08:00,2023-07-14T00:47:12+08:00
LIE107,107,"{'Zh_tw': '加油站', 'En': 'Gas station'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",0,9,3,2023-07-14T00:47:27+08:00,2023-07-14T00:47:12+08:00
LIE108,108,"{'Zh_tw': '上村', 'En': 'SHANG CUN'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",0,10,3,2023-07-14T00:47:27+08:00,2023-07-14T00:47:12+08:00
LIE111,111,"{'Zh_tw': '板里水庫', 'En': 'Banli Reservoir'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",0,11,3,2023-07-14T00:47:27+08:00,2023-07-14T00:47:12+08:00
LIE112,112,"{'Zh_tw': '板里', 'En': 'Banli'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",0,12,3,2023-07-14T00:47:27+08:00,2023-07-14T00:47:12+08:00
LIE113,113,"{'Zh_tw': '中澳口', 'En': 'Zhong aokou Bay'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",0,13,3,2023-07-14T00:47:27+08:00,2023-07-14T00:47:12+08:00
LIE114,114,"{'Zh_tw': '白沙', 'En': 'baisha'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",0,14,3,2023-07-14T00:47:27+08:00,2023-07-14T00:47:12+08:00
LIE126,126,"{'Zh_tw': '莒光堡', 'En': 'Juguang Fort'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",0,2,3,2023-07-14T00:47:27+08:00,2023-07-14T00:47:12+08:00
LIE127,127,"{'Zh_tw': '橋仔_山線加遶', 'En': 'CIAO ZIH'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",0,3,3,2023-07-14T00:47:27+08:00,2023-07-14T00:47:12+08:00
LIE135,135,"{'Zh_tw': '莒光堡_山線加遶', 'En': 'JU GUANG BAO'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",0,4,3,2023-07-14T00:47:27+08:00,2023-07-14T00:47:12+08:00
LIE136,136,"{'Zh_tw': '后澳', 'En': 'HOU\tAO'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",LIE10001,10001,"{'Zh_tw': '山線塘岐發(06:20)', 'En': 'Mountain Tangqi departure (06:20)'}",0,5,3,2023-07-14T00:47:27+08:00,2023-07-14T00:47:12+08:00
LIE101,101,"{'Zh_tw': '塘岐_往莒光堡', 'En': 'Tangqi'}",LIE10003,10003,"{'Zh_tw': '山線塘岐發(08:00)', 'En': 'Mountain Tangqi departure (08:00)'}",LIE10003,10003,"{'Zh_tw': '山線塘岐發(08:00)', 'En': 'Mountain Tangqi departure (08:00)'}",0,1,3,2023-07-14T00:47:27+08:00,2023-07-14T00:47:12+08:00
LIE102,102,"{'Zh_tw': '衛生所', 'En': 'Health Center'}",LIE10003,10003,"{'Zh_tw': '山線塘岐發(08:00)', 'En': 'Mountain Tangqi departure (08:00)'}",LIE10003,10003,"{'Zh_tw': '山線塘岐發(08:00)', 'En': 'Mountain Tangqi departure (08:00)'}",0,2,3,2023-07-14T00:47:27+08:00,2023-07-14T00:47:12+08:00
LIE103,103,"{'Zh_tw': '軍醫院', 'En': 'Military hospital'}",LIE10003,10003,"{'Zh_tw': '山線塘岐發(08:00)', 'En': 'Mountain Tangqi departure (08:00)'}",LIE10003,10003,"{'Zh_tw': '山線塘岐發(08:00)', 'En': 'Mountain Tangqi departure (08:00)'}",0,3,3,2023-07-14T00:47:27+08:00,2023-07-14T00:47:12+08:00
LIE106,106,"{'Zh_tw': '碧園', 'En': 'Biyuan'}",LIE10003,10003,"{'Zh_tw': '山線塘岐發(08:00)', 'En': 'Mountain Tangqi departure (08:00)'}",LIE10003,10003,"{'Zh_tw': '山線塘岐發(08:00)', 'En': 'Mountain Tangqi departure (08:00)'}",0,4,3,2023-07-14T00:47:27+08:00,2023-07-14T00:47:12+08:00
LIE107,107,"{'Zh_tw': '加油站', 'En': 'Gas station'}",LIE10003,10003,"{'Zh_tw': '山線塘岐發(08:00)', 'En': 'Mountain Tangqi departure (08:00)'}",LIE10003,10003,"{'Zh_tw': '山線塘岐發(08:00)', 'En': 'Mountain Tangqi departure (08:00)'}",0,5,3,2023-07-14T00:47:27+08:00,2023-07-14T00:47:12+08:00
LIE108,108,"{'Zh_tw': '上村', 'En': 'SHANG CUN'}",LIE10003,10003,"{'Zh_tw': '山線塘岐發(08:00)', 'En': 'Mountain Tangqi departure (08:00)'}",LIE10003,10003,"{'Zh_tw': '山線塘岐發(08:00)', 'En': 'Mountain Tangqi departure (08:00)'}",0,6,3,2023-07-14T00:47:27+08:00,2023-07-14T00:47:12+08:00
LIE111,111,"{'Zh_tw': '板里水庫', 'En': 'Banli Reservoir'}",LIE10003,10003,"{'Zh_tw': '山線塘岐發(08:00)', 'En': 'Mountain Tangqi departure (08:00)'}",LIE10003,10003,"{'Zh_tw': '山線塘岐發(08:00)', 'En': 'Mountain Tangqi departure (08:00)'}",0,10,3,2023-07-14T00:47:27+08:00,2023-07-14T00:47:12+08:00
