RouteUID,RouteID,RouteName,Geometry,UpdateDate,CheckDate
KIN1111,1111,11路 不繞南山,"LINESTRING (118.32 24.43314, 118.32134 24.43153, 118.3228 24.4318, 118.32425 24.4323, 118.32532 24.43311, 118.32627 24.43408, 118.32715 24.43536, 118.3282 24.43679, 118.329 24.43792, 118.32974 24.43847, 118.33023 24.43866, 118.33114 24.4397, 118.33313 24.44205, 118.33397 24.44306, 118.33545 24.44434, 118.33644 24.44621, 118.33673 24.44663, 118.33749 24.44697, 118.33826 24.44757, 118.3392 24.44871, 118.33787 24.44973, 118.33534 24.45174, 118.33289 24.45378, 118.33108 24.45529, 118.32951 24.45683, 118.32789 24.45849, 118.32572 24.4608, 118.32523 24.46142, 118.32479 24.46222, 118.32411 24.46309, 118.32379 24.46415, 118.32303 24.46611, 118.32266 24.46699, 118.32125 24.46887, 118.31921 24.47154, 118.31671 24.47479, 118.31561 24.47621, 118.31522 24.47671, 118.31451 24.47737, 118.31367 24.47794, 118.313 24.47835, 118.3127 24.47882, 118.31261 24.47885, 118.31296 24.47833, 118.31397 24.47769, 118.3146 24.47723, 118.31521 24.47667, 118.31594 24.47573, 118.31648 24.47502, 118.3164 24.47475, 118.31556 24.47364, 118.31536 24.47335, 118.31535 24.47208, 118.31553 24.47048, 118.31567 24.46902, 118.31579 24.46772, 118.31592 24.46609, 118.31591 24.46409, 118.31591 24.46305, 118.31562 24.46258, 118.31373 24.46068, 118.31365 24.46036, 118.31406 24.45906, 118.31471 24.4571, 118.31451 24.45687, 118.31372 24.45614, 118.31311 24.45578, 118.31256 24.45569, 118.31182 24.45596, 118.31115 24.45559, 118.31025 24.45536, 118.30983 24.45508, 118.30956 24.45514, 118.30896 24.45591, 118.30876 24.45588, 118.30849 24.4558, 118.30827 24.45605, 118.30785 24.45597, 118.30653 24.45576, 118.30575 24.45484, 118.30715 24.45312, 118.30793 24.45215, 118.30811 24.45123, 118.30983 24.4488, 118.31134 24.44675, 118.31148 24.44635, 118.31158 24.44532, 118.31161 24.44385, 118.31173 24.44142, 118.31185 24.43901, 118.31192 24.43748, 118.31285 24.43607, 118.31471 24.43335, 118.31673 24.4354, 118.31837 24.43715, 118.32018 24.43315)",2023-07-12T00:00:00,2023-07-13T00:59:57.283
KIN11,11,紅1往山外,"LINESTRING (118.31997 24.43316, 118.32014 24.43283, 118.32016 24.43272, 118.32023 24.43263, 118.32035 24.43259, 118.32053 24.4326, 118.32091 24.43202, 118.32125 24.43163, 118.32124 24.4315, 118.32135 24.43142, 118.32147 24.43144, 118.32154 24.43155, 118.32314 24.43181, 118.32453 24.43242, 118.32534 24.43306, 118.32633 24.43406, 118.32793 24.43633, 118.32869 24.43748, 118.32929 24.43815, 118.3297 24.43841, 118.32995 24.43849, 118.33018 24.43852, 118.33023 24.43846, 118.33032 24.43844, 118.3304 24.43849, 118.3304 24.43859, 118.34015 24.44107, 118.35176 24.44403, 118.35703 24.44535, 118.35831 24.44555, 118.36481 24.446, 118.3764 24.44678, 118.37648 24.4467, 118.37657 24.4467, 118.37663 24.44679, 118.385 24.44732, 118.3851 24.44724, 118.38519 24.44723, 118.38614 24.44628, 118.38706 24.44529, 118.38719 24.44509, 118.38755 24.4443, 118.388 24.4436, 118.38969 24.44236, 118.39159 24.44066, 118.39228 24.4401, 118.39288 24.43975, 118.39353 24.43947, 118.39391 24.43942, 118.39442 24.43933, 118.39483 24.43921, 118.39529 24.43897, 118.39559 24.43885, 118.39592 24.43882, 118.39617 24.43889, 118.39693 24.43924, 118.3972 24.43965, 118.3976 24.43936, 118.39929 24.4388, 118.40176 24.43775, 118.4022 24.43771, 118.4026 24.43776, 118.40566 24.43851, 118.40613 24.43845, 118.40769 24.43744, 118.40858 24.43666, 118.40909 24.43625, 118.40993 24.43597, 118.41314 24.44057, 118.41325 24.44057, 118.41334 24.44062, 118.41336 24.44072, 118.41329 24.44084, 118.41416 24.4421)",2023-07-12T00:00:00,2023-07-13T00:59:57.283
KIN101,101,10,"LINESTRING (118.32008 24.43324, 118.3184 24.43708, 118.31598 24.43459, 118.31474 24.43342, 118.3119 24.43744, 118.31161 24.44384, 118.31151 24.44612, 118.31137 24.44669, 118.31049 24.44784, 118.30826 24.45085, 118.30793 24.45213, 118.30572 24.45488, 118.3065 24.45576, 118.30753 24.45589, 118.30807 24.45605, 118.30828 24.45599, 118.30844 24.45577, 118.30867 24.45583, 118.3089 24.45595, 118.30908 24.45575, 118.3094 24.45525, 118.3097 24.45505, 118.31025 24.45536, 118.31128 24.45563, 118.31178 24.45596, 118.31242 24.4557, 118.31282 24.45572, 118.31329 24.45586, 118.31409 24.45645, 118.31473 24.45704, 118.31396 24.45932, 118.31362 24.46053, 118.31592 24.46289, 118.31594 24.46547, 118.31574 24.4684, 118.31556 24.47019, 118.31528 24.47314, 118.31644 24.47478, 118.3167 24.47481, 118.31594 24.47587, 118.3149 24.47705, 118.31393 24.4778, 118.31301 24.47834, 118.31179 24.4769, 118.31105 24.47603, 118.31053 24.4758, 118.30938 24.47733, 118.3089 24.47731, 118.30854 24.47707, 118.30806 24.47691, 118.30761 24.47736, 118.30704 24.47759, 118.30501 24.47961, 118.30597 24.48146, 118.30658 24.48209, 118.30805 24.48271, 118.30926 24.48363, 118.31012 24.48435, 118.31124 24.4832, 118.31206 24.48232, 118.31295 24.4818, 118.31305 24.4816, 118.31379 24.48054, 118.31391 24.48016, 118.31361 24.4797, 118.31313 24.47951, 118.31253 24.4789, 118.31304 24.47837, 118.31381 24.47783, 118.31475 24.47722, 118.31603 24.47566, 118.31868 24.47223, 118.32142 24.46865, 118.32268 24.46698, 118.32353 24.46482, 118.32412 24.46315, 118.32499 24.46182, 118.32531 24.46127, 118.32646 24.46001, 118.32903 24.45729, 118.33095 24.45539, 118.33415 24.45273, 118.33601 24.45121, 118.33756 24.44997, 118.33918 24.44873, 118.3383 24.44761, 118.33751 24.44698, 118.33675 24.44659, 118.33642 24.44621, 118.33541 24.4443, 118.33398 24.44306, 118.33228 24.4409, 118.33016 24.43858, 118.32922 24.43819, 118.32742 24.4357, 118.32637 24.43419, 118.32515 24.43295, 118.32415 24.43226, 118.32299 24.43183, 118.32135 24.43155, 118.32 24.43309)",2023-07-12T00:00:00,2023-07-13T00:59:57.283
KIN111,111,11,"LINESTRING (118.32005 24.43313, 118.32134 24.43157, 118.32237 24.43169, 118.32364 24.43205, 118.32457 24.43254, 118.32549 24.43329, 118.32635 24.43418, 118.32708 24.43519, 118.32864 24.43752, 118.32933 24.43819, 118.33021 24.43859, 118.33211 24.44072, 118.33317 24.44214, 118.33392 24.44305, 118.33543 24.44431, 118.33644 24.44621, 118.33676 24.44662, 118.33757 24.44702, 118.33833 24.44765, 118.33912 24.44863, 118.33917 24.44876, 118.33765 24.44991, 118.33515 24.45193, 118.3324 24.45417, 118.33027 24.45605, 118.3276 24.45879, 118.3253 24.46127, 118.32475 24.46228, 118.32412 24.46314, 118.32332 24.46534, 118.32269 24.46695, 118.32083 24.46943, 118.31724 24.47411, 118.31536 24.47662, 118.31454 24.47736, 118.31352 24.47803, 118.31299 24.47833, 118.312 24.47715, 118.31118 24.47615, 118.31054 24.47581, 118.3094 24.47734, 118.30891 24.47733, 118.30848 24.47706, 118.30802 24.47691, 118.30763 24.47734, 118.30717 24.47752, 118.30654 24.478, 118.30582 24.47882, 118.30507 24.47956, 118.30507 24.47972, 118.3057 24.48084, 118.30595 24.48143, 118.30649 24.482, 118.30722 24.48239, 118.30797 24.48267, 118.30849 24.48291, 118.31012 24.48438, 118.31114 24.48327, 118.31197 24.48247, 118.31219 24.48225, 118.31299 24.4818, 118.31361 24.48084, 118.31387 24.48038, 118.3139 24.4801, 118.31373 24.47985, 118.31353 24.47968, 118.31326 24.47964, 118.31285 24.47921, 118.31261 24.47894, 118.313 24.47838, 118.31362 24.478, 118.31456 24.4774, 118.31539 24.47662, 118.3165 24.47517, 118.31642 24.47481, 118.31581 24.47395, 118.31537 24.47336, 118.31531 24.47247, 118.31555 24.4703, 118.31575 24.46813, 118.31593 24.46612, 118.31591 24.46305, 118.31506 24.46201, 118.31364 24.46056, 118.31368 24.46031, 118.3147 24.45705, 118.31368 24.45611, 118.31306 24.45576, 118.31246 24.45571, 118.31177 24.45596, 118.31128 24.45566, 118.31025 24.45536, 118.30978 24.45505, 118.30957 24.45512, 118.30923 24.45543, 118.3091 24.45571, 118.30888 24.45591, 118.30858 24.45578, 118.30838 24.45584, 118.30822 24.45604, 118.30726 24.45583, 118.30653 24.45572, 118.30574 24.45489, 118.30581 24.45474, 118.30788 24.45226, 118.30811 24.45122, 118.31079 24.44753, 118.31141 24.44666, 118.31157 24.44528, 118.31154 24.44439, 118.31178 24.4405, 118.31191 24.43751, 118.31306 24.43583, 118.31471 24.43335, 118.31734 24.43607, 118.31839 24.43711, 118.31935 24.43513, 118.32017 24.43313)",2023-07-12T00:00:00,2023-07-13T00:59:57.283
KIN125,125,12右繞不繞張公廟,"LINESTRING (118.32001 24.4331, 118.32132 24.43141, 118.32157 24.43153, 118.32335 24.43195, 118.32469 24.43253, 118.32639 24.43417, 118.32762 24.43595, 118.32867 24.43749, 118.32935 24.43823, 118.32985 24.43851, 118.33019 24.43869, 118.33112 24.43956, 118.33294 24.44169, 118.33361 24.4426, 118.33549 24.44436, 118.33627 24.44588, 118.33669 24.44658, 118.3373 24.4469, 118.33773 24.44716, 118.3382 24.44753, 118.33873 24.44812, 118.33915 24.44881, 118.33933 24.45003, 118.34271 24.45065, 118.34688 24.45142, 118.34708 24.4526, 118.34705 24.45289, 118.34786 24.45416, 118.3481 24.45454, 118.34837 24.45509, 118.34803 24.45593, 118.34882 24.45659, 118.34999 24.45777, 118.35149 24.45927, 118.3498 24.45941, 118.34976 24.45991, 118.35252 24.46293, 118.35247 24.46293, 118.35016 24.46049, 118.3494 24.45955, 118.34564 24.46011, 118.34092 24.46094, 118.33795 24.46141, 118.33496 24.46189, 118.33691 24.45914, 118.33739 24.4585, 118.33742 24.45805, 118.33743 24.45782, 118.33756 24.45769, 118.33761 24.45767, 118.33801 24.45744, 118.33815 24.45748, 118.33861 24.458, 118.33908 24.45815, 118.33957 24.45748, 118.34057 24.45757, 118.34071 24.45732, 118.341 24.45629, 118.34112 24.45553, 118.34269 24.45258, 118.34357 24.45089, 118.34257 24.45067, 118.33922 24.45006, 118.33907 24.44881, 118.3377 24.44722, 118.33671 24.44654, 118.33634 24.44589, 118.33543 24.44435, 118.33361 24.44269, 118.33206 24.44069, 118.33026 24.43881, 118.33017 24.43874, 118.32971 24.43852, 118.32832 24.43708, 118.32709 24.43531, 118.32622 24.43411, 118.32462 24.43256, 118.32333 24.43201, 118.3216 24.43164, 118.32124 24.43177, 118.32009 24.43313, 118.32008 24.43339)",2023-07-12T00:00:00,2023-07-13T00:59:57.283
KIN12,12,紅1往金城,"LINESTRING (118.41376 24.4424, 118.41416 24.44214, 118.41199 24.43892, 118.41038 24.4366, 118.40989 24.43598, 118.40938 24.4361, 118.40863 24.43651, 118.40781 24.43732, 118.40625 24.43838, 118.40571 24.43848, 118.40449 24.43821, 118.40245 24.43771, 118.40184 24.43772, 118.39941 24.43873, 118.39757 24.43932, 118.397 24.43926, 118.39592 24.43878, 118.39544 24.43888, 118.3944 24.43938, 118.39357 24.43945, 118.39175 24.44046, 118.38907 24.44286, 118.3877 24.44388, 118.38681 24.44559, 118.38508 24.44737, 118.38154 24.44715, 118.37682 24.44682, 118.37649 24.4468, 118.37573 24.44677, 118.36753 24.44622, 118.36493 24.44603, 118.35925 24.44572, 118.35716 24.44547, 118.35451 24.44482, 118.34926 24.44349, 118.34235 24.44168, 118.33685 24.44029, 118.33042 24.43858, 118.33039 24.43847, 118.33028 24.43844, 118.3301 24.4385, 118.3298 24.43845, 118.32938 24.43823, 118.32868 24.43751, 118.32628 24.43402, 118.32449 24.4324, 118.32332 24.43196, 118.32188 24.43164, 118.32134 24.43156, 118.31998 24.43314)",2023-07-12T00:00:00,2023-07-13T00:59:57.283
KIN121,121,12右繞,"LINESTRING (118.32001 24.4331, 118.32132 24.43141, 118.32157 24.43153, 118.32335 24.43195, 118.32469 24.43253, 118.32639 24.43417, 118.32762 24.43595, 118.32867 24.43749, 118.32935 24.43823, 118.32985 24.43851, 118.33019 24.43869, 118.33112 24.43956, 118.33294 24.44169, 118.33361 24.4426, 118.33549 24.44436, 118.33627 24.44588, 118.33669 24.44658, 118.3373 24.4469, 118.33773 24.44716, 118.3382 24.44753, 118.33873 24.44812, 118.33915 24.44881, 118.33933 24.45003, 118.34271 24.45065, 118.34688 24.45142, 118.34708 24.4526, 118.34705 24.45289, 118.34786 24.45416, 118.3481 24.45454, 118.34837 24.45509, 118.34803 24.45593, 118.34882 24.45659, 118.34999 24.45777, 118.35149 24.45927, 118.3498 24.45941, 118.34976 24.45991, 118.35252 24.46293, 118.35247 24.46293, 118.35016 24.46049, 118.3494 24.45955, 118.34564 24.46011, 118.34092 24.46094, 118.33795 24.46141, 118.33496 24.46189, 118.33691 24.45914, 118.33739 24.4585, 118.33742 24.45805, 118.33743 24.45782, 118.33756 24.45769, 118.33686 24.45637, 118.33689 24.45637, 118.33761 24.45767, 118.33801 24.45744, 118.33815 24.45748, 118.33861 24.458, 118.33908 24.45815, 118.33957 24.45748, 118.34057 24.45757, 118.34071 24.45732, 118.341 24.45629, 118.34112 24.45553, 118.34269 24.45258, 118.34357 24.45089, 118.34257 24.45067, 118.33922 24.45006, 118.33907 24.44881, 118.3377 24.44722, 118.33671 24.44654, 118.33634 24.44589, 118.33543 24.44435, 118.33361 24.44269, 118.33206 24.44069, 118.33026 24.43881, 118.33017 24.43874, 118.32971 24.43852, 118.32832 24.43708, 118.32709 24.43531, 118.32622 24.43411, 118.32462 24.43256, 118.32333 24.43201, 118.3216 24.43164, 118.32124 24.43177, 118.32009 24.43313)",2023-07-12T00:00:00,2023-07-13T00:59:57.283
KIN122,122,12左繞,"LINESTRING (118.32 24.4331, 118.32132 24.43139, 118.32165 24.43159, 118.32342 24.43197, 118.32483 24.43268, 118.32647 24.43433, 118.32742 24.43572, 118.32847 24.43714, 118.32909 24.438, 118.32969 24.43847, 118.33038 24.43866, 118.33078 24.4392, 118.33161 24.44013, 118.33267 24.44136, 118.33363 24.44262, 118.3355 24.44431, 118.33631 24.44599, 118.33684 24.44657, 118.33774 24.44702, 118.33927 24.44871, 118.33932 24.45001, 118.34192 24.45051, 118.3437 24.45083, 118.34256 24.45279, 118.34131 24.45502, 118.34109 24.45556, 118.34108 24.45594, 118.34104 24.45624, 118.34056 24.45763, 118.34016 24.45752, 118.33955 24.45746, 118.33907 24.45813, 118.33864 24.45802, 118.33811 24.45745, 118.338 24.45746, 118.33757 24.4577, 118.33751 24.45771, 118.33742 24.45794, 118.33743 24.45825, 118.33736 24.45857, 118.33692 24.45913, 118.33665 24.45954, 118.33499 24.46187, 118.34067 24.46097, 118.34188 24.46073, 118.34577 24.46006, 118.34932 24.45947, 118.34968 24.45983, 118.3503 24.46057, 118.3525 24.46299, 118.35251 24.46293, 118.3502 24.46038, 118.34977 24.45982, 118.34979 24.4594, 118.3515 24.45932, 118.3488 24.45657, 118.34803 24.45589, 118.34836 24.45509, 118.34778 24.45391, 118.34706 24.45293, 118.34689 24.45141, 118.34247 24.4507, 118.33919 24.45006, 118.33916 24.44873, 118.33768 24.44714, 118.33672 24.44661, 118.33625 24.44604, 118.33546 24.44436, 118.33358 24.44267, 118.3321 24.44076, 118.33076 24.43931, 118.33034 24.43867, 118.32986 24.43859, 118.32932 24.4383, 118.32875 24.4377, 118.32834 24.43703, 118.32734 24.4357, 118.32639 24.43431, 118.32481 24.43271, 118.32341 24.432, 118.32167 24.43164, 118.32126 24.43172, 118.32008 24.43312, 118.32007 24.43338)",2023-07-12T00:00:00,2023-07-13T00:59:57.3
KIN141,141,藍1往金城繞環保局,"LINESTRING (118.41379 24.44239, 118.4142 24.44214, 118.41324 24.44081, 118.41316 24.44083, 118.41308 24.44077, 118.41222 24.44146, 118.40903 24.44395, 118.39609 24.45354, 118.39614 24.45366, 118.39722 24.45408, 118.4017 24.45593, 118.40167 24.45602, 118.39723 24.45415, 118.39611 24.45371, 118.396 24.45378, 118.39583 24.45377, 118.39575 24.45366, 118.39577 24.45354, 118.38994 24.45117, 118.38937 24.44914, 118.38837 24.44749, 118.38797 24.44721, 118.3875 24.44708, 118.38726 24.44717, 118.38693 24.44775, 118.38658 24.44786, 118.38515 24.44733, 118.38126 24.4516, 118.37587 24.45753, 118.37113 24.456, 118.37068 24.45582, 118.37143 24.45523, 118.37221 24.45523, 118.37299 24.45491, 118.37313 24.45457, 118.37366 24.45384, 118.37431 24.45227, 118.37546 24.44942, 118.37645 24.44698, 118.3764 24.44677, 118.37648 24.44664, 118.37621 24.44415, 118.37214 24.442, 118.36715 24.4402, 118.36645 24.43976, 118.36447 24.43827, 118.36441 24.43838, 118.36431 24.43847, 118.36412 24.43851, 118.36393 24.43843, 118.36385 24.43829, 118.36385 24.43815, 118.36391 24.43801, 118.36407 24.43792, 118.36431 24.43786, 118.36463 24.4374, 118.36494 24.43709, 118.3661 24.43651, 118.36636 24.43621, 118.36685 24.43555, 118.36698 24.4355, 118.36714 24.43552, 118.36921 24.43653, 118.36925 24.43666, 118.36921 24.43681, 118.36908 24.4369, 118.36893 24.43691, 118.36698 24.43594, 118.36683 24.43588, 118.36665 24.43596, 118.36617 24.43655, 118.36512 24.43707, 118.36468 24.4374, 118.36438 24.43796, 118.36451 24.43818, 118.36453 24.43828, 118.36448 24.4384, 118.36437 24.43849, 118.36422 24.43856, 118.36406 24.43856, 118.36392 24.43851, 118.36383 24.43843, 118.36375 24.4383, 118.36374 24.43815, 118.36379 24.43805, 118.36385 24.43796, 118.36127 24.43684, 118.35986 24.43611, 118.35828 24.43596, 118.35301 24.43628, 118.35194 24.43615, 118.35039 24.43559, 118.34851 24.4345, 118.34635 24.433, 118.34235 24.43035, 118.34141 24.42984, 118.34034 24.42986, 118.33802 24.43003, 118.33371 24.43086, 118.33267 24.43097, 118.33181 24.4313, 118.33115 24.43193, 118.33079 24.43232, 118.33037 24.43244, 118.32979 24.43049, 118.32904 24.42794, 118.3286 24.42627, 118.32845 24.42617, 118.3279 24.42617, 118.32654 24.42623, 118.32615 24.42612, 118.32506 24.42608, 118.32451 24.42697, 118.32373 24.42795, 118.32308 24.42864, 118.32229 24.429, 118.32137 24.42936, 118.32134 24.42981, 118.32064 24.42971, 118.31982 24.42959, 118.31904 24.42966, 118.31791 24.42958, 118.31609 24.42931, 118.31552 24.42922, 118.31544 24.43027, 118.31455 24.4305, 118.314 24.43082, 118.31364 24.43121, 118.31364 24.43165, 118.31403 24.43257, 118.31476 24.43337, 118.3161 24.43468, 118.31831 24.43709, 118.31844 24.43695, 118.32012 24.43314)",2023-07-12T00:00:00,2023-07-13T00:59:57.363
KIN13,13,藍1往山外,"LINESTRING (118.32011 24.43319, 118.31911 24.43559, 118.3184 24.43701, 118.3182 24.43696, 118.31472 24.43335, 118.3141 24.43265, 118.31374 24.43181, 118.31368 24.43131, 118.31426 24.43065, 118.31517 24.43036, 118.31548 24.43025, 118.31553 24.42924, 118.31788 24.42958, 118.31907 24.42966, 118.32003 24.42961, 118.32139 24.42984, 118.32139 24.42939, 118.32235 24.42898, 118.32314 24.42862, 118.32407 24.42754, 118.32466 24.4268, 118.32502 24.42611, 118.32606 24.42613, 118.32655 24.42625, 118.32785 24.42622, 118.3282 24.42611, 118.32846 24.42608, 118.32861 24.42627, 118.32933 24.42892, 118.33037 24.43248, 118.33095 24.4322, 118.33117 24.43189, 118.33161 24.43143, 118.33216 24.43113, 118.33299 24.43094, 118.33385 24.43089, 118.33727 24.43023, 118.33843 24.42999, 118.34134 24.42984, 118.34375 24.43121, 118.34676 24.43334, 118.34949 24.43507, 118.3512 24.43592, 118.35251 24.43626, 118.35453 24.43624, 118.35783 24.43595, 118.35961 24.43608, 118.36108 24.43674, 118.36399 24.43791, 118.36425 24.43789, 118.36485 24.4372, 118.36612 24.43652, 118.36681 24.43558, 118.36695 24.43551, 118.36713 24.43551, 118.36921 24.43652, 118.36928 24.43674, 118.36916 24.436889999999998, 118.36899 24.43695, 118.36703 24.43595, 118.36683 24.43592, 118.36662 24.43602, 118.36619 24.43657, 118.3649 24.43725, 118.36445 24.43779, 118.36441 24.43802, 118.3645 24.43816, 118.36449 24.43833, 118.36439 24.43848, 118.36419 24.43858, 118.36488 24.44102, 118.36491 24.44109, 118.36531 24.44268, 118.36504 24.44602, 118.3765 24.44685, 118.37526 24.45007, 118.37419 24.45276, 118.37371 24.45389, 118.37308 24.45492, 118.3722 24.4553, 118.37139 24.45527, 118.37066 24.45586, 118.3731 24.45666, 118.37591 24.45754, 118.37947 24.45367, 118.38189 24.45099, 118.38512 24.44743, 118.38679 24.44796, 118.3875 24.44708, 118.38849 24.44753, 118.38943 24.44925, 118.38999 24.4512, 118.39591 24.45366, 118.40173 24.45603, 118.40177 24.45594, 118.39613 24.45357, 118.405 24.44722, 118.40908 24.44398, 118.41219 24.44146, 118.41307 24.44078, 118.41316 24.44083, 118.41326 24.44081, 118.41412 24.44209)",2023-07-12T00:00:00,2023-07-13T00:59:57.363
