RouteUID,RouteID,RouteName
KIN1111,1111,11路 不繞南山
KIN11,11,紅1往山外
KIN101,101,10
KIN111,111,11
KIN125,125,12右繞不繞張公廟
KIN12,12,紅1往金城
KIN121,121,12右繞
KIN122,122,12左繞
KIN141,141,藍1往金城繞環保局
KIN13,13,藍1往山外
KIN14,14,藍1往金城
KIN131,131,藍1往山外繞環保局
KIN1524,1524,15A往烈嶼(后頭進/黃厝出)
KIN1511,1511,15路金烈幹線(主線) 經東林 往烈嶼
KIN1512,1512,15路金烈幹線(主線) 經東林 往金城車站
KIN1514,1514,15路沙美往烈嶼經金城
KIN1533,1533,15B往烈嶼(黃厝進/后頭出)
KIN1525,1525,15A往烈嶼(后頭進/黃厝出)繞北提
KIN181,181,18往沙美
KIN1534,1534,15B往烈嶼(黃厝進/后頭出)繞北提
KIN1811,1811,18往沙美不繞碧山
KIN183,183,18A往沙美
KIN182,182,18往山外
KIN191,191,19
KIN1821,1821,18往山外不繞碧山
KIN184,184,18A往山外
KIN192,192,19繞復國墩峰上
KIN194,194,19繞復國墩
KIN193,193,19繞復國墩峰上回程不繞料羅新頭
KIN197,197,19回程不繞料羅新頭
KIN195,195,19不繞溪邊
KIN201,201,20
KIN202,202,20不繞峰上
KIN198,198,19 繞復國墩峰上承德路回不繞料羅新頭西村一
KIN196,196,19 繞復國墩 繞峰上 不繞西村一走承德路
KIN203,203,20不繞復國墩
KIN204,204,20繞料羅
KIN21,21,2往山外
KIN205,205,20不繞峰上 繞料羅
KIN231,231,23
KIN206,206,20 不繞西村一走承德路
KIN232,232,23繞林務所
KIN252,252,25 繞陽翟村內山后二
KIN251,251,25
KIN2711,2711,27往沙美繞民航站
KIN22,22,2往金城
KIN2721,2721,27往山外繞民航站
KIN253,253,25 繞陽翟村內
KIN271,271,27往沙美
KIN31,31,3往山外
KIN3111,3111,31先繞西吳
KIN311,311,31
KIN314,314,3往山外不繞民航站
KIN272,272,27往山外
KIN3112,3112,31先繞西吳加繞山后2
KIN321,321,32
KIN312,312,31加繞山后2
KIN3211,3211,32不繞馬山
KIN352,352,35路山烈線(經金城) 往山外
KIN3212,3212,32繞山西不繞馬山
KIN371,371,37路北南線
KIN324,324,3往金城不繞民航站
KIN32,32,3往金城
KIN331,331,33
KIN372,372,37路北南線 繞羅厝 烈嶼分院停車場 烈女廟
KIN351,351,35路山烈線(經金城) 往烈嶼
KIN381,381,38路南北線
KIN373,373,37路北南線 繞烈嶼分院停車場
KIN384,384,38路南北線 繞羅厝
KIN382,382,38路南北線 繞烈嶼分院停車場 烈女廟
KIN364,364,36路山烈線(經金寧)往山外
KIN511,511,5往沙美不繞地政局
KIN512,512,5往沙美行駛環島北路不繞后沙地政局
KIN383,383,38路南北線 繞烈嶼分院停車場羅厝
KIN524,524,5往金城行駛環島北路不繞后沙浦邊
KIN515,515,5往沙美不繞地政局 不繞后沙
KIN51,51,5往沙美
KIN521,521,5往金城不繞地政局
KIN52,52,5往金城
KIN526,526,5往金城行駛環島北路不繞地政局
KIN527,527,5往金城行駛環島北路繞后沙地政局
KIN54,54,5A往金城
KIN522,522,5往金城行駛環島北路不繞后沙地政局
KIN53,53,5A往沙美
KIN525,525,5往金城行駛環島北路
KIN532,532,5A往沙美不繞后沙
KIN531,531,5A往沙美不繞后沙劉澳鶯山廟地政局
KIN542,542,5A往金城不繞劉澳鶯山廟后沙地政局
KIN535,535,5A往沙美 繞何厝保安殿
KIN544,544,5A往金城不繞后沙
KIN613,613,6去程北堤路經浯江橋 回程繞城區
KIN611,611,6去程繞城區
KIN541,541,5A往金城不繞劉澳鶯山廟地政局
KIN545,545,5A往金城 繞何厝保安殿
KIN61,61,6
KIN621,621,6A不繞翟山坑道
KIN711,711,7
KIN82,82,台灣好行-B線-古寧頭戰場線
KIN713,713,7B
KIN62,62,6A
KIN612,612,6不繞翟山坑道
KIN7111,7111,7回程繞古崗
KIN831,831,台灣好行-C線-獅山民俗線(週二-週日行駛)
KIN712,712,7A
KIN83,83,台灣好行-C線-獅山民俗線(週一行駛)
KIN88,88,台灣好行-F線-尋城趣主題線
KIN84,84,台灣好行-D線-榕園太湖線
KIN8822,8822,高職學生專車返
KIN81,81,台灣好行-A線-水頭翟山線
KIN85,85,台灣好行-E線-風獅爺主題(上午)路線
KIN86,86,台灣好行-E線-風獅爺主題(下午)路線
KIN891,891,8繞金城市區
KIN954,954,黃北路線逆行不繞烈嶼停車場
KIN89,89,8
KIN91,91,9右繞
KIN952,952,黃北路線順行不繞分院停車場
KIN8821,8821,高職學生專車去 
KIN951,951,黃北路線順行
KIN962,962,黃南路線順行不繞烈嶼停車場
KIN92,92,9左繞
KIN953,953,黃北路線逆行
KIN963,963,黃南路線逆行
KIN961,961,黃南路線順行
KIN98,98,金門醫院專車
KIN964,964,黃南路線逆行不繞烈嶼停車場
KIN516,516,5往沙美不繞后沙地政局繞高坑
