PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,NextBusTime,SrcUpdateTime,UpdateTime
,KIN101-11009,101-11009,"{'Zh_tw': '湖南高地', 'En': 'Hunan Highland'}",KIN101,101,"{'Zh_tw': '10', 'En': '10'}",KIN101,101,"{'Zh_tw': '10', 'En': '10'}",0,48,1,2023-07-14T06:20:00+08:00,2023-07-14T00:47:09+08:00,2023-07-14T00:47:11+08:00
,KIN101-11175,101-11175,"{'Zh_tw': '后樹下一', 'En': 'Houshuxia 1'}",KIN101,101,"{'Zh_tw': '10', 'En': '10'}",KIN101,101,"{'Zh_tw': '10', 'En': '10'}",0,34,1,2023-07-14T06:12:00+08:00,2023-07-14T00:47:09+08:00,2023-07-14T00:47:11+08:00
,KIN101-19464,101-19464,"{'Zh_tw': '南山', 'En': 'Nanshan'}",KIN101,101,"{'Zh_tw': '10', 'En': '10'}",KIN101,101,"{'Zh_tw': '10', 'En': '10'}",0,30,1,2023-07-14T06:10:00+08:00,2023-07-14T00:47:09+08:00,2023-07-14T00:47:11+08:00
,KIN101-41073,101-41073,"{'Zh_tw': '金門橋頭', 'En': 'Kinmen Bridge Head'}",KIN101,101,"{'Zh_tw': '10', 'En': '10'}",KIN101,101,"{'Zh_tw': '10', 'En': '10'}",0,11,1,2023-07-14T06:01:00+08:00,2023-07-14T00:47:09+08:00,2023-07-14T00:47:11+08:00
,KIN101-41080,101-41080,"{'Zh_tw': '安岐多元照顧中心', 'En': 'Anqi comprehensive community care'}",KIN101,101,"{'Zh_tw': '10', 'En': '10'}",KIN101,101,"{'Zh_tw': '10', 'En': '10'}",0,46,1,2023-07-14T06:19:00+08:00,2023-07-14T00:47:09+08:00,2023-07-14T00:47:11+08:00
,KIN101-7701,101-7701,"{'Zh_tw': '金城站', 'En': 'Jincheng Station'}",KIN101,101,"{'Zh_tw': '10', 'En': '10'}",KIN101,101,"{'Zh_tw': '10', 'En': '10'}",0,1,1,2023-07-14T05:55:00+08:00,2023-07-14T00:47:09+08:00,2023-07-14T00:47:11+08:00
,KIN101-7703,101-7703,"{'Zh_tw': '衛生所', 'En': 'Health Center'}",KIN101,101,"{'Zh_tw': '10', 'En': '10'}",KIN101,101,"{'Zh_tw': '10', 'En': '10'}",0,2,1,2023-07-14T05:56:00+08:00,2023-07-14T00:47:09+08:00,2023-07-14T00:47:11+08:00
,KIN101-7705,101-7705,"{'Zh_tw': '中正國小', 'En': 'ZhongZheng Elementary School'}",KIN101,101,"{'Zh_tw': '10', 'En': '10'}",KIN101,101,"{'Zh_tw': '10', 'En': '10'}",0,3,1,2023-07-14T05:56:00+08:00,2023-07-14T00:47:09+08:00,2023-07-14T00:47:11+08:00
,KIN101-7707,101-7707,"{'Zh_tw': '金門高中', 'En': 'Kinmen Senior High School'}",KIN101,101,"{'Zh_tw': '10', 'En': '10'}",KIN101,101,"{'Zh_tw': '10', 'En': '10'}",0,4,1,2023-07-14T05:57:00+08:00,2023-07-14T00:47:09+08:00,2023-07-14T00:47:11+08:00
,KIN101-7709,101-7709,"{'Zh_tw': '舊渡口', 'En': 'Jiudukou'}",KIN101,101,"{'Zh_tw': '10', 'En': '10'}",KIN101,101,"{'Zh_tw': '10', 'En': '10'}",0,5,1,2023-07-14T05:58:00+08:00,2023-07-14T00:47:09+08:00,2023-07-14T00:47:11+08:00
