StationGroupUID,StationGroupID,StationGroupName,StationGroupPosition,UpdateTime,VersionID
YUN557－046,557－046,{'Zh_tw': '東內寮'},"{'PositionLon': 120.65916, 'PositionLat': 23.63445, 'GeoHash': 'wsjy3wt2d'}",2023-07-13T07:38:39+08:00,1790
YUN557－048,557－048,{'Zh_tw': '小旗仔'},"{'PositionLon': 120.655475, 'PositionLat': 23.62619, 'GeoHash': 'wsjy3t48s'}",2023-07-13T07:38:39+08:00,1790
YUN557－049,557－049,{'Zh_tw': '檳榔宅'},"{'PositionLon': 120.65762, 'PositionLat': 23.62192, 'GeoHash': 'wsjy3shpw'}",2023-07-13T07:38:39+08:00,1790
YUN632－050,632－050,{'Zh_tw': '墾地里'},"{'PositionLon': 120.396015, 'PositionLat': 23.729115, 'GeoHash': 'wsjwgxv8n'}",2023-07-13T07:38:39+08:00,1790
YUN632－052,632－052,{'Zh_tw': '高鐵雲林站'},"{'PositionLon': 120.416884, 'PositionLat': 23.7370533333333, 'GeoHash': 'wsjxh1hyk'}",2023-07-13T07:38:39+08:00,1790
YUN632－053,632－053,{'Zh_tw': '臺大虎尾分院'},"{'PositionLon': 120.4265195, 'PositionLat': 23.7358935, 'GeoHash': 'wsjxh2gzt'}",2023-07-13T07:38:39+08:00,1790
YUN632－054,632－054,{'Zh_tw': '持法媽祖宮(頂溪)'},"{'PositionLon': 120.463146, 'PositionLat': 23.7358045, 'GeoHash': 'wsjxj0yx4'}",2023-07-13T07:38:39+08:00,1790
YUN632－057,632－057,{'Zh_tw': '虎尾惠來'},"{'PositionLon': 120.491655, 'PositionLat': 23.7316, 'GeoHash': 'wsjxjb5qe'}",2023-07-13T07:38:39+08:00,1790
YUN632－058,632－058,{'Zh_tw': '北溪厝'},"{'PositionLon': 120.401733, 'PositionLat': 23.707605, 'GeoHash': 'wsjwggcfg'}",2023-07-13T07:38:39+08:00,1790
YUN632－061,632－061,{'Zh_tw': '北溪厝土地公廟'},"{'PositionLon': 120.396805, 'PositionLat': 23.709735, 'GeoHash': 'wsjwgsnr0'}",2023-07-13T07:38:39+08:00,1790
YUN632－062,632－062,{'Zh_tw': '雲林布袋戲館'},"{'PositionLon': 120.43388, 'PositionLat': 23.70944, 'GeoHash': 'wsjwus1m2'}",2023-07-13T07:38:39+08:00,1790
YUN632－065,632－065,{'Zh_tw': '泰安宮'},"{'PositionLon': 120.3870235, 'PositionLat': 23.742234, 'GeoHash': 'wsjx56phs'}",2023-07-13T07:38:39+08:00,1790
YUN632－067,632－067,{'Zh_tw': '三合里'},"{'PositionLon': 120.402182, 'PositionLat': 23.697519, 'GeoHash': 'wsjwgf40n'}",2023-07-13T07:38:39+08:00,1790
YUN633－003,633－003,{'Zh_tw': '土庫'},"{'PositionLon': 120.392638, 'PositionLat': 23.6780555, 'GeoHash': 'wsjwew7nx'}",2023-07-13T07:38:39+08:00,1790
