RouteUID,RouteID,RouteName
KHH1121,1121,JOY H21區間(那瑪夏-甲仙站)
KHH1111,1111,JOY H11A
KHH112,112,JOY H12
KHH11,11,11
KHH100,100,100百貨幹線
KHH1123,1123,JOY H21區間(上平里-旗山)
KHH1122,1122,JOY H21區間(甲仙站-旗山)
KHH1124,1124,JOY H21區間(甲仙站-五里埔)
KHH1111,1111,JOY H11A
KHH1123,1123,JOY H21區間(上平里-旗山)
KHH112,112,JOY H12
KHH100,100,100百貨幹線
KHH1121,1121,JOY H21區間(那瑪夏-甲仙站)
KHH11,11,11
KHH1124,1124,JOY H21區間(甲仙站-五里埔)
KHH1122,1122,JOY H21區間(甲仙站-旗山)
KHH12,12,12(延駛飛機路)
KHH131,131,JOY H31
KHH122,122,88建國幹線
KHH114,114,205中華幹線
KHH1221,1221,88建國幹線延駛
KHH116,116,紅9A旗津幹線
KHH132,132,JOY H11區間(六龜-寶來)
KHH123,123,12
KHH12,12,12(延駛飛機路)
KHH131,131,JOY H31
KHH1221,1221,88建國幹線延駛
KHH114,114,205中華幹線
KHH116,116,紅9A旗津幹線
KHH122,122,88建國幹線
KHH132,132,JOY H11區間(六龜-寶來)
KHH123,123,12
KHH15101,15101,紅7B(經紅毛港)
KHH15112,15112,紅51B公車式小黃
KHH15100,15100,T511B(每週五發車)
KHH15110,15110,紅50公車式小黃
KHH133,133,JOY H11區間(六龜-梅山口)
KHH15105,15105,紅6公車式小黃
KHH15101,15101,紅7B(經紅毛港)
KHH15112,15112,紅51B公車式小黃
KHH15115,15115,23(部分延駛文山高中)公車式小黃
KHH15111,15111,紅51A公車式小黃
KHH15110,15110,紅50公車式小黃
KHH133,133,JOY H11區間(六龜-梅山口)
KHH15105,15105,紅6公車式小黃
KHH15100,15100,T511B(每週五發車)
KHH15115,15115,23(部分延駛文山高中)公車式小黃
KHH15120,15120,橘10B公車式小黃
KHH15111,15111,紅51A公車式小黃
KHH15124,15124,橘23
KHH15122,15122,橘21B
KHH15121,15121,橘21A
KHH15116,15116,33公車式小黃
KHH15120,15120,橘10B公車式小黃
KHH15124,15124,橘23
KHH15125,15125,橘23 部分延駛
KHH15121,15121,橘21A
KHH15122,15122,橘21B
KHH15117,15117,82公車式小黃
KHH15116,15116,33公車式小黃
KHH15123,15123,橘22
KHH15125,15125,橘23 部分延駛
KHH15136,15136,T501(每週二、四、六 發車)
KHH15142,15142,T508(每週二、五發車)
KHH15117,15117,82公車式小黃
KHH15139,15139,T505
KHH15137,15137,T502(每週一、三、五 發車)
KHH15123,15123,橘22
KHH15127,15127,H21
KHH15136,15136,T501(每週二、四、六 發車)
KHH15142,15142,T508(每週二、五發車)
KHH15139,15139,T505
KHH15148,15148,T515(延駛衛生所)
KHH15137,15137,T502(每週一、三、五 發車)
KHH15135,15135,T402
KHH15127,15127,H21
KHH15148,15148,T515(延駛衛生所)
KHH15153,15153,T520(每週 二、四發車)
KHH15135,15135,T402
KHH15159,15159,大湖線
KHH15141,15141,T507(每週二、五發車)
KHH15155,15155,T522
KHH15154,15154,T521 (每週 二、四發車)
KHH15149,15149,T516(預約)
KHH15153,15153,T520(每週 二、四發車)
KHH15159,15159,大湖線
KHH15141,15141,T507(每週二、五發車)
KHH15155,15155,T522
KHH15154,15154,T521 (每週 二、四發車)
KHH15152,15152,T519(每週一發車)
KHH15160,15160,大湖線-海埔海山三興宮
