StationUID,StationID,ServiceStatus,ServiceType,AvailableRentBikes,AvailableReturnBikes,SrcUpdateTime,UpdateTime,AvailableRentBikesDetail
KHH501201001,501201001,1,2,8,14,2023-07-12T20:26:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 8, 'ElectricBikes': 0}"
KHH501201002,501201002,1,2,7,33,2023-07-12T16:22:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 7, 'ElectricBikes': 0}"
KHH501201003,501201003,1,2,1,22,2023-07-03T21:49:05+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
KHH501201004,501201004,1,2,14,1,2023-07-13T01:55:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 13, 'ElectricBikes': 1}"
KHH501201005,501201005,1,2,5,14,2023-07-13T04:32:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 5, 'ElectricBikes': 0}"
KHH501201006,501201006,1,2,4,24,2023-07-13T20:53:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 0}"
KHH501201007,501201007,1,2,7,12,2023-07-13T19:26:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 7, 'ElectricBikes': 0}"
KHH501201008,501201008,1,2,10,15,2023-07-11T20:27:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 10, 'ElectricBikes': 0}"
KHH501201009,501201009,1,2,17,3,2023-07-08T23:58:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 17, 'ElectricBikes': 0}"
KHH501201010,501201010,1,2,4,6,2023-07-06T04:28:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 0}"
KHH501201011,501201011,1,2,1,21,2023-07-11T13:04:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
KHH501201012,501201012,1,2,2,16,2023-07-13T10:12:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 2, 'ElectricBikes': 0}"
KHH501201013,501201013,1,2,12,10,2023-07-11T21:59:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 12, 'ElectricBikes': 0}"
KHH501201014,501201014,1,2,15,4,2023-07-07T03:56:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 15, 'ElectricBikes': 0}"
KHH501201015,501201015,1,2,0,25,2023-07-12T03:56:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 0}"
KHH501201016,501201016,1,2,4,22,2023-07-11T10:16:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 0}"
KHH501201017,501201017,1,2,20,7,2023-07-11T01:53:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 19, 'ElectricBikes': 1}"
KHH501201018,501201018,1,2,1,20,2023-07-10T08:20:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
KHH501201019,501201019,1,2,18,10,2023-07-05T13:33:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 16, 'ElectricBikes': 2}"
KHH501201020,501201020,1,2,9,15,2023-07-10T04:21:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 9, 'ElectricBikes': 0}"
KHH501201021,501201021,1,2,11,4,2023-07-10T20:23:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 11, 'ElectricBikes': 0}"
KHH501201022,501201022,1,2,1,15,2023-07-08T20:38:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
KHH501201023,501201023,1,2,7,21,2023-07-12T03:19:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 7, 'ElectricBikes': 0}"
KHH501201024,501201024,1,2,14,10,2023-07-13T21:22:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 13, 'ElectricBikes': 1}"
KHH501201025,501201025,1,2,5,19,2023-07-13T02:41:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 5, 'ElectricBikes': 0}"
KHH501201026,501201026,1,2,7,8,2023-07-13T03:43:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 5, 'ElectricBikes': 2}"
KHH501201027,501201027,1,2,6,5,2023-07-04T23:13:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 5, 'ElectricBikes': 1}"
KHH501201028,501201028,1,2,14,6,2023-07-07T02:17:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 14, 'ElectricBikes': 0}"
KHH501201029,501201029,1,2,6,7,2023-07-07T10:52:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 0}"
KHH501201030,501201030,1,2,2,13,2023-07-12T16:33:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 2, 'ElectricBikes': 0}"
KHH501202001,501202001,1,2,3,11,2023-07-13T21:41:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 3, 'ElectricBikes': 0}"
KHH501202002,501202002,1,2,26,1,2023-07-05T10:32:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 26, 'ElectricBikes': 0}"
KHH501202003,501202003,1,2,14,16,2023-07-10T03:59:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 12, 'ElectricBikes': 2}"
KHH501202004,501202004,1,2,9,33,2023-07-11T20:32:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 9, 'ElectricBikes': 0}"
KHH501202005,501202005,1,2,3,23,2023-07-12T13:46:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 3, 'ElectricBikes': 0}"
KHH501202006,501202006,1,2,5,11,2023-07-08T12:14:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 5, 'ElectricBikes': 0}"
KHH501202007,501202007,1,2,7,12,2023-07-06T08:39:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 1}"
KHH501202009,501202009,1,2,8,8,2023-07-13T21:58:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 8, 'ElectricBikes': 0}"
KHH501202010,501202010,1,2,6,16,2023-07-13T22:24:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 0}"
KHH501202011,501202011,1,2,4,11,2023-07-04T00:10:21+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 0}"
KHH501202012,501202012,1,2,3,17,2023-07-07T15:52:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 3, 'ElectricBikes': 0}"
KHH501202013,501202013,1,2,0,17,2023-07-12T02:37:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 0}"
KHH501202014,501202014,1,2,11,6,2023-07-09T05:53:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 11, 'ElectricBikes': 0}"
KHH501202015,501202015,1,2,3,13,2023-07-13T07:31:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 2, 'ElectricBikes': 1}"
KHH501202016,501202016,1,2,8,9,2023-07-09T16:40:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 8, 'ElectricBikes': 0}"
KHH501202017,501202017,1,2,14,5,2023-07-12T06:38:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 14, 'ElectricBikes': 0}"
KHH501202018,501202018,1,2,9,12,2023-07-13T06:01:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 7, 'ElectricBikes': 2}"
KHH501202019,501202019,1,2,3,14,2023-07-13T12:46:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 3, 'ElectricBikes': 0}"
KHH501202020,501202020,1,2,4,12,2023-07-06T05:57:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 0}"
KHH501202021,501202021,1,2,11,17,2023-07-13T13:47:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 10, 'ElectricBikes': 1}"
KHH501202022,501202022,1,2,11,3,2023-07-03T20:31:17+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 10, 'ElectricBikes': 1}"
KHH501202023,501202023,1,2,4,11,2023-07-13T02:28:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 0}"
KHH501202024,501202024,1,2,6,9,2023-07-07T04:47:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 0}"
KHH501202025,501202025,1,2,7,7,2023-07-12T20:04:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 7, 'ElectricBikes': 0}"
KHH501202026,501202026,1,2,8,22,2023-07-08T12:16:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 8, 'ElectricBikes': 0}"
KHH501202027,501202027,1,2,6,9,2023-07-04T00:01:17+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 0}"
KHH501202028,501202028,1,2,13,0,2023-07-03T22:42:16+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 13, 'ElectricBikes': 0}"
KHH501202029,501202029,1,2,17,13,2023-07-12T13:55:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 17, 'ElectricBikes': 0}"
KHH501202030,501202030,1,2,15,8,2023-07-10T04:32:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 15, 'ElectricBikes': 0}"
KHH501202031,501202031,1,2,4,11,2023-07-10T05:16:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 0}"
KHH501202032,501202032,1,2,6,14,2023-07-13T17:25:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 0}"
KHH501202033,501202033,1,2,24,16,2023-07-13T20:52:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 24, 'ElectricBikes': 0}"
KHH501202034,501202034,1,2,1,14,2023-07-13T03:10:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
KHH501202035,501202035,1,2,23,7,2023-07-13T16:55:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 23, 'ElectricBikes': 0}"
KHH501202036,501202036,1,2,37,2,2023-07-11T02:15:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 36, 'ElectricBikes': 1}"
