OriginStationID,OriginStationName,DestinationStationID,DestinationStationName,TrainType,Fares,TravelTime,TravelDistance,SrcUpdateTime,UpdateTime,VersionID
O1,"{'Zh_tw': '西子灣', 'En': 'Sizihwan'}",O1,"{'Zh_tw': '西子灣', 'En': 'Sizihwan'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 0}, {'TicketType': 1, 'FareClass': 2, 'Price': 0}, {'TicketType': 1, 'FareClass': 3, 'Price': 0}]",0,0.0,2019-08-05T00:00:00+08:00,2023-07-11T10:01:12+08:00,14
O1,"{'Zh_tw': '西子灣', 'En': 'Sizihwan'}",O2,"{'Zh_tw': '鹽埕埔', 'En': 'Yanchengpu'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 20}, {'TicketType': 1, 'FareClass': 2, 'Price': 17}, {'TicketType': 1, 'FareClass': 3, 'Price': 8}]",2,1.34,2019-08-05T00:00:00+08:00,2023-07-11T10:01:12+08:00,14
O1,"{'Zh_tw': '西子灣', 'En': 'Sizihwan'}",O4,"{'Zh_tw': '市議會', 'En': 'City Council'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 20}, {'TicketType': 1, 'FareClass': 2, 'Price': 17}, {'TicketType': 1, 'FareClass': 3, 'Price': 8}]",4,2.63,2019-08-05T00:00:00+08:00,2023-07-11T10:01:12+08:00,14
O1,"{'Zh_tw': '西子灣', 'En': 'Sizihwan'}",O5,"{'Zh_tw': '美麗島', 'En': 'Formosa Boulevard'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 20}, {'TicketType': 1, 'FareClass': 2, 'Price': 17}, {'TicketType': 1, 'FareClass': 3, 'Price': 8}]",6,3.57,2019-08-05T00:00:00+08:00,2023-07-11T10:01:12+08:00,14
O1,"{'Zh_tw': '西子灣', 'En': 'Sizihwan'}",O6,"{'Zh_tw': '信義國小', 'En': 'Sinyi Elementary School'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 20}, {'TicketType': 1, 'FareClass': 2, 'Price': 17}, {'TicketType': 1, 'FareClass': 3, 'Price': 8}]",8,4.4,2019-08-05T00:00:00+08:00,2023-07-11T10:01:12+08:00,14
O1,"{'Zh_tw': '西子灣', 'En': 'Sizihwan'}",O7,"{'Zh_tw': '文化中心', 'En': 'Cultural Center'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 25}, {'TicketType': 1, 'FareClass': 2, 'Price': 22}, {'TicketType': 1, 'FareClass': 3, 'Price': 11}]",9,5.04,2019-08-05T00:00:00+08:00,2023-07-11T10:01:12+08:00,14
O1,"{'Zh_tw': '西子灣', 'En': 'Sizihwan'}",O8,"{'Zh_tw': '五塊厝', 'En': 'Wukuaicuo'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 25}, {'TicketType': 1, 'FareClass': 2, 'Price': 22}, {'TicketType': 1, 'FareClass': 3, 'Price': 11}]",11,6.09,2019-08-05T00:00:00+08:00,2023-07-11T10:01:12+08:00,14
O1,"{'Zh_tw': '西子灣', 'En': 'Sizihwan'}",O9,"{'Zh_tw': '技擊館', 'En': 'Martial Arts Stadium'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 25}, {'TicketType': 1, 'FareClass': 2, 'Price': 22}, {'TicketType': 1, 'FareClass': 3, 'Price': 11}]",13,6.83,2019-08-05T00:00:00+08:00,2023-07-11T10:01:12+08:00,14
O1,"{'Zh_tw': '西子灣', 'En': 'Sizihwan'}",O10,"{'Zh_tw': '衛武營', 'En': 'Weiwuying'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 30}, {'TicketType': 1, 'FareClass': 2, 'Price': 26}, {'TicketType': 1, 'FareClass': 3, 'Price': 13}]",14,7.53,2019-08-05T00:00:00+08:00,2023-07-11T10:01:12+08:00,14
O1,"{'Zh_tw': '西子灣', 'En': 'Sizihwan'}",O11,"{'Zh_tw': '鳳山西站', 'En': 'Fongshan West'}",0,"[{'TicketType': 1, 'FareClass': 1, 'Price': 30}, {'TicketType': 1, 'FareClass': 2, 'Price': 26}, {'TicketType': 1, 'FareClass': 3, 'Price': 13}]",16,8.27,2019-08-05T00:00:00+08:00,2023-07-11T10:01:12+08:00,14
