Code,Name
101000,磺溪
102000,小坑溪
103000,乾華溪
104000,石門溪
105000,老梅溪
106000,楓林溪
107000,八甲溪
108000,埔坪溪
109000,八蓮溪
110000,大屯溪
111000,後州溪
112000,興仁溪
113000,林子溪
114000,淡水河
114010,大漢溪
114020,新店溪
114030,基隆河
114040,疏洪道
114050,樹梅坑溪
115000,水仙溪
116000,寶斗溪
117000,林口溪
118000,南崁溪
118010,茄苳溪
118020,海湖排水幹線
118030,瓦窯溝排水幹線
118040,番子溝排水幹線
118050,大坑溪排水幹線
118060,番子窩排水幹線
118070,楓樹溪排水幹線
118080,舊路溪排水幹線
118090,徐厝排水幹線
1180A0,東門溪排水幹線
1180B0,坑子溪
119000,埔心溪
120000,新街溪
121000,老街溪
121010,洽溪幹線
121020,龍南幹線
121030,大坑坎幹線
122000,富林溪
123000,大堀溪
124000,觀音溪
125000,新屋溪
126000,社子溪
126010,上?榔溪幹線
126020,東明溪幹線
126030,三七北圳幹線
126040,秀才窩幹線
126050,老坑溪幹線
126060,頭重溪幹線
127000,福興溪排水
127010,伯公岡支線 
127020,六股溪排水 
128000,新豐溪
128010,德盛溪排水
128020,波羅汶排水
128030,北勢排水
128040,中崙排水
128050,上坑排水（茄苳溪）
129000,鳳山溪
129010,霄裡溪
129020,下排坑排水
129040,太平窩坑幹線
129050,旱坑子幹線
129060,石頭坑幹線
129070,下內立坑溪線
129080,上內立坑溪線
130000,頭前溪
130010,上坪溪
130020,油羅溪
130030,柯子湖溪排水
130040,溝貝幹線
130050,隘口排水
130060,崁下幹線
130070,鹿寮坑幹線
130080,青窩壢幹線
130090,油車窩幹線
1300A0,下員山圳1號支線
1300B0,麻園幹線
1300C0,東大排水
1300D0,何姓溪排水幹線
1300E0,冷水坑溪
131000,客雅溪排水
131010,湳坑溪（寶1-2排水）
131020,油田支流（寶1-4排水）
131030,南門溪
131040,客雅溪延平支線
132000,鹽港溪排水
132010,八股排水幹線
133000,新港溪
133010,崎頂里排水
134000,中港溪
134010,南庄溪
134020,南河溪
134030,東河溪
134040,峨眉溪
134050,南港溪
134060,射流溝排水
134070,蜆仔溝排水
134080,灰寮溝排水
134090,九車籠排水
1340A0,談水湖排水
1340B0,東興排水
1340C0,土牛溪排水
1340D0,南河圳排水
135000,後龍溪
135010,大湖溪
135020,南湖溪
135030,汶水溪
135040,鹽水坑溪
135050,雞隆河
135060,沙河溪
135070,老田寮溪
135080,新店溪
135090,塭堀溝排水
1350A0,北勢溪排水
1350B0,南勢坑排水
1350C0,水尾大排
1350D0,西山排水
1350E0,東河排水
1350F0,嘉盛排水
1350G0,公館排水
1350H0,茄苳溪
136000,西湖溪
136010,海口排水
136020,四季坑排水
136030,新埤圳排水
136040,二湖坑排水
136050,楓廚坑排水
136060,營盤坑排水
136070,斧頭坑排水
136080,大坑排水
136090,鴨母坑排水（龍洞溪）
1360A0,高埔排水
1360B0,五湖排水
1360C0,水尾溪排水
137000,通霄溪
137010,內湖溪排水
138000,苑裡溪
138010,中溝支線排水
138020,錦山溝支線排水
139000,房裡溪
139010,南勢林支線排水
139020,十股坑排水
140000,大安溪
140010,馬達拉溪
140020,雪山溪
140030,大雪溪
140040,北坑溪
140050,雪山坑溪
140060,烏石坑溪
140070,景山溪
140080,老庄溪排水
140090,內灣圳排水
1400A0,電火溪排水
1400B0,石壁坑圳排水
141000,溫寮溪
141010,松子腳排水
141020,后里排水
141030,外埔第三排水
141040,外埔第二排水
142000,大甲溪
142010,七家灣溪
142020,四季郎溪
142030,志樂溪
142040,匹亞桑溪
142050,食水嵙溪排水
142060,水美湖底溝排水
142070,三崁排水
142080,旱溝排水
142090,軟埤仔溪排水
1420A0,牛稠坑溝排水
1420B0,崁腳溝排水
