日期,桃園國際機場,高雄國際機場,臺北松山機場,澎湖機場,臺中機場,金門機場
85年,-,-,-,-,-,-
85年 1月,-,-,-,-,-,-
85年 2月,-,-,-,-,-,-
85年 3月,-,-,-,-,-,-
85年 4月,-,-,-,-,-,-
85年 5月,-,-,-,-,-,-
85年 6月,-,-,-,-,-,-
85年 7月,-,-,-,-,-,-
85年 8月,-,-,-,-,-,-
85年 9月,-,-,-,-,-,-
85年 10月,-,-,-,-,-,-
85年 11月,-,-,-,-,-,-
85年 12月,-,-,-,-,-,-
86年,-,-,-,-,-,-
86年 1月,-,-,-,-,-,-
86年 2月,-,-,-,-,-,-
86年 3月,-,-,-,-,-,-
86年 4月,-,-,-,-,-,-
86年 5月,-,-,-,-,-,-
86年 6月,-,-,-,-,-,-
86年 7月,-,-,-,-,-,-
86年 8月,-,-,-,-,-,-
86年 9月,-,-,-,-,-,-
86年 10月,-,-,-,-,-,-
86年 11月,-,-,-,-,-,-
86年 12月,-,-,-,-,-,-
87年,-,-,-,-,-,-
87年 1月,-,-,-,-,-,-
87年 2月,-,-,-,-,-,-
87年 3月,-,-,-,-,-,-
87年 4月,-,-,-,-,-,-
87年 5月,-,-,-,-,-,-
87年 6月,-,-,-,-,-,-
87年 7月,-,-,-,-,-,-
87年 8月,-,-,-,-,-,-
87年 9月,-,-,-,-,-,-
87年 10月,-,-,-,-,-,-
87年 11月,-,-,-,-,-,-
87年 12月,-,-,-,-,-,-
88年,-,-,-,-,-,-
88年 1月,-,-,-,-,-,-
88年 2月,-,-,-,-,-,-
88年 3月,-,-,-,-,-,-
88年 4月,-,-,-,-,-,-
88年 5月,-,-,-,-,-,-
88年 6月,-,-,-,-,-,-
88年 7月,-,-,-,-,-,-
88年 8月,-,-,-,-,-,-
88年 9月,-,-,-,-,-,-
88年 10月,-,-,-,-,-,-
88年 11月,-,-,-,-,-,-
88年 12月,-,-,-,-,-,-
89年,-,-,-,-,-,-
89年 1月,-,-,-,-,-,-
89年 2月,-,-,-,-,-,-
89年 3月,-,-,-,-,-,-
89年 4月,-,-,-,-,-,-
89年 5月,-,-,-,-,-,-
89年 6月,-,-,-,-,-,-
89年 7月,-,-,-,-,-,-
89年 8月,-,-,-,-,-,-
89年 9月,-,-,-,-,-,-
89年 10月,-,-,-,-,-,-
89年 11月,-,-,-,-,-,-
89年 12月,-,-,-,-,-,-
90年,-,-,-,-,-,-
90年 1月,-,-,-,-,-,-
90年 2月,-,-,-,-,-,-
90年 3月,-,-,-,-,-,-
90年 4月,-,-,-,-,-,-
90年 5月,-,-,-,-,-,-
90年 6月,-,-,-,-,-,-
90年 7月,-,-,-,-,-,-
90年 8月,-,-,-,-,-,-
90年 9月,-,-,-,-,-,-
90年 10月,-,-,-,-,-,-
90年 11月,-,-,-,-,-,-
90年 12月,-,-,-,-,-,-
91年,-,-,-,-,-,-
91年 1月,-,-,-,-,-,-
91年 2月,-,-,-,-,-,-
91年 3月,-,-,-,-,-,-
91年 4月,-,-,-,-,-,-
91年 5月,-,-,-,-,-,-
91年 6月,-,-,-,-,-,-
91年 7月,-,-,-,-,-,-
91年 8月,-,-,-,-,-,-
91年 9月,-,-,-,-,-,-
91年 10月,-,-,-,-,-,-
91年 11月,-,-,-,-,-,-
91年 12月,-,-,-,-,-,-
92年,-,-,-,-,-,-
92年 1月,-,-,-,-,-,-
92年 2月,-,-,-,-,-,-
92年 3月,-,-,-,-,-,-
92年 4月,-,-,-,-,-,-
92年 5月,-,-,-,-,-,-
92年 6月,-,-,-,-,-,-
92年 7月,-,-,-,-,-,-
92年 8月,-,-,-,-,-,-
92年 9月,-,-,-,-,-,-
92年 10月,-,-,-,-,-,-
92年 11月,-,-,-,-,-,-
92年 12月,-,-,-,-,-,-
93年,-,-,-,-,-,-
93年 1月,-,-,-,-,-,-
93年 2月,-,-,-,-,-,-
93年 3月,-,-,-,-,-,-
93年 4月,-,-,-,-,-,-
93年 5月,-,-,-,-,-,-
93年 6月,-,-,-,-,-,-
93年 7月,-,-,-,-,-,-
93年 8月,-,-,-,-,-,-
93年 9月,-,-,-,-,-,-
93年 10月,-,-,-,-,-,-
93年 11月,-,-,-,-,-,-
93年 12月,-,-,-,-,-,-
94年,-,-,-,-,-,-
94年 1月,-,-,-,-,-,-
94年 2月,-,-,-,-,-,-
94年 3月,-,-,-,-,-,-
94年 4月,-,-,-,-,-,-
94年 5月,-,-,-,-,-,-
94年 6月,-,-,-,-,-,-
94年 7月,-,-,-,-,-,-
94年 8月,-,-,-,-,-,-
94年 9月,-,-,-,-,-,-
94年 10月,-,-,-,-,-,-
94年 11月,-,-,-,-,-,-
94年 12月,-,-,-,-,-,-
95年,-,-,-,-,-,-
95年 1月,-,-,-,-,-,-
95年 2月,-,-,-,-,-,-
95年 3月,-,-,-,-,-,-
95年 4月,-,-,-,-,-,-
95年 5月,-,-,-,-,-,-
95年 6月,-,-,-,-,-,-
95年 7月,-,-,-,-,-,-
95年 8月,-,-,-,-,-,-
95年 9月,-,-,-,-,-,-
95年 10月,-,-,-,-,-,-
95年 11月,-,-,-,-,-,-
95年 12月,-,-,-,-,-,-
96年,-,-,-,-,-,-
