日期,桃園國際機場,高雄國際機場,臺北松山機場,澎湖機場,臺中機場,金門機場
85年,-,"9,054,938","15,204,650","2,061,350","1,595,824","1,279,551"
85年 1月,-,"633,137","1,139,246","126,204","122,575","82,104"
85年 2月,-,"718,177","1,227,446","166,500","123,376","111,777"
85年 3月,-,"686,785","1,217,907","143,628","121,656","60,512"
85年 4月,-,"716,838","1,215,836","179,612","123,844","96,396"
85年 5月,-,"728,314","1,241,228","177,776","127,150","104,105"
85年 6月,-,"782,527","1,308,802","204,808","143,579","114,589"
85年 7月,-,"836,765","1,338,753","241,964","140,074","132,522"
85年 8月,-,"878,323","1,446,166","238,533","144,776","123,376"
85年 9月,-,"761,421","1,306,010","175,655","135,077","107,161"
85年 10月,-,"774,932","1,200,622","154,940","139,799","132,783"
85年 11月,-,"750,984","1,229,357","128,140","132,057","115,901"
85年 12月,-,"786,735","1,333,277","123,590","141,861","98,325"
86年,"21,560","9,223,316","15,394,038","2,124,330","1,878,247","1,397,638"
86年 1月,-,"755,282","1,108,979","120,914","141,434","83,233"
86年 2月,-,"798,182","1,289,910","169,651","136,977","120,940"
86年 3月,-,"810,593","1,344,658","152,450","157,562","106,613"
86年 4月,-,"818,728","1,352,015","201,675","166,908","120,723"
86年 5月,-,"789,980","1,290,157","199,998","165,951","135,579"
86年 6月,-,"785,095","1,291,776","206,340","161,682","130,663"
86年 7月,"4,347","918,853","1,489,114","279,530","200,247","176,885"
86年 8月,"3,841","703,750","1,305,899","197,826","140,876","114,288"
86年 9月,"3,304","737,549","1,297,950","187,190","149,719","112,458"
86年 10月,"3,343","708,858","1,202,739","147,607","152,310","110,723"
86年 11月,"3,733","689,909","1,183,554","134,524","149,280","96,697"
86年 12月,"2,992","706,537","1,237,287","126,625","155,301","88,836"
87年,"26,016","8,410,598","13,733,447","2,002,171","1,498,153","1,126,396"
87年 1月,"4,988","773,393","1,300,600","164,307","155,811","107,805"
87年 2月,"3,546","684,899","1,092,422","155,359","131,656","103,886"
87年 3月,"2,943","619,230","979,347","126,443","102,759","75,102"
87年 4月,"2,691","644,025","1,030,551","166,712","94,674","73,211"
87年 5月,"2,661","714,044","1,151,481","171,194","115,925","88,012"
87年 6月,"2,043","687,419","1,143,356","186,578","116,241","80,048"
87年 7月,"2,428","780,389","1,237,987","241,091","137,393","107,347"
87年 8月,"3,181","802,723","1,309,864","253,732","139,890","118,632"
87年 9月,443,"639,122","1,116,656","145,007","120,799","81,366"
87年 10月,454,"653,445","1,212,410","132,600","117,035","101,252"
87年 11月,380,"697,262","1,079,322","128,507","131,094","97,446"
87年 12月,258,"714,647","1,079,451","130,641","134,876","92,289"
88年,423,"7,951,764","13,809,154","2,031,214","1,545,297","1,054,875"
88年 1月,-,"659,548","1,121,858","120,269","126,905","76,720"
88年 2月,6,"662,444","1,204,395","156,072","118,484","102,580"
88年 3月,-,"676,079","1,228,693","142,238","133,201","72,829"
88年 4月,-,"735,845","1,198,043","189,163","142,188","96,545"
88年 5月,-,"698,833","1,147,242","198,410","126,750","92,222"
88年 6月,398,"672,835","1,171,200","195,993","136,667","98,138"
88年 7月,-,"745,966","1,285,902","268,236","148,403","113,791"
88年 8月,19,"682,878","1,182,950","218,487","133,291","97,282"
88年 9月,-,"604,911","1,051,787","172,626","116,475","78,958"
88年 10月,-,"587,502","1,031,166","119,182","121,083","67,754"
88年 11月,-,"627,257","1,097,973","129,407","121,399","80,886"
88年 12月,-,"597,666","1,087,945","121,131","120,451","77,170"
89年,159,"6,068,834","11,110,743","1,836,641","1,378,995","1,041,009"
89年 1月,-,"530,264","986,420","107,498","114,465","64,905"
89年 2月,-,"613,894","1,120,346","165,657","115,027","101,004"
89年 3月,-,"548,094","971,355","123,132","114,926","71,426"
89年 4月,-,"542,330","939,714","173,915","117,985","84,881"
89年 5月,-,"524,296","930,026","168,001","123,549","78,207"
89年 6月,-,"496,932","904,190","170,099","118,274","83,620"
89年 7月,159,"529,191","979,429","240,452","134,881","111,112"
89年 8月,-,"452,405","859,721","177,190","114,218","84,737"
89年 9月,-,"475,273","884,610","163,394","115,345","90,546"
89年 10月,-,"459,021","865,586","128,014","112,062","89,626"
89年 11月,-,"429,959","816,583","107,462","92,035","89,990"
89年 12月,-,"467,175","852,763","111,827","106,228","90,955"
90年,495,"5,275,379","10,092,269","1,875,321","1,246,307","1,336,773"
90年 1月,-,"483,794","919,722","147,912","106,843","99,980"
90年 2月,-,"420,017","771,861","112,556","93,487","89,977"
90年 3月,-,"473,392","866,870","128,161","110,226","89,057"
90年 4月,-,"486,370","900,109","177,422","107,490","113,526"
90年 5月,-,"464,910","875,475","166,849","111,593","116,206"
90年 6月,-,"448,248","883,345","183,095","107,351","121,574"
90年 7月,-,"456,831","878,145","222,297","114,299","132,468"
90年 8月,-,"488,234","976,397","248,360","126,579","140,625"
90年 9月,364,"319,848","647,316","124,916","78,498","84,150"
90年 10月,131,"419,880","807,561","133,204","100,319","124,379"
90年 11月,-,"399,191","768,273","115,194","96,294","112,307"
90年 12月,-,"414,664","797,195","115,355","93,328","112,524"
91年,-,"4,734,308","8,789,651","1,669,249","1,071,303","1,406,860"
