日期,桃園國際機場,高雄國際機場,臺北松山機場,澎湖機場,臺中機場,金門機場
85年,"13,585,851","2,570,947",-,-,-,-
85年 1月,"950,805","176,532",-,-,-,-
85年 2月,"1,193,163","220,442",-,-,-,-
85年 3月,"1,031,936","187,318",-,-,-,-
85年 4月,"1,099,184","215,757",-,-,-,-
85年 5月,"1,070,104","206,788",-,-,-,-
85年 6月,"1,167,907","209,610",-,-,-,-
85年 7月,"1,261,125","248,382",-,-,-,-
85年 8月,"1,315,117","246,356",-,-,-,-
85年 9月,"1,091,705","207,104",-,-,-,-
85年 10月,"1,211,051","230,688",-,-,-,-
85年 11月,"1,101,988","208,183",-,-,-,-
85年 12月,"1,091,766","213,787",-,-,-,-
86年,"14,163,294","2,905,388",-,-,-,-
86年 1月,"1,039,736","194,332",-,-,-,-
86年 2月,"1,237,439","245,322",-,-,-,-
86年 3月,"1,164,918","239,048",-,-,-,-
86年 4月,"1,275,494","270,293",-,-,-,-
86年 5月,"1,209,635","251,570",-,-,-,-
86年 6月,"1,239,090","254,623",-,-,-,-
86年 7月,"1,349,212","293,594",-,-,-,-
86年 8月,"1,304,563","268,762",-,-,-,-
86年 9月,"1,109,028","235,452",-,-,-,-
86年 10月,"1,168,669","234,435",-,-,-,-
86年 11月,"1,045,705","206,375",-,-,-,-
86年 12月,"1,019,805","211,582",-,-,-,-
87年,"13,799,585","2,640,861",-,-,-,-
87年 1月,"1,150,541","220,902",-,-,-,-
87年 2月,"1,148,373","252,999",-,-,-,-
87年 3月,"1,032,834","204,739",-,-,-,-
87年 4月,"1,107,195","227,510",-,-,-,-
87年 5月,"1,098,217","216,015",-,-,-,-
87年 6月,"1,173,921","219,613",-,-,-,-
87年 7月,"1,252,923","237,970",-,-,-,-
87年 8月,"1,347,556","260,145",-,-,-,-
87年 9月,"1,036,043","184,940",-,-,-,-
87年 10月,"1,168,074","213,425",-,-,-,-
87年 11月,"1,128,427","194,634",-,-,-,-
87年 12月,"1,155,481","207,969",-,-,-,-
88年,"15,015,044","2,793,367",-,-,-,-
88年 1月,"1,083,396","186,081",-,-,-,-
88年 2月,"1,258,056","248,333",-,-,-,-
88年 3月,"1,173,061","188,218",-,-,-,-
88年 4月,"1,308,948","231,394",-,-,-,-
88年 5月,"1,279,970","240,819",-,-,-,-
88年 6月,"1,371,274","252,050",-,-,-,-
88年 7月,"1,503,093","294,119",-,-,-,-
88年 8月,"1,482,906","280,811",-,-,-,-
88年 9月,"1,187,216","220,096",-,-,-,-
88年 10月,"1,093,878","213,758",-,-,-,-
88年 11月,"1,154,834","221,422",-,-,-,-
88年 12月,"1,118,412","216,266",-,-,-,-
89年,"16,705,425","3,075,002",-,-,-,-
89年 1月,"1,059,877","190,856",-,-,-,-
89年 2月,"1,376,312","262,275",-,-,-,-
89年 3月,"1,237,148","238,933",-,-,-,-
89年 4月,"1,450,049","279,737",-,-,-,-
89年 5月,"1,391,376","266,525",-,-,-,-
89年 6月,"1,488,257","264,023",-,-,-,-
89年 7月,"1,660,672","312,182",-,-,-,-
89年 8月,"1,579,739","279,744",-,-,-,-
89年 9月,"1,417,637","260,536",-,-,-,-
89年 10月,"1,449,978","253,458",-,-,-,-
89年 11月,"1,301,375","237,874",-,-,-,-
89年 12月,"1,293,005","228,859",-,-,-,-
90年,"16,492,322","3,007,572",-,-,-,-
90年 1月,"1,380,279","242,806",-,-,-,-
90年 2月,"1,247,227","228,827",-,-,-,-
90年 3月,"1,379,381","257,246",-,-,-,-
90年 4月,"1,483,994","282,881",-,-,-,-
90年 5月,"1,438,733","266,112",-,-,-,-
90年 6月,"1,535,336","274,846",-,-,-,-
90年 7月,"1,575,690","294,553",-,-,-,-
90年 8月,"1,582,213","280,554",-,-,-,-
90年 9月,"1,211,293","213,399",-,-,-,-
90年 10月,"1,223,045","241,826",-,-,-,-
90年 11月,"1,161,443","206,559",-,-,-,-
90年 12月,"1,273,688","217,963",-,-,-,-
91年,"16,999,317","3,062,007",-,-,-,-
91年 1月,"1,255,571","210,154",-,-,-,-
91年 2月,"1,433,327","244,961",-,-,-,-
91年 3月,"1,400,537","265,633",-,-,-,-
91年 4月,"1,468,263","276,513",-,-,-,-
91年 5月,"1,435,290","266,591",-,-,-,-
91年 6月,"1,395,800","255,004",-,-,-,-
91年 7月,"1,579,584","309,223",-,-,-,-
91年 8月,"1,617,566","290,734",-,-,-,-
91年 9月,"1,357,376","240,675",-,-,-,-
91年 10月,"1,433,826","252,668",-,-,-,-
91年 11月,"1,291,648","225,332",-,-,-,-
91年 12月,"1,330,529","224,519",-,-,-,-
92年,"13,602,439","2,310,382",-,-,-,-
92年 1月,"1,367,770","228,641",-,-,-,-
92年 2月,"1,381,071","234,869",-,-,-,-
92年 3月,"1,247,130","223,444",-,-,-,-
92年 4月,"601,704","99,483",-,-,-,-
92年 5月,"260,528","42,337",-,-,-,-
92年 6月,"481,345","71,775",-,-,-,-
92年 7月,"1,315,823","240,274",-,-,-,-
92年 8月,"1,531,332","264,699",-,-,-,-
92年 9月,"1,363,267","230,708",-,-,-,-
92年 10月,"1,446,283","238,723",-,-,-,-
92年 11月,"1,316,527","221,479",-,-,-,-
92年 12月,"1,289,659","213,950",-,-,-,-
93年,"17,721,939","3,026,733",-,768,"3,528",-
93年 1月,"1,481,699","239,808",-,-,-,-
93年 2月,"1,185,875","197,800",-,-,-,-
93年 3月,"1,360,735","215,862",-,-,510,-
93年 4月,"1,403,319","243,759",-,-,-,-
93年 5月,"1,377,413","224,454",-,-,-,-
93年 6月,"1,582,224","266,838",-,-,-,-
93年 7月,"1,750,960","313,557",-,-,-,-
93年 8月,"1,703,079","315,362",-,768,-,-
93年 9月,"1,481,575","249,615",-,-,-,-
93年 10月,"1,544,471","272,341",-,-,"1,421",-
93年 11月,"1,421,546","242,750",-,-,"1,597",-
93年 12月,"1,429,043","244,587",-,-,-,-
94年,"19,213,399","3,257,807",-,964,"6,654",-
94年 1月,"1,354,792","238,763",-,-,885,-
94年 2月,"1,571,001","286,370",-,-,"1,592",-
94年 3月,"1,475,979","254,348",-,-,-,-
94年 4月,"1,585,888","276,205",-,-,789,-
94年 5月,"1,602,565","277,498",-,-,840,-
94年 6月,"1,677,799","275,829",-,-,-,-
94年 7月,"1,897,311","339,445",-,-,976,-
94年 8月,"1,802,341","323,944",-,666,569,-
94年 9月,"1,588,079","257,991",-,-,88,-
94年 10月,"1,688,931","265,031",-,-,402,-
94年 11月,"1,484,909","226,329",-,-,263,-
94年 12月,"1,483,804","236,054",-,298,250,-
95年,"20,285,388","3,439,226",-,"1,286","41,102","1,136"
95年 1月,"1,560,818","262,991",-,-,303,-
95年 2月,"1,615,198","287,854",-,204,316,-
95年 3月,"1,590,538","270,887",-,-,-,-
95年 4月,"1,699,003","286,920",-,-,-,-
95年 5月,"1,651,288","271,125",-,-,-,-
95年 6月,"1,733,267","284,534",-,780,"3,736",-
95年 7月,"1,955,992","344,854",-,-,"4,648",-
95年 8月,"1,864,239","338,674",-,302,"5,463",-
95年 9月,"1,621,467","271,278",-,-,"5,688",387
95年 10月,"1,799,848","296,054",-,-,"6,847",-
95年 11月,"1,592,219","265,738",-,-,"6,493",-
95年 12月,"1,601,511","258,317",-,-,"7,608",749
96年,"20,855,186","3,365,718",-,930,"205,649",-
96年 1月,"1,472,197","241,556",-,269,"8,298",-
96年 2月,"1,791,664","285,118",-,269,"10,326",-
96年 3月,"1,683,631","272,870",-,-,"9,428",-
96年 4月,"1,776,989","296,868",-,-,"11,825",-
96年 5月,"1,714,501","282,551",-,264,"12,868",-
96年 6月,"1,829,284","295,902",-,-,"14,817",-
96年 7月,"1,907,197","326,330",-,-,"20,075",-
96年 8月,"1,891,999","309,554",-,128,"21,237",-
96年 9月,"1,744,988","268,149",-,-,"18,147",-
96年 10月,"1,722,050","279,455",-,-,"22,320",-
96年 11月,"1,650,760","253,200",-,-,"25,250",-
96年 12月,"1,669,926","254,165",-,-,"31,058",-
97年,"19,492,035","2,826,960",-,15,"460,487",266
97年 1月,"1,666,395","243,142",-,-,"28,680",266
97年 2月,"1,714,136","258,366",-,-,"30,971",-
97年 3月,"1,664,536","246,961",-,-,"34,010",-
97年 4月,"1,709,923","274,532",-,-,"39,503",-
97年 5月,"1,726,210","250,272",-,-,"42,412",-
97年 6月,"1,723,369","239,801",-,10,"43,902",-
97年 7月,"1,781,020","270,086",-,-,"46,735",-
97年 8月,"1,652,029","239,453",-,-,"46,476",-
97年 9月,"1,464,060","203,557",-,2,"35,966",-
97年 10月,"1,587,947","214,172",-,-,"40,658",-
97年 11月,"1,415,243","192,606",-,-,"35,218",-
97年 12月,"1,387,167","194,012",-,3,"35,956",-
98年,"20,642,156","2,466,375",862,-,"316,227",-
98年 1月,"1,729,427","201,235",-,-,"28,805",-
98年 2月,"1,495,288","177,014",-,-,"26,376",-
98年 3月,"1,711,308","209,909",-,-,"32,923",-
98年 4月,"1,856,557","245,213",11,-,"32,174",-
98年 5月,"1,687,329","212,483",38,-,"28,823",-
98年 6月,"1,503,868","181,793",47,-,"23,066",-
98年 7月,"1,851,386","242,516",123,-,"26,677",-
98年 8月,"2,030,349","254,308",36,-,"27,065",-
98年 9月,"1,579,270","165,788",154,-,"19,185",-
98年 10月,"1,666,711","184,152",195,-,"22,650",-
98年 11月,"1,690,457","191,137",148,-,"22,901",-
98年 12月,"1,840,206","200,827",110,-,"25,582",-
99年,"22,036,532","2,608,338","191,259",228,"413,886",-
99年 1月,"1,797,865","193,664",126,-,"23,652",-
99年 2月,"1,814,150","218,673",195,-,"26,652",-
99年 3月,"1,890,020","211,995",116,-,"27,745",-
99年 4月,"1,833,287","218,165",118,-,"33,601",-
99年 5月,"1,849,559","222,288",151,-,"34,537",-
99年 6月,"1,877,881","227,762",109,228,"34,286",-
99年 7月,"2,032,804","259,154",79,-,"41,808",-
99年 8月,"1,993,388","254,951",114,-,"41,278",-
99年 9月,"1,752,120","199,476",94,-,"33,520",-
99年 10月,"1,796,935","206,172","3,695",-,"39,327",-
99年 11月,"1,659,879","199,797","91,500",-,"36,952",-
99年 12月,"1,738,644","196,241","94,962",-,"40,528",-
100年,"20,916,151","2,413,319","1,170,351",-,"454,910",-
100年 1月,"1,718,534","186,610","104,650",-,"32,709",-
100年 2月,"1,606,786","184,497","95,482",-,"33,195",-
100年 3月,"1,627,417","178,072","85,206",-,"34,120",-
100年 4月,"1,658,537","201,882","71,021",-,"40,753",-
100年 5月,"1,656,851","200,274","86,820",-,"34,945",-
100年 6月,"1,832,738","220,191","88,780",-,"35,996",-
100年 7月,"1,974,317","254,969","98,198",-,"45,207",-
100年 8月,"1,954,055","238,718","112,511",-,"44,916",-
100年 9月,"1,684,008","196,666","106,824",-,"35,415",-
100年 10月,"1,754,736","191,980","106,984",-,"39,014",-
100年 11月,"1,668,904","176,129","106,312",-,"38,444",-
100年 12月,"1,779,268","183,331","107,563",-,"40,196",-
101年,"22,506,745","2,422,356","1,400,493","3,429","599,119",7
101年 1月,"1,899,151","200,744","99,908",-,"38,777",-
101年 2月,"1,651,883","176,078","106,115",-,"30,291",-
101年 3月,"1,800,585","192,416","112,816",-,"35,298",-
101年 4月,"1,895,725","213,333","104,453",-,"45,200",-
101年 5月,"1,797,809","198,261","108,734",217,"48,786",-
101年 6月,"1,907,944","214,806","120,252",939,"58,251",-
101年 7月,"2,063,415","245,177","124,821",897,"67,988",-
101年 8月,"2,062,846","232,539","135,970","1,376","63,582",-
101年 9月,"1,762,199","187,623","123,169",-,"47,659",-
101年 10月,"1,854,536","193,362","123,955",-,"52,622",-
101年 11月,"1,841,849","178,153","121,906",-,"53,168",-
101年 12月,"1,968,803","189,864","118,394",-,"57,497",7
102年,"25,157,863","2,610,545","1,578,993",-,"798,718",-
102年 1月,"1,827,630","169,856","119,237",-,"49,177",-
102年 2月,"1,954,404","196,390","113,316",-,"56,409",-
102年 3月,"2,080,873","197,667","137,552",-,"58,756",-
102年 4月,"2,062,172","213,804","123,070",-,"60,941",-
102年 5月,"1,945,135","196,499","123,394",-,"55,698",-
102年 6月,"2,174,360","227,598","132,906",-,"70,010",-
102年 7月,"2,280,473","261,339","138,911",-,"79,718",-
102年 8月,"2,303,868","265,397","142,982",-,"83,692",-
102年 9月,"2,086,475","225,265","136,038",-,"68,080",-
102年 10月,"2,157,577","226,614","136,965",-,"68,198",-
102年 11月,"2,083,696","206,287","139,790",-,"71,466",-
102年 12月,"2,201,200","223,829","134,832",-,"76,573",-
103年,"27,310,083","3,100,013","1,657,404",-,"978,831",27
103年 1月,"2,129,418","224,263","134,684",-,"72,313",-
103年 2月,"2,071,944","226,921","123,606",-,"75,867",-
103年 3月,"2,273,971","239,125","145,106",-,"78,712",7
103年 4月,"2,294,608","269,857","137,100",-,"82,825",-
103年 5月,"2,285,914","262,735","138,488",-,"80,588",-
103年 6月,"2,339,153","272,532","139,390",-,"85,695",-
103年 7月,"2,460,348","312,147","141,538",-,"91,702",-
103年 8月,"2,442,189","298,714","145,192",-,"92,099",-
103年 9月,"2,132,785","239,695","135,325",-,"75,800",-
103年 10月,"2,277,414","251,912","141,979",-,"79,249",20
103年 11月,"2,229,928","238,857","138,599",-,"77,806",-
103年 12月,"2,372,411","263,255","136,397",-,"86,175",-
104年,"29,613,896","3,777,604","1,656,510","4,519","1,057,366",4
