日期,載客人數（人次）,飛行架次(次)
85年,"27,344,734","339,132"
86年,"29,061,262","346,316"
87年,"27,475,242","316,247"
87年 1月,"2,440,848","30,445"
87年 2月,"2,170,119","26,346"
87年 3月,"1,885,934","25,756"
87年 4月,"2,068,184","25,622"
87年 5月,"2,260,289","27,221"
87年 6月,"2,334,429","26,583"
87年 7月,"2,574,601","27,902"
87年 8月,"2,691,738","28,899"
87年 9月,"2,118,336","23,810"
87年 10月,"2,201,571","23,840"
87年 11月,"2,314,387","24,518"
87年 12月,"2,414,806","25,305"
88年,"28,205,795","304,493"
88年 1月,"2,237,903","24,741"
88年 2月,"2,351,359","24,357"
88年 3月,"2,327,279","25,028"
88年 4月,"2,505,621","25,301"
88年 5月,"2,499,446","25,529"
88年 6月,"2,550,869","24,908"
88年 7月,"2,751,476","27,072"
88年 8月,"2,570,741","26,461"
88年 9月,"2,119,346","25,858"
88年 10月,"1,992,073","25,769"
88年 11月,"2,164,553","24,629"
88年 12月,"2,135,129","24,840"
89年,"26,334,787","291,748"
89年 1月,"1,963,624","24,479"
89年 2月,"2,340,198","24,771"
89年 3月,"2,130,368","24,555"
89年 4月,"2,260,340","24,739"
89年 5月,"2,236,437","24,774"
89年 6月,"2,248,073","23,908"
89年 7月,"2,494,044","24,695"
89年 8月,"2,271,946","24,014"
89年 9月,"2,164,356","24,391"
89年 10月,"2,111,529","24,433"
89年 11月,"1,995,591","22,782"
89年 12月,"2,118,281","24,207"
90年,"25,378,878","277,595"
90年 1月,"2,222,687","25,276"
90年 2月,"1,900,455","21,489"
90年 3月,"2,159,051","23,353"
90年 4月,"2,265,125","22,960"
90年 5月,"2,192,356","23,596"
90年 6月,"2,244,994","23,712"
90年 7月,"2,365,567","23,930"
90年 8月,"2,453,356","25,058"
90年 9月,"1,759,579","20,264"
90年 10月,"1,946,747","23,181"
90年 11月,"1,846,542","21,967"
90年 12月,"2,022,419","22,809"
91年,"24,674,971","274,697"
91年 1月,"1,927,881","22,477"
91年 2月,"2,059,016","21,727"
91年 3月,"2,135,477","22,596"
91年 4月,"2,205,807","23,292"
91年 5月,"2,195,014","23,994"
91年 6月,"1,970,926","22,743"
91年 7月,"2,191,907","23,733"
91年 8月,"2,241,405","24,458"
91年 9月,"1,907,545","21,827"
91年 10月,"1,981,696","23,243"
91年 11月,"1,894,345","22,145"
91年 12月,"1,963,952","22,462"
92年,"22,258,388","250,219"
92年 1月,"1,985,795","23,223"
92年 2月,"1,941,498","21,260"
92年 3月,"1,878,041","21,775"
92年 4月,"1,305,620","19,253"
92年 5月,"778,402","16,685"
92年 6月,"1,276,849","15,560"
92年 7月,"2,334,818","22,348"
92年 8月,"2,394,577","22,165"
92年 9月,"2,114,304","22,226"
92年 10月,"2,144,125","22,392"
92年 11月,"2,036,863","21,559"
92年 12月,"2,067,496","21,773"
93年,"26,173,804","262,608"
93年 1月,"2,265,612","23,232"
93年 2月,"1,846,108","20,046"
93年 3月,"2,025,228","21,657"
93年 4月,"2,137,474","21,133"
93年 5月,"2,178,367","21,892"
93年 6月,"2,291,247","22,216"
93年 7月,"2,496,394","23,266"
93年 8月,"2,417,494","22,843"
93年 9月,"2,118,766","22,146"
93年 10月,"2,176,609","21,735"
93年 11月,"2,105,917","21,303"
93年 12月,"2,114,588","21,139"
94年,"26,652,530","255,208"
94年 1月,"2,035,260","21,249"
94年 2月,"2,166,312","20,392"
94年 3月,"2,127,421","20,870"
94年 4月,"2,242,434","20,961"
94年 5月,"2,319,529","21,795"
94年 6月,"2,294,444","21,967"
94年 7月,"2,595,092","22,606"
94年 8月,"2,456,547","22,786"
94年 9月,"2,143,976","20,755"
94年 10月,"2,191,954","20,942"
94年 11月,"2,010,254","20,143"
94年 12月,"2,069,307","20,742"
95年,"26,692,132","249,489"
95年 1月,"2,154,394","20,977"
95年 2月,"2,091,348","19,113"
95年 3月,"2,157,603","20,513"
95年 4月,"2,198,894","20,620"
95年 5月,"2,158,086","21,267"
95年 6月,"2,258,687","21,137"
95年 7月,"2,531,052","21,924"
95年 8月,"2,442,457","22,138"
95年 9月,"2,098,232","20,882"
95年 10月,"2,303,603","21,575"
95年 11月,"2,109,926","19,456"
95年 12月,"2,187,850","19,887"
96年,"24,788,069","231,897"
96年 1月,"1,996,661","19,486"
96年 2月,"2,145,561","19,360"
96年 3月,"2,074,365","19,325"
96年 4月,"2,133,080","19,377"
96年 5月,"2,096,892","20,138"
96年 6月,"2,149,481","20,006"
96年 7月,"2,365,536","21,092"
96年 8月,"2,148,425","19,069"
96年 9月,"1,962,108","18,860"
96年 10月,"1,917,209","18,359"
96年 11月,"1,870,019","18,143"
96年 12月,"1,928,732","18,682"
97年,"22,101,253","197,023"
97年 1月,"1,881,882","17,579"
97年 2月,"1,962,281","18,061"
97年 3月,"1,905,962","18,185"
97年 4月,"1,916,284","17,271"
97年 5月,"1,914,781","16,827"
97年 6月,"1,849,469","15,989"
97年 7月,"2,086,708","16,921"
97年 8月,"1,968,670","16,536"
97年 9月,"1,656,935","14,801"
97年 10月,"1,757,357","15,805"
97年 11月,"1,596,046","14,582"
97年 12月,"1,604,878","14,466"
98年,"22,339,639","189,208"
98年 1月,"1,783,258","15,999"
98年 2月,"1,532,734","13,075"
98年 3月,"1,783,682","14,362"
98年 4月,"1,944,217","15,391"
98年 5月,"1,873,608","16,774"
98年 6月,"1,665,637","15,331"
98年 7月,"2,110,894","17,076"
98年 8月,"2,181,406","16,619"
98年 9月,"1,761,432","16,401"
