日期,新北市,臺北市,桃園市,臺中市,臺南市,高雄市
100年,267,"1,013",24,111,5,17
100年 1月,135,590,18,50,-,5
100年 2月,160,590,18,50,-,5
100年 3月,165,590,18,50,-,5
100年 4月,165,590,18,60,5,5
100年 5月,195,590,18,60,5,5
100年 6月,198,590,18,60,5,5
100年 7月,198,590,18,60,5,5
100年 8月,208,735,18,79,5,7
100年 9月,180,752,18,86,5,7
100年 10月,180,862,19,110,5,7
100年 11月,252,883,19,111,5,17
100年 12月,267,"1,013",24,111,5,17
101年,436,"1,483",53,170,10,89
101年 1月,297,"1,032",27,112,5,17
101年 2月,318,"1,032",23,111,5,17
101年 3月,321,"1,032",23,117,7,22
101年 4月,324,"1,065",23,117,7,22
101年 5月,329,"1,073",26,118,7,22
101年 6月,326,"1,122",28,136,7,22
101年 7月,334,"1,168",28,132,7,22
101年 8月,364,"1,256",28,137,7,22
101年 9月,364,"1,299",28,132,7,33
101年 10月,382,"1,329",53,170,7,81
101年 11月,397,"1,423",53,170,10,89
101年 12月,436,"1,483",53,170,10,89
102年,617,"1,784",67,395,30,109
102年 1月,436,"1,496",53,199,10,100
102年 2月,535,"1,496",53,224,10,89
102年 3月,498,"1,513",53,237,10,100
102年 4月,492,"1,527",47,243,10,100
102年 5月,508,"1,544",47,243,10,100
102年 6月,529,"1,560",47,247,10,100
102年 7月,529,"1,585",52,281,10,109
102年 8月,534,"1,616",52,302,16,109
102年 9月,577,"1,619",52,317,16,109
102年 10月,577,"1,672",62,307,23,109
102年 11月,579,"1,663",67,375,23,100
102年 12月,617,"1,784",67,395,30,109
103年,846,"2,279",74,719,95,199
103年 1月,630,"1,873",57,406,50,194
103年 2月,653,"1,868",56,412,53,199
103年 3月,668,"1,888",56,434,55,210
103年 4月,814,"1,931",64,435,38,210
103年 5月,818,"1,988",64,454,53,237
103年 6月,818,"2,114",64,450,53,233
103年 7月,818,"2,124",64,587,70,182
103年 8月,821,"2,183",64,570,90,197
103年 9月,821,"2,192",74,568,90,197
103年 10月,821,"2,183",74,685,95,197
103年 11月,821,"2,183",74,719,95,197
103年 12月,846,"2,279",74,719,95,199
104年,878,"2,328",128,821,94,200
104年 1月,856,"2,270",74,722,75,199
104年 2月,872,"2,270",69,748,58,199
104年 3月,874,"2,190",69,763,58,199
104年 4月,881,"2,285",69,737,58,199
104年 5月,881,"2,241",111,739,68,200
104年 6月,871,"2,331",121,743,68,200
104年 7月,871,"2,309",117,766,68,200
104年 8月,872,"2,309",117,714,68,187
104年 9月,872,"2,318",117,740,94,187
104年 10月,872,"2,313",128,766,94,193
104年 11月,878,"2,322",128,822,95,193
104年 12月,878,"2,328",128,821,94,200
105年,954,"2,433",194,887,131,258
105年 1月,878,"2,328",135,806,94,202
105年 2月,878,"2,352",135,805,94,197
105年 3月,888,"2,352",135,779,105,192
105年 4月,888,"2,352",135,804,105,218
105年 5月,952,"2,262",135,804,105,220
105年 6月,961,"2,362",135,845,105,231
105年 7月,961,"2,393",135,821,120,227
105年 8月,961,"2,400",155,822,120,227
105年 9月,961,"2,415",155,833,131,229
105年 10月,986,"2,427",155,835,131,229
105年 11月,961,"2,415",155,835,131,239
105年 12月,954,"2,433",194,887,131,258
106年,"1,101","2,460",249,"1,010",138,402
106年 1月,991,"2,440",222,892,131,261
106年 2月,"1,003","2,438",223,892,131,336
106年 3月,"1,013","2,438",242,888,131,338
106年 4月,"1,022","2,426",242,889,131,358
106年 5月,"1,038","2,426",329,905,131,366
106年 6月,"1,031","2,439",252,920,131,366
106年 7月,"1,032","2,439",250,923,131,369
106年 8月,"1,063","2,435",250,945,138,366
106年 9月,"1,066","2,458",249,957,138,366
106年 10月,"1,001","2,458",249,990,138,375
106年 11月,"1,082","2,458",249,984,138,373
106年 12月,"1,101","2,460",249,"1,010",138,402
107年,"1,323","2,975",339,"1,079",174,473
107年 1月,"1,124","2,512",249,"1,010",138,410
107年 2月,"1,124","2,512",249,"1,039",139,416
107年 3月,"1,482","2,543",234,987,139,436
107年 4月,"1,127","2,525",234,974,139,441
107年 5月,"1,117","2,525",234,983,147,441
107年 6月,"1,047","2,536",245,828,147,446
107年 7月,"1,133","2,553",245,978,147,454
107年 8月,"1,132","2,490",310,969,147,454
107年 9月,"1,122","2,580",305,"1,027",147,407
107年 10月,"1,248","2,580",321,852,214,407
107年 11月,"1,323","2,942",339,"1,093",168,453
107年 12月,"1,323","2,975",339,"1,079",174,473
108年,"1,453","3,057",329,"1,184",209,528
108年 1月,"1,322","2,975",339,"1,080",166,473
108年 2月,"1,322","2,977",339,"1,113",166,473
108年 3月,"1,323","3,000",335,"1,113",166,473
108年 4月,"1,323","3,008",335,"1,134",166,482
108年 5月,"1,339","3,044",335,"1,134",166,482
108年 6月,"1,339","3,044",335,"1,141",166,517
108年 7月,"1,377","3,054",340,"1,151",166,525
108年 8月,"1,383","3,059",340,"1,146",166,525
108年 9月,"1,383","3,059",340,"1,151",181,525
108年 10月,"1,389","3,059",340,"1,179",185,525
108年 11月,"1,383","3,059",335,"1,183",185,528
108年 12月,"1,453","3,057",329,"1,184",209,528
109年,"1,611","3,061",404,"1,220",209,541
109年 1月,"1,380","3,070",330,"1,184",209,525
109年 2月,"1,379","3,069",330,"1,184",206,530
109年 3月,"1,379","3,069",332,"1,184",206,528
109年 4月,"1,384","3,066",332,"1,181",212,528
109年 5月,"1,372","3,066",332,"1,193",212,528
109年 6月,"1,396","3,064",332,"1,194",212,528
109年 7月,"1,403","3,064",332,"1,195",212,528
109年 8月,"1,425","3,064",332,"1,195",212,525
109年 9月,"1,436","3,058",332,"1,204",206,514
109年 10月,"1,600","3,041",332,"1,208",212,514
109年 11月,"1,591","3,052",404,"1,227",209,541
