日期,新北市,臺北市,桃園市,臺中市,臺南市,高雄市
100年,"1,132","4,147",303,713,238,683
100年 1月,970,"4,234",304,496,92,669
100年 2月,"1,006","4,212",304,560,92,668
100年 3月,"1,006","4,211",307,564,92,665
100年 4月,"1,006","4,193",307,612,108,666
100年 5月,"1,021","4,167",307,612,108,663
100年 6月,"1,019","4,167",304,640,109,660
100年 7月,"1,021","4,159",304,639,109,667
100年 8月,"1,021","4,128",303,655,109,667
100年 9月,"1,026","4,154",303,663,109,663
100年 10月,"1,037","4,126",302,694,109,663
100年 11月,"1,069","4,116",302,704,105,669
100年 12月,"1,132","4,147",303,713,238,683
101年,"1,578","3,965",325,870,355,972
101年 1月,"1,339","4,099",302,717,238,686
101年 2月,"1,360","4,043",303,714,238,699
101年 3月,"1,360","4,043",344,721,235,693
101年 4月,"1,367","4,023",344,721,239,692
101年 5月,"1,399","4,016",346,729,234,751
101年 6月,"1,402","4,017",346,729,229,905
101年 7月,"1,523","4,050",346,731,228,"1,002"
101年 8月,"1,529","4,023",346,731,228,999
101年 9月,"1,532","4,023",346,744,228,"1,005"
101年 10月,"1,564","4,005",325,833,224,992
101年 11月,"1,570","3,974",325,827,225,972
101年 12月,"1,578","3,965",325,870,355,972
102年,"1,857","3,840",336,"1,182",462,"1,161"
102年 1月,"1,683","3,957",325,958,335,972
102年 2月,"1,673","3,975",325,985,335,970
102年 3月,"1,655","3,967",325,"1,019",338,"1,032"
102年 4月,"1,657","3,963",325,"1,043",332,"1,028"
102年 5月,"1,657","3,963",326,"1,044",336,"1,026"
102年 6月,"1,659","3,976",326,"1,035",336,"1,026"
102年 7月,"1,801","3,824",332,"1,075",345,"1,031"
102年 8月,"1,815","3,824",332,"1,118",328,"1,030"
102年 9月,"1,815","3,816",332,"1,147",327,"1,037"
102年 10月,"1,815","3,830",336,"1,144",336,"1,032"
102年 11月,"1,816","3,839",336,"1,159",336,"1,009"
102年 12月,"1,857","3,840",336,"1,182",462,"1,161"
103年,"2,302","3,562",336,"1,310",472,942
103年 1月,"1,988","3,715",336,"1,190",437,906
103年 2月,"2,019","3,682",336,"1,198",432,906
103年 3月,"2,019","3,742",336,"1,206",430,907
103年 4月,"2,113","3,708",336,"1,199",428,908
103年 5月,"2,129","3,824",336,"1,200",443,920
103年 6月,"2,133","3,705",336,"1,212",448,920
103年 7月,"2,287","3,540",336,"1,293",452,874
103年 8月,"2,239","3,559",336,"1,282",471,877
103年 9月,"2,239","3,559",336,"1,285",463,924
103年 10月,"2,256","3,558",336,"1,300",563,919
103年 11月,"2,256","3,561",336,"1,308",463,934
103年 12月,"2,302","3,562",336,"1,310",472,942
104年,"2,373","3,578",403,"1,327",354,965
104年 1月,"2,320","3,563",336,"1,309",446,940
104年 2月,"2,346","3,563",382,"1,307",444,963
104年 3月,"2,365","3,563",360,"1,309",333,958
104年 4月,"2,372","3,564",360,"1,310",333,956
