日期,新北市,臺北市,桃園市,臺中市,臺南市,高雄市
100年,-,-,-,-,-,-
100年 1月,-,-,-,-,-,-
100年 2月,-,-,-,-,-,-
100年 3月,-,-,-,-,-,-
100年 4月,-,-,-,-,-,-
100年 5月,-,-,-,-,-,-
100年 6月,-,-,-,-,-,-
100年 7月,-,-,-,-,-,-
100年 8月,-,-,-,-,-,-
100年 9月,-,-,-,-,-,-
100年 10月,-,-,-,-,-,-
100年 11月,-,-,-,-,-,-
100年 12月,-,-,-,-,-,-
101年,-,-,-,-,-,-
101年 1月,-,-,-,-,-,-
101年 2月,-,-,-,-,-,-
101年 3月,-,-,-,-,-,-
101年 4月,-,-,-,-,-,-
101年 5月,-,-,-,-,-,-
101年 6月,-,-,-,-,-,-
101年 7月,-,-,-,-,-,-
101年 8月,-,-,-,-,-,-
101年 9月,-,-,-,-,-,-
101年 10月,-,-,-,-,-,-
101年 11月,-,-,-,-,-,-
101年 12月,-,-,-,-,-,-
102年,-,-,-,-,-,-
102年 1月,-,-,-,-,-,-
102年 2月,-,-,-,-,-,-
102年 3月,-,-,-,-,-,-
102年 4月,-,-,-,-,-,-
102年 5月,-,-,-,-,-,-
102年 6月,-,-,-,-,-,-
102年 7月,-,-,-,-,-,-
102年 8月,-,-,-,-,-,-
102年 9月,-,-,-,-,-,-
102年 10月,-,-,-,-,-,-
102年 11月,-,-,-,-,-,-
102年 12月,-,-,-,-,-,-
103年,-,-,-,-,-,-
103年 1月,-,-,-,-,-,-
103年 2月,-,-,-,-,-,-
103年 3月,-,-,-,-,-,-
103年 4月,-,-,-,-,-,-
103年 5月,-,-,-,-,-,-
103年 6月,-,-,-,-,-,-
103年 7月,-,-,-,-,-,-
103年 8月,-,-,-,-,-,-
103年 9月,-,-,-,-,-,-
103年 10月,-,-,-,-,-,-
103年 11月,-,-,-,-,-,-
103年 12月,-,-,-,-,-,-
104年,-,-,-,-,-,-
104年 1月,-,-,-,-,-,-
104年 2月,-,-,-,-,-,-
104年 3月,-,-,-,-,-,-
104年 4月,-,-,-,-,-,-
104年 5月,-,-,-,-,-,-
104年 6月,-,-,-,-,-,-
104年 7月,-,-,-,-,-,-
104年 8月,-,-,-,-,-,-
104年 9月,-,-,-,-,-,-
104年 10月,-,-,-,-,-,-
104年 11月,-,-,-,-,-,-
104年 12月,-,-,-,-,-,-
105年,-,-,-,-,-,-
105年 1月,-,-,-,-,-,-
105年 2月,-,-,-,-,-,-
105年 3月,-,-,-,-,-,-
105年 4月,-,-,-,-,-,-
105年 5月,-,-,-,-,-,-
105年 6月,-,-,-,-,-,-
105年 7月,-,-,-,-,-,-
105年 8月,-,-,-,-,-,-
105年 9月,-,-,-,-,-,-
105年 10月,-,-,-,-,-,-
105年 11月,-,-,-,-,-,-
105年 12月,-,-,-,-,-,-
106年,-,-,-,-,-,-
106年 1月,-,-,-,-,-,-
106年 2月,-,-,-,-,-,-
106年 3月,-,-,-,-,-,-
106年 4月,-,-,-,-,-,-
106年 5月,-,-,-,-,-,-
106年 6月,-,-,-,-,-,-
106年 7月,-,-,-,-,-,-
106年 8月,-,-,-,-,-,-
106年 9月,-,-,-,-,-,-
106年 10月,-,-,-,-,-,-
106年 11月,-,-,-,-,-,-
106年 12月,-,-,-,-,-,-
107年,-,22,50,150,9,109
107年 1月,-,-,-,-,-,-
107年 2月,-,-,-,-,-,-
107年 3月,-,-,-,-,-,-
107年 4月,-,-,-,-,-,-
107年 5月,-,-,-,-,-,-
107年 6月,-,-,-,-,-,-
107年 7月,-,-,-,-,-,-
107年 8月,-,-,-,-,-,-
107年 9月,-,-,-,-,-,-
107年 10月,-,-,-,-,-,-
107年 11月,-,14,50,137,9,97
107年 12月,-,22,50,150,9,109
108年,10,22,50,182,18,120
108年 1月,10,22,50,150,6,109
108年 2月,10,22,50,150,6,109
108年 3月,10,22,50,150,15,109
108年 4月,10,22,50,150,15,109
108年 5月,10,22,50,150,15,109
108年 6月,10,22,50,150,15,109
108年 7月,10,22,50,160,15,117
108年 8月,10,22,50,160,15,117
108年 9月,10,22,50,165,18,120
108年 10月,10,22,50,182,18,120
108年 11月,10,22,50,182,18,120
108年 12月,10,22,50,182,18,120
109年,40,48,50,197,18,111
109年 1月,10,28,50,182,18,120
