日期,客運人數(人次),新北市,臺北市,桃園市,臺中市,高雄市
100年,"928,786,188","129,253,716","641,035,091","28,576,852","55,216,751","33,199,498"
100年 1月,"76,058,339","9,588,899","54,745,872","2,476,562","3,089,669","2,647,324"
100年 2月,"66,891,805","8,560,370","47,917,996","2,139,397","2,960,771","2,450,188"
100年 3月,"83,598,061","11,243,382","59,565,336","2,454,149","3,884,806","2,780,812"
100年 4月,"80,266,987","10,434,446","57,377,660","2,427,698","3,792,050","2,695,616"
100年 5月,"78,574,442","11,249,292","54,115,589","2,486,508","4,122,031","2,862,057"
100年 6月,"73,418,666","10,419,359","50,364,856","2,309,794","4,330,751","2,631,782"
100年 7月,"74,027,043","10,231,839","50,758,483","2,245,988","4,806,307","2,691,568"
100年 8月,"75,257,810","10,468,357","51,375,109","2,263,805","5,139,370","2,693,624"
100年 9月,"77,748,580","11,231,277","52,621,285","2,373,923","5,466,091","2,802,274"
100年 10月,"80,102,022","11,542,931","53,740,508","2,499,109","5,822,659","2,889,256"
100年 11月,"79,664,801","11,885,747","53,277,084","2,386,318","5,564,865","2,959,024"
100年 12月,"83,177,632","12,397,817","55,175,313","2,513,601","6,237,381","3,095,973"
101年,"977,541,649","171,000,587","614,825,843","29,533,497","81,492,709","36,489,170"
101年 1月,"71,234,579","11,589,577","45,982,547","2,144,894","5,253,540","2,769,422"
101年 2月,"74,720,166","12,162,313","48,465,481","2,191,714","5,684,636","2,823,929"
101年 3月,"84,700,541","14,277,359","54,584,921","2,575,590","6,453,366","3,039,619"
101年 4月,"80,038,007","13,360,515","51,120,471","2,492,025","6,362,660","2,941,685"
101年 5月,"84,982,500","14,356,097","54,127,417","2,605,641","6,817,473","3,169,914"
101年 6月,"78,189,105","13,102,598","49,982,169","2,355,076","6,358,471","2,809,141"
101年 7月,"79,399,562","13,753,434","50,225,487","2,266,101","6,678,869","3,004,637"
101年 8月,"79,579,150","14,108,824","50,094,922","2,247,525","6,710,040","2,902,623"
101年 9月,"83,324,083","15,163,551","51,494,059","2,518,818","7,384,597","3,064,549"
101年 10月,"88,259,460","16,587,767","53,808,610","2,748,472","7,966,740","3,241,615"
101年 11月,"84,980,781","16,040,309","51,871,080","2,660,047","7,603,757","3,102,925"
101年 12月,"88,133,715","16,498,243","53,068,679","2,727,594","8,218,560","3,619,111"
102年,"1,028,784,767","217,051,060","589,754,882","31,201,368","103,195,427","39,426,976"
102年 1月,"85,433,577","16,734,395","51,387,629","2,631,000","7,830,458","2,954,481"
102年 2月,"71,233,056","13,748,701","42,128,156","2,093,458","6,838,500","2,709,229"
102年 3月,"90,004,492","17,819,512","53,738,781","2,769,589","8,570,916","3,083,110"
102年 4月,"84,972,813","16,849,477","50,178,866","2,622,032","8,192,225","3,175,889"
102年 5月,"90,300,487","18,129,322","53,242,917","2,795,800","8,767,332","3,189,599"
102年 6月,"83,498,107","16,707,013","48,889,372","2,589,950","8,426,049","2,978,824"
102年 7月,"82,688,333","18,140,339","47,246,380","2,391,595","8,074,392","2,980,115"
102年 8月,"81,533,154","18,111,899","45,922,756","2,361,146","8,285,363","3,016,259"
102年 9月,"84,952,339","18,884,990","47,002,503","2,622,466","9,059,473","3,443,273"
102年 10月,"92,170,793","20,728,131","50,826,119","2,804,608","9,675,730","3,791,243"
102年 11月,"89,681,638","20,190,869","49,209,415","2,715,312","9,443,241","3,910,853"
102年 12月,"92,315,978","21,006,412","49,981,988","2,804,412","10,031,748","4,194,101"
103年,"1,051,115,607","273,617,121","520,453,738","31,852,161","123,344,979","49,721,969"
103年 1月,"84,840,343","20,706,272","44,772,891","2,504,908","8,895,887","3,691,943"
103年 2月,"76,559,515","18,905,348","39,589,724","2,290,546","8,382,120","3,674,815"
103年 3月,"90,691,467","22,910,394","46,483,711","2,786,913","9,947,872","4,111,860"
103年 4月,"87,318,066","22,032,926","44,404,253","2,733,334","9,732,409","4,060,818"
103年 5月,"91,744,372","23,085,208","46,736,118","2,782,045","10,276,067","4,310,056"
103年 6月,"85,365,404","21,340,760","43,287,629","2,629,263","9,730,103","4,069,139"
103年 7月,"84,067,624","22,486,066","41,512,766","2,462,814","9,465,468","4,008,609"
103年 8月,"86,188,315","22,901,604","41,901,343","2,527,662","10,845,190","3,791,665"
103年 9月,"87,671,076","23,722,270","42,097,897","2,728,098","10,615,321","4,140,197"
103年 10月,"93,920,171","25,322,885","44,621,056","2,870,719","11,827,403","4,650,479"
103年 11月,"88,997,618","24,245,278","41,616,359","2,727,019","11,529,596","4,427,876"
103年 12月,"93,751,636","25,958,110","43,429,991","2,808,840","12,097,543","4,784,512"
104年,"1,032,245,671","285,533,474","479,043,379","31,396,717","133,404,152","50,642,040"
104年 1月,"86,900,646","23,914,295","40,430,157","2,626,068","11,091,470","4,374,992"
104年 2月,"71,006,692","19,305,670","33,470,271","2,092,303","8,923,494","3,493,630"
104年 3月,"91,923,427","25,635,911","42,525,254","2,822,791","11,904,449","4,528,331"
104年 4月,"86,119,850","24,051,090","39,751,186","2,648,094","11,164,531","4,165,968"
104年 5月,"89,809,754","25,136,233","41,497,276","2,852,400","11,460,098","4,397,952"
104年 6月,"84,893,657","23,687,876","39,223,832","2,600,508","10,955,604","4,078,335"
104年 7月,"83,263,796","22,732,996","39,110,027","2,460,765","10,678,974","4,107,188"
104年 8月,"80,865,875","22,031,686","38,147,315","2,384,828","10,302,219","3,957,667"
104年 9月,"84,345,614","23,296,986","39,131,525","2,580,624","10,983,225","4,041,390"
104年 10月,"91,509,753","25,321,246","42,144,882","2,813,616","12,070,930","4,520,688"
104年 11月,"88,404,987","24,541,588","40,766,224","2,726,314","11,517,591","4,348,855"
104年 12月,"93,201,620","25,877,897","42,845,430","2,788,406","12,351,567","4,627,044"
105年,"1,039,221,057","287,747,455","480,705,274","32,201,632","135,747,003","49,454,680"
