日期,客運收入(新臺幣元),新北市,臺北市,桃園市,臺中市,高雄市
100年,"14,479,949,003","2,027,172,599","10,090,737,395","490,950,514","1,179,881,699","277,392,003"
100年 1月,"1,165,397,234","151,902,105","857,439,684","39,308,590","60,656,479","21,437,694"
100年 2月,"984,243,479","134,096,944","708,387,748","33,836,462","60,272,310","19,045,574"
100年 3月,"1,257,338,509","176,435,389","901,857,154","42,906,576","77,975,933","22,952,813"
100年 4月,"1,188,593,954","163,686,408","847,274,605","42,332,537","78,041,597","22,988,235"
100年 5月,"1,220,934,126","176,093,294","859,124,632","43,274,815","83,366,814","23,063,472"
100年 6月,"1,155,823,775","163,155,095","799,770,375","40,108,426","97,088,756","23,210,989"
100年 7月,"1,167,088,046","160,234,213","806,131,315","39,566,224","105,531,642","22,726,792"
100年 8月,"1,191,660,684","163,984,994","815,923,195","39,645,626","113,754,055","23,666,840"
100年 9月,"1,228,282,622","176,253,019","835,648,012","40,631,153","118,931,238","23,975,883"
100年 10月,"1,265,576,328","181,144,399","853,381,804","43,649,860","126,739,566","24,641,671"
100年 11月,"1,255,482,136","186,482,923","846,008,032","41,726,825","122,294,732","23,791,904"
100年 12月,"1,399,528,110","193,703,816","959,790,839","43,963,420","135,228,577","25,890,136"
101年,"16,719,380,182","2,932,736,140","10,693,490,727","527,407,355","1,737,008,553","343,964,292"
101年 1月,"1,190,276,773","179,966,288","799,547,280","37,906,924","111,998,714","22,439,841"
101年 2月,"1,255,228,246","191,828,570","843,096,504","38,552,993","121,657,167","23,410,362"
101年 3月,"1,447,473,762","248,524,792","949,381,943","45,062,486","138,002,573","24,973,751"
101年 4月,"1,366,974,490","232,569,086","888,753,860","44,344,118","136,032,480","24,247,472"
101年 5月,"1,452,362,007","249,564,700","941,540,020","46,333,437","144,832,492","28,332,938"
101年 6月,"1,339,377,910","227,080,490","869,466,310","42,216,774","134,905,093","26,991,361"
101年 7月,"1,365,080,363","239,248,462","873,805,389","41,007,737","141,405,727","30,974,236"
101年 8月,"1,368,563,446","245,451,618","871,544,692","40,897,867","141,820,896","30,587,382"
101年 9月,"1,435,193,560","263,803,259","895,780,202","45,406,440","157,603,370","32,279,388"
