日期,旅客人數(人次),客運收入(新台幣元)
108年,"3,148,607","35,177,450"
108年 2月,"355,786","2,401,750"
108年 3月,"301,720","1,923,037"
108年 4月,"306,143","1,956,942"
108年 5月,"225,128","2,451,169"
108年 6月,"239,306","2,699,550"
108年 7月,"271,622","2,846,126"
108年 8月,"265,532","2,947,337"
108年 9月,"265,741","3,241,534"
108年 10月,"313,280","3,284,363"
108年 11月,"285,787","4,001,736"
108年 12月,"318,562","7,423,906"
109年,"3,487,060","53,488,825"
109年 1月,"299,059","2,467,700"
109年 2月,"239,892","3,328,766"
109年 3月,"232,567","3,783,999"
109年 4月,"194,503","3,022,421"
109年 5月,"233,507","4,234,709"
109年 6月,"279,876","3,258,703"
109年 7月,"273,614","3,422,338"
109年 8月,"279,811","4,862,470"
109年 9月,"270,933","4,462,697"
109年 10月,"319,445","4,331,216"
109年 11月,"455,455","7,130,715"
109年 12月,"408,398","9,183,091"
110年,"3,570,414","57,315,136"
110年 1月,"378,157","4,510,963"
110年 2月,"406,077","6,231,850"
110年 3月,"426,491","5,459,582"
110年 4月,"421,340","7,015,582"
110年 5月,"228,176","4,331,485"
110年 6月,"89,185","1,958,654"
110年 7月,"130,682","2,440,896"
110年 8月,"208,521","2,761,370"
110年 9月,"241,344","6,492,207"
110年 10月,"347,516","5,480,599"
110年 11月,"333,724","5,096,541"
110年 12月,"359,201","5,535,407"
111年,"3,897,144","65,349,953"
111年 1月,"303,807","4,984,180"
111年 2月,"290,901","4,870,769"
111年 3月,"371,299","6,718,024"
111年 4月,"291,421","5,039,352"
111年 5月,"226,831","3,780,375"
111年 6月,"267,338","4,358,037"
111年 7月,"333,004","5,360,436"
111年 8月,"344,752","5,662,763"
111年 9月,"353,448","5,994,478"
111年 10月,"348,863","5,715,070"
111年 11月,"376,258","6,047,195"
111年 12月,"389,222","6,819,274"
112年(1月至5月),"2,893,998","47,841,504"
112年 1月,"369,998","5,646,569"
112年 2月,"372,487","6,441,054"
112年 3月,"524,359","9,046,869"
112年 4月,"579,849","9,613,960"
112年 5月,"1,047,305","17,093,052"
