日期,旅客人數(人次),客運收入(新台幣元)
106年,"17,345,952","1,315,539,640"
106年 3月,"2,001,450","98,081,069"
106年 4月,"1,722,923","141,222,390"
106年 5月,"1,645,321","128,276,053"
106年 6月,"1,574,561","123,366,369"
106年 7月,"1,654,095","136,067,217"
106年 8月,"1,797,409","141,855,978"
106年 9月,"1,571,373","123,333,913"
106年 10月,"1,787,227","145,485,740"
106年 11月,"1,616,698","124,371,601"
106年 12月,"1,974,895","153,479,310"
107年,"23,214,261","1,688,932,235"
107年 1月,"1,791,515","141,597,120"
107年 2月,"1,688,773","135,544,106"
107年 3月,"1,879,941","142,187,548"
107年 4月,"1,827,860","139,629,858"
107年 5月,"1,813,423","134,267,538"
107年 6月,"1,849,962","144,110,319"
107年 7月,"1,943,734","146,246,797"
107年 8月,"2,088,082","155,801,261"
107年 9月,"1,930,602","139,173,525"
107年 10月,"2,044,172","137,937,100"
107年 11月,"2,029,395","127,934,263"
107年 12月,"2,326,802","144,502,800"
108年,"27,962,618","1,750,706,526"
108年 1月,"2,150,172","134,660,644"
108年 2月,"2,002,701","138,684,528"
108年 3月,"2,195,554","142,057,141"
108年 4月,"2,184,292","137,696,049"
108年 5月,"2,234,478","138,285,626"
108年 6月,"2,277,863","149,197,107"
108年 7月,"2,412,715","149,211,059"
108年 8月,"2,473,969","155,288,908"
108年 9月,"2,287,045","141,212,051"
108年 10月,"2,579,433","155,114,046"
108年 11月,"2,399,065","142,823,942"
108年 12月,"2,765,331","166,475,425"
109年,"18,516,452","821,164,771"
109年 1月,"2,567,102","157,719,861"
109年 2月,"1,707,162","91,143,799"
109年 3月,"1,262,843","51,469,220"
109年 4月,"1,008,639","36,470,066"
109年 5月,"1,175,914","43,768,123"
109年 6月,"1,294,855","54,207,061"
109年 7月,"1,492,968","60,490,373"
109年 8月,"1,650,966","68,304,681"
109年 9月,"1,546,511","61,463,072"
109年 10月,"1,603,333","69,240,298"
109年 11月,"1,550,053","61,790,166"
109年 12月,"1,656,106","65,098,051"
110年,"13,739,591","540,054,696"
110年 1月,"1,450,579","55,521,540"
110年 2月,"1,171,937","53,650,236"
110年 3月,"1,524,198","59,397,329"
110年 4月,"1,520,202","58,646,629"
110年 5月,"842,330","27,179,417"
110年 6月,"425,898","13,817,231"
110年 7月,"585,039","22,864,579"
110年 8月,"913,760","39,847,210"
110年 9月,"1,007,934","36,929,152"
110年 10月,"1,308,679","51,793,412"
110年 11月,"1,400,051","55,314,941"
110年 12月,"1,588,984","65,093,020"
111年,"17,169,100","725,369,723"
111年 1月,"1,240,385","44,300,685"
111年 2月,"1,094,739","48,804,545"
111年 3月,"1,478,458","57,168,637"
111年 4月,"1,188,264","46,085,660"
111年 5月,"957,179","33,060,122"
111年 6月,"1,106,651","44,608,230"
111年 7月,"1,393,496","57,947,844"
111年 8月,"1,516,543","61,694,890"
111年 9月,"1,465,881","57,830,341"
111年 10月,"1,645,996","71,972,588"
111年 11月,"1,844,745","86,573,328"
111年 12月,"2,236,763","115,322,853"
112年(1月至5月),"11,535,704","643,289,756"
112年 1月,"2,145,409","119,512,705"
112年 2月,"2,091,524","112,981,865"
112年 3月,"2,422,946","132,418,049"
112年 4月,"2,392,652","138,554,795"
112年 5月,"2,483,173","139,822,342"
