日期,新北市 / 能源別總計,新北市 / 汽油,新北市 / 電能,新北市 / 汽油、電能,臺北市 / 能源別總計,臺北市 / 汽油,臺北市 / 電能,臺北市 / 汽油、電能,桃園市 / 能源別總計,桃園市 / 汽油,桃園市 / 電能,桃園市 / 汽油、電能,臺中市 / 能源別總計,臺中市 / 汽油,臺中市 / 電能,臺中市 / 汽油、電能,高雄市 / 能源別總計,高雄市 / 汽油,高雄市 / 電能,高雄市 / 汽油、電能,基隆市 / 能源別總計,基隆市 / 汽油,基隆市 / 電能,基隆市 / 汽油、電能
101年,"818,705","792,691",16,"3,970","675,228","635,918",90,"9,060","581,095","564,512",1,"2,751","819,550","793,689",113,"3,978","699,256","678,206",11,"3,213","80,939","78,800",-,215
101年 9月,"814,701","790,308",15,"3,236","671,903","635,193",62,"7,895","576,680","561,071",1,"2,266","813,220","788,895",53,"3,270","695,689","675,700",3,"2,742","80,573","78,524",-,179
101年 10月,"815,361","790,566",15,"3,443","672,932","635,426",81,"8,246","577,923","562,076",1,"2,376","815,039","790,294",64,"3,455","696,900","676,626",3,"2,862","80,684","78,618",-,188
101年 11月,"816,758","791,397",15,"3,717","673,904","635,514",90,"8,625","579,519","563,363",1,"2,545","817,168","791,871",84,"3,724","698,113","677,454",11,"3,032","80,837","78,732",-,198
101年 12月,"818,705","792,691",16,"3,970","675,228","635,918",90,"9,060","581,095","564,512",1,"2,751","819,550","793,689",113,"3,978","699,256","678,206",11,"3,213","80,939","78,800",-,215
102年,"840,541","809,238",44,"6,489","686,234","639,486",92,"13,115","597,513","577,389",7,"4,545","842,075","810,894",140,"6,374","713,124","688,449",13,"4,956","82,381","79,914",-,404
102年 1月,"821,977","795,510",16,"4,195","677,609","637,538",90,"9,527","583,499","566,563",1,"2,923","822,580","796,288",114,"4,186","701,708","680,242",11,"3,443","81,290","79,120",-,228
102年 2月,"822,566","795,819",16,"4,337","677,781","637,217",90,"9,816","584,034","566,900",1,"3,023","823,622","797,019",114,"4,333","702,196","680,581",11,"3,511","81,288","79,084",-,237
102年 3月,"823,805","796,702",16,"4,552","677,577","636,419",86,"10,134","585,283","567,896",2,"3,158","824,907","797,885",115,"4,536","702,064","680,165",12,"3,645","81,284","79,054",-,253
102年 4月,"824,425","796,937",16,"4,718","677,206","635,594",86,"10,374","585,109","567,519",2,"3,276","825,335","797,981",115,"4,683","702,187","680,082",12,"3,750","81,326","79,081",-,274
