日期,新北市 / 能源別總計,新北市 / 汽油,新北市 / 電能,新北市 / 汽油、電能,臺北市 / 能源別總計,臺北市 / 汽油,臺北市 / 電能,臺北市 / 汽油、電能,桃園市 / 能源別總計,桃園市 / 汽油,桃園市 / 電能,桃園市 / 汽油、電能,臺中市 / 能源別總計,臺中市 / 汽油,臺中市 / 電能,臺中市 / 汽油、電能,高雄市 / 能源別總計,高雄市 / 汽油,高雄市 / 電能,高雄市 / 汽油、電能,基隆市 / 能源別總計,基隆市 / 汽油,基隆市 / 電能,基隆市 / 汽油、電能
101年,"2,368,911","2,362,900","6,006",-,"1,099,934","1,096,524","3,409",-,"1,159,472","1,155,884","3,586",-,"1,759,900","1,757,484","2,412",-,"2,283,395","2,277,929","5,464",-,"195,329","195,163",163,-
101年 9月,"2,361,629","2,355,607","6,018",-,"1,100,573","1,097,259","3,313",-,"1,152,831","1,149,447","3,382",-,"1,752,195","1,749,838","2,354",-,"2,286,008","2,280,799","5,208",-,"195,121","194,963",156,-
101年 10月,"2,365,449","2,359,437","6,007",-,"1,101,077","1,097,714","3,362",-,"1,155,836","1,152,291","3,543",-,"1,755,886","1,753,472","2,411",-,"2,287,742","2,282,432","5,309",-,"195,412","195,251",159,-
101年 11月,"2,368,095","2,362,087","6,004",-,"1,101,526","1,098,132","3,393",-,"1,158,078","1,154,476","3,600",-,"1,758,032","1,755,621","2,408",-,"2,288,648","2,283,192","5,453",-,"195,302","195,138",161,-
101年 12月,"2,368,911","2,362,900","6,006",-,"1,099,934","1,096,524","3,409",-,"1,159,472","1,155,884","3,586",-,"1,759,900","1,757,484","2,412",-,"2,283,395","2,277,929","5,464",-,"195,329","195,163",163,-
102年,"2,269,139","2,262,420","6,707",-,"1,034,810","1,030,975","3,831",-,"1,125,395","1,121,306","4,084",-,"1,678,392","1,675,435","2,950",-,"2,089,526","2,083,235","6,287",-,"187,689","187,506",180,-
102年 1月,"2,372,880","2,366,863","6,012",-,"1,100,688","1,097,263","3,424",-,"1,161,269","1,157,665","3,602",-,"1,764,138","1,761,692","2,442",-,"2,282,078","2,276,584","5,492",-,"195,411","195,245",163,-
102年 2月,"2,373,966","2,367,932","6,028",-,"1,100,732","1,097,281","3,450",-,"1,162,737","1,159,115","3,620",-,"1,766,311","1,763,828","2,479",-,"2,282,611","2,277,073","5,536",-,"195,680","195,513",164,-
102年 3月,"2,374,087","2,367,985","6,095",-,"1,101,007","1,097,472","3,534",-,"1,164,700","1,161,097","3,601",-,"1,768,517","1,765,973","2,540",-,"2,281,482","2,275,871","5,609",-,"195,418","195,251",164,-
102年 4月,"2,375,483","2,369,297","6,179",-,"1,101,627","1,098,088","3,538",-,"1,165,012","1,161,398","3,612",-,"1,750,588","1,747,980","2,604",-,"2,281,665","2,276,029","5,634",-,"195,405","195,237",165,-
