日期,未滿1年,1年-未滿2年,2年-未滿3年,3年-未滿4年,4年-未滿5年,5年-未滿6年,6年-未滿7年,7年-未滿8年,8年-未滿9年,9年-未滿10年,10年-未滿11年,11年-未滿12年,12年-未滿13年,13年-未滿14年,14年-未滿15年,15年-未滿16年,16年-未滿17年,17年-未滿18年
101年底,"290,976","337,497","288,348","243,190","193,811","290,228","302,150","441,882","409,076","354,238","322,500","276,575","328,967","298,394","315,244","292,943","254,602","234,555"
101年 9月底,"289,766","330,230","295,942","195,901","224,625","274,428","337,015","442,181","410,282","350,795","294,089","283,149","334,159","302,502","325,661","278,804","244,848","246,977"
101年 10月底,"280,327","334,896","297,075","205,168","216,392","278,009","323,331","445,277","408,782","354,571","298,570","280,492","335,811","302,580","321,211","282,568","250,764","242,989"
101年 11月底,"278,986","336,303","298,445","221,939","203,802","284,297","308,460","443,708","408,978","358,981","306,601","278,105","334,029","300,972","319,406","286,881","254,504","237,263"
101年 12月底,"290,976","337,497","288,348","243,190","193,811","290,228","302,150","441,882","409,076","354,238","322,500","276,575","328,967","298,394","315,244","292,943","254,602","234,555"
102年底,"312,008","317,605","339,041","288,881","244,669","194,382","289,739","301,819","440,808","407,444","352,182","319,338","272,163","321,705","289,246","298,676","273,140","233,489"
102年 1月底,"286,535","327,679","305,515","251,757","178,482","285,651","282,587","431,634","426,906","362,791","326,792","269,284","324,961","300,132","316,882","293,791","261,796","234,306"
102年 2月底,"278,669","332,062","306,656","260,522","174,306","283,161","276,534","430,766","422,151","372,456","331,772","264,498","323,360","298,353","312,714","301,122","258,680","233,377"
102年 3月底,"272,674","331,810","309,764","275,642","168,507","278,790","268,164","419,191","429,360","376,303","339,654","262,688","316,464","302,921","309,710","302,904","258,742","232,637"
102年 4月底,"273,262","334,479","306,155","284,078","165,237","273,292","266,594","406,730","430,131","381,894","343,431","266,215","309,399","306,268","307,980","302,201","258,807","229,923"
102年 5月底,"271,056","342,057","303,810","289,926","166,554","263,954","267,397","394,202","427,964","392,232","345,720","268,181","303,150","310,547","308,924","302,651","259,331","224,869"
102年 6月底,"272,119","342,812","307,600","291,996","172,772","256,852","262,401","384,407","430,230","398,183","347,186","274,009","292,793","317,359","307,762","303,352","259,083","224,242"
102年 7月底,"281,306","337,995","317,160","292,047","182,275","245,147","266,581","366,082","432,588","403,195","349,199","280,656","287,928","320,427","301,972","306,173","260,245","222,686"
102年 8月底,"279,884","335,570","324,643","292,766","189,562","235,656","269,436","354,110","434,326","409,254","348,053","282,526","285,361","321,695","296,634","312,634","257,149","221,701"
102年 9月底,"276,840","329,580","331,745","296,197","197,466","225,358","273,782","336,576","441,064","408,477","348,709","291,300","278,667","326,831","292,980","309,154","260,077","224,666"
102年 10月底,"274,330","326,805","336,476","297,313","206,677","217,096","277,430","322,915","444,182","406,971","352,481","295,743","275,988","328,733","293,243","305,173","263,708","230,703"
102年 11月底,"281,492","321,732","338,016","298,741","223,470","204,483","283,752","308,091","442,657","407,206","356,906","303,763","273,671","327,128","291,900","303,428","268,113","234,440"
102年 12月底,"312,008","317,605","339,041","288,881","244,669","194,382","289,739","301,819","440,808","407,444","352,182","319,338","272,163","321,705","289,246","298,676","273,140","233,489"
103年底,"345,566","326,764","319,502","340,515","290,548","244,760","194,464","289,599","301,245","439,554","405,520","349,126","315,136","266,914","312,465","277,623","280,137","251,597"
103年 1月底,"296,038","324,586","329,769","305,882","253,329","179,163","285,367","282,283","430,800","425,502","360,959","323,885","265,284","318,113","291,209","301,274","274,536","240,823"
103年 2月底,"295,431","317,080","334,127","306,792","262,060","174,889","282,831","276,131","429,756","420,656","370,402","328,640","260,486","316,399","289,315","297,502","281,328","238,002"
103年 3月底,"304,239","310,710","334,018","309,956","277,508","169,087","278,488","267,793","418,211","427,758","374,183","336,316","258,758","309,509","293,528","294,601","282,713","237,762"
103年 4月底,"308,014","309,916","337,018","306,363","286,295","165,873","273,295","266,373","406,052","428,804","380,076","340,376","262,663","303,077","297,107","293,771","282,660","238,271"
103年 5月底,"312,949","307,157","344,514","303,727","292,113","167,060","263,877","267,132","393,332","426,528","390,172","342,481","264,494","297,066","301,182","294,859","283,100","238,635"
103年 6月底,"320,859","307,347","345,431","307,805","294,216","173,201","256,823","262,198","383,654","428,939","396,113","344,086","270,142","287,223","307,839","293,966","283,855","238,253"
103年 7月底,"327,478","309,327","340,695","317,507","294,281","182,666","245,225","266,538","365,614","431,415","401,308","346,362","276,801","282,598","311,189","288,989","286,823","239,484"
103年 8月底,"325,589","310,142","338,224","325,193","294,786","189,835","235,755","269,406","353,579","433,120","407,409","345,224","278,723","280,116","312,698","284,497","293,509","237,081"
103年 9月底,"325,088","317,875","332,151","332,549","298,216","197,764","225,531","273,764","336,098","439,880","406,627","345,881","287,250","273,458","317,423","280,903","290,021","239,193"
103年 10月底,"326,928","316,583","329,196","337,498","299,216","206,874","217,225","277,357","322,398","442,924","405,109","349,509","291,806","270,658","319,283","281,223","286,119","242,408"
103年 11月底,"327,434","323,195","324,044","339,180","300,529","223,616","204,575","283,649","307,525","441,344","405,328","353,800","299,673","268,365","317,707","279,888","284,686","246,716"
103年 12月底,"345,566","326,764","319,502","340,515","290,548","244,760","194,464","289,599","301,245","439,554","405,520","349,126","315,136","266,914","312,465","277,623","280,137","251,597"
104年底,"335,125","378,025","327,947","320,894","342,453","290,688","244,477","194,208","288,874","300,130","437,160","401,529","344,059","308,720","259,293","300,591","263,854","259,597"
104年 1月底,"350,128","321,068","326,058","331,061","307,824","253,350","179,139","284,993","281,675","429,251","423,265","357,598","319,364","259,944","308,975","279,337","282,952","252,931"
104年 2月底,"348,445","326,250","318,478","335,860","309,116","262,286","174,924","282,614","275,633","428,328","418,642","367,197","324,135","255,350","307,317","277,760","279,884","259,573"
104年 3月底,"344,413","335,060","311,713","335,635","312,163","277,748","169,049","278,234","267,273","416,753","425,701","370,807","331,569","253,652","300,736","281,984","277,705","261,133"
104年 4月底,"340,564","345,427","310,843","338,737","308,479","286,650","165,790","272,998","265,753","404,522","426,626","376,599","335,227","257,316","294,419","285,109","276,741","260,645"
104年 5月底,"335,226","354,365","308,058","346,185","306,045","292,650","166,953","263,634","266,551","391,955","424,337","386,741","337,418","259,178","288,811","289,115","278,238","261,159"
104年 6月底,"338,872","357,541","308,257","346,944","310,020","294,619","173,031","256,504","261,637","382,154","426,640","392,516","338,931","264,619","279,327","295,633","277,566","262,234"
104年 7月底,"341,949","364,849","310,312","342,138","319,822","294,681","182,492","244,944","265,945","364,217","429,041","397,648","341,129","271,108","274,764","298,831","272,877","264,950"
104年 8月底,"339,804","364,974","311,135","339,377","327,537","294,995","189,649","235,403","268,785","352,214","430,754","403,642","339,977","272,950","272,216","300,420","268,897","271,085"
104年 9月底,"330,168","364,714","318,937","333,515","334,863","298,377","197,544","225,236","273,196","334,841","437,539","402,974","340,717","281,416","265,868","305,246","265,974","268,297"
104年 10月底,"322,656","371,443","317,598","330,735","339,664","299,389","206,706","216,878","276,738","321,142","440,568","401,333","344,360","285,926","262,986","307,102","266,641","264,876"
104年 11月底,"324,034","371,406","324,472","325,462","341,285","300,713","223,440","204,312","283,033","306,393","439,004","401,516","348,658","293,570","260,740","305,643","265,499","263,534"
104年 12月底,"335,125","378,025","327,947","320,894","342,453","290,688","244,477","194,208","288,874","300,130","437,160","401,529","344,059","308,720","259,293","300,591","263,854","259,597"
105年底,"347,540","372,283","379,445","328,736","323,158","342,582","289,898","244,023","193,811","287,820","298,412","432,012","393,001","333,269","293,651","242,549","276,716","238,523"
105年 1月底,"327,809","388,882","322,497","327,033","333,360","307,938","253,004","178,911","284,404","280,629","426,930","419,145","352,331","312,397","252,205","296,689","264,805","262,195"
105年 2月底,"320,931","391,547","327,606","319,203","338,226","309,320","261,827","174,704","282,059","274,627","426,010","414,426","361,653","316,687","247,124","294,447","262,577","258,490"
105年 3月底,"317,994","393,100","336,198","312,628","338,166","312,428","277,222","168,886","277,695","266,245","414,488","421,280","364,959","323,293","244,955","287,297","265,586","255,822"
105年 4月底,"319,512","388,434","346,640","311,632","341,383","308,676","286,109","165,574","272,431","264,746","402,284","422,191","370,368","326,413","248,003","280,662","267,906","254,599"
105年 5月底,"319,015","386,729","355,510","308,638","348,961","306,210","292,097","166,690","263,113","265,532","389,766","419,748","380,056","327,991","249,329","274,939","270,722","255,267"
105年 6月底,"319,444","390,999","358,794","308,769","349,824","310,151","294,018","172,833","256,043","260,673","379,996","422,036","385,521","329,348","254,209","265,319","276,436","254,134"
105年 7月底,"323,163","388,249","366,246","310,853","344,905","319,870","293,992","182,247","244,476","264,936","362,209","424,471","390,334","331,176","260,059","260,309","278,701","249,448"
105年 8月底,"321,640","387,359","366,385","311,592","342,151","327,590","294,370","189,392","234,987","267,765","350,283","426,163","395,867","329,808","261,545","257,241","279,752","245,430"
105年 9月底,"323,943","383,092","366,171","319,442","336,250","334,915","297,645","197,199","224,795","272,097","332,991","432,738","394,889","330,319","269,299","250,816","283,563","242,483"
105年 10月底,"321,614","381,857","372,865","318,164","333,261","339,731","298,617","206,351","216,443","275,729","319,448","435,701","393,155","334,047","273,306","247,541","284,757","242,641"
105年 11月底,"327,331","381,070","372,946","325,038","327,824","341,413","299,844","223,020","203,820","281,957","304,685","434,065","393,197","338,042","279,976","244,737","282,710","240,978"
105年 12月底,"347,540","372,283","379,445","328,736","323,158","342,582","289,898","244,023","193,811","287,820","298,412","432,012","393,001","333,269","293,651","242,549","276,716","238,523"
106年底,"343,135","386,512","375,555","380,599","331,075","323,403","341,290","289,150","243,333","193,128","286,421","295,313","424,158","381,980","318,928","275,825","224,300","251,685"
106年 1月底,"340,325","369,682","390,753","323,306","329,226","333,706","307,087","252,543","178,546","283,441","279,073","422,186","410,740","341,881","297,489","236,293","273,598","239,668"
106年 2月底,"339,107","365,222","393,592","328,033","321,309","338,470","308,290","261,229","174,319","281,038","273,084","421,014","406,163","350,971","301,628","231,584","271,622","237,909"
106年 3月底,"341,446","360,315","395,406","336,843","315,011","338,572","311,331","276,674","168,561","276,751","264,943","409,769","413,150","354,516","308,386","229,731","265,524","240,978"
106年 4月底,"334,985","366,790","390,844","347,263","314,052","341,784","307,573","285,520","165,203","271,536","263,419","397,696","414,246","359,978","311,316","232,965","259,628","243,407"
106年 5月底,"327,872","370,821","389,441","356,075","311,144","349,378","305,180","291,446","166,401","262,228","264,255","385,459","412,118","369,470","313,158","234,492","254,790","246,265"
106年 6月底,"325,178","370,815","393,845","359,391","311,258","350,137","309,118","293,308","172,450","255,153","259,414","375,769","414,362","374,580","314,549","238,824","245,891","251,499"
106年 7月底,"325,697","369,861","391,386","366,915","313,368","345,346","318,871","293,264","181,807","243,571","263,684","358,203","416,801","379,407","316,434","244,505","241,147","253,893"
106年 8月底,"332,559","373,304","390,699","367,205","314,163","342,513","326,502","293,581","188,832","234,024","266,488","346,333","418,218","384,331","314,819","245,536","237,859","254,492"
