日期,未滿1年,1年-未滿2年,2年-未滿3年,3年-未滿4年,4年-未滿5年,5年-未滿6年,6年-未滿7年,7年-未滿8年,8年-未滿9年,9年-未滿10年,10年-未滿11年,11年-未滿12年,12年-未滿13年,13年-未滿14年,14年-未滿15年,15年-未滿16年,16年-未滿17年,17年-未滿18年
101年底,"572,943","647,295","543,415","474,197","854,400","737,772","731,721","776,564","740,741","697,542","552,010","525,677","613,958","615,889","620,931","640,981","567,271","591,600"
101年 9月底,"578,355","637,703","577,326","526,599","808,550","739,105","751,637","777,082","744,742","630,981","547,813","551,471","626,733","626,898","607,081","663,502","570,639","630,270"
101年 10月底,"573,348","644,147","575,394","497,005","820,232","745,387","737,480","786,750","745,885","643,050","550,068","550,750","620,089","619,541","614,128","658,490","568,865","620,420"
101年 11月底,"567,174","650,162","562,482","480,885","833,670","744,508","727,370","791,399","743,288","668,267","550,039","538,969","619,020","617,710","613,426","651,995","565,798","609,806"
101年 12月底,"572,943","647,295","543,415","474,197","854,400","737,772","731,721","776,564","740,741","697,542","552,010","525,677","613,958","615,889","620,931","640,981","567,271","591,600"
102年底,"614,956","625,115","648,659","542,939","473,568","852,228","734,725","728,640","771,104","733,813","680,821","535,977","505,833","586,526","578,184","573,550","573,817","499,899"
102年 1月底,"580,698","637,561","560,963","491,525","816,258","736,568","725,037","768,245","765,859","688,731","559,525","525,380","593,263","623,605","633,360","619,484","573,824","582,278"
102年 2月底,"578,849","650,479","567,241","496,822","793,184","740,002","711,833","771,264","762,756","700,824","567,428","509,024","596,279","622,054","627,013","616,078","584,380","562,981"
102年 3月底,"586,243","644,457","578,099","512,776","754,651","753,251","697,618","778,916","767,909","699,157","580,750","501,209","589,890","615,303","623,009","608,056","594,807","545,418"
102年 4月底,"588,099","636,996","589,769","516,420","721,630","765,497","704,875","772,273","768,288","698,847","591,916","497,499","589,221","612,689","617,743","592,620","607,417","534,793"
102年 5月底,"584,791","637,388","592,936","535,817","680,334","775,819","712,016","762,684","775,289","701,062","600,546","497,083","582,777","610,854","614,236","580,033","619,258","530,808"
102年 6月底,"598,734","630,503","605,834","548,803","636,643","793,562","712,028","756,758","771,711","717,008","602,581","499,758","575,422","607,097","615,901","566,664","624,101","529,190"
102年 7月底,"605,812","631,325","615,598","560,962","596,230","801,295","723,418","751,658","767,022","727,821","601,133","512,347","555,223","612,403","610,190","558,231","623,996","526,777"
102年 8月底,"616,283","634,764","625,643","574,039","554,041","804,890","729,664","752,642","769,336","727,632","611,241","521,474","547,307","602,409","603,810","562,674","607,843","523,146"
102年 9月底,"609,403","630,301","638,702","576,859","525,918","807,102","736,533","748,391","771,581","735,830","616,964","532,225","531,812","599,218","589,910","561,243","598,121","504,265"
102年 10月底,"606,935","626,635","645,477","574,877","496,348","818,552","742,663","734,188","781,174","737,908","628,116","534,487","530,826","593,036","582,952","568,079","593,511","502,155"
102年 11月底,"603,346","624,102","651,616","561,998","480,273","831,779","741,524","724,099","785,952","736,100","652,722","534,535","519,480","592,186","581,762","568,236","587,939","500,119"
102年 12月底,"614,956","625,115","648,659","542,939","473,568","852,228","734,725","728,640","771,104","733,813","680,821","535,977","505,833","586,526","578,184","573,550","573,817","499,899"
103年底,"594,059","667,434","626,130","649,521","542,100","472,143","849,698","731,930","724,542","763,967","723,661","661,320","516,170","483,129","553,349","538,696","522,872","510,039"
103年 1月底,"609,974","636,751","639,260","560,507","490,906","814,185","733,646","722,068","763,015","758,715","672,645","543,413","505,880","566,551","586,442","585,325","555,144","506,329"
103年 2月底,"626,000","626,203","652,220","566,703","496,126","791,138","737,081","708,902","766,094","755,567","684,961","550,963","490,188","569,077","585,325","579,570","552,145","515,497"
103年 3月底,"637,376","628,898","646,189","577,534","512,072","752,545","750,330","694,707","773,768","760,478","683,558","563,282","481,522","561,785","577,139","574,806","543,254","521,933"
103年 4月底,"622,223","639,178","639,076","589,314","515,833","719,775","763,060","701,928","767,475","761,137","684,104","575,317","479,734","563,377","577,263","573,435","533,797","537,236"
103年 5月底,"611,217","645,531","639,344","592,340","535,116","678,704","773,211","708,784","757,778","767,797","686,281","583,209","477,577","555,740","573,071","566,878","519,095","539,690"
103年 6月底,"620,627","651,812","632,675","605,292","548,091","635,104","791,346","708,372","751,895","764,165","702,285","585,059","479,810","547,861","568,964","566,860","505,393","539,348"
103年 7月底,"607,965","660,379","633,377","615,040","560,057","594,722","798,883","719,454","746,250","758,922","712,114","582,977","489,617","526,883","571,570","559,182","494,483","533,749"
103年 8月底,"593,854","663,183","636,786","625,301","573,099","552,740","802,728","726,089","748,089","762,011","714,511","594,352","501,122","521,568","566,539","558,547","505,318","527,568"
103年 9月底,"595,165","665,025","632,323","638,447","575,886","525,019","804,495","732,976","743,816","763,963","722,963","599,153","511,636","506,834","564,822","547,412","509,308","527,646"
103年 10月底,"593,368","664,475","627,774","646,293","573,997","495,472","816,321","739,533","730,110","773,961","726,614","610,644","515,025","506,951","560,964","542,621","518,627","526,728"
103年 11月底,"586,285","665,464","625,251","652,524","561,146","479,428","829,448","738,731","720,095","778,709","725,742","634,190","515,054","496,321","560,023","541,239","519,202","522,191"
103年 12月底,"594,059","667,434","626,130","649,521","542,100","472,143","849,698","731,930","724,542","763,967","723,661","661,320","516,170","483,129","553,349","538,696","522,872","510,039"
104年底,"595,625","700,608","667,687","625,550","648,664","540,903","470,604","846,112","727,352","717,415","751,885","707,567","634,962","491,874","456,047","517,436","497,167","474,539"
104年 1月底,"586,361","671,733","637,557","640,038","559,585","489,335","811,595","730,796","717,932","755,719","747,876","653,372","523,232","482,886","533,944","546,298","533,349","492,738"
104年 2月底,"580,115","686,522","627,146","653,003","565,882","494,509","788,686","734,365","704,951","758,838","744,866","666,051","530,798","468,040","536,822","545,541","529,529","490,850"
104年 3月底,"582,623","696,761","629,762","646,897","576,687","510,368","750,260","747,577","690,814","766,430","749,576","665,021","543,589","461,110","531,766","539,948","528,461","486,495"
