日期,旅客人數(人次),客運收入(新台幣元)
110年,"4,184,285","105,064,176"
110年 4月,"200,565","5,361,003"
110年 5月,"501,125","12,698,279"
110年 6月,"101,769","2,404,504"
110年 7月,"180,078","4,451,933"
110年 8月,"362,325","9,015,846"
110年 9月,"490,065","12,288,759"
110年 10月,"693,795","17,394,771"
110年 11月,"753,032","18,926,326"
110年 12月,"901,531","22,522,755"
111年,"9,329,765","219,456,243"
111年 1月,"757,363","18,741,857"
111年 2月,"782,294","19,342,030"
111年 3月,"866,770","21,861,774"
111年 4月,"682,815","15,707,991"
111年 5月,"487,351","12,075,954"
111年 6月,"493,612","12,284,809"
111年 7月,"709,022","13,854,081"
111年 8月,"808,773","15,782,771"
111年 9月,"810,410","16,082,514"
111年 10月,"945,534","23,756,965"
111年 11月,"928,325","23,507,954"
111年 12月,"1,057,496","26,457,543"
112年(1月至5月),"5,138,582","127,932,483"
112年 1月,"1,017,068","25,510,262"
112年 2月,"999,408","25,165,332"
112年 3月,"1,063,409","26,792,714"
112年 4月,"1,092,019","26,213,894"
112年 5月,"966,678","24,250,281"
