日期,旅客人數(人次),客運收入(新台幣元)
104年,"717,511,809","15,651,875,244"
104年 1月,"59,691,839","1,307,066,108"
104年 2月,"52,532,633","1,146,264,895"
104年 3月,"62,848,327","1,381,154,403"
104年 4月,"58,332,655","1,272,534,572"
104年 5月,"60,761,657","1,322,895,872"
104年 6月,"57,568,402","1,251,238,335"
104年 7月,"59,994,731","1,301,390,069"
104年 8月,"58,896,058","1,275,336,046"
104年 9月,"57,138,189","1,248,577,689"
104年 10月,"62,296,159","1,364,448,412"
104年 11月,"60,909,070","1,330,728,344"
104年 12月,"66,542,089","1,450,240,499"
105年,"739,990,166","16,086,223,543"
105年 1月,"62,491,126","1,353,556,428"
105年 2月,"55,880,942","1,215,584,585"
105年 3月,"65,094,282","1,421,920,706"
105年 4月,"59,818,335","1,306,259,500"
105年 5月,"62,641,349","1,358,766,172"
105年 6月,"58,943,413","1,288,514,496"
105年 7月,"60,814,153","1,318,141,011"
105年 8月,"63,103,402","1,365,774,580"
105年 9月,"56,229,449","1,219,229,971"
105年 10月,"62,802,378","1,361,171,049"
105年 11月,"62,796,023","1,353,551,250"
105年 12月,"69,375,314","1,523,753,795"
106年,"746,066,556","16,174,579,465"
106年 1月,"60,035,066","1,314,569,434"
106年 2月,"57,307,769","1,245,040,657"
106年 3月,"65,799,002","1,429,404,545"
106年 4月,"61,034,570","1,329,578,610"
106年 5月,"62,331,397","1,351,267,544"
106年 6月,"60,600,002","1,303,448,223"
106年 7月,"60,845,996","1,309,674,096"
106年 8月,"63,338,720","1,365,832,150"
106年 9月,"60,251,267","1,308,083,627"
106年 10月,"61,801,612","1,343,941,796"
106年 11月,"63,033,961","1,367,683,299"
106年 12月,"69,687,194","1,506,055,484"
107年,"765,470,127","16,559,721,317"
107年 1月,"64,500,974","1,395,000,627"
107年 2月,"54,709,408","1,177,667,324"
107年 3月,"67,358,839","1,467,726,472"
107年 4月,"60,665,191","1,327,380,118"
107年 5月,"64,979,317","1,392,733,302"
107年 6月,"61,504,022","1,316,407,419"
107年 7月,"62,957,672","1,356,259,501"
107年 8月,"64,683,872","1,402,086,824"
107年 9月,"60,868,879","1,316,220,463"
107年 10月,"67,071,863","1,449,361,231"
107年 11月,"65,606,945","1,425,746,291"
107年 12月,"70,563,145","1,533,131,745"
108年,"789,599,136","16,810,512,441"
108年 1月,"68,003,177","1,466,609,072"
108年 2月,"56,013,818","1,211,498,304"
108年 3月,"67,278,996","1,451,518,655"
108年 4月,"63,674,114","1,382,972,896"
108年 5月,"67,470,852","1,457,400,703"
108年 6月,"62,899,805","1,353,757,451"
108年 7月,"66,557,788","1,432,418,095"
108年 8月,"65,067,353","1,388,319,789"
108年 9月,"61,917,289","1,321,806,031"
108年 10月,"68,684,775","1,473,679,931"
108年 11月,"68,384,772","1,304,221,636"
108年 12月,"73,646,397","1,566,309,878"
109年,"695,650,777","15,402,587,189"
109年 1月,"62,341,846","1,214,238,898"
109年 2月,"53,122,226","1,154,766,670"
109年 3月,"53,320,169","1,213,151,593"
109年 4月,"45,348,047","1,045,166,552"
109年 5月,"53,173,491","1,196,818,750"
109年 6月,"55,134,226","1,254,303,077"
109年 7月,"60,458,810","1,343,192,646"
109年 8月,"59,933,608","1,366,253,348"
109年 9月,"60,712,565","1,354,547,822"
109年 10月,"61,473,624","1,372,698,794"
109年 11月,"62,394,352","1,384,449,657"
109年 12月,"68,237,813","1,502,999,382"
110年,"531,120,335","12,157,245,372"
110年 1月,"59,627,877","1,337,804,349"
110年 2月,"49,903,948","1,143,495,860"
110年 3月,"63,662,116","1,426,427,864"
110年 4月,"60,228,378","1,363,822,064"
110年 5月,"33,793,743","787,336,390"
110年 6月,"13,119,922","309,476,900"
110年 7月,"19,326,321","438,885,307"
110年 8月,"31,909,547","736,154,008"
110年 9月,"37,417,702","863,113,518"
110年 10月,"48,391,442","1,103,289,112"
110年 11月,"53,694,731","1,223,817,748"
110年 12月,"60,044,608","1,423,622,252"
111年,"587,257,852","13,334,888,872"
111年 1月,"49,839,834","1,135,101,095"
111年 2月,"41,907,368","968,887,266"
111年 3月,"57,507,027","1,290,074,337"
111年 4月,"43,166,022","982,918,366"
111年 5月,"33,442,128","764,593,514"
111年 6月,"39,433,399","897,595,342"
111年 7月,"47,377,976","1,075,781,843"
111年 8月,"50,558,370","1,144,754,742"
111年 9月,"50,032,664","1,137,114,862"
111年 10月,"53,451,837","1,210,907,285"
111年 11月,"57,215,039","1,302,696,067"
111年 12月,"63,326,188","1,424,464,153"
112年(1月至5月),"288,393,742","6,662,727,631"
112年 1月,"52,502,386","1,215,601,210"
112年 2月,"56,091,010","1,296,776,873"
112年 3月,"62,605,487","1,427,567,337"
112年 4月,"56,684,568","1,336,830,527"
112年 5月,"60,510,291","1,385,951,684"
