日期,淡水,鞍部,臺北,竹子湖,基隆,彭佳嶼,花蓮,蘇澳,宜蘭,東吉島,澎湖,臺南,高雄,嘉義,臺中,阿里山,大武,玉山,新竹,恆春,成功,蘭嶼,日月潭,臺東,梧棲,金門,馬祖
90年,"2,679.0","5,714.2","2,862.1","5,080.1","3,642.4","2,352.3","2,568.5","5,105.3","3,521.9","1,270.0","1,459.7","2,106.5","2,556.5","2,979.7","1,981.2","4,017.3","2,214.1","3,060.5","2,293.1","2,494.6","2,161.6","3,390.9","2,206.4","1,933.1","1,949.1",-,-
90年 1月,173.9,357.6,203.6,224.0,309.0,210.0,98.0,626.2,399.8,30.5,38.8,54.1,53.0,74.9,82.4,146.4,64.3,45.7,161.0,10.0,69.1,231.5,94.4,44.5,53.1,-,-
90年 2月,62.0,295.9,24.7,185.0,220.4,49.4,30.0,285.1,104.2,-,2.3,0.3,1.7,1.4,4.2,12.6,45.7,10.4,20.5,33.5,86.4,263.0,3.7,15.6,3.0,-,-
90年 3月,143.2,206.3,174.1,155.8,227.6,74.8,54.0,145.3,66.6,31.0,36.2,56.7,12.5,33.6,38.5,144.0,20.1,127.3,163.2,10.5,42.4,71.5,91.2,16.8,57.0,-,-
90年 4月,166.4,235.8,177.0,164.8,179.7,281.7,144.0,184.8,142.9,70.0,92.3,47.0,7.1,83.6,201.6,220.7,37.6,186.5,229.4,11.9,140.5,153.0,200.6,52.1,207.5,-,-
90年 5月,251.7,486.5,127.1,335.5,419.8,308.2,299.5,808.7,423.1,415.0,306.3,515.2,727.0,335.2,271.2,670.8,462.7,541.0,169.8,347.0,246.0,524.5,410.7,267.1,174.0,-,-
90年 6月,116.0,81.9,105.9,61.5,185.8,75.3,213.0,287.0,252.4,206.5,265.8,530.9,350.0,391.9,225.9,503.2,524.3,480.3,46.8,610.2,311.0,382.9,347.3,460.5,168.0,-,-
90年 7月,146.2,259.9,263.3,206.0,116.1,4.4,451.0,278.7,168.7,114.5,73.8,270.0,606.5,582.7,346.6,"1,031.0",362.4,702.3,236.3,431.0,286.2,407.5,587.3,240.8,513.5,-,-
90年 8月,103.4,93.8,156.8,98.5,69.4,73.5,52.0,112.4,175.6,89.0,111.1,122.0,141.2,138.1,224.6,222.3,145.1,77.1,53.9,256.5,64.6,218.0,203.6,200.0,59.5,-,-
90年 9月,"1,353.6","2,871.0","1,490.8","2,976.0","1,310.8","1,086.0",994.0,"1,088.0","1,212.4",295.5,512.7,494.8,647.0,"1,322.3",564.6,951.8,462.3,705.5,"1,151.3",717.5,707.6,479.5,232.9,582.4,700.5,-,-
90年 10月,98.8,377.1,86.7,339.5,90.0,45.1,47.0,403.2,259.0,-,1.0,-,-,0.2,5.7,29.5,51.7,52.7,29.3,50.5,31.1,390.0,8.4,5.7,3.0,-,-
90年 11月,22.9,158.4,15.9,131.5,155.5,4.7,16.5,309.9,70.2,4.5,5.8,1.7,3.5,9.0,2.8,64.0,14.5,94.5,6.7,6.5,70.9,182.0,15.1,9.1,2.5,-,-
90年 12月,40.9,290.0,36.2,202.0,358.3,139.2,169.5,576.0,247.0,13.5,13.6,13.8,7.0,6.8,13.1,21.0,23.4,37.2,24.9,9.5,105.8,87.5,11.2,38.5,7.5,-,-
