日期,國道1號 / 總計,國道1號高架 / 總計,國道3號 / 總計,國道3號甲 / 總計,國道5號 / 總計
103年,"1,530,726,506","112,561,990","873,942,878","22,034,285","51,615,722"
103年 1月,"123,558,640","8,685,644","66,419,479","1,784,376","3,950,471"
103年 2月,"120,700,011","8,284,093","75,676,150","1,645,341","4,231,820"
103年 3月,"129,109,606","9,156,526","72,999,207","1,879,587","4,191,922"
103年 4月,"126,394,463","9,165,164","71,275,250","1,820,296","4,170,287"
103年 5月,"128,555,897","9,419,551","70,365,476","1,893,501","4,181,891"
103年 6月,"126,982,312","9,449,335","71,901,083","1,827,378","4,323,880"
103年 7月,"130,146,163","9,648,104","75,137,533","1,843,705","4,610,772"
103年 8月,"131,001,753","9,902,007","76,769,261","1,873,953","4,850,139"
103年 9月,"125,936,468","9,503,586","72,286,302","1,810,772","4,201,346"
103年 10月,"130,484,038","9,883,554","74,973,018","1,904,708","4,386,088"
103年 11月,"126,101,650","9,539,103","72,281,423","1,823,070","4,209,973"
103年 12月,"131,755,505","9,925,323","73,858,696","1,927,598","4,307,133"
104年,"1,597,231,264","122,022,614","953,378,769","22,129,988","52,161,200"
104年 1月,"134,773,107","9,911,700","79,041,830","1,867,050","4,463,994"
104年 2月,"127,640,497","9,367,762","82,998,386","1,667,983","4,424,681"
104年 3月,"134,709,966","10,068,288","79,115,704","1,896,484","4,220,566"
104年 4月,"131,838,552","9,978,067","78,042,385","1,822,642","4,131,547"
104年 5月,"133,475,040","10,196,219","77,403,491","1,882,410","4,264,112"
104年 6月,"131,502,980","10,161,895","77,474,185","1,839,916","4,318,664"
104年 7月,"135,088,209","10,400,927","80,001,837","1,857,768","4,615,631"
104年 8月,"131,245,078","10,188,208","76,943,639","1,809,051","4,369,149"
104年 9月,"129,096,525","10,132,110","77,082,555","1,812,019","4,235,261"
104年 10月,"135,892,871","10,612,636","79,980,724","1,895,983","4,388,468"
104年 11月,"132,919,136","10,376,587","81,956,639","1,848,075","4,307,600"
104年 12月,"139,049,303","10,628,215","83,337,394","1,930,607","4,421,527"
105年,"1,670,944,776","127,272,035","1,045,244,079","22,181,739","53,059,014"
105年 1月,"138,379,717","10,495,993","83,856,122","1,866,062","4,392,120"
105年 2月,"135,745,114","10,002,839","93,107,983","1,670,962","4,433,904"
105年 3月,"137,773,555","10,529,267","83,744,035","1,914,334","4,288,940"
105年 4月,"138,664,074","10,567,217","87,509,227","1,829,454","4,382,396"
105年 5月,"141,382,863","10,831,533","87,480,171","1,914,048","4,493,948"
105年 6月,"136,871,871","10,504,846","85,244,114","1,818,703","4,341,783"
105年 7月,"144,275,729","10,850,059","90,078,825","1,839,742","4,707,507"
105年 8月,"141,326,745","10,856,464","87,631,558","1,872,514","4,726,842"
105年 9月,"131,989,512","10,042,480","81,996,021","1,744,215","3,996,512"
105年 10月,"142,776,145","10,892,072","89,740,251","1,892,843","4,452,348"
105年 11月,"136,902,252","10,573,253","85,062,768","1,854,955","4,288,623"
105年 12月,"144,857,199","11,126,012","89,793,004","1,963,907","4,554,091"
106年,"1,693,837,262","128,812,657","1,062,988,050","21,803,249","53,402,575"
106年 1月,"146,517,300","10,962,858","97,302,162","1,850,089","4,654,235"
106年 2月,"132,510,275","9,690,056","87,227,797","1,625,210","4,262,482"
106年 3月,"141,950,616","10,704,986","87,558,025","1,898,136","4,298,566"
106年 4月,"140,472,956","10,668,512","89,888,053","1,804,638","4,454,500"
106年 5月,"144,133,128","10,896,895","91,210,751","1,865,467","4,517,038"
106年 6月,"133,395,848","10,283,544","78,950,586","1,782,374","4,083,092"
106年 7月,"142,290,077","10,913,337","89,605,657","1,814,565","4,778,642"
106年 8月,"145,892,429","11,208,737","91,593,323","1,855,665","4,875,308"
106年 9月,"137,742,946","10,624,824","83,759,774","1,805,315","4,266,795"
106年 10月,"143,882,923","10,875,248","91,462,847","1,817,233","4,452,840"
106年 11月,"138,849,357","10,711,631","84,114,678","1,798,738","4,275,948"
106年 12月,"146,199,407","11,272,029","90,314,397","1,885,819","4,483,129"
107年,"1,708,525,172","130,274,035","1,050,718,389","21,280,811","53,987,953"
107年 1月,"141,970,913","10,768,295","86,241,581","1,822,038","4,323,387"
107年 2月,"135,127,524","9,908,543","90,461,109","1,584,899","4,237,580"
107年 3月,"146,133,537","11,190,348","89,594,057","1,880,915","4,443,820"
107年 4月,"143,755,404","10,831,257","91,560,586","1,740,320","4,511,643"
107年 5月,"145,074,308","11,028,476","85,672,075","1,827,305","4,502,018"
107年 6月,"140,619,319","10,859,487","84,722,270","1,766,425","4,475,315"
107年 7月,"144,774,157","10,965,285","89,112,377","1,779,958","4,898,054"
107年 8月,"142,128,509","11,140,534","86,837,546","1,790,043","4,945,066"
107年 9月,"140,443,412","10,636,369","85,750,118","1,720,589","4,343,234"
107年 10月,"142,413,156","11,028,926","85,542,268","1,804,768","4,438,973"
107年 11月,"138,838,071","10,719,551","83,961,176","1,748,666","4,260,254"
107年 12月,"147,246,862","11,196,964","91,263,226","1,814,885","4,608,609"
108年,"1,718,010,641","131,737,736","1,065,605,865","20,976,301","54,545,785"
108年 1月,"146,756,510","11,085,756","87,538,113","1,833,156","4,519,569"
108年 2月,"132,945,532","9,785,244","90,988,817","1,509,897","4,280,118"
108年 3月,"146,302,878","11,078,183","91,406,208","1,795,989","4,542,287"
108年 4月,"143,110,785","10,911,954","88,836,575","1,727,951","4,398,837"
108年 5月,"142,653,004","11,089,514","84,894,872","1,807,441","4,420,477"
108年 6月,"141,824,587","11,041,763","88,458,509","1,721,614","4,534,472"
108年 7月,"147,058,120","11,448,001","90,533,819","1,793,858","4,970,712"
108年 8月,"142,623,215","11,111,034","86,454,403","1,755,298","4,814,510"
108年 9月,"141,007,096","10,662,507","88,153,125","1,687,023","4,387,849"
108年 10月,"145,813,278","11,350,473","91,145,083","1,786,437","4,593,713"
108年 11月,"141,324,729","10,913,388","87,300,765","1,739,606","4,442,154"
108年 12月,"146,590,907","11,259,919","89,895,576","1,818,031","4,641,087"
109年,"1,719,316,118","126,227,018","1,115,083,067","20,951,957","57,921,447"
109年 1月,"147,425,358","11,030,504","97,994,648","1,695,599","4,904,522"
109年 2月,"133,129,593","9,656,125","83,777,961","1,580,762","4,528,983"
109年 3月,"140,270,163","10,108,826","88,250,264","1,738,651","4,606,591"
109年 4月,"134,740,660","9,501,377","84,834,402","1,624,498","4,518,880"
109年 5月,"142,200,172","10,408,936","90,138,324","1,782,370","4,796,526"
109年 6月,"143,723,649","10,561,663","95,065,415","1,750,407","4,960,996"
109年 7月,"148,269,751","10,938,578","96,665,024","1,826,130","5,204,485"
109年 8月,"149,068,806","11,053,521","99,208,758","1,805,115","5,290,189"
109年 9月,"141,788,416","10,530,965","90,878,904","1,781,607","4,706,656"
109年 10月,"147,927,484","10,899,016","99,500,511","1,775,283","4,932,234"
109年 11月,"142,752,036","10,577,187","93,064,912","1,751,431","4,747,082"
109年 12月,"148,020,030","10,960,320","95,703,944","1,840,104","4,724,303"
110年,"1,645,158,863","118,474,387","1,064,933,928","19,168,254","54,348,084"
110年 1月,"145,830,337","10,534,720","95,107,730","1,775,703","4,882,864"
110年 2月,"135,018,181","9,605,682","95,872,018","1,537,619","4,660,239"
110年 3月,"147,714,387","10,882,318","96,225,768","1,788,095","4,869,651"
110年 4月,"145,384,464","10,630,376","95,866,729","1,702,059","4,746,970"
110年 5月,"125,964,379","8,570,666","77,054,568","1,410,148","3,804,861"
110年 6月,"103,551,048","6,818,417","57,956,088","1,139,597","3,056,583"
110年 7月,"123,701,021","8,524,672","73,391,854","1,358,328","3,891,720"
110年 8月,"138,305,370","10,241,564","88,833,890","1,597,089","4,941,168"
110年 9月,"139,141,713","10,222,424","91,933,100","1,622,125","4,745,919"
110年 10月,"146,698,423","10,744,947","98,501,455","1,717,932","4,930,122"
110年 11月,"143,478,906","10,588,238","94,593,321","1,718,427","4,843,398"
110年 12月,"150,370,634","11,110,363","99,597,407","1,801,132","4,974,589"
111年,"1,742,069,884","125,312,868","1,149,169,525","19,692,822","57,489,619"
111年 1月,"145,047,269","10,417,670","94,520,462","1,727,396","4,728,589"
111年 2月,"135,044,057","9,201,210","97,230,817","1,443,726","4,607,838"
111年 3月,"149,466,271","10,905,606","97,685,332","1,773,767","4,840,413"
111年 4月,"141,700,815","9,825,783","92,811,669","1,568,561","4,612,812"
111年 5月,"133,218,374","8,943,070","81,546,106","1,450,641","4,247,774"
111年 6月,"138,343,643","10,050,083","87,558,752","1,567,561","4,744,065"
111年 7月,"153,052,232","11,300,311","102,017,113","1,691,178","5,403,446"
111年 8月,"152,653,016","11,332,082","101,850,696","1,707,662","5,339,146"
111年 9月,"145,221,792","10,550,541","96,423,648","1,632,218","4,732,376"
111年 10月,"149,797,263","10,713,630","100,095,455","1,671,651","4,750,101"
111年 11月,"145,783,354","10,787,333","95,893,013","1,686,527","4,622,503"
111年 12月,"152,741,798","11,285,549","101,536,462","1,771,934","4,860,556"
112年(1月至5月),"744,760,420","54,887,744","505,008,366","8,247,043","24,308,417"
112年 1月,"154,518,382","11,103,523","111,359,167","1,632,887","5,058,186"
112年 2月,"138,739,726","10,166,226","94,840,621","1,531,383","4,514,281"
112年 3月,"151,438,379","11,366,123","99,412,635","1,757,019","4,868,372"
112年 4月,"149,659,003","10,982,806","101,949,070","1,616,855","4,948,994"
112年 5月,"150,404,930","11,269,066","97,446,873","1,708,899","4,918,584"
