日期,國道1號 / 總計,國道1號高架 / 總計,國道3號 / 總計,國道3號甲 / 總計,國道5號 / 總計
103年,"1,524,268,201","94,550,391","901,172,404","21,104,547","52,369,134"
103年 1月,"126,684,647","7,468,234","74,485,179","1,803,348","4,303,658"
103年 2月,"117,536,062","6,938,741","73,498,004","1,559,288","4,089,626"
103年 3月,"127,438,062","7,706,884","74,074,451","1,781,898","4,146,965"
103年 4月,"126,031,247","7,662,574","73,493,974","1,735,581","4,246,796"
103年 5月,"129,448,031","7,851,781","74,036,590","1,805,287","4,317,006"
103年 6月,"125,271,891","7,846,561","72,405,604","1,734,958","4,286,548"
103年 7月,"129,625,278","8,043,088","77,359,125","1,762,729","4,670,935"
103年 8月,"130,262,916","8,394,560","78,814,604","1,791,675","4,948,322"
103年 9月,"124,953,940","8,047,655","74,445,518","1,728,867","4,243,920"
103年 10月,"129,943,530","8,259,657","77,387,401","1,815,216","4,452,317"
103年 11月,"125,565,330","8,000,162","74,341,348","1,745,684","4,252,989"
103年 12月,"131,507,267","8,330,494","76,830,606","1,840,016","4,410,052"
104年,"1,589,950,592","103,545,390","975,311,393","21,082,530","53,161,635"
104年 1月,"133,652,638","8,398,445","81,184,281","1,790,305","4,510,429"
104年 2月,"128,142,313","8,028,396","86,135,836","1,600,075","4,609,598"
104年 3月,"133,544,561","8,583,757","80,904,241","1,809,838","4,230,799"
104年 4月,"131,470,531","8,448,616","80,825,771","1,733,744","4,295,816"
104年 5月,"132,749,824","8,638,997","79,749,782","1,789,858","4,316,180"
104年 6月,"130,768,237","8,615,211","79,541,604","1,746,553","4,382,436"
104年 7月,"135,165,768","8,788,779","82,432,444","1,768,379","4,763,134"
104年 8月,"130,471,160","8,653,229","78,391,886","1,722,383","4,378,885"
104年 9月,"128,793,805","8,582,889","78,894,774","1,724,308","4,296,188"
104年 10月,"136,004,679","9,005,577","82,722,331","1,807,714","4,481,993"
104年 11月,"131,933,420","8,788,763","80,858,963","1,751,215","4,340,713"
104年 12月,"137,253,656","9,012,731","83,669,480","1,838,158","4,555,464"
105年,"1,649,982,730","108,309,516","1,038,664,834","21,218,847","54,148,422"
105年 1月,"135,317,293","8,946,561","82,823,926","1,786,205","4,379,896"
105年 2月,"134,357,033","8,686,204","93,161,113","1,596,136","4,601,957"
105年 3月,"135,456,593","8,974,861","83,211,133","1,827,970","4,346,909"
105年 4月,"136,868,214","9,036,311","87,783,280","1,757,069","4,540,325"
105年 5月,"137,918,158","9,202,321","85,637,434","1,824,624","4,510,719"
105年 6月,"134,205,511","8,944,127","84,539,561","1,738,185","4,434,847"
105年 7月,"140,674,661","9,217,823","89,332,922","1,763,315","4,857,769"
105年 8月,"140,498,530","9,191,781","86,467,112","1,789,265","4,802,764"
105年 9月,"131,652,547","8,516,281","80,887,151","1,656,943","4,054,022"
105年 10月,"141,851,278","9,248,581","89,174,328","1,816,752","4,507,100"
105年 11月,"136,146,339","8,936,607","84,565,040","1,778,209","4,349,981"
105年 12月,"145,036,573","9,408,058","91,081,834","1,884,174","4,762,133"
106年,"1,683,825,028","108,827,486","1,090,124,676","21,022,648","54,378,565"
106年 1月,"147,904,517","9,491,279","101,981,314","1,791,110","4,881,022"
106年 2月,"129,360,949","8,169,260","85,878,000","1,555,240","4,183,156"
106年 3月,"141,903,514","9,056,959","90,557,970","1,816,432","4,391,418"
106年 4月,"139,646,295","9,033,370","92,101,819","1,738,185","4,568,123"
106年 5月,"142,520,543","9,187,574","92,268,187","1,788,163","4,583,237"
106年 6月,"132,706,089","8,627,360","81,271,625","1,707,372","4,150,370"
106年 7月,"141,045,302","9,186,526","91,668,107","1,749,927","4,826,772"
106年 8月,"144,779,251","9,395,071","94,273,845","1,797,427","4,988,528"
106年 9月,"137,224,890","8,870,008","86,240,569","1,743,812","4,350,094"
106年 10月,"142,610,835","9,234,125","93,163,361","1,762,281","4,500,750"
106年 11月,"137,909,186","9,021,952","86,483,391","1,739,895","4,316,550"
106年 12月,"146,213,657","9,554,002","94,236,488","1,832,804","4,638,545"
107年,"1,696,390,034","110,938,687","1,078,830,185","20,714,794","55,022,904"
107年 1月,"139,966,198","9,120,127","87,473,357","1,758,072","4,272,946"
107年 2月,"134,924,760","8,595,525","93,310,340","1,536,257","4,356,981"
107年 3月,"145,397,569","9,515,962","92,606,919","1,825,114","4,528,200"
107年 4月,"142,394,138","9,236,294","93,387,585","1,694,573","4,585,582"
107年 5月,"143,715,148","9,346,760","87,973,720","1,775,831","4,535,441"
107年 6月,"140,288,138","9,222,020","87,537,773","1,724,849","4,609,440"
107年 7月,"143,137,926","9,335,316","90,587,899","1,738,814","4,959,046"
107年 8月,"141,371,176","9,413,881","88,920,813","1,748,644","5,100,405"
107年 9月,"139,101,766","9,065,605","87,924,166","1,680,312","4,418,142"
107年 10月,"141,234,769","9,367,535","88,012,447","1,754,472","4,489,458"
107年 11月,"138,096,964","9,136,120","86,449,574","1,705,808","4,367,145"
107年 12月,"146,761,482","9,583,542","94,645,592","1,772,048","4,800,118"
108年,"1,703,107,773","112,053,684","1,092,495,961","20,553,224","55,878,522"
108年 1月,"144,358,624","9,464,184","88,739,544","1,780,286","4,501,856"
108年 2月,"133,881,528","8,495,821","95,157,603","1,484,493","4,583,501"
108年 3月,"143,961,483","9,475,060","92,319,484","1,745,182","4,548,141"
108年 4月,"141,841,018","9,263,924","90,987,626","1,692,469","4,510,174"
108年 5月,"141,372,335","9,365,982","87,669,076","1,766,755","4,505,734"
108年 6月,"140,841,379","9,357,935","90,838,524","1,702,169","4,671,420"
108年 7月,"145,875,757","9,677,943","92,670,445","1,763,107","5,081,957"
108年 8月,"142,033,051","9,438,386","88,906,870","1,730,398","4,971,689"
108年 9月,"139,446,447","9,075,088","89,863,003","1,645,160","4,446,829"
108年 10月,"144,454,165","9,592,270","93,162,302","1,752,214","4,695,420"
108年 11月,"140,222,971","9,294,289","90,119,084","1,713,791","4,596,086"
108年 12月,"144,819,015","9,552,802","92,062,400","1,777,200","4,765,715"
109年,"1,707,053,887","105,787,037","1,142,280,212","20,575,456","60,125,368"
109年 1月,"147,498,531","9,500,128","101,485,402","1,672,191","5,166,038"
109年 2月,"132,352,573","8,173,311","86,581,974","1,560,607","4,695,725"
109年 3月,"138,386,452","8,399,584","89,635,483","1,701,208","4,659,743"
109年 4月,"133,532,675","7,887,765","87,225,076","1,608,135","4,671,299"
109年 5月,"140,998,427","8,649,618","91,982,092","1,750,938","4,953,699"
109年 6月,"142,485,343","8,775,951","96,547,576","1,717,753","5,080,725"
109年 7月,"147,695,604","9,165,612","98,845,301","1,792,001","5,515,553"
109年 8月,"148,132,095","9,262,988","100,504,322","1,774,405","5,530,109"
109年 9月,"141,247,136","8,838,967","93,848,898","1,745,902","4,937,642"
109年 10月,"146,864,305","9,076,820","101,063,450","1,739,610","5,084,781"
109年 11月,"140,899,725","8,832,686","95,121,910","1,716,442","4,851,452"
109年 12月,"146,961,021","9,223,607","99,438,728","1,796,264","4,978,602"
110年,"1,628,386,753","98,622,662","1,093,368,644","18,948,276","56,211,046"
110年 1月,"144,101,591","8,831,446","96,818,663","1,745,163","4,979,167"
110年 2月,"135,102,446","8,106,572","99,457,299","1,527,608","5,035,800"
110年 3月,"145,617,840","9,058,547","98,272,513","1,751,591","4,940,056"
110年 4月,"144,731,006","8,838,815","99,465,536","1,681,011","4,987,608"
110年 5月,"123,784,286","7,058,292","78,461,784","1,390,812","3,813,370"
110年 6月,"102,053,009","5,536,388","59,343,036","1,139,880","3,074,180"
110年 7月,"122,725,320","6,987,047","76,089,638","1,359,757","3,996,437"
110年 8月,"135,832,489","8,482,733","90,254,644","1,590,250","5,068,420"
110年 9月,"137,701,605","8,446,288","93,847,905","1,595,918","4,884,932"
110年 10月,"145,433,639","8,989,498","100,665,775","1,691,317","5,111,782"
110年 11月,"141,473,935","8,892,302","97,141,140","1,697,614","5,007,323"
110年 12月,"149,829,587","9,394,734","103,550,711","1,777,355","5,311,971"
111年,"1,727,291,760","104,992,174","1,174,525,039","19,658,856","59,807,572"
111年 1月,"145,864,705","8,785,245","100,246,616","1,738,110","5,020,156"
111年 2月,"131,240,182","7,741,742","94,929,946","1,451,513","4,600,377"
111年 3月,"148,007,734","9,136,535","99,832,532","1,775,946","4,994,748"
111年 4月,"140,857,942","8,232,821","95,560,481","1,571,075","4,845,397"
111年 5月,"130,766,067","7,414,821","82,304,669","1,452,347","4,245,051"
111年 6月,"137,055,346","8,336,032","89,629,296","1,557,312","4,943,671"
111年 7月,"152,073,211","9,394,123","104,255,032","1,693,571","5,738,684"
111年 8月,"151,343,436","9,486,281","103,521,485","1,694,397","5,641,382"
111年 9月,"144,991,193","8,802,692","98,682,301","1,618,977","4,923,953"
111年 10月,"148,730,503","9,006,632","101,963,248","1,663,910","4,869,254"
111年 11月,"143,824,467","9,071,289","98,390,704","1,683,531","4,779,768"
111年 12月,"152,536,974","9,583,961","105,208,729","1,758,167","5,205,131"
112年(1月至5月),"739,485,589","46,495,956","513,991,156","8,186,505","25,162,657"
112年 1月,"153,966,964","9,463,193","112,383,246","1,616,972","5,265,734"
112年 2月,"137,821,170","8,627,984","96,657,495","1,528,350","4,684,074"
112年 3月,"150,985,235","9,611,756","102,550,071","1,746,200","5,053,258"
112年 4月,"147,957,735","9,324,706","103,300,338","1,607,173","5,161,652"
112年 5月,"148,754,485","9,468,317","99,100,006","1,687,810","4,997,939"
