日期,旅客人數(人次),客座利用率(%)
104年,"50,561,878",59.65
104年 1月,"3,955,998",55.56
104年 2月,"4,140,433",61.67
104年 3月,"4,193,956",58.36
104年 4月,"4,175,062",59.76
104年 5月,"4,213,646",58.61
104年 6月,"4,087,705",58.88
104年 7月,"4,211,651",59.68
104年 8月,"4,194,775",60.51
104年 9月,"4,047,485",59.85
104年 10月,"4,241,370",58.00
104年 11月,"4,170,979",59.95
104年 12月,"4,928,818",64.95
105年,"56,586,210",63.52
105年 1月,"4,604,235",61.56
105年 2月,"4,841,423",63.93
105年 3月,"4,611,193",60.43
105年 4月,"4,654,341",63.82
105年 5月,"4,618,120",61.69
105年 6月,"4,563,193",64.34
105年 7月,"4,737,535",65.40
105年 8月,"4,762,706",64.01
105年 9月,"4,420,684",62.76
105年 10月,"4,923,512",63.73
105年 11月,"4,684,505",64.23
105年 12月,"5,164,763",66.28
106年,"60,571,057",65.16
106年 1月,"5,175,232",64.69
106年 2月,"4,792,273",65.12
106年 3月,"4,949,836",64.61
106年 4月,"5,095,172",65.42
106年 5月,"5,142,697",64.64
106年 6月,"4,566,730",60.82
106年 7月,"4,978,951",64.96
106年 8月,"5,223,860",68.19
106年 9月,"4,653,364",60.61
106年 10月,"5,373,773",67.21
106年 11月,"5,006,047",66.34
106年 12月,"5,613,122",68.96
107年,"63,963,199",67.01
107年 1月,"4,958,457",62.32
107年 2月,"5,154,270",69.17
107年 3月,"5,308,893",66.24
107年 4月,"5,475,892",69.36
107年 5月,"5,212,836",65.38
107年 6月,"5,185,704",66.42
107年 7月,"5,289,840",66.28
107年 8月,"5,419,952",67.58
107年 9月,"5,251,154",65.90
107年 10月,"5,311,974",65.73
107年 11月,"5,517,382",69.46
107年 12月,"5,876,845",70.16
108年,"67,411,248",68.03
108年 1月,"5,326,693",65.20
108年 2月,"5,425,372",69.08
108年 3月,"5,648,453",68.11
108年 4月,"5,678,567",70.23
108年 5月,"5,475,139",66.01
108年 6月,"5,610,936",69.42
108年 7月,"5,621,665",67.94
108年 8月,"5,559,008",67.43
108年 9月,"5,505,456",66.13
108年 10月,"5,801,186",67.39
108年 11月,"5,683,553",68.94
108年 12月,"6,075,220",70.57
109年,"57,238,942",56.94
109年 1月,"6,230,650",70.79
109年 2月,"3,968,432",48.59
109年 3月,"3,529,935",39.87
109年 4月,"2,947,586",34.49
109年 5月,"3,670,631",45.61
109年 6月,"4,431,804",60.91
109年 7月,"4,975,726",61.39
109年 8月,"5,489,625",64.12
109年 9月,"5,011,876",58.98
109年 10月,"5,723,958",63.87
109年 11月,"5,472,335",65.34
109年 12月,"5,786,384",67.25
110年,"43,459,558",49.88
110年 1月,"4,660,193",53.10
110年 2月,"4,455,946",55.84
110年 3月,"5,160,243",59.80
110年 4月,"5,514,868",64.11
110年 5月,"2,696,576",35.24
110年 6月,"539,630",11.20
110年 7月,"1,137,242",24.57
110年 8月,"2,225,096",40.96
110年 9月,"2,960,416",43.37
110年 10月,"4,032,592",54.60
110年 11月,"4,537,412",57.65
110年 12月,"5,539,344",64.00
111年,"54,162,008",53.31
111年 1月,"4,148,796",48.44
111年 2月,"3,973,070",49.32
111年 3月,"4,837,482",56.43
111年 4月,"3,976,458",47.39
111年 5月,"2,643,078",29.85
111年 6月,"3,133,528",37.40
111年 7月,"4,431,576",51.40
111年 8月,"4,970,649",59.10
111年 9月,"4,947,082",59.42
111年 10月,"5,383,137",62.69
111年 11月,"5,502,680",66.38
111年 12月,"6,214,472",71.49
112年(1月至5月),"29,712,423",69.75
112年 1月,"6,089,874",68.70
112年 2月,"5,497,363",69.07
112年 3月,"5,986,367",69.94
112年 4月,"6,213,664",72.60
112年 5月,"5,925,155",68.44
