日期,旅客人數(人次),客運收入(新台幣元)
104年,"60,203,494","1,434,189,042"
104年 1月,"5,364,052","121,603,398"
104年 2月,"5,264,040","125,458,092"
104年 3月,"4,946,893","116,731,393"
104年 4月,"4,770,775","116,633,523"
104年 5月,"4,975,529","118,977,807"
104年 6月,"4,773,312","114,891,430"
104年 7月,"5,208,462","123,695,060"
104年 8月,"5,101,326","121,514,250"
104年 9月,"4,760,000","114,097,334"
104年 10月,"5,009,270","119,860,088"
104年 11月,"4,743,534","114,047,774"
104年 12月,"5,286,301","126,678,893"
105年,"63,102,604","1,523,728,072"
105年 1月,"5,059,680","120,551,874"
105年 2月,"5,450,136","132,071,942"
105年 3月,"4,821,327","114,667,613"
105年 4月,"4,904,412","117,282,098"
105年 5月,"5,435,496","131,219,482"
105年 6月,"5,357,256","129,016,823"
105年 7月,"5,570,010","132,656,679"
105年 8月,"5,798,783","136,720,977"
105年 9月,"4,676,366","115,753,026"
105年 10月,"5,322,272","130,823,519"
105年 11月,"5,050,419","123,814,543"
105年 12月,"5,656,447","139,149,496"
106年,"64,321,343","1,572,330,028"
106年 1月,"5,755,583","142,602,628"
106年 2月,"5,462,915","134,316,457"
106年 3月,"5,390,762","130,634,817"
106年 4月,"5,144,807","126,270,615"
106年 5月,"5,148,639","125,887,266"
106年 6月,"4,834,139","117,948,781"
106年 7月,"5,224,684","127,961,596"
106年 8月,"5,611,644","135,822,375"
106年 9月,"4,752,268","115,903,551"
106年 10月,"5,341,828","130,669,422"
106年 11月,"5,210,552","125,561,784"
106年 12月,"6,443,522","158,750,736"
107年,"68,084,742","1,620,400,140"
107年 1月,"5,704,657","140,554,675"
107年 2月,"6,108,497","150,277,589"
107年 3月,"5,424,182","129,330,176"
107年 4月,"5,612,795","132,658,171"
107年 5月,"5,258,005","125,063,401"
107年 6月,"5,266,282","128,320,254"
107年 7月,"5,816,912","136,274,939"
107年 8月,"5,646,067","132,343,245"
107年 9月,"5,217,845","123,886,713"
107年 10月,"5,653,880","133,169,388"
107年 11月,"5,674,758","133,486,349"
107年 12月,"6,700,862","155,035,240"
108年,"68,738,777","1,611,072,077"
108年 1月,"5,854,512","136,985,951"
108年 2月,"6,272,049","147,786,382"
108年 3月,"5,788,551","134,710,239"
108年 4月,"5,547,306","130,523,476"
108年 5月,"5,511,547","128,716,601"
108年 6月,"5,459,816","128,820,478"
108年 7月,"5,753,324","134,196,481"
108年 8月,"5,594,961","131,078,310"
108年 9月,"5,286,664","125,389,175"
108年 10月,"5,748,779","134,622,714"
108年 11月,"5,576,728","130,752,986"
108年 12月,"6,344,540","147,489,284"
109年,"50,889,801","1,192,790,172"
109年 1月,"5,836,242","138,549,592"
109年 2月,"3,814,724","90,678,114"
109年 3月,"3,433,758","80,939,862"
109年 4月,"2,742,365","65,442,938"
109年 5月,"3,309,756","78,759,855"
109年 6月,"4,011,768","94,786,124"
109年 7月,"4,551,167","106,119,964"
109年 8月,"4,782,192","111,274,957"
109年 9月,"4,254,703","99,073,794"
109年 10月,"4,735,576","110,153,952"
109年 11月,"4,520,636","103,882,110"
109年 12月,"4,896,914","113,128,910"
110年,"40,452,702","902,306,837"
110年 1月,"4,623,583","102,871,837"
110年 2月,"4,748,452","101,237,271"
110年 3月,"4,531,847","103,083,136"
110年 4月,"4,539,953","104,064,885"
110年 5月,"2,501,759","60,928,579"
110年 6月,"749,105","19,449,737"
110年 7月,"1,143,550","26,532,939"
110年 8月,"2,128,658","49,853,989"
110年 9月,"2,798,718","64,707,610"
110年 10月,"3,832,482","87,235,587"
110年 11月,"3,936,109","89,541,153"
110年 12月,"4,918,486","92,800,114"
111年,"46,134,808","1,030,931,549"
111年 1月,"3,681,540","83,623,387"
111年 2月,"4,111,882","90,292,563"
111年 3月,"3,938,146","88,207,633"
111年 4月,"3,263,741","74,865,161"
111年 5月,"2,423,675","56,833,253"
111年 6月,"2,380,980","55,957,712"
111年 7月,"3,644,534","82,599,020"
111年 8月,"4,348,770","95,739,981"
111年 9月,"3,903,449","88,704,270"
111年 10月,"4,721,677","101,823,492"
111年 11月,"4,467,559","98,649,478"
111年 12月,"5,248,855","113,635,599"
112年(1月至5月),"25,738,212","577,425,014"
112年 1月,"5,516,848","123,260,900"
112年 2月,"4,771,475","106,062,136"
112年 3月,"5,137,901","115,400,712"
112年 4月,"5,339,587","119,126,002"
112年 5月,"4,972,401","113,575,264"
