排氣量(c.c.),5級,4級,3級,2級,1級
50以下,52.7以下,52.8-59.9,60.0-67.1,67.2-74.2,74.3以上
超過50至100,44.3以下,44.4-50.4,50.5-56.4,56.5-62.5,62.6以上
超過100至150,40.8以下,40.9-46.3,46.4-51.9,52.0-57.5,57.6以上
超過150至250,30.0以下,30.1-34.1,34.2-38.2,38.3-42.3,42.4以上
超過250至500,21.5以下,21.6-24.5,24.6-27.4,27.5-30.4,30.5以上
超過500至750,17.1以下,17.2-19.5,19.6-21.8,21.9-24.2,24.3以上
超過750至1000,16.3以下,16.4-18.5,18.6-20.8,20.9-23.0,23.1以上
超過1000至1250,15.2以下,15.3-17.2,17.3-19.3,19.4-21.4,21.5以上
超過1250至1500,13.5以下,13.6-15.3,15.4-17.2,17.3-19.1,19.2以上
超過1500至1750,13.3以下,13.4-15.1,15.2-17.0,17.1-18.8,18.9以上
超過1750至2000,13.1以下,13.2-14.9,15.0-16.7,16.8-18.5,18.6以上
超過2000,12.9以下,13.0-14.7,14.8-16.4,16.5-18.2,18.3以上
